clause_text,clause_type
"Absence of Certain Changes or Events. Except as set forth in Section 4.07 of the Disclosure Schedule, from January 26, 1997 to the date of this Agreement, the Company has conducted its business only in the ordinary course, and there has not been (i) any Company Material Adverse Effect, (ii) except for regular quarterly dividends payable, any declaration, setting aside or payment of any dividend or other distribution (whether in cash, Stock or property) with respect to the Common Stock, (iii) any split, combination or reclassification of any of its capital stock or any issuance or the authorization of any issuance of any other securities in respect of, in lieu of or in substitution for shares of its capital stock, (iv) (A) any granting by the Company or any of its Significant Subsidiaries to any executive officer of the Company or any Significant Subsidiaries of any increase in compensation, except as was required under employment agreements in effect as of the date of the most recent audited financial statements included in the SEC Documents, (B) any granting by the Company or any of its Significant Subsidiaries to any such executive officer of any increase in severance or termination pay, except as was required under employment, severance or termination agreements in effect as of the date of the most recent audited financial statements included in the SEC Documents or (C) any entry by the Company or any of its Significant Subsidiaries into any employment, severance or termination agreement with any such executive officer, (v) any damage, destruction or loss, whether or not covered by insurance, that has or could reasonably be expected to have a Company Material Adverse Effect on the Company and its subsidiaries taken as a whole, (vi) any change in accounting methods, principles or practices by the Company materially affecting its assets, liabilities or business, except insofar as may have been required by a change in generally accepted accounting principles or (vii) any action which would have been prohibited without Parent's approval under Section 6.01(a) if taken between the date of this Agreement and the Effective Time of the Merger.",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Since March 31, 1997, except ------------------------------------ as disclosed in the Source Financial Statements delivered prior to the date of this Agreement or as disclosed in Section 5.7 of the Source Disclosure Memorandum, (i) there have been no events, changes, or occurrences which have had, or are reasonably likely to have, individually or in the aggregate, a Source Material Adverse Effect, and (ii) the Source Entities have not taken any action, or failed to take any action, prior to the date of this Agreement, which action or failure, if taken after the date of this Agreement, would represent or result in a material breach or violation of any of the covenants and agreements of Source provided in Article 7.",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. (a) Since December 31, 2017, no event or events have occurred that have had or would reasonably be expected to have, either individually or in the aggregate, a Material Adverse Effect on the Company.",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Since the date of the Company Balance Sheet there has not been any Company Material Adverse Effect and during the period from the date of the Company Balance Sheet to the date hereof there has not been: (i) any declaration, setting aside or payment of any dividend on, or other distribution (whether in cash, stock or property) in respect of, any of the Company’s or any of its Subsidiaries’ capital stock, or any purchase, redemption or other acquisition by the Company or any of its Subsidiaries of any of the Company’s capital stock or any other securities of the Company or its Subsidiaries or any options, warrants, calls or rights to acquire any such shares or other securities, other than repurchases of unvested shares in connection with the termination of the employment relationship with any employee, or upon the resignation of any director or consultant, pursuant to stock option or purchase agreements and, in each case, at no cost or for a de minimis cost, (ii) any split, combination or reclassification of any of the Company’s or any of its Subsidiaries’ capital stock; (iii) any granting by the Company or any of its Subsidiaries of any increase in compensation or fringe benefits, except for normal increases of cash compensation in the ordinary course of business consistent with past practice (other than to directors or executive officers of the Company), or any payment by the Company or any of its Subsidiaries of any bonus, except for bonuses made in the ordinary course of business consistent with past practice (other than to directors or executive officers of the Company), or any granting by the Company or any of its Subsidiaries of any increase in severance or termination pay or any entry by the Company or any of its Subsidiaries into any currently effective employment, severance, termination or indemnification agreement or any agreement the benefits of which are contingent or the terms of which are materially altered upon the occurrence of a transaction involving the Company of the nature contemplated hereby (other than offer letters and letter agreements entered into in the ordinary course of business consistent with past practice with employees who are not officers and are terminable “at will” without the Company or its Subsidiaries incurring any material liability or financial obligation), (iv) entry by the Company or any of its Subsidiaries into any licensing or other agreement with regard to the acquisition or disposition of any material Intellectu...",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Except as set ------------------------------------ forth in the Recent SEC Documents, since June 30, 2000, the Company and its subsidiaries have conducted their businesses only in the ordinary course and in a manner consistent with past practice and, since such date, there has not been: (i) any event that, individually or in the aggregate, has had or could reasonably be expected to have in the future a Company Material Adverse Effect, (ii) any declaration, payment or setting aside for payment of any dividend or other distribution or any redemption or other acquisition of any shares of capital stock or securities of the Company by the Company, (iii) any material damage or loss to any material asset or property, whether or not covered by insurance, (iv) any change by the Company in accounting principles or practices, (v) any revaluation by the Company of any of its material assets or liabilities, including, without limitation, writing down the value of inventory or writing off notes or accounts receivable other than in the ordinary course of business, (vi) any entry by the Company or any of its subsidiaries into any commitment or transactions material to the Company and its subsidiaries taken as a whole (other than commitments or transactions entered into in the ordinary course of business), (vii) any increase in or establishment of any Company Benefit Plan (as defined in Section 3.12), or any other increase in the compensation payable or to become payable to any present or former directors or officers, or any employment, consulting or severance agreement or arrangement entered into with any such present or former directors, officers or employees of the Company or any of its subsidiaries, or (viii) any amendment (including any amendment of the exercise or other price to be paid in connection therewith) or cancellation of any rights, warrants, option, calls, commitments or any other agreements of any character to purchase or acquire any shares of its capital stock or any securities or rights convertible into, exchangeable for, or evidencing the right to subscribe for, any shares of capital stock of the Company or any of its subsidiaries. Since June 30, 2000, neither the Company nor any of its subsidiaries has taken, or failed to take, any action that would have constituted a breach of Section 5.1 hereof had the covenants therein applied since that date.",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Since March 31, 1997, except as disclosed in Schedule 4.1(l), the Company and the Subsidiaries have conducted their business, in all material respects, only in the ordinary course and in a manner consistent with past practice (except in connection with the negotiation and execution and delivery of this Agreement and the other Transaction Documents and the Atrium Agreements (as hereinafter defined) in connection with discussions with other parties regarding possible Acquisition Proposals) and since March 31, 1997, except as disclosed in Schedule 4.1(l), there has not been (i) any event or events (whether or not covered by insurance), individually or in the aggregate, having a Material Adverse Effect on the Company, (ii) any material change by the Company in its accounting methods, principles or practices, (iii) any entry by the Company or any Subsidiary into any commitment or transaction material to the Company, except in the ordinary course of business and consistent with past practice or except in connection with the negotiation and execution and delivery of this Agreement and the other Transaction Documents and the Atrium Agreements (as hereinafter defined), (iv) any declaration, setting aside or payment of any dividend or distribution in respect of any capital stock of the Company or any redemption, purchase or other acquisition of any of the Company's or its Subsidiaries' securities (except for cash dividends paid to the Company by its wholly owned Subsidiaries with regard to its capital stock, and the declaration and payment to the holders of Shares regular quarterly dividends to stockholders of record with such record dates and payment dates as are consistent with past practice), (v) other than pursuant to the Benefit Plans and the Employee Arrangements or as required by law, any increase in, amendment to, or establishment of any bonus, insurance, severance, deferred compensation, pension, retirement, profit sharing, stock option, stock purchase or other employee benefit plan, (vi) granted any general increase in compensation, bonus or other benefits payable to the employees of the Company or its Subsidiaries, except for increases occurring in the ordinary course of business in accordance with its customary practice, (vii) paid any bonus to the employees of the Company or its Subsidiaries except for bonuses accrued on the Company's unaudited balance sheet for the quarter ending March 31, 1997, (viii) any incurrence of indebtedness for borrowed money ...",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Except as disclosed in the Current SEC Documents, filed and publicly available between January 1, 1999 and April 16, 2000, since the date of the Base Balance Sheet, Pinnacle and its Subsidiaries have conducted their respective businesses only in the Ordinary Course of Business consistent with past practice, and, except as set forth in Schedule 4.7, there has not been (a) any material adverse change in Pinnacle, (b) any declaration, setting aside or payment of any dividend or other distribution with respect to its capital stock, (c) any split, combination or reclassification of any of its capital stock or any issuance or the authorization of any issuance of any other securities in respect of, in lieu of or in substitution for shares of its capital stock, (d)(i) any granting by Pinnacle or any of its Subsidiaries to any employee or consultant of Pinnacle or any of its Subsidiaries of any increase in compensation, except in the Ordinary Course of Business consistent with past practice (including in connection with promotions) or as was required under employment agreements in effect as of the date of the Base Balance Sheet, (ii) any granting by Pinnacle or any of its Subsidiaries to any of their respective employees or consultant of any increase in severance or termination pay, except as part of a standard employment package to any Person promoted or hired, or as was required under employment, severance or termination agreements in effect as of the date of the Base Balance Sheet or (iii) any entry by Pinnacle or any of its Subsidiaries into any employment, severance or termination agreement with any executive officer of Pinnacle or any of its Subsidiaries, (e) any damage, destruction or loss affecting the businesses or assets of Pinnacle or any of its Subsidiaries, whether or not covered by insurance, that has or reasonably could be expected to have a material adverse effect on Pinnacle or any Subsidiary, (f) any change in accounting methods, principles or practices by Pinnacle affecting its assets, liabilities or business (g) entry into any commitment or transaction material to Pinnacle and its Subsidiaries taken as a whole (including, without limitation, any borrowing or sale of assets) except in the Ordinary Course of Business, (h) any incurrence, assumption or guarantee by Pinnacle or any of its Subsidiaries of any indebtedness in excess of $1,000,000, other than in the Ordinary Course of Business and in amounts and on terms consistent with past practices,...",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Except as and to the extent set forth on the Financial Statements, to the extent contained in this Agreement, or as set forth on SCHEDULE 4.1(U), between December 31, 2003 (the date of the most recent Financial Statements) and the Closing, there will not be (i) any material adverse change in the business, assets, properties, results of operations, financial condition or prospects of MailKey or any of its Subsidiaries, (ii) any entry by MailKey or any of its Subsidiaries into any material commitment or transaction which is not in the ordinary course of business; (iii) any change by MailKey or any of its Subsidiaries in accounting principles or methods except insofar as may be required by a change in generally accepted accounting principles; (iv) any declaration, payment or setting aside for payment of any dividends or other distributions (whether in cash, stock or property) in respect of capital stock of MailKey or any Subsidiary, or any direct or indirect redemption, purchase or any other type of acquisition by MailKey, or any direct or indirect redemption, purchase or any other type of acquisition by MailKey of any shares of its capital stock or any other securities for an aggregate sum not in excess of $10,000, (v) any agreement by MailKey, whether in writing or otherwise, to take any action which, if taken prior to the date of this Agreement, would have made any representation or warranty in this Section 4.1 untrue or incorrect; (vi) any acquisition of the assets of MailKey, other than in the ordinary course of business and consistent with past practice and not in excess of $25,000 in the aggregate; or (vii) any execution of any agreement with any executive officer of MailKey providing for his or her employment, or any increase in the compensation or in severance or termination benefits payable or to become payable by MailKey to its officers or key employees, or any material increase in benefits under any collective bargaining agreement or in benefits under any bonus, pension, profit sharing, deferred compensation, incentive compensation, stock ownership, stock purchase, stock option, phantom stock, retirement, vacation, severance, disability, death benefit, hospitalization, insurance or other plan or arrangement or understanding (whether or not legally binding) providing benefits to any present or former employee of MailKey. Since the date of the Financial Statements, there has not been and there is not threatened, any material adverse change in financ...",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Except as disclosed in the SEC Reports filed prior to the date hereof or on the Company Disclosure Schedule, since the date of the Balance Sheet, Company and its Subsidiaries have conducted their businesses only in the ordinary course and in a manner consistent with past practice and, since such date, there has not been (i) any occurrence or any development or combination of occurrences or developments of which Company has knowledge that, individually or in the aggregate, has had, or is reasonably likely to have, a Company Material Adverse Effect; (ii) any damage, destruction or loss (whether or not covered by insurance) with respect to Company or any of its Subsidiaries which has had, or is reasonably likely to have, a Company Material Adverse Effect after giving effect to insurance coverage; (iii) any material change by Company or its Subsidiaries in their respective accounting methods, principles or practices to which Parent has not previously consented in writing; (iv) any revaluation by Company or its Subsidiaries of any of their respective assets having a Company Material Adverse Effect; or (v) any other action or event that would have required the consent of Parent pursuant to Section 6.1 of this Agreement had such action or event occurred after the date of this Agreement and that, individually or in the aggregate, has had, or is reasonably likely to have, a Company Material Adverse Effect.",absence-of-certain-changes-or-events
"Absence of Certain Changes or Events. Except as disclosed in the Parent S.E.C. Documents, since the date of the most recent financial statements included in the Parent S.E.C. Documents, Parent has conducted its business only in the ordinary course consistent with past practice in light of its current business circumstances, and there is not and has not been: (i) any material adverse change with respect to Parent; (ii) any condition, event or occurrence which, individually or in the aggregate, could reasonably be expected to have a material adverse effect or give rise to a material adverse change with respect to Parent; (iii) any event which, if it had taken place following the execution of this Agreement, would not have been permitted by Section 4.02 without the prior consent of the Company; or (iv) any condition, event or occurrence which could reasonably be expected to prevent, hinder or materially delay the ability of Parent to consummate the transactions contemplated by this Agreement.",absence-of-certain-changes-or-events
