clause_text,clause_type
"Acceleration. On and at any time after the occurrence of an Event of Default which is continuing the Agent may, and shall if so directed by the Majority Lenders, by notice to the Borrower:",acceleration
"Acceleration. (a) If an Event of Default with respect to the Company described in Section 11(g) or (h) (other than an Event of Default described in clause (i) of Section 11(g) or described in clause (vi) of Section 11(g) by virtue of the fact that such clause encompasses clause (i) of Section 11(g)) has occurred, all the Notes then outstanding shall automatically become immediately due and payable.",acceleration
"Acceleration. If an Event of Default (other than an Event of Default specified in Section 6.01(7) or (8) with respect to the Company) occurs and is continuing, the Trustee by notice to the Company, or the Holders of at least 25% in principal amount of the Securities by notice to the Company and the Trustee, may declare the principal of and accrued but unpaid interest on all the Securities to be due and payable. Upon such a declaration, such principal and interest shall be due and payable immediately. If an Event of Default specified in Section 6.01(7) or (8) with respect to the Company occurs, the principal of and interest on all the Securities shall ipso facto become and be immediately due and payable without any declaration or other act on the part of the Trustee or any Securityholders. The Holders of a majority in principal amount of the Securities by notice to the Trustee may rescind an acceleration and its consequences if the rescission would not conflict with any judgment or decree and if all existing Events of Default have been cured or waived except nonpayment of principal or interest that has become due solely because of acceleration. No such rescission shall affect any subsequent Default or impair any right consequent thereto.",acceleration
"Acceleration. If an Event of Default with respect to any Securities of any series at the time outstanding (other than an Event of Default specified in clause (5) or (6) of Section 6.01 hereof) occurs and is continuing, the Trustee by notice to the Company, or the Holders of at least 25% in principal amount of the then outstanding Securities of the series affected by that default (or, in the case of an Event of Default described in clause (4) of Section 6.01, if outstanding Securities of other series are affected by that Default, then at least 25% in principal amount of the then outstanding Securities so affected) by notice to the Company and the Trustee, may declare the principal of (or, if any of those Securities are Original Issue Discount Securities, that portion of the principal amount as may be specified in the terms of that series) and all accrued and unpaid interest on all then outstanding Securities of that series or of all series, as the case may be, to be due and payable. Upon any such declaration, the amounts due and payable on those Securities shall be due and payable immediately. If an Event of Default specified in clause (5) or (6) of Section 6.01 hereof occurs, those amounts shall ipso facto become and be immediately due and payable without any declaration, notice or other act on the part of the Trustee or any Holder. The Holders of a majority in principal amount of the then outstanding Securities of the series affected by that default or all series, as the case may be, by written notice to the Trustee may rescind an acceleration and its consequences (other than nonpayment of principal of or premium or interest on or any Additional Amounts with respect to the Securities) if the rescission would not conflict with any judgment or decree and if all existing Events of Default with respect to Securities of that series (or of all series, as the case may be) have been cured or waived, except nonpayment of principal, premium, interest or any Additional Amounts that has become due solely because of the acceleration.",acceleration
"Acceleration. If any Default described in Section 7.6 or 7.7 occurs with respect to the Borrower, the obligations of the Lenders to make Loans hereunder shall automatically terminate and the Obligations shall immediately become due and payable without any election or action on the part of the Agent or any Lender. If any other Default occurs, the Required Lenders (or the Agent with the consent of the Required Lenders) may terminate or suspend the obligations of the Lenders to make Loans hereunder, or declare the Obligations to be due and payable, or both, whereupon the Obligations shall become immediately due and payable, without presentment, demand, protest or notice of any kind, all of which the Borrower hereby expressly waives. If, within 30 days after acceleration of the maturity of the Obligations or termination of the obligations of the Lenders to make Loans hereunder as a result of any Default (other than any Default as described in Section 7.6 or 7.7 with respect to the Borrower) and before any judgment or decree for the payment of the Obligations due shall have been obtained or entered, the Required Lenders (in their sole discretion) shall so direct, the Agent shall, by notice to the Borrower, rescind and annul such acceleration and/or termination.",acceleration
"Acceleration. In the case of an Event of Default specified in clause (9) or (10) of Section 6.01 hereof, with respect to the Company or any Guarantor that is a Significant Subsidiary, all outstanding Notes will become due and payable immediately without further action or notice. If any other Event of Default occurs and is continuing, the Trustee (by written notice to the Company) or the Holders of at least 25% in aggregate principal amount outstanding of the Notes (by written notice to the Company and the Trustee) may declare all the Notes to be due and payable immediately. Upon any such declaration, the Notes shall become due and payable immediately. The Holders of a majority in aggregate principal amount of the then outstanding Notes by written notice to the Trustee may, on behalf of all of the Holders of the Notes, rescind an acceleration and its consequences, if the rescission would not conflict with any judgment or decree and if all existing Events of Default (except nonpayment of principal, premium, if any, interest or Special Interest, if any, on the Notes that has become due solely because of the acceleration) have been cured or waived.",acceleration
"Acceleration. If an Event of Default (other than an Event of Default specified in Section 6.01(f) or (g) with respect to the Issuer) occurs with respect to the Securities and is continuing, the Trustee or the Holders of at least 25% in principal amount of the outstanding Securities, by notice to the Issuer, may declare the principal of, premium, if any, and accrued but unpaid interest on all the Securities to be due and payable; provided, however, that so long as any Bank Indebtedness remains outstanding, no such acceleration shall be effective until the earlier of (i) five (5) Business Days after the giving of written notice to the Issuer and the Representatives under the Credit Agreements and (ii) the day on which any Bank Indebtedness is accelerated. Upon such a declaration, such principal and interest shall be due and payable immediately. If an Event of Default specified in Section 6.01(f) or (g) with respect to the Issuer occurs, the principal of, premium, if any, and interest on all the Securities shall become and be immediately due and payable without any declaration or other act on the part of the Trustee or any Holders. The Holders of a majority in principal amount of the outstanding Securities by notice to the Trustee may rescind any such acceleration and its consequences. In the event of any Event of Default specified in Section 6.01(e), such Event of Default and all consequences thereof (excluding, however, any resulting payment default) shall be annulled, waived and rescinded, automatically and without any action by the Trustee or the Holders, if within 20 days after such Event of Default arose the Issuer delivers an Officers’ Certificate to the Trustee stating that (x) the Indebtedness or guarantee that is the basis for such Event of Default has been discharged or (y) the holders thereof have rescinded or waived the acceleration, notice or action (as the case may be) giving rise to such Event of Default or (z) the default that is the basis for such Event of Default has been cured, it being understood that in no event shall an acceleration of the principal amount of the Securities as described above be annulled, waived or rescinded upon the happening of any such events.",acceleration
"Acceleration. If an Event of Default (other than an Event of Default specified in clause (6) or (7) of Section 6.01 that occurs with respect to the Issuer) occurs and is continuing under this Indenture, the Trustee or the Holders of at least 25% in aggregate principal amount of the Notes then outstanding, by written notice to the Issuer (and to the Trustee if such notice is given by the Holders), may, and the Trustee at the request of the Holders of at least 25% in aggregate principal amount of the Notes then outstanding shall, declare the principal of, premium, if any, and accrued interest on the Notes to be immediately due and payable. Upon a declaration of acceleration, such principal of, premium, if any, and accrued interest shall be immediately due and payable. In the event of a declaration of acceleration because an Event of Default set forth in clause (5) of Section 6.01 has occurred and is continuing, such declaration of acceleration shall be automatically rescinded and annulled if the event of default triggering such Event of Default pursuant to clause (5) of Section 6.01 shall be remedied or cured by the Issuer or the relevant Significant Subsidiary or waived by the holders of the relevant Indebtedness within 60 days after the declaration of acceleration with respect thereto. If an Event or Default specified in clause (6) or (7) of Section 6.01 occurs with respect to the Issuer, the principal of, premium, if any, and accrued interest on the Notes then outstanding shall automatically become and be immediately due and payable without any declaration or other act on the part of the Trustee or any Holder. The Holders of at least a majority in principal amount of the outstanding Notes, by written notice to the Issuer and to the Trustee, may waive all past defaults and rescind and annul a declaration of acceleration and its consequences if:",acceleration
"Acceleration. If an Event of Default (other than an Event of Default specified in clauses (h) or (i) of Section 6.01 hereof with respect to the Company) occurs and is continuing, the Trustee or the Holders of at least 25% in principal amount of the then outstanding Notes may declare the principal of and accrued interest on all the Notes to be due and payable immediately by notice in writing to the Company and the Trustee (if given by the Holders) specifying the respective Event of Default and that it is a “notice of acceleration” (the “Acceleration Notice”), and the same shall become immediately due and payable. If an Event of Default specified in clauses (h) or (i) of Section 6.01 hereof occurs and is continuing, then all unpaid principal of, and premium, if any, and accrued and unpaid interest on all the outstanding Notes shall ipso facto become and be immediately due and payable without any declaration or other act on the part of the Trustee or any Holder. At any time after a declaration of acceleration with respect to the Notes as described in the preceding paragraph, the Holders of a majority in principal amount of the Notes may rescind and cancel such declaration with respect to the Notes and its consequences (i) if the rescission would not conflict with any judgment or decree, (ii) if all existing Events of Default have been cured or waived except nonpayment of principal or interest that has become due solely because of the acceleration, (iii) to the extent the payment of such interest is lawful, interest on overdue installments of interest and overdue principal, which has become due otherwise than by such declaration of acceleration, has been paid, (iv) if the Company has paid the Trustee its reasonable compensation and reimbursed the Trustee for its expenses, disbursements and advances and (v) in the event of the cure or waiver of an Event of Default of the type described in clauses (h) or (i) of Section 6.01 hereof, the Trustee shall have received an Officers’ Certificate and an Opinion of Counsel that such Event of Default has been cured or waived. No such rescission shall affect any subsequent Default or impair any right consequent thereto.",acceleration
"Acceleration. If an Event of Default (other than an Event of Default specified in clause (7) or (8) of Section 8.1) occurs and is continuing, the Trustee may, by notice to the Company, or the Holders of at least 25% in aggregate principal amount of the Securities then outstanding may, by notice to the Company and the Trustee, declare all unpaid principal to the date of acceleration on the Securities then outstanding (if not then due and payable) to be due and payable upon any such declaration, and the same shall become and be immediately due and payable. If an Event of Default specified in clause (7) or (8) of Section 8.1 occurs, all unpaid principal of the Securities then outstanding shall ipso facto become and be immediately due and payable without any declaration or other act on the part of the Trustee or any Holder. The Holders of a majority in aggregate principal amount of the Securities then outstanding by notice to the Trustee may rescind an acceleration and its consequences if (a) all existing Events of Default, other than the nonpayment of the principal of the Securities which has become due solely by such declaration of acceleration, have been cured or waived; (b) to the extent the payment of such interest is lawful, interest (calculated at the rate per annum borne by the Securities) on overdue installments of interest and overdue principal, which has become due otherwise than by such declaration of acceleration, has been paid; (c) the rescission would not conflict with any judgment or decree of a court of competent jurisdiction; and (d) all payments due to the Trustee and any predecessor Trustee under Section 9.7 have been made. No such rescission shall affect any subsequent default or impair any right consequent thereto.",acceleration
