clause_text,clause_type
"Access to Information. Such Purchaser acknowledges that it has had the opportunity to review the Transaction Documents (including all exhibits and schedules thereto) and the SEC Reports and has been afforded, (i) the opportunity to ask such questions as it has deemed necessary of, and to receive answers from, representatives of the Company concerning the terms and conditions of the offering of the Securities and the merits and risks of investing in the Securities; (ii) access to information about the Company and its financial condition, results of operations, business, properties, management and prospects sufficient to enable it to evaluate its investment; and (iii) the opportunity to obtain such additional information that the Company possesses or can acquire without unreasonable effort or expense that is necessary to make an informed investment decision with respect to the investment. Such Purchaser acknowledges and agrees that neither the Placement Agent nor any Affiliate of the Placement Agent has provided such Purchaser with any information or advice with respect to the Securities nor is such information or advice necessary or desired. Neither the Placement Agent nor any Affiliate has made or makes any representation as to the Company or the quality of the Securities and the Placement Agent and any Affiliate may have acquired non-public information with respect to the Company which such Purchaser agrees need not be provided to it. In connection with the issuance of the Securities to such Purchaser, neither the Placement Agent nor any of its Affiliates has acted as a financial advisor or fiduciary to such Purchaser.",access-to-information
"Access to Information. Such Purchaser acknowledges that it has had the opportunity to review the Transaction Documents (including all exhibits and schedules thereto) and the SEC Reports and has been afforded (i) the opportunity to ask such questions as it has deemed necessary of, and to receive answers from, representatives of the Company concerning the terms and conditions of the offering of the Securities and the merits and risks of investing in the Securities; (ii) access to information about the Company and its financial condition, results of operations, business, properties, management and prospects sufficient to enable it to evaluate its investment; and (iii) the opportunity to obtain such additional information that the Company possesses or can acquire without unreasonable effort or expense that is necessary to make an informed investment decision with respect to the investment.",access-to-information
"Access to Information. Such Purchaser acknowledges that it has reviewed the disclosure materials and has been afforded (i) the opportunity to ask such questions as it has deemed necessary of, and to receive answers from, representatives of the Company concerning the terms and conditions of the offering of the Shares and the merits and risks of investing in the Shares; (ii) access to information about the Company and the Subsidiaries and their respective financial condition, results of operations, business, properties, management and prospects sufficient to enable it to evaluate its investment; and (iii) the opportunity to obtain such additional information that the Company possesses or can acquire without unreasonable effort or expense that is necessary to make an informed investment decision with respect to the investment. Neither such inquiries nor any other investigation conducted by or on behalf of such Purchaser or its representatives or counsel shall modify, amend or affect such Purchaser’s right to rely on the truth, accuracy and completeness of the Disclosure Materials and the Company’s representations and warranties contained in the Transaction Documents.",access-to-information
"Access to Information. Other than in circumstances in which indemnification is sought pursuant to Article III (in which event the provisions of such Article will govern), from and after the Distribution Date, each of the Corporation and New D&B shall afford to the other and its authorized accountants, counsel and other designated representatives reasonable access during normal business hours, subject to appropriate restrictions for classified, privileged or confidential information, to the personnel, properties, books and records of such party and its Subsidiaries insofar as such access is reasonably required by the other party and relates to (x) such other party or the conduct of its business prior to the Effective Time or (y) any Ancillary Agreement to which each of the party requesting such access and the party requested to grant such access are parties.",access-to-information
"Access to Information. From the date hereof until the Closing, the Sellers shall, and shall cause the Company to: (a) afford Buyer and its Representatives access to and the right to inspect all of the Company’s Real Property, properties, assets, premises, books and records, contracts, agreements and other documents and data related to the Company Parties; (b) furnish Buyer and its Representatives with such financial, operating and other data and information related to the Company Parties as Buyer or any of its Representatives may reasonably request; and (c) instruct the Representatives of Sellers and the Company to cooperate fully with Buyer in its investigation of the Company; provided, however, that any such investigation shall be conducted with reasonable advance notice to the Sellers’ Representative, under the supervision of Sellers’ designated personnel and in such a manner as not to unreasonably interfere with the normal operations of the Company. All requests by Buyer for access pursuant to this Section 7.2 shall be submitted or directed exclusively to the Sellers’ Representative or such other individuals as the Sellers may designate in writing from time to time. Notwithstanding anything to the contrary in this Agreement, neither the Sellers nor the Company Parties shall be required to disclose any information to Buyer if such disclosure would be reasonably likely to: (i) cause significant competitive harm to the Company Parties or the Company Business if the transactions contemplated by this Agreement are not consummated, provided that disclosure of the Transaction and the Company Business after Closing shall be deemed not to cause competitive harm; (ii) jeopardize attorney-client privilege; or (iii) contravene any applicable Law, fiduciary duty or Contract entered into prior to the date of this Agreement. Notwithstanding the foregoing, prior to the Closing, Buyer shall not contact any suppliers to, or customers of, the Company, and Buyer shall have no right to perform invasive or subsurface investigations of any of the Real Property, in each case, without the prior written consent of the Sellers, which consent shall not be unreasonably withheld, delayed or conditioned.",access-to-information
"Access to Information. (a) Upon reasonable notice and subject to applicable laws, each of Parent and the Company, for the purposes of verifying the representations and warranties of the other and preparing for the Merger and the other matters contemplated by this Agreement, shall, and shall cause each of their respective Subsidiaries to, afford to the officers, employees, accountants, counsel, advisors and other representatives of the other party, access, during normal business hours during the period prior to the Effective Time, to all its properties, books, contracts, commitments, personnel, information technology systems, and records, and each shall cooperate with the other party in preparing to execute after the Effective Time conversion or consolidation of systems and business operations generally, and, during such period, each of Parent and the Company shall, and shall cause its respective Subsidiaries to, make available to the other party (i) a copy of each report, schedule, registration statement and other document filed or received by it during such period pursuant to the requirements of federal securities laws or federal or state banking laws (other than reports or documents that Parent or the Company, as the case may be, is not permitted to disclose under applicable law), and (ii) all other information concerning its business, properties and personnel as such party may reasonably request. Neither Parent nor the Company nor any of their respective Subsidiaries shall be required to provide access to or to disclose information where such access or disclosure would violate or prejudice the rights of Parent’s or the Company’s, as the case may be, customers, jeopardize the attorney-client privilege of the institution in possession or control of such information (after giving due consideration to the existence of any common interest, joint defense or similar agreement between the parties) or contravene any law, rule, regulation, order, judgment, decree, fiduciary duty or binding agreement entered into prior to the date of this Agreement. The parties hereto will make appropriate substitute disclosure arrangements under circumstances in which the restrictions of the preceding sentence apply.",access-to-information
"Access to Information. The Company shall afford Parent and its --------------------- accountants, counsel and other representatives, reasonable access during normal business hours during the period prior to the Effective Time to (a) all of the Company's properties, books, contracts, commitments and records, and (b) all other information concerning the business, properties and personnel (subject to restrictions imposed by applicable law) of the Company as Parent may reasonably request. The Company agrees to provide to Parent and its accountants, counsel and other representatives copies of internal financial statements promptly upon request. No information or knowledge obtained in any investigation pursuant to this Section 5.9 shall affect or be deemed to modify any representation or warranty contained herein or the conditions to the obligations of the parties to consummate the Merger.",access-to-information
"Access to Information. The Company shall, and shall cause each of its Subsidiaries and the Company’s and such Subsidiaries’ Representatives to, afford to the Parent and its Representatives reasonable access, at all reasonable times, during the period prior to the Effective Time, to all of the Company’s and any of its Subsidiaries’ properties, books, records, contracts, commitments and personnel and shall furnish the Parent all financial, operating and other data and information as the Parent may reasonably request. Unless otherwise required by law, the Parent will hold any such information which is nonpublic in confidence in accordance with the Confidentiality Agreement. Without limiting the generality of the foregoing, the Company shall, within three business days of any request therefor, provide to the Parent the information described in Rule 14a-7(a)(2)(ii) under the Exchange Act and any information to which a holder of Company Common Stock would be entitled under Section 220 of the DGCL (assuming such holder met the requirements of such section). The Company shall use reasonable best efforts to secure for the Company access to and copies of the workpapers of its independent public accountants. Neither the Company nor any Subsidiary of the Company shall be required to provide access to or to disclose information where such access or disclosure would contravene any agreement, applicable law or order, decree or ruling of a Governmental Entity, or would reasonably be expected to violate or result in the loss or impairment of any attorney-client or work product privilege. The parties will use reasonable best efforts to make appropriate substitute disclosure arrangement under circumstances in which the restrictions of the preceding sentence apply. No information or knowledge obtained in any investigation pursuant to this Section or otherwise shall affect or be deemed to modify any representation or warranty contained in the Agreement or the conditions to the obligations of the parties to consummate the Merger. Notwithstanding the foregoing, neither the Parent nor any of its Representatives shall initiate contact with any of the Company’s customers, suppliers, other business partners or consultants regarding the Company or its business, unless in each case the Parent obtains the prior written consent of the Company, which shall not be unreasonably withheld or conditioned. Nothing herein shall prohibit the Parent from responding to inquiries it receives from any of the Company’s cus...",access-to-information
"Access to Information. (a) Upon reasonable notice, and except as may otherwise be required by applicable Law, each of the Company and Parent shall (and shall cause each of its Subsidiaries to) afford the Representatives of the other party reasonable access, during normal business hours throughout the period prior to the Effective Time, to its properties, books, contracts, records and personnel and, during such period, each of the Company and Parent shall (and shall cause each of its Subsidiaries to) furnish promptly to the other all information concerning its business, properties and personnel as may reasonably be requested, provided that no investigation pursuant to this Section 6.6 shall affect or be deemed to modify any representation or warranty made by any party hereto. All requests for information made pursuant to this Section 6.6 shall be directed to an executive officer of the Company or Parent, as the case may be, or such Person as may be designated by such party. All such information shall be governed by the terms of the Confidentiality Agreement.",access-to-information
"Access to Information. Subject to the confidentiality provisions of Section 5.9 hereof and without unduly interfering with the normal business of the Company and its Subsidiaries, from the date hereof and until the earlier of the Closing Date and the termination of this Agreement in accordance with its terms, the Sellers shall cause each of the Company, the WFOE, the Hong Kong Company and the Offshore Company (including their respective Affiliates, Subsidiaries and Representatives, as applicable) to, (x) instruct its management personnel to cooperate with the Purchaser and its Representatives during normal business hours and (y) provide the Purchaser and its Representatives with reasonable access during normal business hours to, and permit such Persons to review or consult with, as applicable, their respective facilities, management teams, properties, contracts, accounts and Company Books and Records, including the Company IT Systems, and shall provide such other information (including, but not limited to, business, legal and financial information) with respect to the Sellers, the Company and its Subsidiaries, the WFOE, the Hong Kong Company, the Offshore Company and their respective Affiliates and businesses to the Purchaser and its Representatives as they reasonably request, in order to, among other things, allow the Purchaser conduct due diligence on the Offshore Reorganization and verify the number of monthly average peak current users referred to in Section 6.2(g) hereof. Without limiting the foregoing, such access shall include access to information concerning the Company’s business, properties and Company Employees as the Purchaser may reasonably request promptly after such request, and shall include all reasonable access requested by the Purchaser pursuant to any investigation undertaken by the Purchaser to verify that the representations and warranties of the Sellers and the Company remain true and correct as of or prior to the Closing Date. The Company shall, and the Sellers shall cause the Company, the WFOE, the Hong Kong Company and the Offshore Company to have ownership and possession of all Company Books and Records as of the Closing Date.",access-to-information
