clause_text,clause_type
"Access. Registry Operator will have the file(s) ready for download as of 00:00:00 UTC on the day designated for retrieval by ICANN. The file(s) will be made available for download by SFTP, though ICANN may request other means in the future.",access
"Access. In addition to the rights and remedies hereunder, upon the occurrence of an Event of Default and during the continuance thereof, the Administrative Agent shall have the right to enter and remain upon the various premises of the Obligors without cost or charge to the Administrative Agent, and use the same, together with materials, supplies, books and records of the Obligors for the purpose of collecting and liquidating the Collateral, or for preparing for sale and conducting the sale of the Collateral, whether by foreclosure, auction or otherwise. In addition, the Administrative Agent may remove Collateral, or any part thereof, from such premises and/or any records with respect thereto, in order to effectively collect or liquidate such Collateral.",access
"Access. At all times during the period commencing on the date of this Agreement and continuing until the earlier to occur of the termination of this Agreement pursuant to Article IX and the Acceptance Time, the Company shall afford Parent, Acquisition Sub, their officers, a reasonable number of their employees and their financial advisors, business consultants, legal counsel, accountants and other agents and representatives reasonable access during normal business hours, upon reasonable notice, to the properties, books and records, contracts, analyses, tax returns, data, regulatory materials, reports, projections, plans, systems, senior management, commitments, offices and other facilities, properties and personnel of the Company; provided, however, that the Company may restrict or otherwise prohibit access to any documents or information to the extent that (i) any applicable Law requires the Company to restrict or otherwise prohibit access to such documents or information, (ii) granting such access would violate any obligations of the Company or any of its Subsidiaries with respect to confidentiality to any Person or otherwise breach, contravene or violate any then effective Contract to which the Company or any of its Subsidiaries is a party, (iii) access to such documents or information would give rise to a risk of waiving any attorney-client privilege, work product doctrine or other applicable privilege applicable to such documents or information, or (iv) access to a Contract to which the Company or any of its Subsidiaries is a party or otherwise bound would violate or cause a default under, or give a Person the right terminate or accelerate the rights under, such Contract. In the event that the Company does not provide access or information in reliance on the preceding sentence, it shall use its reasonable best efforts to communicate the applicable information to Parent in a way that would not violate the applicable Law, Contract or obligation or waive such a privilege. Any investigation conducted pursuant to the access contemplated by this Section 7.6 shall be conducted in a manner that does not unreasonably interfere with the conduct of the business of the Company or its Subsidiaries or create a risk of damage or destruction to any property or assets of the Company or any of its Subsidiaries. Any access to the properties of the Company or any of its Subsidiaries shall be subject to the Company’s reasonable security measures and insurance requirements and sha...",access
"Access. Each Seller agrees that, prior to the Closing Date, Buyer shall be entitled, through its officers, employees and representatives (including, without limitation, its legal advisors and accountants), to make such investigation of the Subject Assets and Assumed Liabilities and related properties of Sellers as it reasonably requests and deems necessary or appropriate for the purposes of familiarizing itself with and evaluating the Subject Assets and Assumed Liabilities or obtaining any necessary and appropriate Permits for the transactions contemplated by this Agreement, and the Buyer shall be permitted to make extracts and copies of such information. Any such investigation and examination shall be conducted under reasonable circumstances, and Sellers shall cooperate fully therein. No investigation by Buyer prior to or after the date of this Agreement shall diminish or obviate any of the representations, warranties, covenants or agreements of Sellers contained herein. In order that Buyer may have full opportunity to make such physical and diligence review, examination or investigation as it may reasonably request of the Subject Assets, Sellers shall cause the officers, employees, consultants, agents, accountants, attorneys and other representatives of Sellers to cooperate fully with such representatives in connection with such review and examination. Without limiting the generality of the foregoing, Buyer shall be entitled to conduct or cause to be conducted at or on the Subject Assets such surveys, tests and inspections, including, environmental inspections and tests, as Buyer shall deem necessary or useful in connection with its acquisition of such Subject Assets.",access
"Access. (a) Subject to applicable Laws relating to the sharing of information, upon reasonable notice, and except as may otherwise be required by applicable Law, the Company shall, and shall cause its Subsidiaries to, afford Cingular's, its stockholders and its other Affiliates' officers, employees, counsel, accountants and other authorized Representatives reasonable access, during normal business hours throughout the period prior to the Effective Time, to its properties, books, contracts and records and, during such period, the Company shall, and shall cause its Subsidiaries to, furnish promptly to Cingular all information concerning its business, properties and personnel as may reasonably be requested; provided, that no investigation pursuant to this Section 6.6(a) shall affect or be deemed to modify any representation or warranty made by the Company, and provided, further, that the foregoing shall not require the Company to permit any inspection, or to disclose any information, that in the reasonable judgment of the Company would result in the disclosure of any trade secrets of third parties or violate any of its obligations with respect to confidentiality if the Company shall have used reasonable best efforts to obtain the consent of such third party to such inspection or disclosure. At the request of Cingular, throughout the period prior to the Effective Time, the Company shall use its reasonable best efforts to obtain waivers from Persons who are parties to Contracts with the Company or its Subsidiaries that contain confidentiality provisions in order for Cingular to be provided reasonable access to such Contracts.",access
"Access. Each Credit Party shall, during normal business hours, from time to time upon three (3) Business Days’ prior notice as frequently as the Administrative Agent reasonably determines to be appropriate (except as otherwise provided): (a) provide the Administrative Agent and any of its officers, employees and agents access to its properties, facilities, advisors, officers and employees and to the Collateral (including, without limitation, in order to prepare an appraisal or similar report), (b) permit the Administrative Agent, and any of its officers, employees and agents, to inspect, audit and make extracts from any Sotheby Entity’s books and records, and (c) permit the Administrative Agent, and its officers, employees and agents, not more than two (2) times during any twelve-month period beginning on the date hereof or any anniversary thereof (unless an Event of Default has occurred and is continuing, in which case such limitation shall not apply), to inspect, review, evaluate, and make test verifications and counts of the Collateral of any Credit Party; provided, that (i) the Administrative Agent shall conduct at least one (1) field exam described in the foregoing clause (c) during each twelve-month period and (ii) unless an Event of Default has occurred and is continuing, not more than two such field exams during any twelve-month period shall be at the cost and expense of the Credit Parties. If an Event of Default has occurred and is continuing, each such Credit Party shall provide such access to the Agents and to each Lender at all times and without advance notice. Furthermore, so long as any Event of Default has occurred and is continuing, each Credit Party shall provide the Agents and each Lender with access to their suppliers and customers to the extent such access is within the rights and powers of such Credit Party. Each Credit Party shall make available to each Agent and its counsel reasonably promptly originals or copies of all books and records that such Agent may reasonably request. Each Credit Party shall deliver any document or instrument necessary for any Agent, as it may from time to time reasonably request, to obtain records from any service bureau or other Person that maintains records for such Credit Party, and shall maintain duplicate records or supporting documentation on media, including computer tapes and discs owned by such Credit Party. The Administrative Agent will give Lenders at least five (5) days’ prior written notice of regularl...",access
"Access. 3.1 In all instances, the Contractor shall co-operate and provide such reasonable assistance as may be necessary to facilitate such monitoring. Failure to provide such reasonable assistance shall be deemed a ""Serious Breach"" for the purposes of clause H2 (Termination on Default).",access
"Access. Upon the beginning of the Proration Period or the start of the Lease Term, whichever is earlier, the Landlord agrees to give access to the Tenant in the form of keys, fobs, cards, or any type of keyless security entry as needed to enter the common areas and the Premises. Duplicate copies of the access provided may only be authorized under the consent of the Landlord and, if any replacements are needed, the Landlord may provide them for a fee. At the end of this Agreement all access provided to the Tenant shall be returned to the Landlord or a fee will be charged to the Tenant or the fee will be subtracted from the Security Deposit.",access
"Access. Subject to applicable Law relating to the sharing of information, upon reasonable notice, and except as may otherwise be required by applicable Law, the Company and Parent each shall (and shall cause its Subsidiaries to) afford the other’s officers, employees, counsel, accountants, consultants and other authorized representatives (“Representatives”) reasonable access, during normal business hours throughout the period prior to the Effective Time, to its properties, books, contracts and records and, during such period, each shall (and shall cause its Subsidiaries to) furnish promptly to the other all information concerning its business, properties and personnel as may reasonably be requested; provided that no investigation pursuant to this Section 6.6 shall affect or be deemed to modify any representation or warranty made by the Company, Parent or Merger Sub; and provided, further, that the foregoing shall not require the Company or Parent (i) to permit any inspection, or to disclose any information, that in the reasonable judgment of the Company or Parent, as the case may be, would result in the disclosure of any trade secrets of third parties or violate any of its obligations with respect to confidentiality if the Company or Parent, as the case may be, shall have used reasonable best efforts to obtain the consent of such third party to such inspection or disclosure or (ii) to disclose any privileged information of the Company or Parent, as the case may be, or any of its Subsidiaries. Nothing in this Agreement shall be deemed to impair or limit the right of PCX, in connection with its SRO functions, to access the properties, books, contracts and records of ArcaEx as required by the provisions of SEC Order No. 34-44983 (October 25, 2001). All requests for information made pursuant to this Section 6.6 shall be directed to an executive officer of the Company or Parent, as the case may be, or such Person as may be designated by either of their executive officers, as the case may be, with a copy to the General Counsel of such party. All such information shall be governed by the terms of the Confidentiality Agreement. Any rights or obligations set forth in this Section 6.6 shall be in addition to the terms of Section 4.13 and other terms of the Amended and Restated Facility Services Agreement, dated as of March 22, 2002, among Archipelago Holdings, L.L.C., PCX and PCX Equities (the “Facility Services Agreement”), which, for the avoidance of doubt, shall continue...",access
"Access. Each Party shall permit representatives of any other Party to have full access to all premises, properties, personnel, books, records (including Tax records), contracts, and documents of or pertaining to such Party.",access
"Access. Each of Group and the Borrower shall, and shall cause each of its respective Subsidiaries to, from time to time permit each Facility Agent and the Lenders, or any agents or representatives thereof, within two Business Days after written notification of the same to the Borrower (except that during the continuance of an Event of Default, no such notice shall be required) to (a) examine and make copies of and abstracts from the records and books of account of any Warnaco Entity, (b) visit the properties of any Warnaco Entity, (c) discuss the affairs, finances and accounts of any Warnaco Entity with any of their respective officers or directors, and (d) communicate directly with any Warnaco Entity’s independent certified public accountants (or its equivalent in foreign jurisdictions) (with Group having the right to have a representative present at all such communications). Each of Group and the Borrower shall, and shall cause each of its respective Subsidiaries to, authorize its independent certified public accountants (or its equivalent in foreign jurisdictions) to disclose to any Facility Agent or any Lender any and all financial statements and other information of any kind, as such Facility Agent or Lender reasonably requests from any Warnaco Entity and which such accountants may have with respect to the business, financial condition, results of operations or other affairs of such Warnaco Entity or any of its Subsidiaries.",access
"Access. (a) Each Seller shall afford to Buyer and its authorized representatives from the Execution Date until the Closing Date, during normal business hours, reasonable access to the Assets (subject to the terms, conditions and restrictions of agreements related to Assets to which such Seller is a party and the consent of the operator, as applicable) and to such Seller’s title, Surface Leases, Contracts, environmental and legal materials, books, records, statements and operating data and other information relating to the Assets, together with the opportunity to make copies of such materials, books, records and other documents and information at Buyer’s expense, and will furnish to Buyer such other information in Sellers’ possession with respect to the Assets as Buyer may reasonably request; provided, however, that all such information shall be held in confidence by Buyer in accordance with the terms of the Confidentiality Agreement; provided, further, that in no event shall Sellers be obligated to provide (i) access or information in violation of Applicable Law, (ii) any information the disclosure of which would cause the loss of any legal privilege available to any Seller relating to such information or would cause any Seller to breach a confidentiality obligation to which it is bound; provided that the applicable Seller has used its reasonable efforts to protect the privilege or to obtain a waiver of the applicable contractual obligation, or (iii) copies of bids, letters of intent, expressions of interest or other proposals received from other Persons in connection with the transactions contemplated by this Agreement or information and analyses relating to such communications, except to the extent required in the Bid Procedures Order.",access
"Access. At all times prior to the Effective Time, APP's employees, attorneys, accountants, agents and other authorized and designated representatives will be allowed full access upon reasonable prior notice and during regular business hours (and at such other times as the parties may reasonably agree) to the properties, books and records of the Company, including, without limitation, deeds, title documents, leases, patient lists, insurance policies, minute books, share certificate books, share registers, accounts, tax returns, financial statements and all other data that, in the reasonable opinion of APP, are required for APP to make such investigation as it may desire of the properties and business of the Company. APP shall also be allowed full access upon reasonable prior notice and during regular business hours (and at such other times as the parties may reasonably agree) to consult with the officers, employees (after announcement by the Company of the Merger to its employees which shall occur no later than three (3) days subsequent to execution hereof by the Company), accountants, counsel and agents of the Company in connection with such investigation of the properties and business of the Company. No investigation by APP shall diminish or otherwise affect any of the representations, warranties, covenants or agreements of the Company under this Agreement. Any access or investigation referred to in this Section 7.3 shall be conducted in such a manner as to minimize the disruption to the Company's ongoing business operations.",access
"Access. The Tenant will permit the Landlord, its servants or agents to ------ enter upon the Leased Premises at any reasonable time and from time to time for the purpose of inspecting and of making repairs, alterations or improvements to the Leased Premises or to the Building, or at any time in the case of an emergency, and the Tenant will not be entitled to compensation for any inconvenience, nuisance or discomfort occasioned thereby. PROVIDED that the Landlord will proceed under this paragraph in such manner so as to minimize interference with the Tenant's use and enjoyment of the Leased Premises. Entry by the Landlord upon the Leased Premises or any part or parts thereof from time to time pursuant to this paragraph will not be or be deemed to be a re-entry.",access
"Access. Between the date of execution of this Agreement and continuing until the Closing, Seller will give Purchaser and its representatives access to the Assets and access to the Records in Seller’s possession, for the purpose of conducting an investigation of the Assets and copying the Records, subject to the additional terms and conditions set forth in Article 4 but only to the extent that Seller may do so without violating any obligations to any third party and to the extent that Seller has authority to grant such access without breaching any restriction binding on Seller. Such access by Purchaser shall be limited to Seller’s normal business hours, and any weekends and after hours requested by Purchaser that can be reasonably accommodated by Seller, and Purchaser’s investigation shall be conducted in a manner that minimizes interference with the operation of the Assets. All information obtained by Purchaser and its representatives under this Section shall be subject to the terms of Section 11.4(b)(v) and the terms of that certain confidentiality agreement between Seller and Purchaser dated March 9, 2015, as amended (the “Confidentiality Agreement”).",access
"Access. After the date hereof and until the earlier of the Closing and the date that this Agreement is terminated in accordance with its terms, EME shall (in its reasonable discretion) grant or cause to be granted to Purchaser and its authorized representatives reasonable access, during normal business hours and upon reasonable notice, to the personnel and facilities of EME and the other Acquired Companies solely for purposes of transition planning. In the event that EME elects to provide such access, the Parties shall cooperate so that (a) such access does not unreasonably interfere with the normal operations of EME or any of the Acquired Companies; (b) such access occurs in such a manner as EME reasonably determines to be appropriate to protect the confidentiality of the information sought; (c) all requests for access to EME and/or any of the Acquired Companies are directed to Maria Rigatti and/or Daniel McDevitt (the “EME Designated Contacts”), or such individuals as EME may designate in writing from time to time; (d) such access and disclosure is provided in such a manner and subject to such additional agreements as EME reasonably determines to protect against significant competitive harm to EME and/or any of the Acquired Companies if the transactions contemplated by this Agreement are not consummated, to avoid the breach of any third party agreement by EME or any of the Acquired Companies or to protect against in the loss of attorney-client privilege for any information so disclosed; and (e) neither Purchaser nor its Related Persons is provided access to or receives any information if such access or disclosure is restricted pursuant to and/or prohibited by any applicable Laws or any Governmental Authority (including the HSR Act and other Antitrust Laws, FERC, or Laws regarding employee rights of privacy); provided that if EME reasonably determines that certain information to be provided is commercially sensitive, EME may require that such information be provided pursuant to a mutually acceptable and reasonable “clean team” arrangement (whereby no one who serves on the clean team has been or will be involved in any manner in decision-making competitive to the Business prior to Closing and whereby members of the clean team will be permitted to convey results to their superiors and other parties subject to reasonable constraints on the conveyance of specific marketing, selling or pricing information). Other than the EME Designated Contacts or as expressly provid...",access
"Access. The Recipient shall permit authorized representatives of the Administrator to conduct investigations, including interviewing workers at the worksite during normal working hours.",access
"Access. Each Obligor shall (and Parent shall ensure that each member of the Group will) (not more than once in every Fiscal Year unless the Administrative Agent reasonably suspects a Default is continuing or may occur a reasonably short amount of time thereafter) permit the Administrative Agent and/or the Collateral Agent and/or accountants or other professional advisers and contractors of the Administrative Agent or Collateral Agent to have free access, at all reasonable times and on reasonable notice, at the risk and cost of the Obligor or Borrower to (a) the premises, assets, books, accounts and records of each member of the Group and (b) meet and discuss matters with its senior management.",access
"Access. (a) From and after the date hereof and up to and including the Closing Date (or earlier termination of this Agreement) but subject to the other provisions of this Section 10.1 and obtaining any required consents of Third Parties, including Third Party operators of the Assets, Seller shall afford to Buyer and its officers, employees, agents, accountants, consultants, attorneys and other authorized representatives (“Buyer’s Representatives”) reasonable access, during normal business hours, to the Assets and all Records in Seller’s or any of its Affiliates’ possession. All investigations and due diligence conducted by Buyer or any Buyer’s Representative shall be conducted at Buyer’s sole cost, risk and expense and any conclusions made from any examination done by Buyer or any Buyer’s Representative shall result from Buyer’s own independent review and judgment.",access
"Access. On and after the Closing Date, Buyer will afford promptly to Seller and its agents reasonable access to its properties, books, records, employees and auditors to the extent necessary to permit Seller to determine any matter relating to its rights and obligations hereunder or to any period ending on or before the Closing Date; provided that any such access by Seller shall not unreasonably interfere with the conduct of the business of Buyer.",access
"Access. The following statements are true with respect to the related Mortgaged Property: (a) the Mortgaged Property is located on or adjacent to a dedicated road or has access to an irrevocable easement permitting ingress and egress and (b) the Mortgaged Property is served by public or private utilities, water and sewer (or septic facilities) appropriate for the current use of the Mortgaged Property.",access
"Access. At any reasonable time, and from time to time at the Purchaser’s reasonable request, and upon at least seven (7) days prior notice to the Seller, the Seller shall permit the Purchaser (or such Person as the Purchaser may designate), at the expense of the Purchaser (or such Person as the Purchaser may designate), to conduct audits or visit and inspect any of the properties of the Seller to examine the records, internal controls and procedures maintained by the Seller with respect to the Purchaser Assets and take copies and extracts therefrom, and to discuss the Seller’s affairs with its officers, employees and, upon notice to the Seller, independent accountants. The Seller shall authorize such officers, employees and independent accountants to discuss with the Purchaser (or such Person as the Purchaser may designate) the affairs of the Seller as such affairs relate to the Purchaser Assets. Any audit provided for herein shall be conducted in accordance with the Seller’s rules respecting safety and security on its premises and without materially disrupting operations. If an Event of Default shall have occurred and be continuing, the Seller shall provide such access at all times and without advance notice and shall provide the Purchaser (or such Person as the Purchaser may designate) with access to its suppliers and customers.",access
Access. Rights for Parties entering or leaving the Consortium,access
"Access. The Customer shall ensure that the Company has unimpeded access to the work site at all times to enable the Company to deliver goods or services. The Company shall not be liable for any loss or damage to the site (including without limitation, damage to pathways, driveways and concreted or paved or grassed areas) unless due to the negligence of the Company.",access
"Access. Between the date hereof and the Closing, the Warrantors shall permit the Investor, or any representative thereof, to (a) visit and inspect the properties of the Group Companies, (b) inspect the contracts, books of account, records, ledgers, and other documents and data of the Group Companies, (c) discuss the business, affairs, finances and accounts of the Group Companies with officers and employees of the Group Companies, and (d) review such other information as the Investor reasonably request, in such a manner so as not to unreasonably interfere with their normal operations, including but not limited to the Investor shall have received from the Company all documents and other materials requested by the Investor for the purpose of examining and determining the rights in and to any technology, products and Proprietary Rights now used, proposed to be used in, or necessary to, the business as now conducted and proposed to be conducted by the Group Companies, and the status of its ownership rights in and to all such technology, products and Proprietary Rights shall be satisfactory to the Investor in its sole discretion.",access
"Access. The Company shall afford to Parent, and to the officers, employees, accountants, counsel, financial advisors and other representatives of Parent, reasonable access during normal business hours during the period prior to the Closing Date or the termination of this Agreement to all of the Company’s properties, books, contracts, commitments, personnel and records and, during such period, the Company shall furnish promptly to Parent, (a) a copy of each report, schedule, and other documents filed by it during such period pursuant to the requirements of federal or state securities Laws and (b) all other information concerning its business, properties and personnel as Parent or its representatives may reasonably request.",access
