clause_text,clause_type
"Accounting Terms. (a) All accounting terms not specifically or completely defined herein shall be construed in conformity with, and all financial data (including financial ratios and other financial calculations) required to be submitted pursuant to this Agreement shall be prepared in conformity with, GAAP applied on a consistent basis, as in effect from time to time, applied in a manner consistent with that used in preparing the Audited Financial Statements, except as otherwise specifically prescribed herein.",accounting-terms
"Accounting Terms. All accounting terms not specifically defined herein shall be construed in accordance with generally accepted accounting principles consistent with those applied in the preparation of the financial statements referred to in Section 4.01(e) (""GAAP"").",accounting-terms
"Accounting Terms. (a) All accounting terms not specifically or completely defined herein shall be construed in conformity with, and all financial data (including financial ratios and other financial calculations) required to be submitted pursuant to this Agreement shall be prepared in conformity with GAAP, applied on a consistent basis, as in effect from time to time and in a manner consistent with that used in preparing the audited financial statements required by Section 8.1(a), except as otherwise specifically prescribed herein. Notwithstanding the foregoing, for purposes of determining compliance with any covenant (including the computation of any financial covenant) contained herein, Indebtedness of the Borrower and its Subsidiaries shall be deemed to be carried at 100% of the outstanding principal amount thereof, and the effects of FASB ASC 825 and FASB ASC 470-20 on financial liabilities shall be disregarded.",accounting-terms
"Accounting Terms. All accounting terms not specifically or completely defined herein shall be construed in conformity with, and all financial data (including financial ratios and other financial calculations) required to be submitted pursuant to this Agreement shall be prepared in conformity with, GAAP, except as otherwise specifically prescribed herein.",accounting-terms
"Accounting Terms. All accounting terms not specifically defined herein shall be construed in accordance with GAAP. When used herein, the term ""financial statements"" shall include the notes and schedules thereto. Whenever the term ""Borrower"" is used in respect of a financial covenant or a related definition, it shall be understood to mean Borrower on a consolidated basis unless the context clearly requires otherwise.",accounting-terms
"Accounting Terms. Except as otherwise expressly provided herein, all accounting terms used herein shall be interpreted, and all financial statements and certificates and reports as to financial matters required to be delivered to the Lenders hereunder shall be prepared, in accordance with GAAP applied on a consistent basis. All calculations made for the purposes of determining compliance with this Credit Agreement shall (except as otherwise expressly provided herein) be made by application of GAAP applied on a basis consistent with the most recent annual or quarterly financial statements delivered pursuant to Section 8.1 (or, prior to the delivery of the first financial statements pursuant to Section 8.1, consistent with the financial statements described in Section 6.1(g)); provided, however, if (a) a Borrower shall object to determining such compliance on such basis at the time of delivery of such financial statements due to any change in GAAP or the rules promulgated with respect thereto or (b) the Administrative Agent or the Required Lenders shall so object in writing within 30 days after delivery of such financial statements, then such calculations shall be made on a basis consistent with the most recent financial statements delivered by such Borrower to the Lenders as to which no such objection shall have been made.",accounting-terms
Accounting Terms. All accounting terms used but not specifically defined herein shall be construed in accordance with generally accepted accounting principles in the United States.,accounting-terms
"Accounting Terms. Except as otherwise expressly provided herein, all accounting terms not specifically defined herein shall be construed in accordance with, and all financial data (including financial calculations) required to be submitted pursuant to this Agreement shall be prepared in conformity with, generally accepted accounting principles as in effect in the United States from time to time (“GAAP”) (it being agreed that (A) all terms of an accounting or financial nature used herein shall be construed, and all computations of amounts and ratios referred to herein shall be made, without giving effect to (i) any election under Accounting Standards Codification 825-10-25 (previously referred to as Statement of Financial Accounting Standards 159) (or any other Accounting Standards Codification or Financial Accounting Standard having a similar result or effect) to value any Debt or other liabilities of a member of the Consolidated Group at “fair value”, as defined therein and (ii) any treatment of Debt in respect of convertible debt instruments under Accounting Standards Codification 470-20 (or any other Accounting Standards Codification or Financial Accounting Standard having a similar result or effect) to value any such Debt in a reduced or bifurcated manner as described therein, and such Debt shall at all times be valued at the full stated principal amount thereof and (B) notwithstanding anything to the contrary in this Section 1.03 or in any classification under GAAP of any Person, business, assets or operations in respect of which a definitive agreement for the disposition thereof has been entered into as discontinued operations, no pro forma effect shall be given to any discontinued operations (and the Consolidated EBITDA attributable to any such Person, business, assets or operations shall not be excluded for any purposes hereunder) until such disposition shall have been consummated). If at any time any change in GAAP would affect the calculation of any covenant set forth herein and either the Borrower or the Required Lenders shall so request, the Administrative Agent, the Lenders and the Borrower shall negotiate in good faith to amend such covenant to preserve the original intent thereof in light of such change in GAAP (subject to the approval of the Required Lenders); provided that, until so amended, (i) such covenant shall continue to be calculated in accordance with GAAP prior to such change and (ii) the Borrower shall provide to the Administrative Agent and the L...",accounting-terms
"Accounting Terms. All accounting terms not specifically defined herein shall be construed in accordance with GAAP; provided, that if Borrowers notify Agent that Borrowers request an amendment to any provision hereof to eliminate the effect of any Accounting Change occurring after the Closing Date or in the application thereof on the operation of such provision (or if Agent notifies Borrowers that the Required Lenders request an amendment to any provision hereof for such purpose), regardless of whether any such notice is given before or after such Accounting Change or in the application thereof, then Agent and Borrowers agree that they will negotiate in good faith amendments to the provisions of this Agreement that are directly affected by such Accounting Change with the intent of having the respective positions of the Lenders and Borrowers after such Accounting Change conform as nearly as possible to their respective positions as of the date of this Agreement and, until any such amendments have been agreed upon and agreed to by the Required Lenders, the provisions in this Agreement shall be calculated as if no such Accounting Change had occurred. When used herein, the term “financial statements” shall include the notes and schedules thereto. Whenever the term “Borrowers” is used in respect of a financial covenant or a related definition, it shall be understood to mean Borrowers and their Subsidiaries on a consolidated basis, unless the context clearly requires otherwise. Notwithstanding anything to the contrary contained herein, (a) all financial statements delivered hereunder shall be prepared, and all financial covenants contained herein shall be calculated, without giving effect to any election under the Statement of Financial Accounting Standards No. 159 (or any similar accounting principle) permitting a Person to value its financial liabilities or Indebtedness at the fair value thereof, and (b) the term “unqualified opinion” as used herein to refer to opinions or reports provided by accountants shall mean an opinion or report that is (i) unqualified, and (ii) does not include any explanation, supplemental comment, or other comment concerning the ability of the applicable Person to continue as a going concern or concerning the scope of the audit.",accounting-terms
"Accounting Terms. Unless otherwise specified herein, all accounting terms used herein shall be interpreted, all accounting determinations hereunder shall be made, and all financial statements required to be delivered hereunder shall be prepared in accordance with, GAAP applied on a basis consistent with the most recent audited consolidated financial statements of the Borrower and its Subsidiaries delivered to the Lenders prior to the Closing Date; provided that if the Borrower notifies the Administrative Agent that it wishes to amend any financial covenant in Article VI to eliminate the effect of any change in GAAP on the operation of such covenant (or if the Administrative Agent notifies the Borrower that the Required Lenders wish to amend Article VI for such purpose), then the Borrower’s compliance with such covenant shall be determined on the basis of GAAP as in effect immediately before the relevant change in GAAP became effective, until either such notice is withdrawn or such covenant is amended in a manner satisfactory to the Borrower and the Required Lenders.",accounting-terms
