clause_text,clause_type
"Additional Agreements. In case at any time after the Effective Time any further action is necessary or desirable to carry out the purposes of this Agreement or to vest the Surviving Corporation with full title to all properties, assets, rights, approvals, immunities and franchises of any of the parties to the Merger, the proper officers and directors of each party to this Agreement and their respective Subsidiaries shall take all such necessary action as may be reasonably requested by Parent.",additional-agreements
"Additional Agreements. Subject to the terms and conditions herein provided, each of the parties hereto agrees to use its commercially reasonable efforts to take, or cause to be taken, all action and to do, or cause to be done, all things necessary, proper or advisable under applicable laws and regulations to consummate and make effective the transactions contemplated by this Agreement, including using its commercially reasonable efforts to satisfy the conditions precedent to the obligations of any of the parties hereto to obtain all necessary waivers, and to lift any injunction or other legal bar to the Merger (and, in such case, to proceed with the Merger as expeditiously as possible). In order to obtain any necessary governmental or regulatory action or non-action, waiver, consent, extension or approval, each of Parent, Acquisition Corp. and the Company agrees to take all reasonable actions and to enter into all reasonable agreements as may be necessary to obtain timely governmental or regulatory approvals and to take such further action in connection therewith as may be necessary. In case at any time after the Effective Time any further action is necessary or desirable to carry out the purposes of this Agreement, the proper officers and/or directors of Parent, Acquisition Corp. and the Company shall take all such necessary action.",additional-agreements
"Additional Agreements. (a) Subject to Section 5.7(b), Parent and the Company shall use all reasonable efforts to take, or cause to be taken, all actions necessary to consummate the Merger and make effective the other transactions contemplated by this Agreement. Without limiting the generality of the foregoing, but subject to Section 5.7(b), each party to this Agreement (i) shall make all filings (if any) and give all notices (if any) required to be made and given by such party in connection with the Merger and the other transactions contemplated by this Agreement, (ii) shall use all reasonable efforts to obtain each Consent (if any) required to be obtained (pursuant to any applicable Legal Requirement or Contract, or otherwise) by such party in connection with the Merger or any of the other transactions contemplated by this Agreement, and (iii) shall use all reasonable efforts to lift any restraint, injunction or other legal bar to the Merger. The Company shall promptly deliver to Parent a copy of each such filing made, each such notice given and each such Consent obtained by the Company during the Pre-Closing Period.",additional-agreements
"Additional Agreements. Subject to the terms and conditions herein provided, each of the parties hereto agrees to use all reasonable efforts to take promptly, or cause to be taken promptly, all actions and to do promptly, or cause to be done promptly, all things necessary, proper or advisable under applicable laws and regulations to consummate and make effective the transactions contemplated by this Agreement as expeditiously as possible, including using efforts to obtain all necessary actions or non-actions, extensions, waivers, consents and approvals from all applicable Governmental Entities, effecting all necessary registrations, applications and filings (including, without limitation, filings under any applicable state securities laws) and obtaining any required contractual consents and regulatory approvals.",additional-agreements
"Additional Agreements. Subject to the terms and conditions herein provided, each of the parties to this Agreement agrees to use its commercially reasonable efforts to obtain in a timely manner all necessary waivers, consents, and approvals and to effect all necessary registrations and filings, and to use its commercially reasonable efforts to take, or cause to be taken, all other actions and to do, or cause to be done, all other things necessary, proper, or advisable under applicable laws and regulations to consummate and make effective as promptly as practicable the transactions contemplated by this Agreement.",additional-agreements
"Additional Agreements. Subject to the terms and conditions of this Agreement, each of the parties hereto agrees to use all reasonable efforts to take, or cause to be taken, all action and to do, or cause to be done, all things necessary, proper or advisable under applicable laws and regulations and which may be required under any agreements, contracts, commitments, instruments, understandings, arrangements or restrictions of any kind to which such party is a party or by which such party is governed or bound, to consummate and make effective the transactions contemplated by this Agreement, to obtain all necessary waivers, consents and approvals and effect all necessary registrations and filings, responses to requests for additional information related to such filings, and submission of information requested by governmental authorities.",additional-agreements
"Additional Agreements. (i) Starboard agrees that it will cause its controlled Affiliates and Associates to comply with the terms of this Agreement and shall be responsible for any breach of this Agreement by any such controlled Affiliate or Associate. As used in this Agreement, the terms “Affiliate” and “Associate” shall have the respective meanings set forth in Rule 12b-2 promulgated by the Securities and Exchange Commission under the Securities Exchange Act of 1934, as amended, or the rules or regulations promulgated thereunder (the “Exchange Act”) and shall include all persons or entities that at any time during the term of this Agreement become Affiliates or Associates of any person or entity referred to in this Agreement.",additional-agreements
"Additional Agreements. In case at any time after the SuperMedia Effective Time any further action is necessary or desirable to carry out the purposes of this Agreement (including any merger between a Subsidiary of Dex Surviving Company, on the one hand, and a SuperMedia Subsidiary, on the other) or to vest Dex Surviving Company or SuperMedia Surviving Company with full title to all properties, assets, rights, approvals, immunities and franchises of any party to the Mergers, the proper officers and directors of each Party and their respective Subsidiaries shall take all such necessary action as may be reasonably requested by, and at the sole expense of, Dex.",additional-agreements
"Additional Agreements. SECTION 6.1 Preparation of Form S-4 and the Joint Proxy Statement; Stockholder Meetings. (a) Promptly following the date of this Agreement, Parent and the Company shall prepare and Parent shall file with the SEC the Joint Proxy Statement, and Parent shall prepare and file with the SEC the Form S-4, in which the Joint Proxy Statement will be included as a prospectus. Each of the Company and Parent shall use its reasonable best efforts to have the Form S-4 declared effective under the Securities Act as promptly as practicable after such filing. Each of the Company and Parent will use its reasonable best efforts to cause the Joint Proxy Statement to be mailed to its respective stockholders as promptly as practicable after the Form S-4 is declared effective under the Securities Act. Parent shall also take any action (other than qualifying to do business in any jurisdiction in which it is not now so qualified) required to be taken under any applicable state securities law in connection with the issuance of Parent Common Stock in the Merger, and the Company shall furnish all information concerning the Company and the holders of the Company Common Stock as may be reasonably required in connection with any such action. Each of Parent and the Company shall furnish all information concerning itself to the other as may be reasonably requested in connection with any such action and the preparation, filing and distribution of the Form S-4 and the Joint Proxy Statement, which information shall be true and correct in all material respects without omission of any material fact which is required to make such information not false or misleading. The Company, Parent and Merger Sub each agree to correct any information provided by it for use in the Form S-4 or the Joint Proxy Statement which shall have become false or misleading. Subject to Section 6.2, no amendment or supplement to the Form S-4 or the Joint Proxy Statement will be made without the approval of both Parent and the Company. Each party will advise the other, promptly after it receives notice thereof, of the time when the Form S-4 has become effective or any supplement or amendment has been filed, the issuance of any stop order, the suspension, if applicable, of the qualification of the Parent Common Stock for sale in any jurisdiction, or any request by the SEC for amendment of the Form S-4 or the Joint Proxy Statement or comments thereon and responses thereto or requests by the SEC for additional information.",additional-agreements
"Additional Agreements. Subject to the terms and conditions herein provided, each of the parties hereto agrees to use reasonable best efforts to take, or cause to be taken, all actions and to do, or cause to be done, all things necessary, proper or advisable to consummate and make effective as promptly as practicable the Transactions and to cooperate with each other in connection with the foregoing, including, without limitation, the taking of such actions as are necessary to obtain any necessary consents, approvals, orders, exemptions and authorizations by or from any public or private third party, including without limitation any that are required to be obtained under any federal, state or local law or regulation or any contract, agreement or instrument to which any of the FW Entities is a party or by which any of their respective properties or assets are bound, to defend all lawsuits or other legal proceedings challenging the Transaction Documents or the consummation of the Transactions, to cause to be lifted or rescinded any Injunction or restraining order or other order adversely affecting the ability of the parties to consummate the Transactions, and to effect all necessary registrations and Other Filings, and submissions of information requested by Governmental Entities. For purposes of the foregoing sentence, the obligation of the parties to use reasonable best efforts to obtain waivers, consents and approvals to loan agreements, leases and other contracts shall not include any obligation to agree to an adverse modification of the terms of such documents or to prepay or incur additional obligations to such other parties (except as otherwise provided in the Transaction Documents).",additional-agreements
