clause_text,clause_type
"Additional Documents. On or prior to the Closing Date or the Additional Closing Date, as the case may be, the Company shall have furnished to the Representatives such further certificates and documents as the Representatives may reasonably request. All opinions, letters, certificates and evidence mentioned above or elsewhere in this Agreement shall be deemed to be in compliance with the provisions hereof only if they are in form and substance reasonably satisfactory to counsel for the Underwriters.",additional-documents
"Additional Documents. At Closing Time and at each Date of Delivery, counsel for the Underwriters shall have been furnished with such documents and opinions as they may require for the purpose of enabling them to pass upon the issuance and sale of the Securities as herein contemplated, or in order to evidence the accuracy of any of the representations or warranties, or the fulfillment of any of the conditions, herein contained; and all proceedings taken by the Company in connection with the issuance and sale of the Securities as herein contemplated shall be satisfactory in form and substance to the Representatives and counsel for the Underwriters.",additional-documents
"Additional Documents. At the Closing Time and at each Date of Delivery (if any) counsel for the Underwriters shall have been furnished with such documents and opinions as they may reasonably require for the purpose of enabling them to pass upon the issuance and sale of the Securities as herein contemplated, or in order to evidence the accuracy of any of the representations or warranties, or the fulfillment of any of the conditions, herein contained; and all proceedings taken by the Company in connection with the issuance and sale of the Securities as herein contemplated shall be reasonably satisfactory in form and substance to the Representatives and counsel for the Underwriters.",additional-documents
"Additional Documents. At Closing Time, counsel for the Underwriters shall have been furnished with such documents and opinions as they may require for the purpose of enabling them to pass upon the issuance and sale of the Securities as herein contemplated, or in order to evidence the accuracy of any of the representations or warranties, or the fulfillment of any of the conditions, herein contained; and all proceedings taken by the Company in connection with the issuance and sale of the Securities as herein contemplated shall be satisfactory in form and substance to the Representatives and counsel for the Underwriters.",additional-documents
"Additional Documents. On or before each of the First Closing Date and each Option Closing Date, the Representatives and counsel for the Underwriters shall have received such information, documents and opinions as they may reasonably request for the purposes of enabling them to pass upon the issuance and sale of the Offered Shares as contemplated herein, or in order to evidence the accuracy of any of the representations and warranties, or the satisfaction of any of the conditions or agreements, herein contained; and all proceedings taken by the Company in connection with the issuance and sale of the Offered Shares as contemplated herein and in connection with the other transactions contemplated by this Agreement shall be satisfactory in form and substance to the Representatives and counsel for the Underwriters. If any condition specified in this Section 6 is not satisfied when and as required to be satisfied, this Agreement may be terminated by the Representatives by notice from the Representatives to the Company at any time on or prior to the First Closing Date and, with respect to the Optional Shares, at any time on or prior to the applicable Option Closing Date, which termination shall be without liability on the part of any party to any other party, except that Section 4, Section 7, Section 9 and Section 10 shall at all times be effective and shall survive such termination.",additional-documents
"Additional Documents. At the Closing Date and at each Option Closing Date (if any) Representative Counsel shall have been furnished with such documents and opinions as they may require for the purpose of enabling Representative Counsel to deliver an opinion to the Underwriters, or in order to evidence the accuracy of any of the representations or warranties, or the fulfillment of any of the conditions, herein contained; and all proceedings taken by the Company in connection with the issuance and sale of the Public Securities and the Representative’s Securities as herein contemplated shall be satisfactory in form and substance to the Representative and Representative Counsel.",additional-documents
"Additional Documents. On or before the Closing Date, the Representatives and counsel for the Underwriters shall have received such information, documents and opinions as they may reasonably require for the purposes of enabling them to pass upon the issuance and sale of the Notes as contemplated herein, or in order to evidence the accuracy of any of the representations and warranties, or the satisfaction of any of the conditions or agreements, herein contained. If any condition specified in this Section 5 is not satisfied when and as required to be satisfied, this Agreement may be terminated by the Representatives by notice to the Company at any time on or prior to the Closing Date, which termination shall be without liability on the part of any party to any other party, except that Sections 4, 6, 8, 9 and 17 shall at all times be effective and shall survive such termination.",additional-documents
"Additional Documents. Each Partner agrees to perform all further acts and execute, swear to, acknowledge and deliver all further documents which may be reasonable, necessary, appropriate or desirable to carry out the provisions of this Agreement or the Act.",additional-documents
"Additional Documents. On each date on which the Company is required to deliver a certificate pursuant to Section 7(o), counsel for the Sales Agent shall have been furnished with such documents and opinions as they may require for the purpose of enabling them to pass upon the issuance and sale of the Securities as herein contemplated, or in order to evidence the accuracy of any of the representations or warranties, or the fulfillment of any of the conditions, contained in this Agreement.",additional-documents
"Additional Documents. On or before the Closing Date, the Initial Purchasers and counsel for the Initial Purchasers shall have received such information, documents and opinions as they may reasonably require for the purposes of enabling them to pass upon the issuance and sale of the Securities as contemplated herein, or in order to evidence the accuracy of any of the representations and warranties, or the satisfaction of any of the conditions or agreements, herein contained.",additional-documents
