clause_text,clause_type
"Adjustments. Notwithstanding anything to the contrary contained in this Agreement, if any Lender becomes a Defaulting Lender, then, until such time as that Lender is no longer a Defaulting Lender, to the extent permitted by applicable Law:",adjustments
"Adjustments. (a) In case the Company shall at any time subdivide its outstanding shares of Common Stock into a greater number of shares, the Warrant Price in effect immediately prior to such subdivision shall be proportionately reduced and the number of Warrant Securities purchasable under the Warrants shall be proportionately increased. Conversely, in case the outstanding shares of Common Stock of the Company shall be combined into a smaller number of shares, the Warrant Price in effect immediately prior to such combination shall be proportionately increased and the number of Warrant Securities purchasable under the Warrants shall be proportionately decreased.",adjustments
"Adjustments. For the avoidance of doubt, whenever the Calculation Agent is called upon to make an adjustment pursuant to the terms of this Confirmation or the Definitions to take into account the effect of an event, the Calculation Agent shall make such adjustment by reference to the effect of such event on the Hedging Party, assuming that the Hedging Party maintains a commercially reasonable hedge position.",adjustments
"Adjustments. If there is any change in the capitalization of the Company affecting in any manner the number or kind of outstanding shares of Common Stock of the Company, whether by stock dividend, stock split, reclassification or recapitalization of such stock, or because the Company has merged or consolidated with one or more other corporations (and provided the Option does not thereby terminate pursuant to Section 2 hereof), then the number and kind of shares then subject to the Option and the price to be paid therefor shall be appropriately adjusted by the Board of Directors; PROVIDED, HOWEVER, that in no event shall any such adjustment result in the Company's being required to sell or issue any fractional shares. Any such adjustment shall be made without change in the aggregate purchase price applicable to the unexercised portion of the Option, but with an appropriate adjustment to the price of each Share or other unit of security covered by this Option.",adjustments
"Adjustments. The number of shares of Common Stock for which this Warrant is exercisable, or the price at which such shares may be purchased upon exercise of this Warrant, shall be subject to adjustment from time to time as set forth in this Section 4. The Company shall give Holder notice of any event described below which requires an adjustment pursuant to this Section 4 at the time of such event.",adjustments
"Adjustments. In the event that the Committee shall determine that any dividend or other distribution (whether in the form of cash, shares, other securities or other property), recapitalization, stock split, reverse stock split, reorganization, merger, consolidation, split-up, spin-off, combination, repurchase or exchange of shares or other securities of the Company, issuance of warrants or other rights to purchase shares or other securities of the Company or other similar corporate transaction or event affects the Common Stock such that an adjustment is necessary in order to prevent dilution or enlargement of the benefits or potential benefits intended to be made available under this Agreement, then the Committee shall, in such manner as it may deem equitable, in its sole discretion, adjust any or all of the number and type of shares subject to the Restricted Stock Units.",adjustments
"Adjustments. Additional Shares, Securities or Assets. In the event that at any time, as a result of an adjustment made pursuant to this Section 5 or otherwise, Holder shall, upon Exercise of this Warrant, become entitled to receive shares and/or other securities or assets (other than Common Stock) then, wherever appropriate, all references herein to shares of Common Stock shall be deemed to refer to and include such shares and/or other securities or assets; and thereafter the number of such shares and/or other securities or assets shall be subject to adjustment from time to time in a manner and upon terms as nearly equivalent as practicable to the provisions of this Section 5.",adjustments
"Adjustments. If (i) the Servicer makes a deposit into the Collection Account in respect of a Collection of a Loan in the Collateral and such Collection was received by the Servicer in the form of a check that is not honored for any reason or (ii) the Servicer makes a mistake with respect to the amount of any Collection and deposits an amount that is less than or more than the actual amount of such Collection, the Servicer shall appropriately adjust the amount subsequently deposited into the Collection Account to reflect such dishonored check or mistake. Any Scheduled Payment in respect of which a dishonored check is received shall be deemed not to have been paid.",adjustments
"Adjustments. Without limiting the other provisions of this Agreement, if at any time during the period between the date of this Agreement and the Effective Time, any change in the outstanding shares of capital stock of the Company shall occur, including by reason of any reclassification, recapitalization, stock split (including reverse stock split) or combination, exchange or readjustment of shares, or any stock dividend or distribution paid in stock, the Merger Consideration and any other amounts payable pursuant to this Agreement shall be appropriately adjusted to reflect such change.",adjustments
"Adjustments. No Borrower will, without Agent’s consent, compromise or adjust any Receivables (or extend the time for payment thereof) or accept any returns of merchandise or grant any additional discounts, allowances or credits thereon except for those compromises, adjustments, returns, discounts, credits and allowances as have been heretofore customary in the business of such Borrower.",adjustments
"Adjustments. Set-off. (a) Except to the extent that this Agreement expressly provides for payments to be allocated to a particular Lender, if any Lender (a ""Benefitted Lender"") shall receive any payment of all or part of the Obligations owing to it (whether voluntarily or involuntarily, by set-off, pursuant to events or proceedings of the nature referred to in Section 7(f), or otherwise), in a greater proportion than any such payment to or collateral received by any other Lender, if any, in respect of the Obligations owing to such other Lender, such Benefitted Lender shall purchase for cash from the other Lenders a participating interest in such portion of the Obligations owing to each such other Lender, or shall provide such other Lenders with the benefits of any such collateral, as shall be necessary to cause such Benefitted Lender to share the excess payment or benefits of such collateral ratably with each of the Lenders; provided, however, that if all or any portion of such excess payment or benefits is thereafter recovered from such Benefitted Lender, such purchase shall be rescinded, and the purchase price and benefits returned, to the extent of such recovery, but without interest.",adjustments
Adjustments. The Exercise Price and the number of shares purchasable hereunder are subject to adjustment from time to time as follows:,adjustments
"Adjustments. Without limiting the other provisions of this Agreement, if at any time during the period between the date of this Agreement and the Effective Time, any change in the outstanding shares of capital stock of the Company shall occur (other than the issuance of additional shares of capital stock of the Company as permitted by this Agreement), including by reason of any reclassification, recapitalization, stock split (including a reverse stock split), or combination, exchange, readjustment of shares, or similar transaction, or any stock dividend or distribution paid in stock, the Merger Consideration and any other amounts payable pursuant to this Agreement shall be appropriately adjusted to reflect such change; provided, however, that this sentence shall not be construed to permit the Company to take any action with respect to its securities that is prohibited by the terms of this Agreement.",adjustments
"Adjustments. If, during the period between the date of this Agreement and the Effective Time, any change in the outstanding shares of capital stock of the Company shall occur by reason of any stock split (including reverse stock split), or any stock dividend thereon with a record date during such period, the Offer Price, the Merger Consideration and any other amounts payable pursuant to this Agreement shall be appropriately adjusted.",adjustments
