clause_text,clause_type
AGREEMENT. The parties agree as follows:,agreement
AGREEMENT. This Pooling and Servicing Agreement and all amendments hereof and supplements hereto.,agreement
"AGREEMENT. NOW THEREFORE, in consideration of the mutual covenants and promises contained herein and for other good and valuable consideration, the receipt and adequacy of which is hereby acknowledged, the parties hereto agree as follows:",agreement
"AGREEMENT. The parties to this Agreement, intending to be legally bound, agree as follows:",agreement
"AGREEMENT. The parties, intending to be legally bound, agree as follows:",agreement
"AGREEMENT. In consideration of the foregoing, the mutual covenants and obligations herein set forth and for other good and valuable consideration, the sufficiency and receipt of which are hereby acknowledged, the parties hereto, intending to be legally bound, hereby agree as follows:",agreement
AGREEMENT. This Pooling and Servicing Agreement and all amendments or supplements hereto.,agreement
"AGREEMENT. In consideration of the mutual promises contained herein and for other good and valuable consideration, the receipt and adequacy of which are hereby acknowledged, the parties hereby agree as follows:",agreement
"AGREEMENT. Now, Therefore, in consideration of the foregoing recitals and other good and valuable consideration, the receipt and adequacy of which is hereby acknowledged, and intending to be legally bound, the parties hereto agree as follows:",agreement
"AGREEMENT. For good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties agree as follows:",agreement
"AGREEMENT. NOW THEREFORE, in consideration of the mutual terms, covenants and conditions contained in this Amendment and other good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the Parties agree as follows:",agreement
"AGREEMENT. NOW THEREFORE, in consideration of the mutual covenants and agreements set forth herein, the parties hereto, intending to be legally bound, hereby agree as follows:",agreement
AGREEMENT. This Pooling and Servicing Agreement and any and all amendments or supplements hereto made in accordance with the terms herein.,agreement
AGREEMENT. ARTICLE I,agreement
AGREEMENT. The parties hereto agree as follows:,agreement
"AGREEMENT. In consideration of the premises and the covenants, conditions, and agreements contained herein, and for other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledge, the parties hereto agree as follows:",agreement
"AGREEMENT. In consideration of the mutual covenants herein contained and the continued employment of Employee by the Company, the parties agree as follows:",agreement
AGREEMENT. The parties hereby agree as follows:,agreement
"AGREEMENT. (a) References to “agent” shall mean any person who is or was a director, officer or employee of the Company or a subsidiary of the Company or other person authorized by the Company to act for the Company, to include such person serving in such capacity as a director, officer, employee, advisor, fiduciary or other official of another corporation, partnership, limited liability company, joint venture, trust or other enterprise at the request of, for the convenience of, or to represent the interests of the Company or a subsidiary of the Company.",agreement
"AGREEMENT. In consideration of the mutual promises made in this Agreement, and for other good and valuable consideration, receipt of which is hereby acknowledged, the Company and Indemnitee hereby agree as follows:",agreement
