clause_text,clause_type
Agreements. The Company agrees with the several Underwriters that:,agreements
"Agreements. Agreements for purchase will normally be put into effect by means of a purchase order(s) executed by authorized agents of the TIPS Member participating government entities, but other means of placing an order may be used at the Member’s discretion. Most TIPS Members are tax exempt and the related laws and/or regulations of the controlling jurisdiction(s) of the TIPS Member shall apply.",agreements
"Agreements. Each party agrees with the other that, so long as either party has or may have any obligation under this Agreement or under any Credit Support Document to which it is a party:—",agreements
"Agreements. Borrower is not a party to any agreement or instrument or subject to any restriction which would materially and adversely affect Borrower or the Property, or Borrower’s business, properties or assets, operations or condition, financial or otherwise. Borrower is not in default in any material respect in the performance, observance or fulfillment of any of the obligations, covenants or conditions contained in any agreement or instrument to which it is a party or by which Borrower or the Property is bound. Borrower has no material financial obligation under any agreement or instrument to which Borrower is a party or by which Borrower or the Property is otherwise bound, other than (a) obligations incurred in the ordinary course of the operation of the Property and (b) obligations under the Loan Documents.",agreements
"Agreements. In consideration of the premises and the mutual covenants herein contained and other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto hereby agree as follows:",agreements
"Agreements. NOW, THEREFORE, in consideration of the mutual covenants contained herein, and for other good and valuable consideration, the receipt and adequacy of which are hereby acknowledged, the parties agree as follows:",agreements
"Agreements. (a) None of Holdings, the Borrower or any of the Subsidiaries is a party to any agreement or instrument or subject to any corporate restriction that has resulted or could reasonably be expected to result in a Material Adverse Effect.",agreements
Agreements. (i) The Company agrees with the several Underwriters that:,agreements
"Agreements. Agreements for purchase will normally be put into effect by means of a contract, agreement or purchase order(s) executed by authorized agents of the participating government entities. Davis Bacon Act requirements will be met when Federal Funds are used for construction and/or repair of buildings or as otherwise required by applicable statute or regulation. Other wage rates may be required by some TIPS Members and acceptance of a project by the Vendor may require the Vendor to comply with the TIPS Member’s required wage rate. Most TIPS Members are tax exempt and the related laws of the jurisdiction of the TIPS Member shall apply.",agreements
"Agreements. No Company is a party to any agreement or instrument or subject to any corporate or other constitutional restriction that has resulted or could reasonably be expected to result in a Material Adverse Effect. No Company is in default in any manner under any provision of any indenture or other agreement or instrument evidencing Indebtedness, or any other agreement or instrument to which it is a party or by which it or any of its property is or may be bound, where such default could reasonably be expected to result in a Material Adverse Effect, and no condition exists which, with the giving of notice or the lapse of time or both, would constitute such a default.",agreements
"Agreements. Schedule 3.1(o) contains a complete and accurate list of all contracts relating to the Intellectual Property Rights to which the Company is a party or by which the Company is bound, except for any license implied by the sale of a product and perpetual, paid-up licenses for commonly available software programs with a value of less than $10,000 under which the Company is the licensee. There are no outstanding and, to Company’s knowledge, no threatened disputes or disagreements with respect to any such agreement.",agreements
Agreements. The Company agrees with the Underwriter that:,agreements
"Agreements. All agreements, contracts, certificates, instruments, franchises, permits, licenses, plans, specifications and other documents, now or hereafter entered into, and all rights therein and thereto, respecting or pertaining to the use, occupation, construction, management or operation of the Land and any part thereof and any Improvements or respecting any business or activity conducted on the Land and any part thereof and all right, title and interest of Borrower therein and thereunder, including, without limitation, the right, upon the happening of any default hereunder, to receive and collect any sums payable to Borrower thereunder;",agreements
Agreements. The Company agrees with the Manager that:,agreements
Agreements. Borrower will not enter into any agreement containing any provisions which would be violated or breached by the performance of Borrower's obligations under this Agreement or in connection herewith.,agreements
"Agreements. In consideration of the foregoing and the mutual promises and covenants of the Parties set forth in this Agreement, and for other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the Parties, intending to be legally bound, hereby expressly covenant and agree as follows:",agreements
"Agreements. In consideration of the premises, and for other good and valuable consideration, the adequacy, receipt and sufficiency of which are hereby acknowledged, the parties hereto agree as follows:",agreements
"Agreements. No Borrower or Operating Lessee is a party to any agreement or instrument or subject to any restriction which is likely to have a Material Adverse Effect. Each applicable Borrower and Operating Lessee is not in default in any material respect in the performance, observance or fulfillment of any of the obligations, covenants or conditions contained in any indenture, agreement or instrument to which it is a party or by which such Borrower, Operating Lessee or the applicable Individual Property is bound which could reasonably be expected to have a Material Adverse Effect.",agreements
Agreements. The Company agrees with you that:,agreements
"Agreements. Neither Seller nor any Subsidiary of Seller is a party to any agreement, instrument, or indenture or subject to any restriction materially and adversely affecting its business, operations, assets or financial condition, except as disclosed in the financial statements described in Section 13(a)(5) hereof. Neither Seller nor any Subsidiary of Seller is in default in the performance, observance or fulfillment of any of the obligations, covenants or conditions contained in any agreement, instrument, or indenture which default could have a material adverse effect on the business, operations, properties, or financial condition of Seller as a whole. No holder of any indebtedness of Seller or of any of its Subsidiaries has given notice of any asserted default thereunder.",agreements
Agreements. The Company agrees with each Underwriter that:,agreements
"Agreements. Accordingly, in consideration of the Recitals and the covenants, conditions and agreements hereinafter set forth, and for other good and valuable consideration, the receipt and adequacy of which are hereby acknowledged, the parties hereto agree as follows:",agreements
Agreements. 1. The foregoing Recitals to this Amendment hereby are incorporated into and made part of this Amendment.,agreements
Agreements. WFASC agrees with the Underwriter that:,agreements
