clause_text,clause_type
"Amendment and Waiver. The provisions of this Agreement may be amended or waived only with the prior written consent of the Company and Executive, and no course of conduct or failure or delay in enforcing the provisions of this Agreement shall affect the validity, binding effect or enforceability of this Agreement.",amendment-and-waiver
"Amendment and Waiver. The provisions of this Agreement may be amended or waived only with the prior written consent of the Company (as approved by the Board) and Executive, and no course of conduct or course of dealing or failure or delay by any party hereto in enforcing or exercising any of the provisions of this Agreement (including, without limitation, the Company’s right to terminate the Employment Period for Cause) shall affect the validity, binding effect or enforceability of this Agreement or be deemed to be an implied waiver of any provision of this Agreement.",amendment-and-waiver
Amendment and Waiver. The provisions of this Agreement may be amended and waived only with the prior written consent of the Company and Executive.,amendment-and-waiver
"Amendment and Waiver. This Agreement may be amended, modified or superseded only by written instrument executed by the Company and Grantee. Any waiver of the terms or conditions hereof shall be made only by a written instrument executed and delivered by the party waiving compliance. Any waiver granted by the Company shall be effective only if executed and delivered by a duly authorized executive officer of the Company other than Grantee. The failure of any party at any time or times to require performance of any provisions hereof, shall in no manner effect the right to enforce the same. No waiver by any party of any term or condition, or the breach of any term or condition contained in this Agreement in one or more instances shall be deemed to be, or construed as, a further or continuing waiver of any such condition or breach or a waiver of any other condition or the breach of any other term or condition.",amendment-and-waiver
"Amendment and Waiver. (a) No failure or delay on the part of any party hereto in exercising any right, power or remedy hereunder shall operate as a waiver thereof, nor shall any single or partial exercise of any such right, power or remedy preclude any other or further exercise thereof or the exercise of any other right, power or remedy. The remedies provided for herein are cumulative and are not exclusive of any remedies that may be available to the parties hereto at law, in equity or otherwise.",amendment-and-waiver
"Amendment and Waiver. Any term, covenant, agreement or condition in this Warrant may be amended, or compliance therewith may be waived (either generally or in a particular instance and either retroactively or prospectively), by a written instrument or written instruments executed by the Issuer and the Majority Holders; provided, however, that no such amendment or waiver shall reduce the Warrant Share Number, increase the Warrant Price, shorten the period during which this Warrant may be exercised or modify any provision of this Section 11 without the consent of the Holder of this Warrant. No consideration shall be offered or paid to any person to amend or consent to a waiver or modification of any provision of this Warrant unless the same consideration is also offered to all holders of the Warrants.",amendment-and-waiver
"Amendment and Waiver. Except as otherwise provided herein, the provisions of this Warrant may be amended and the Company may take any action herein prohibited, or omit to perform any act herein required to be performed by it, only if the Company has obtained the written consent of the Holder.",amendment-and-waiver
"Amendment and Waiver. This Agreement may be amended, supplemented, or otherwise modified only by means of a written instrument signed by both parties. Any waiver of any rights or failure to act in a specific instance shall relate only to such instance and shall not be construed as an agreement to waive any rights or fail to act in any other instance, whether or not similar.",amendment-and-waiver
"Amendment and Waiver. This Agreement may not be amended, released, discharged, abandoned, changed, or modified in any manner, except by an instrument in writing signed by each of the parties hereto. The failure of any party hereto to enforce at any time any of the provisions of this Agreement shall not be construed to be a waiver of any such provision, nor affect the validity of this Agreement or any part thereof or the right of any party thereafter to enforce each and every such provision. No waiver or any breach of this Agreement shall be held to be a waiver of any other or subsequent breach.",amendment-and-waiver
"Amendment and Waiver. No supplement, modification, amendment, or cancellation of this Agreement shall be binding unless executed in writing by the parties hereto. No waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provision hereof (whether or not similar) nor shall such waiver constitute a continuing waiver.",amendment-and-waiver
"Amendment and Waiver. Except as otherwise provided herein, no modification, amendment or waiver of any provision of this Agreement shall be effective against the Parties unless such modification is approved in writing by the Parties. The failure of any Party to enforce any of the provisions of this Agreement shall in no way be construed as a waiver of such provisions and shall not affect the right of such Party thereafter to enforce each and every provision of this Agreement in accordance with its terms.",amendment-and-waiver
Amendment and Waiver. (a) This Agreement may be amended or modified only upon the written consent of the Company and the Purchaser.,amendment-and-waiver
"Amendment and Waiver. Except as otherwise provided herein, no amendment or waiver of any provision of this Agreement shall be effective against the Company or the Stockholders unless such amendment or waiver is approved in writing by the Company and the Stockholders holder a majority of the Registrable Securities. The failure of any Party to enforce any provision of this Agreement shall not be construed as a waiver of such provision and shall not affect the right of such Party thereafter to enforce each provision of this Agreement in accordance with its terms.",amendment-and-waiver
"Amendment and Waiver. Subject to certain exceptions, the Indenture and the Notes may be amended, or default may be waived, with the consent of the Holders of a majority in principal amount of the outstanding Notes. Without notice to or the consent of any Holder, the Company and the Trustee may amend or supplement the Indenture or the Notes to, among other things, cure any ambiguity, defect or inconsistency if such amendment or supplement does not adversely affect the interests of the Holders in any material respect.",amendment-and-waiver
"Amendment and Waiver. This Agreement may not be modified or amended except by an instrument in writing signed by the parties hereto. No waiver of any provision of this Agreement or of any rights or obligations of any party under this Agreement shall be effective unless in writing and signed by the party or parties waiving compliance, and shall be effective only in the specific instance and for the specific purpose stated in that writing.",amendment-and-waiver
"Amendment and Waiver. Neither this Agreement, nor any provision hereof, may be amended, waived, discharged or terminated orally, but only by an instrument in writing signed by all parties hereto.",amendment-and-waiver
"Amendment and Waiver. Except as otherwise provided herein, this Warrant may only be amended, modified or supplemented by an agreement in writing signed by each party hereto. No waiver by the Company or the Holder of any of the provisions hereof shall be effective unless explicitly set forth in writing and signed by the party so waiving. No waiver by any party shall operate or be construed as a waiver in respect of any failure, breach or default not expressly identified by such written waiver, whether of a similar or different character, and whether occurring before or after that waiver. No failure to exercise, or delay in exercising, any rights, remedy, power or privilege arising from this Warrant shall operate or be construed as a waiver thereof; nor shall any single or partial exercise of any right, remedy, power or privilege hereunder preclude any other or further exercise thereof or the exercise of any other right, remedy, power or privilege.",amendment-and-waiver
"Amendment and Waiver. Except as otherwise provided herein, any term of this Agreement may be amended, and the observance of any term of this Agreement may be waived (either generally or in a particular instance, either retroactively or prospectively, and either for a specified period of time or indefinitely), with the written consent of the Company and the Purchasers, or, to the extent such amendment affects only one Purchaser, by the Company and such Purchaser. Any amendment or waiver effected in accordance with this Section shall be binding upon each future holder of any security purchased under this Agreement (including securities into which such securities have been converted) and the Company.",amendment-and-waiver
"Amendment and Waiver. This Agreement may be amended, and any provision of this Agreement may be waived; provided that any such amendment or waiver shall be binding on Seller and Shareholders only if such amendment or waiver is set forth in a writing executed by Seller and Shareholders and that any such amendment or waiver shall be binding upon Purchasers only if such amendment or waiver is set forth in a writing executed by Purchasers. No course of dealing between or among any persons having any interest in this Agreement shall be deemed effective to modify, amend or discharge any part of this Agreement or any rights or obligations of any person under or by reason of this Agreement.",amendment-and-waiver
"Amendment and Waiver. This Agreement may not be amended, supplemented or waived except by a writing signed by the party against which such amendment or waiver is to be enforced. The waiver by any party of a breach of any provision of this Agreement shall not operate to, or be construed as a waiver of, any other breach of that provision nor as a waiver of any breach of another provision.",amendment-and-waiver
"Amendment and Waiver. Any provision of this Agreement or the Schedules or Exhibits hereto may be amended or waived only in writing signed by the Buyer, the Company and the Seller. No waiver of any provision hereunder or any breach or default thereof shall extend to or affect in any way any other provision or prior or subsequent breach or default.",amendment-and-waiver
Amendment and Waiver. This Agreement may not be amended or waived except in a writing executed by the party against which such amendment or waiver is sought to be enforced. No course of dealing between or among any persons having any interest in this Agreement will be deemed effective to modify or amend any part of this Agreement or any rights or obligations of any person under or by reason of this Agreement.,amendment-and-waiver
"Amendment and Waiver. Any provision of this Agreement may be amended and the observance thereof may be waived (either generally or in a particular instance and either retroactively or prospectively), only with the written consent of the Company and Investors who hold a majority-in-interest of the Registrable Securities. Any amendment or waiver effected in accordance with this Section 9 shall be binding upon each Investor and the Company.",amendment-and-waiver
