clause_text,clause_type
Amendment; Waiver. No provision of this Agreement may be amended or waived except by an instrument in writing signed by the parties hereto.,amendment-waiver
"Amendment; Waiver. No provisions of this Agreement may be modified, waived or discharged unless such waiver, modification or discharge is agreed to in writing, signed by the Executive and such officer or officers as may be specifically designated by the Board of Directors of the Bank to sign on its behalf. No waiver by any party hereto at any time of any breach by any other party hereto of, or compliance with, any condition or provision of this Agreement to be performed by such other party shall be deemed a waiver of similar or dissimilar provisions or conditions at the same or at any prior or subsequent time.",amendment-waiver
"Amendment; Waiver. (a) This Agreement shall not be deemed or construed to be modified, amended, rescinded, canceled or waived, in whole or in part, except by a written instrument signed by a duly authorized representative of the party to be charged.",amendment-waiver
"Amendment; Waiver. This Agreement may not be modified, amended, supplemented, canceled or discharged, except by written instrument executed by the Company and the Purchasers of not less than a majority of the principal amount of the subscription. No failure to exercise, and no delay in exercising, any right, power or privilege under this Agreement shall operate as a waiver, nor shall any single or partial exercise of any right, power or privilege hereunder preclude the exercise of any other right, power or privilege. No waiver of any breach of any provision shall be deemed to be a waiver of any proceeding or succeeding breach of the same or any other provision, nor shall any waiver be implied from any course of dealing between the parties. No extension of time for performance of any obligations or other acts hereunder or under any other agreement shall be deemed to be an extension of the time for performance of any other obligations or any other acts. The rights and remedies of the parties under this Agreement are in addition to all other rights and remedies, at law or equity, that they may have against each other.",amendment-waiver
"Amendment; Waiver. This Agreement shall not be amended, altered or modified except by an instrument in writing duly executed by the party against whom enforcement is sought. Neither the waiver by either of the parties hereto of a breach of or a default under any of the provisions of this Agreement, nor the failure of either of the parties, on one or more occasions, to enforce any of the provisions of this Agreement or to exercise any right or privilege hereunder, shall thereafter be construed as a waiver of any subsequent breach or default of a similar nature, or as a waiver of any such provisions, rights or privileges hereunder.",amendment-waiver
"Amendment; Waiver. Subject to certain exceptions set forth in the Indenture, (i) the Indenture or the Securities may be amended with the written consent of the Holders of at least a majority in principal amount outstanding of the Securities and (ii) any default or noncompliance with any provision may be waived with the written consent of the Holders of a majority in principal amount outstanding of the Securities. Subject to certain exceptions set forth in the Indenture, without the consent of any Securityholder, the Company and the Trustee may amend the Indenture or the Securities to cure any ambiguity, omission, defect or inconsistency, or to comply with Article 5 of the Indenture, or to provide for uncertificated Securities in addition to or in place of certificated Securities, or to add guarantees with respect to the Securities or to secure the Securities, or to add additional covenants or surrender rights and powers conferred on the Company, or to comply with any request of the SEC in connection with qualifying the Indenture under the Act, or to make certain changes in the subordination provisions, or to make any change that does not adversely affect the rights of any Securityholder.",amendment-waiver
"Amendment; Waiver. This Agreement may be amended and any of its terms or conditions may be waived only by a written instrument executed by an authorized signatory of the Parties or, in the case of a waiver, by the Party waiving compliance. The failure of either Party at any time or times to require performance of any provision hereof shall in no manner affect its rights at a later time to enforce the same. No waiver by either Party of any condition or term shall be deemed as a further or continuing waiver of such condition or term or of any other condition or term.",amendment-waiver
"Amendment; Waiver. Neither this Agreement nor any provision hereof may be amended, modified, changed, waived, discharged or terminated except by an instrument in writing signed by the party against which enforcement of the amendment, modification, change, waiver, discharge or termination is sought. The failure of either party at any time or times to require performance of any provision hereof shall not in any manner affect the right at a later time to enforce the same. No waiver by either party of the breach of any term, provision or covenant contained in this Agreement, whether by conduct or otherwise, in any one or more instances, shall be deemed to be, or construed as, a further or continuing waiver of any such breach, or a waiver of the breach of any other term, provision or covenant contained in this Agreement.",amendment-waiver
"Amendment; Waiver. This Agreement may not be modified, amended or waived in any manner, except by an instrument in writing signed by both parties hereto. The waiver by either party of compliance with any provision of this Agreement by the other party shall not operate or be construed as a waiver of any other provision of this Agreement, or of any subsequent breach by such party of a provision of this Agreement.",amendment-waiver
"Amendment; Waiver. Subject to certain exceptions set forth in the Indenture, (i) the Indenture or the Securities may be amended with the written consent of the Holders of at least a majority in aggregate principal amount of the outstanding Securities and (ii) any past default or compliance with any provisions may be waived with the written consent of the Holders of at least a majority in principal amount of the outstanding Securities. Subject to certain exceptions set forth in the Indenture, without the consent of any Holder, the Issuer and the Trustee may amend the Indenture or the Securities (i) to cure any ambiguity, omission, mistake, defect or inconsistency; (ii) to provide for the assumption by a Successor Company of the obligations of the Issuer under the Indenture and the Securities; (iii) to provide for the assumption by a Successor Guarantor of the obligations of a Guarantor under the Indenture and its Guarantee; (iv) to provide for uncertificated Securities in addition to or in place of certificated Securities (provided that the uncertificated Securities are issued in registered form for purposes of Section 163(f) of the Code, or in a manner such that the uncertificated Securities are described in Section 163(f)(2)(B) of the Code); (v) to add additional Guarantees with respect to the Securities; (vi) to make any change that would provide additional rights or benefits to the Holders or that does not adversely affect the legal rights of the Holders; (vii) to make changes relating to the transfer and legending of the Securities; (viii) to secure the Securities; (ix) to add to the covenants of the Issuer for the benefit of the Holders or to surrender any right or power herein conferred upon the Issuer or any Guarantor; (x) to make any change that does not adversely affect the rights of any Holder in any material respect; (xi) to effect any provision of the Indenture; (xii) to provide for the issuance of the Add-On Securities, as defined in the Indenture; (xiii) to evidence and provide for the acceptance and appointment under the Indenture of a successor Trustee thereunder pursuant to the requirements thereof; or (xiv) to conform the text of the Indenture, Guarantees or Securities to any provision of the section entitled “Description of the Notes” in the Offering Memorandum.",amendment-waiver
