clause_text,clause_type
Amendment. This Agreement may only be amended by a written instrument executed by each of the parties hereto.,amendment
"Amendment. This Agreement may be amended by mutual consent of the parties, provided that the terms of any material amendment shall be approved by: (a) the Trust’s Board of Trustees or by a vote of a majority of the outstanding voting securities of the Fund (as required by the 1940 Act), and (b) the vote of a majority of those Trustees of the Trust who are not “interested persons” of any party to this Agreement cast in person at a meeting called for the purpose of voting on such approval, if such approval is required by applicable law.",amendment
Amendment. This Agreement may be amended or modified only by a written instrument signed by the Executive and by a duly authorized representative of the Company.,amendment
Amendment. This Warrant may be modified or amended or the provisions hereof waived with the written consent of the Company and the Holder.,amendment
Amendment. This Agreement may not be amended except by an instrument in writing signed on behalf of each of the parties hereto.,amendment
Amendment. This Agreement may be amended or modified only by a written instrument executed by both the Company and the Participant.,amendment
"Amendment. The Certificate of Incorporation of the Corporation shall not be amended in any manner which would materially alter or change the powers, preferences or special rights of the Series A Preferred Stock so as to affect them adversely without the affirmative vote of the holders of at least two-thirds of the outstanding shares of Series A Preferred Stock, voting together as a single class.",amendment
Amendment. This Agreement may be amended or modified by a written agreement executed by both parties and authorized or approved by a resolution of the Board of Trustees of the Fund.,amendment
"Amendment. This Agreement may be amended by the parties hereto, without the consent of the holder of any Warrant Certificate, for the purpose of curing any ambiguity, or of curing, correcting or supplementing any defective provision contained herein, or making any other provisions with respect to matters or questions arising under this Agreement as the Company and the Warrant Agent may deem necessary or desirable; provided that such action shall not materially adversely affect the interests of the holders of the Warrant Certificates.",amendment
"Amendment. (a) This Agreement may be amended from time to time by the parties hereto, without the consent of any of the Certificateholders or the Companion Holders:",amendment
"Amendment. The form of the Receipts and any provisions of the Deposit Agreement may at any time and from time to time be amended by agreement between the Company and the Depositary without the consent of Owners or Beneficial Owners of Receipts in any respect which they may deem necessary or desirable. Any amendment which shall impose or increase any fees or charges (other than taxes and other governmental charges, registration fees and cable, telex or facsimile transmission costs, delivery costs or other such expenses), or which shall otherwise prejudice any substantial existing right of Owners of Receipts, shall, however, not become effective as to outstanding Receipts until the expiration of thirty days after notice of such amendment shall have been given to the Owners of outstanding Receipts. Every Owner of a Receipt at the time any amendment so becomes effective shall be deemed, by continuing to hold such Receipt, to consent and agree to such amendment and to be bound by the Deposit Agreement as amended thereby. In no event shall any amendment impair the right of the Owner of any Receipt to surrender such Receipt and receive therefor the Deposited Securities represented thereby except in order to comply with mandatory provisions of applicable law.",amendment
