clause_text,clause_type
"Amendments and Waivers. The provisions of this Agreement, including the provisions of this sentence, may not be amended, modified or supplemented, and waivers or consents to departures from the provisions hereof may not be given, unless the same shall be in writing and signed by the Company and the Holders of the then outstanding Registrable Securities. Notwithstanding the foregoing, a waiver or consent to depart from the provisions hereof with respect to a matter that relates exclusively to the rights of certain Holders and that does not directly or indirectly affect the rights of other Holders may be given by Holders of at least a majority of the Registrable Securities to which such waiver or consent relates; provided, however, that the provisions of this sentence may not be amended, modified, or supplemented except in accordance with the provisions of the immediately preceding sentence.",amendments-and-waivers
"Amendments and Waivers. (a) If the ICANN Board of Directors determines that an amendment to this Agreement (including to the Specifications referred to herein) and all other registry agreements between ICANN and the Applicable Registry Operators (the “Applicable Registry Agreements”) is desirable (each, a “Special Amendment”), ICANN may adopt a Special Amendment pursuant to the requirements of and process set forth in this Section 7.6; provided that a Special Amendment may not be a Restricted Amendment.",amendments-and-waivers
"Amendments and Waivers. No amendment of any provision of this Agreement shall be valid unless the same shall be in writing and signed by the Buyer and the Seller. No waiver by any Party of any default, misrepresentation, or breach of warranty or covenant hereunder, whether intentional or not, shall be deemed to extend to any prior or subsequent default, misrepresentation, or breach of warranty or covenant hereunder or affect in any way any rights arising by virtue of any prior or subsequent such occurrence.",amendments-and-waivers
"Amendments and Waivers. The provisions of this Agreement, including the provisions of this sentence, may not be amended, modified or supplemented, and waivers or consents to departures from the provisions hereof may not be given unless the Company and the Guarantors have obtained the written consent of Holders of at least a majority in aggregate principal amount of the outstanding Registrable Securities affected by such amendment, modification, supplement, waiver or consent; provided that no amendment, modification, supplement, waiver or consent to any departure from the provisions of Section 5 hereof shall be effective as against any Holder of Registrable Securities unless consented to in writing by such Holder. Any amendments, modifications, supplements, waivers or consents pursuant to this Section 6(b) shall be by a writing executed by each of the parties hereto.",amendments-and-waivers
"Amendments and Waivers. Any term of this Agreement may be amended and the observance of any term of this Agreement may be waived (either generally or in a particular instance and either retroactively or prospectively), only with the written consent of the Company and the Investor.",amendments-and-waivers
"Amendments and Waivers. (a) Any provision of this Agreement may be amended or waived if, but only if, such amendment or waiver is in writing and is signed, in the case of an amendment, by each party to this Agreement, or in the case of a waiver, by the party against whom the waiver is to be effective.",amendments-and-waivers
"Amendments and Waivers. The provisions of this Agreement, including the provisions of this sentence, may not be amended, modified or supplemented, and waivers or consents to departures from the provisions hereof may not be given, unless the same shall be in writing and signed by the Company and the Holders of 67% or more of the then outstanding Registrable Securities (for purposes of clarification, this includes any Registrable Securities issuable upon exercise or conversion of any Security). If a Registration Statement does not register all of the Registrable Securities pursuant to a waiver or amendment done in compliance with the previous sentence, then the number of Registrable Securities to be registered for each Holder shall be reduced pro rata among all Holders and each Holder shall have the right to designate which of its Registrable Securities shall be omitted from such Registration Statement. Notwithstanding the foregoing, a waiver or consent to depart from the provisions hereof with respect to a matter that relates exclusively to the rights of a Holder or some Holders and that does not directly or indirectly affect the rights of other Holders may be given only by such Holder or Holders of all of the Registrable Securities to which such waiver or consent relates; provided, however, that the provisions of this sentence may not be amended, modified, or supplemented except in accordance with the provisions of the first sentence of this Section 6(f). No consideration shall be offered or paid to any Person to amend or consent to a waiver or modification of any provision of this Agreement unless the same consideration also is offered to all of the parties to this Agreement.",amendments-and-waivers
"Amendments and Waivers. Any term of this Agreement may be amended and the observance of any term of this Agreement may be waived (either generally or in a particular instance and either retroactively or prospectively), only with the written consent of the Company and the Investors. Any amendment or waiver effected in accordance with this paragraph shall be binding upon each holder of any Securities purchased under this Agreement at the time outstanding, each future holder of all such Securities, and the Company.",amendments-and-waivers
"Amendments and Waivers. No amendment of any provision of this Agreement shall be valid unless the same shall be in writing and signed by the Parties hereto. No waiver by any Party of any default, misrepresentation, or breach of warranty or covenant hereunder, whether intentional or not, shall be deemed to extend to any prior or subsequent default, misrepresentation, or breach of warranty or covenant hereunder or affect in any way any rights arising by virtue of any prior or subsequent such occurrence.",amendments-and-waivers
"Amendments and Waivers. The provisions of this Agreement may not be amended, modified or supplemented, and waivers or consents to departures from the provisions hereof may not be given, except by the Company and the written consent of the Holders of a majority in principal amount of the Securities affected by such amendment, modification, supplement, waiver or consents.",amendments-and-waivers
"Amendments and Waivers. The provisions of this Agreement, including the provisions of this sentence, may not be amended, modified or supplemented, and waivers or consents to departures from the provisions hereof may not be given, unless the same shall be in writing and signed by the Company and each Holder of the then outstanding Registrable Securities.",amendments-and-waivers
"Amendments and Waivers. The provisions of this Agreement may not be amended, modified or supplemented, and waivers or consents to or departures from the provisions hereof may not be given unless (i) in the case of Section 5 hereof and this Section 10(c)(i), the Company has obtained the written consent of Holders of all outstanding Transfer Restricted Securities and (ii) in the case of all other provisions hereof, the Company has obtained the written consent of Holders of a majority of the outstanding principal amount of Transfer Restricted Securities (excluding Transfer Restricted Securities held by the Company or its Affiliates). Notwithstanding the foregoing, a waiver or consent to departure from the provisions hereof that relates exclusively to the rights of Holders whose Transfer Restricted Securities are being tendered pursuant to the Exchange Offer, and that does not affect directly or indirectly the rights of other Holders whose Transfer Restricted Securities are not being tendered pursuant to such Exchange Offer, may be given by the Holders of a majority of the outstanding principal amount of Transfer Restricted Securities subject to such Exchange Offer.",amendments-and-waivers
"Amendments and Waivers. The provisions of this Agreement may not be amended, modified or supplemented, and waivers or consents to or departures from the provisions hereof may not be given unless the Company has (i) in the case of Section 5 hereof and this Section 12(d)(i), obtained the written consent of Holders of all outstanding Transfer Restricted Securities and (ii) in the case of all other provisions hereof, obtained the written consent of Holders of a majority of the outstanding principal amount of Transfer Restricted Securities (excluding any Transfer Restricted Securities held by the Company or its Affiliates). Notwithstanding the foregoing, a waiver or consent to departure from the provisions hereof that relates exclusively to the rights of Holders whose securities are being tendered pursuant to the Exchange Offer and that does not affect directly or indirectly the rights of other Holders whose securities are not being tendered pursuant to such Exchange Offer may be given by the Holders of a majority of the outstanding principal amount of Transfer Restricted Securities being tendered or registered; provided, however, that, with respect to any matter that directly or indirectly affects the rights of any Initial Purchaser hereunder, the Company shall obtain the written consent of each such Initial Purchaser with respect to which such amendment, qualification, supplement, waiver, consent or departure is to be effective.",amendments-and-waivers
"Amendments and Waivers. Any provision of this Agreement may be amended or waived if such amendment or waiver is in writing and is signed, in the case of an amendment, by each party to this Agreement or, in the case of a waiver, by each party against whom the waiver is to be effective. No failure or delay by any party in exercising any right, power or privilege hereunder shall operate as a waiver thereof nor shall any single or partial exercise thereof preclude any other or further exercise thereof or the exercise of any other right, power or privilege.",amendments-and-waivers
