clause_text,clause_type
"Amendments, Etc. No amendment or waiver of any provision of this Agreement or any other Loan Document, and no consent to any departure by the Borrower or any other Loan Party therefrom, shall be effective unless in writing signed by the Required Lenders and the Borrower or the applicable Loan Party, as the case may be, and acknowledged by the Administrative Agent, and each such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given; provided, however, that no such amendment, waiver or consent shall:",amendments-etc
"Amendments, Etc with respect to the Borrower Obligations. Each Guarantor shall remain obligated hereunder notwithstanding that, without any reservation of rights against any Guarantor and without notice to or further assent by any Guarantor, any demand for payment of any of the Borrower Obligations made by the Administrative Agent or any Lender may be rescinded by the Administrative Agent or such Lender and any of the Borrower Obligations continued, and the Borrower Obligations, or the liability of any other Person upon or for any part thereof, or any collateral security or guarantee therefor or right of offset with respect thereto, may, from time to time, in whole or in part, be renewed, extended, amended, modified, accelerated, compromised, waived, surrendered or released by the Administrative Agent or any Lender, and the Credit Agreement and the other Loan Documents and any other documents executed and delivered in connection therewith may be amended, modified, supplemented or terminated, in whole or in part, as the Administrative Agent (or the Required Lenders or all Lenders, as the case may be) may deem advisable from time to time, and any collateral security, guarantee or right of offset at any time held by the Administrative Agent or any Lender for the payment of the Borrower Obligations may be sold, exchanged, waived, surrendered or released. Neither the Administrative Agent nor any Lender shall have any obligation to protect, secure, perfect or insure any Lien at any time held by it as security for the Borrower Obligations or for the guarantee contained in this Section 2 or any property subject thereto.",amendments-etc
"Amendments, Etc. (a) Subject to Section 3.03(c) and the last paragraph of this Section 11.01, no amendment or waiver of any provision of this Agreement or any other Loan Document, and no consent to any departure by the Borrower or any other Loan Party therefrom, shall be effective unless in writing signed by the Required Lenders (or by the Administrative Agent with the consent of the Required Lenders) and the Borrower or the applicable Loan Party, as the case may be, and acknowledged by the Administrative Agent, and each such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given; provided, however, that no such amendment, waiver or consent shall:",amendments-etc
"Amendments, Etc. No supplement, modification or amendment of this Agreement shall be binding unless executed in writing by both of the parties hereto. No waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provisions hereof (whether or not similar) nor shall such waiver constitute a continuing waiver.",amendments-etc
"Amendments, Etc. No amendment or waiver of any provision of this Agreement nor consent to any departure by the Pledgor herefrom shall in any event be effective unless the same shall be in writing and signed by the Pledgee, and then such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given.",amendments-etc
"Amendments, Etc. No amendment or waiver of any provision of this Agreement or the Notes, nor consent to any departure by the Borrower therefrom, shall in any event be effective unless the same shall be in writing and signed by the Required Lenders, and then such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given; provided, however, that no amendment, waiver or consent shall, unless in writing and signed by all the Lenders, do any of the following: (a) waive any of the conditions specified in Section 3.01, (b) increase the Commitments of the Lenders or subject the Lenders to any additional obligations, (c) reduce the principal of, or interest on, the Notes or any fees or other amounts payable hereunder, (d) postpone any date fixed for any payment of principal of, or interest on, the Notes or any fees or other amounts payable hereunder, (e) change the percentage of the Commitments or of the aggregate unpaid principal amount of the Notes, or the number of Lenders, that shall be required for the Lenders or any of them to take any action hereunder or (f) amend this Section 8.01; and provided further that no amendment, waiver or consent shall, unless in writing and signed by the Agent in addition to the Lenders required above to take such action, affect the rights or duties of the Agent under this Agreement or any Note.",amendments-etc
"Amendments, Etc. No amendment or waiver of any provision of this Agreement or the Lender Note, nor consent to any departure by the Company therefrom, shall be effective unless the same shall be in writing and signed by the parties, and then such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given.",amendments-etc
"Amendments, Etc. No amendment or waiver of any provision of this Agreement, nor consent to any departure by any Borrower or PMI therefrom, shall in any event be effective unless the same shall be in writing and signed by the Required Lenders or if such amendment, waiver or consent relates solely to the Lenders or the Swingline Lenders, respectively, the Lenders holding 50.1% of the aggregate Revolving Credit Commitments or Swingline Commitments, respectively, and then such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given; provided, however, that no amendment, waiver or consent shall, unless in writing and signed by all the Lenders affected thereby, do any of the following: (a) waive any of the conditions specified in Sections 3.1 and 3.2, (b) increase the Commitments of the Lenders or subject the Lenders to any additional obligations, (c) reduce the principal of, or interest on, the Advances or any fees or other amounts payable hereunder, (d) postpone any date fixed for any payment of principal of, or interest on, the Advances or any fees or other amounts payable hereunder, (e) change the percentage of the Commitments, or the number of Lenders, that shall be required for the Lenders or any of them to take any action hereunder, (f) release PMI from any of its obligations under Article 8 or (g) amend this Section 9.1; and provided further that no amendment, waiver or consent shall, unless in writing and signed by the Facility Agent in addition to the Lenders required above to take such action, affect the rights or duties of the Facility Agent under this Agreement or any Advance.",amendments-etc
"Amendments, Etc. No amendment, modification, termination or waiver of any provision of any Loan Document or consent to any departure by the Borrower therefrom or any release of a Security Interest shall be effective unless the same shall be in writing and signed by the Lender, and then such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given. No notice to or demand on the Borrower in any case shall entitle the Borrower to any other or further notice or demand in similar or other circumstances.",amendments-etc
"Amendments, Etc. No amendment, modification, termination or waiver of any provision of this Agreement, and no consent to any departure by Pledgor therefrom, shall in any event be effective unless the same shall be in writing and signed by Secured Party and, in the case of any such amendment or modification, by Pledgor. Any such waiver or consent shall be effective only in the specific instance and for the specific purpose for which it was given.",amendments-etc
"Amendments, Etc. (a) No failure on the part of any Credit Party to exercise, and no delay in exercising, any right hereunder shall operate as a waiver thereof; nor shall any single or partial exercise of any right hereunder preclude any other or further exercise thereof or the exercise of any other right. No amendment or waiver of any provision of this Agreement or consent to any departure by any of the Borrower or any Affiliate thereof shall be effective unless in a writing signed by the Administrative Agent and the Majority Lenders (and, in the case of any amendment, also signed by the Borrower), and then such amendment, waiver or consent shall be effective only in the specific instance and for the specific purpose for which given; provided, however, that (A) no amendment, waiver or consent shall, unless in writing and signed by the Servicer, affect the rights or duties of the Servicer under this Agreement; (B) no amendment, waiver or consent shall, unless in writing and signed by the Administrative Agent and each Lender:",amendments-etc
"Amendments, Etc. No amendment or waiver of any provision of this Guaranty nor consent to any departure by any Guarantor herefrom shall in any event be effective unless the same shall be in writing, approved by the Required Lenders (or by all the Lenders where the approval of each Lender is required under the Credit Agreement) and signed by the Administrative Agent, and then such waiver or consent shall be effective only in the specific instance and for the specific purpose for which given.",amendments-etc
"Amendments, Etc. The issuance by the Agent of any amendment, supplement or other modification to any Letter of Credit shall be subject to the same conditions applicable under this Agreement to the issuance of new Letters of Credit (including, without limitation, that the request therefor be made through the Agent), and no such amendment, supplement or other modification shall be issued unless either (i) the respective Letter of Credit affected thereby would have complied with such conditions had it originally been issued hereunder in such amended, supplemented or modified form or (ii) the Requisite Lenders shall have consented thereto. In connection with any such amendment, supplement or other modification, the Borrower shall pay the Fees, if any, payable under the last sentence of Section 3.6.(b).",amendments-etc
