clause_text,clause_type
"Amendments; Waivers. No provision of this Agreement may be waived or amended except in a written instrument signed, in the case of an amendment, by the Company and each Purchaser or, in the case of a waiver, by the party against whom enforcement of any such waiver is sought. No waiver of any default with respect to any provision, condition or requirement of this Agreement shall be deemed to be a continuing waiver in the future or a waiver of any subsequent default or a waiver of any other provision, condition or requirement hereof, nor shall any delay or omission of either party to exercise any right hereunder in any manner impair the exercise of any such right.",amendments-waivers
"Amendments; Waivers. No provision of this Agreement may be waived, modified, supplemented or amended except in a written instrument signed, in the case of an amendment, by the Company and the Purchasers holding at least 67% in interest of the Securities then outstanding or, in the case of a waiver, by the party against whom enforcement of any such waived provision is sought. No waiver of any default with respect to any provision, condition or requirement of this Agreement shall be deemed to be a continuing waiver in the future or a waiver of any subsequent default or a waiver of any other provision, condition or requirement hereof, nor shall any delay or omission of any party to exercise any right hereunder in any manner impair the exercise of any such right.",amendments-waivers
"Amendments; Waivers. No provision of this Agreement may be waived, modified, supplemented or amended except in a written instrument signed, in the case of an amendment, by the Company and Purchasers which purchased at least 50.1% in interest of the Shares based on the initial Subscription Amounts hereunder or, in the case of a waiver, by the party against whom enforcement of any such waived provision is sought, provided that if any amendment, modification or waiver disproportionately and adversely impacts a Purchaser (or group of Purchasers), the consent of such disproportionately impacted Purchaser (or group of Purchasers) shall also be required. No waiver of any default with respect to any provision, condition or requirement of this Agreement shall be deemed to be a continuing waiver in the future or a waiver of any subsequent default or a waiver of any other provision, condition or requirement hereof, nor shall any delay or omission of any party to exercise any right hereunder in any manner impair the exercise of any such right. Any proposed amendment or waiver that disproportionately, materially and adversely affects the rights and obligations of any Purchaser relative to the comparable rights and obligations of the other Purchasers shall require the prior written consent of such adversely affected Purchaser. Any amendment effected in accordance with this Section 5.5 shall be binding upon each Purchaser and holder of Securities and the Company.",amendments-waivers
"Amendments; Waivers. This Agreement may not be modified, amended, or terminated except by an instrument in writing signed by Executive and a duly authorized representative of the Company. By an instrument in writing similarly executed, Executive or a duly authorized officer of the Company, as applicable, may waive compliance by the other Party with any specifically identified provision of this Agreement that such other Party was or is obligated to comply with or perform; provided, however, that such waiver shall not operate as a waiver of, or estoppel with respect to, any other or subsequent failure. No failure to exercise and no delay in exercising any right, remedy, or power hereunder shall preclude any other or further exercise of any other right, remedy, or power provided herein or by law or in equity.",amendments-waivers
"Amendments; Waivers. No provision of this Agreement may be waived, modified, supplemented or amended except in a written instrument signed, in the case of an amendment, by the Company and the Representative. No waiver of any default with respect to any provision, condition or requirement of this Agreement shall be deemed to be a continuing waiver in the future or a waiver of any subsequent default or a waiver of any other provision, condition or requirement hereof, nor shall any delay or omission of any party to exercise any right hereunder in any manner impair the exercise of any such right.",amendments-waivers
"Amendments; Waivers. This Agreement may be amended or modified, and any of the terms and covenants may be waived, only by a written instrument executed by the parties hereto, or, in the case of a waiver, by the party waiving compliance. Any waiver by any party in any one or more instances of any term or covenant contained in this Agreement shall neither be deemed to be nor construed as a further or continuing waiver of any such term or covenant of this Agreement.",amendments-waivers
"Amendments; Waivers. The terms, covenants, representations, warranties and conditions of this Agreement may be changed, amended, modified, waived, discharged or terminated only by a written instrument executed by the party waiving compliance. The failure of any party at any time or times to require performance of any provision of this Agreement shall in no manner affect the right of such party at a later date to enforce the same. No waiver by any party of any condition or the breach of any provision, term, covenant, representation or warranty contained in this Agreement, whether by conduct or otherwise, in any one or more instances shall be deemed to be or construed as a further or continuing waiver of any such condition or of the breach of any other provision, term, covenant, representation or warranty of this Agreement.",amendments-waivers
"Amendments; Waivers. Any provision of this Agreement may be amended or waived if, but only if, such amendment or waiver is in writing and is signed, in the case of an amendment, by each party to this Agreement, or in the case of a waiver, by the party against whom the waiver is to be effective. No failure or delay by any party in exercising any right, power or privilege hereunder shall operate as a waiver thereof nor shall any single or partial exercise thereof preclude any other or further exercise thereof or the exercise of any other right, power or privilege. Except as otherwise provided herein, the rights and remedies herein provided shall be cumulative and not exclusive of any rights or remedies provided by applicable law. Any consent provided under this Agreement must be in writing, signed by the party against whom enforcement of such consent is sought.",amendments-waivers
"Amendments; Waivers. (a) No failure or delay on the part of any party hereto in exercising any right or power hereunder shall operate as a waiver thereof, nor shall any single or partial exercise of any such right or power, or any abandonment or discontinuance of steps to enforce such a right or power, preclude any other or further exercise thereof or the exercise of any other right or power. The rights and remedies of the parties hereto are cumulative and are not exclusive of any rights or remedies that they would otherwise have. No waiver of any provision of this Agreement or consent to any departure by any party therefrom shall in any event be effective unless the same shall be permitted by paragraph (b) of this Section, and then such waiver or consent shall be effective only in the specific instance and for the purpose for which given. No notice or demand on any party hereto in any case shall entitle such party to any other or further notice or demand in similar or other circumstances.",amendments-waivers
"Amendments; Waivers. Subject to Section 8.22 hereof, no amendment, modification or waiver of any of the provisions of this Agreement by any Second Priority Agent or any First Lien Agent shall be deemed to be made unless the same shall be in writing signed on behalf of the party making the same or its authorized agent and each waiver, if any, shall be a waiver only with respect to the specific instance involved and shall in no way impair the rights of the parties making such waiver or the obligations of the other parties to such party in any other respect or at any other time. The Borrower and the other Grantors shall not have any right to consent to or approve any amendment, modification or waiver of any provision of this Agreement except to the extent their rights are adversely affected (in which case the Borrower shall have the right to consent to or approve any such amendment, modification or waiver).",amendments-waivers
