clause_text,clause_type
"Application of Proceeds. Any moneys collected by the Trustee pursuant to this Article in respect of any series shall be applied in the following order at the date or dates fixed by the Trustee and, in case of the distribution of such moneys on account of principal or interest, upon presentation of the several Securities in respect of which monies have been collected and stamping (or otherwise noting) thereon the payment, or issuing Securities of such series in reduced principal amounts in exchange for the presented Securities of like series if only partially paid, or upon surrender thereof if fully paid:",application-of-proceeds
"Application of Proceeds. The proceeds received by the Collateral Agent in respect of any sale of, collection from or other realization upon all or any part of the Collateral pursuant to the exercise by the Collateral Agent of its remedies shall be applied, in full or in part, together with any other sums then held by the Collateral Agent pursuant to this Agreement, promptly by the Collateral Agent as follows:",application-of-proceeds
"Application of Proceeds. At such intervals as may be agreed upon by the Borrower and the Administrative Agent, or, if an Event of Default shall have occurred and be continuing, at any time at the Administrative Agent's election, the Administrative Agent may apply all or any part of Proceeds constituting Collateral, whether or not held in any Collateral Account, and any proceeds of the guarantee set forth in Section 2, in payment of the Obligations in the following order:",application-of-proceeds
"Application of Proceeds. All proceeds realized as the result of any sale of the Collateral shall be applied by Silicon first to the reasonable costs, expenses, liabilities, obligations and attorneys' fees incurred by Silicon in the exercise of its rights under this Agreement, second to the interest due upon any of the Obligations, and third to the principal of the Obligations, in such order as Silicon shall determine in its sole discretion. Any surplus shall be paid to Borrower or other persons legally entitled thereto; Borrower shall remain liable to Silicon for any deficiency. If, Silicon, in its sole discretion, directly or indirectly enters into a deferred payment or other credit transaction with any purchaser at any sale of Collateral, Silicon shall have the option, exercisable at any time, in its sole discretion, of either reducing the Obligations by the principal amount of purchase price or deferring the reduction of the Obligations until the actual receipt by Silicon of the cash therefor.",application-of-proceeds
"Application of Proceeds. Upon the occurrence and during the continuation of an Event of Default, any payments in respect of the Secured Obligations and any proceeds of the Collateral, when received by the Administrative Agent or any of the holders of the Secured Obligations in cash or its equivalent, will be applied in reduction of the Secured Obligations in the order set forth in the Credit Agreement or other document relating to the Secured Obligations, and each Grantor irrevocably waives the right to direct the application of such payments and proceeds and acknowledges and agrees that the Administrative Agent shall have the continuing and exclusive right to apply and reapply any and all such payments and proceeds in the Administrative Agent’s sole discretion, notwithstanding any entry to the contrary upon any of its books and records.",application-of-proceeds
"Application of Proceeds. The Collateral Agent shall apply the proceeds of any collection or sale of the Collateral as well as any Collateral consisting of cash, at any time after receipt in the order specified in Section 11 of the Credit Agreement. Upon any sale of the Collateral by the Collateral Agent (including pursuant to a power of sale granted by statute or under a judicial proceeding), the receipt of the Collateral Agent or of the officer making the sale shall be a sufficient discharge to the purchaser or purchasers of the Collateral so sold and such purchaser or purchasers shall not be obligated to see to the application of any part of the purchase money paid over to the Collateral Agent or such officer or be answerable in any way for the misapplication thereof.",application-of-proceeds
"Application of Proceeds. From and after the date on which the Administrative Agent has taken any action pursuant to this Section 9.2 and until all Obligations of the Loan Parties have been paid in full, any and all proceeds received by the Administrative Agent from any sale or other disposition of the Collateral, or any part thereof, or the exercise of any other remedy by the Administrative Agent, shall be applied as follows:",application-of-proceeds
"Application of Proceeds. The Collateral Agent shall apply the proceeds of any collection or sale of the Collateral, as well as any Collateral consisting of cash, as follows:",application-of-proceeds
"Application of Proceeds. Subject to the Intercreditor Agreements, except as expressly provided elsewhere in this Agreement, all proceeds received by the Collateral Trustee in respect of any sale of, any collection from, or other realization upon all or any part of the Collateral shall be applied in full or in part by the Collateral Trustee against, the Secured Obligations in the following order of priority: first, to the payment of all reasonable costs and expenses of such sale, collection or other realization, including reasonable compensation to the Trustee, the Collateral Trustee and their agents and counsel, and all other expenses, liabilities and advances made or incurred by the Trustee or the Collateral Trustee in connection therewith, and all amounts for which the Trustee or the Collateral Trustee is entitled to indemnification under the Indenture Documents and all advances made by the Collateral Trustee hereunder for the account of the applicable Grantor, and to the payment of all reasonable costs and expenses paid or incurred by the Collateral Trustee in connection with the exercise of any right or remedy hereunder or under the Indenture Documents, all in accordance with the terms hereof or thereof; second, to the extent of any excess of such proceeds, to the payment of all other Secured Obligations for the ratable benefit of the Holders of the Notes; and third, to the extent of any excess of such proceeds, to the to the Company or to such party as a court of competent jurisdiction shall direct including any Guarantor, if applicable.",application-of-proceeds
"Application of Proceeds. The purchase money, proceeds and avails of any disposition of the Property, or any part thereof, or any other sums collected by Lender pursuant to the Note, this Security Instrument or the Other Security Documents, may be applied by Lender to the payment of the Debt in such priority and proportions as Lender in its discretion shall deem proper.",application-of-proceeds
"Application of Proceeds. The proceeds of any sale of, and the Rents and other amounts generated by the holding, leasing, management, operation or other use of the Mortgaged Property, shall be applied by Mortgagee (or the receiver, if one is appointed) in the following order unless otherwise required by applicable law:",application-of-proceeds
"Application of Proceeds. Notwithstanding anything to the contrary contained in this Agreement, upon the occurrence and during the continuance of an Event of Default, Borrower irrevocably waives the right to direct the application of any and all payments at any time or times thereafter received by Agent from or on behalf of Borrower, and Agent shall have the continuing and exclusive right to apply and to reapply any and all payments received at any time or times after the occurrence and during the continuance of an Event of Default. Notwithstanding anything to the contrary contained in this Agreement (including, without limitation, Section 1.1 and Section 1.5 hereof), all payments (including the proceeds of any Asset Disposition or other sale of, or other realization upon, all or any part of the Collateral) received after acceleration of the Obligations shall be applied as follows: first, to all costs and expenses incurred by or owing to Agent and any Lender with respect to this Agreement, the other Loan Documents or the Collateral; second, to accrued and unpaid interest and Fees with respect to the Obligations (including any interest which but for the provisions of the Bankruptcy Code, would have accrued on such amounts); third, to the principal amount of the Obligations outstanding and unpaid Swap Related Reimbursement Obligations and Obligations with respect to Interest Rate Agreements, and to cash collateralize outstanding Letters of Credit (pro rata among all such Obligations based upon the principal amount thereof or the outstanding face amount of such Letters of Credit, as applicable) (and with respect to amounts applied to the Term Loan, pro rata among all remaining Scheduled Installments thereof); and fourth to any other obligations of Borrower owing to Agent or any Lender under the Loan Documents. Any balance remaining shall be delivered to Borrower or to whomever may be lawfully entitled to receive such balance or as a court of competent jurisdiction may direct.",application-of-proceeds
"Application of Proceeds. Except as expressly provided elsewhere in this Agreement, all proceeds received by Secured Party in respect of any sale of, collection from, or other realization upon all or any part of the Collateral shall be applied as provided in the Credit Agreement.",application-of-proceeds
"Application of Proceeds. At such intervals as may be agreed upon by the Borrower and the Lender, or, if an Event of Default has occurred and is continuing at any time at the Lender's election, the Lender may apply all or any part of Proceeds held in any Collateral Account in payment of the Secured Obligations in such order as the Lender may elect, and any part of such funds which the Lender elects not so to apply and deems not required as collateral security for the Secured Obligations shall be paid over from time to time by the Lender to the Borrower or to whomsoever may be lawfully entitled to receive the same. Any balance of such Proceeds remaining after the Secured Obligations shall have been paid in full and the Commitment shall have expired or otherwise been terminated shall be paid over to the Borrower or to whomsoever may be lawfully entitled to receive the same.",application-of-proceeds
"Application of Proceeds. Upon the occurrence and during the continuance of an Event of Default, the proceeds of any sale of, or other realization upon, all or any part of the Collateral and any cash held shall be applied by the Agent in the following order of priorities:",application-of-proceeds
