clause_text,clause_type
"Approvals. All governmental and third party approvals necessary in connection with the continuing operations of the Group Members and the transactions contemplated hereby shall have been obtained and be in full force and effect, and all applicable waiting periods shall have expired without any action being taken or threatened by any competent authority that would restrain, prevent or otherwise impose adverse conditions on the financing contemplated hereby.",approvals
"Approvals. No authorization, approval or consent of any court, governmental body, regulatory agency, self-regulatory organization, or stock exchange or market or the stockholders of the Company is required to be obtained by the Company for the issuance and sale of the Securities to the Buyer as contemplated by this Agreement, except such authorizations, approvals and consents that have been obtained.",approvals
"Approvals. Agent shall have received (i) satisfactory evidence that the Credit Parties have obtained all required consents and approvals of all Persons including all requisite Governmental Authorities, to the execution, delivery and performance of this Agreement and the other Loan Documents and the consummation of the Related Transactions or (ii) an officer’s certificate in form and substance reasonably satisfactory to Agent affirming that no such consents or approvals are required.",approvals
"Approvals. No authorizations, approvals or consents of, and no filings or registrations with, any Governmental Authority or any other Person are necessary for the execution, delivery or performance by any Obligor of the Loan Documents to which it is a party or for the validity or enforceability thereof, except for the recording and filing of the Security Instruments as required by this Agreement.",approvals
"Approvals. No authorization, consent, license or exemption from, or filing or registration with, any court or governmental department, agency or instrumentality, nor any approval or consent of any other Person, is or will be necessary to the valid execution, delivery or performance by the Borrower or any Subsidiary of any Loan Document, except for such approvals which have been obtained prior to the date of this Agreement and remain in full force and effect.",approvals
"Approvals. Except to the extent the failure to obtain or make the same would not reasonably be expected to have a Material Adverse Effect, no order, consent, approval, license, authorization or validation of, or filing, recording or registration with (except for (x) those that have otherwise been obtained or made on or prior to the Closing Date and which remain in full force and effect on the Closing Date and (y) filings which are necessary to perfect the security interests created under the Security Documents), or exemption by, any governmental or public body or authority, or any subdivision thereof, is required to be obtained or made by, or on behalf of, any Credit Party to authorize, or is required to be obtained or made by, or on behalf of, any Credit Party in connection with, the execution, delivery and performance of any Credit Document.",approvals
"Approvals. All necessary governmental (domestic and foreign) and third party approvals in connection with this Agreement and the transactions contemplated hereby and otherwise referred to herein shall have been obtained and remain in effect, and all applicable waiting periods shall have expired without any action being taken by any competent authority which restrains, prevents or imposes materially adverse conditions upon the consummation of all or any part of this Agreement or the transactions contemplated hereby and otherwise referred to herein except for those approvals of non-Governmental Authorities under contracts which are not material and which are not required to be delivered at the closing thereof. Additionally, there shall not exist any judgment, order, injunction or other restraint issued or filed or a hearing seeking injunctive relief or other restraint pending or notified prohibiting or imposing material adverse conditions upon all or any part of this Agreement or the transactions contemplated hereby, or the making of the Loans or the issuance of Letters of Credit;",approvals
"Approvals. No authorizations, approvals or consents of, and no filings or registrations with, any Governmental Authority or any securities exchange are necessary for the execution, delivery or performance by the Borrower of the Loan Documents or for the legality, validity or enforceability thereof, except for filings and recordings in respect of the Liens created pursuant to this Loan Agreement.",approvals
"Approvals. No authorizations, approvals or consents of, and no filings or registrations with, any Governmental Authority are necessary for the execution, delivery or performance by each Borrower of this Agreement or for the validity or enforceability hereof.",approvals
"Approvals. All approvals, authorizations, consents, orders or other actions of any person, corporation or other organization, or of any court, governmental agency or body or official, required in connection with the execution and delivery by the Seller of this Agreement and the other Related Documents to which it is a party, and the consummation of the transactions contemplated hereby and thereby have been or will be taken or obtained on or prior to the Closing Date and each Transfer Date.",approvals
"Approvals. The execution, delivery and performance of this Amendment and the transactions contemplated hereby do not require the approval or consent of or approval of any Person or the authorization, consent, approval of or any license or permit issued by, or any filing or registration with, or the giving of any notice to, any court, department, board, commission or other governmental agency or authority other than those already obtained.",approvals
"Approvals. As of the date of this Agreement, Company knows of no reason why all regulatory approvals from any Governmental Entity required for the consummation of the transactions contemplated by this Agreement should not be obtained on a timely basis.",approvals
"Approvals. No authorization, approval, or consent of, and no filing or registration with, any Governmental Authority or third party is or will be necessary for the execution, delivery, or performance by Borrower or any other Obligated Party of this Agreement and the other Loan Documents to which such Person is or may become a party or the validity or enforceability thereof.",approvals
"Approvals. All consents, authorizations and approvals of, and filings and registrations with, and all other actions in respect of, any Governmental Authority or other Person required in connection with the making of the Loans or the conduct of the Loan Parties' business shall have been obtained and shall be in full force and effect.",approvals
"Approvals. All approvals, licenses, authorizations, consents, orders or other actions of any person, corporation or other organization, or of any court, governmental agency or body or official, required in connection with the execution and delivery of this Agreement have been or will be taken or obtained on or prior to the Closing Date, except where failure to obtain the same would not have a material adverse effect upon the rights of the Depositor, the Trust, the Noteholders or the Certificateholders.",approvals
"Approvals. Except for filings with the PSCWV for revised Environmental Control Charges, pursuant to Article IV and Annex 1 hereto and the filing of financing statements or continuation statements under the UCC, no approval, authorization, consent, order or other action of, or filing with, any court, federal or state regulatory body, administrative agency or other governmental instrumentality is required in connection with the execution and delivery by the Servicer of this Agreement, the performance by the Servicer of the transactions contemplated hereby or the fulfillment by the Servicer of the terms hereof, except those that have been obtained or made.",approvals
"Approvals. If consent is required for some action under this Agreement, or except as otherwise provided herein an approval of the Lenders, the Majority Lenders or the Required Lenders is required or permitted under this Agreement, each Lender agrees to give the Agent, within ten (10) days of receipt of the request for action together with all reasonably requested information related thereto (or such lesser period of time required by the terms of the Loan Documents), notice in writing of approval or disapproval (collectively “Directions”) in respect of any action requested or proposed in writing pursuant to the terms hereof. To the extent that any Lender does not approve any recommendation of Agent, such Lender shall in such notice to Agent describe the actions that would be acceptable to such Lender. If consent is required for the requested action, any Lender’s failure to respond to a request for Directions within the required time period shall be deemed to constitute a Direction to take such requested action. In the event that any recommendation is not approved by the requisite number of Lenders and a subsequent approval on the same subject matter is requested by Agent, then for the purposes of this paragraph each Lender shall be required to respond to a request for Directions within five (5) Business Days of receipt of such request. Agent and each Lender shall be entitled to assume that any officer of the other Lenders delivering any notice, consent, certificate or other writing is authorized to give such notice, consent, certificate or other writing unless Agent and such other Lenders have otherwise been notified in writing.",approvals
"Approvals. No approval, authorization, consent, order or other action of, or filing with, any Governmental Authority is required in connection with the execution and delivery by the Servicer of this Agreement, the performance by the Servicer of the transactions contemplated hereby or the fulfillment by the Servicer of the terms hereof, except those that have been obtained or made, those that the Servicer is required to make in the future pursuant to Article IV and those that the Servicer may need to file in the future to continue the effectiveness of any financing statement filed under the UCC.",approvals
"Approvals. Any material license, consent, authorization, registration or approval at any time necessary to enable the Borrower or any Principal Subsidiary to conduct its business shall be revoked, withdrawn or otherwise cease to be in full force and effect, unless the same would not have a Material Adverse Effect.",approvals
"Approvals. No approval from the holders of outstanding Common Units is required under the Partnership Agreement or the rules of NASDAQ in connection with CPLP’s issuance and sale of the Purchased Units to the Purchasers. Except for the approvals required by the Commission in connection with any registration statement filed under the Registration Rights Agreement, and for approvals that have already been obtained, no authorization, consent, approval, waiver, license, qualification or written exemption from, nor any filing, declaration, qualification or registration with, any Governmental Authority or any other Person is required in connection with the execution, delivery or performance by any Capital Entity of any of the Basic Documents to which it is a party, except where the failure to receive such authorization, consent, approval, waiver, license, qualification or written exemption from, or to make such filing, declaration, qualification or registration would not, individually or in the aggregate, reasonably be expected to have a CPLP Material Adverse Effect.",approvals
"Approvals. No consent, approval, order or authorization of, or registration, declaration or filing with, any governmental authority or other Person (including, without limitation, the shareholders of any Person) is required in connection with the execution and delivery of the Transaction Documents executed by the Company and the performance and consummation of the transactions contemplated thereby, other than such as have been obtained and remain in full force and effect and other than such qualifications or filings under applicable securities laws as may be required in connection with the transactions contemplated by this Agreement.",approvals
"Approvals. The execution and delivery by Owner of the Operative Agreements to which Owner is a party, the performance by Owner of its obligations thereunder and the consummation by Owner on the Closing Date of the transactions contemplated thereby do not and will not require the consent or approval of, or the giving of notice to, or the registration with, or the recording or filing of any documents with, or the taking of any other action in respect of, (a) any trustee or other holder of any Debt of Owner and (b) any Government Entity, other than the filing of (x) the FAA Filed Documents and the Financing Statements (and continuation statements periodically) and (y) filings, recordings, notices or other ministerial actions pursuant to any routine recording, contractual or regulatory requirements applicable to it.",approvals
"Approvals. All material governmental, shareholder and third party consents and approvals necessary in connection with the consummation of the aspects of the Transaction occurring on the Closing Date, and the related financings and other transactions contemplated hereby and thereby, shall have been duly obtained and all applicable waiting periods shall have expired without any action being taken by any competent authority that could reasonably be expected to restrain, prevent or impose any materially adverse conditions on the aspects of the Transaction occurring on the Closing Date or the continued operations of Sabre or any of its Subsidiaries. Sabre shall have delivered to the Lead Arranger copies of all licenses, approvals or evidence of other actions required by any Governmental Authority in connection with the execution and delivery by Obligors of this Agreement or any other Loan Document or with the consummation of the aspects of the Transaction occurring on the Closing Date and the transactions contemplated hereby and thereby.",approvals
"Approvals. No consent, approval, authorization or order of, registration or filing with, or notice to any governmental authority or court is required under applicable law in connection with the execution, delivery and performance by Seller of this Agreement, any Transaction Notice and the Program Agreements.",approvals
"Approvals. No authorization, consent or approval of, or registration or filing with, any governmental authority or any other person is required to be obtained or made by Buyer in connection with the execution, delivery or performance of this Agreement.",approvals
"Approvals. All authorizations, consents, orders or approvals of, or declarations or filings with or expiration of waiting periods imposed by any Governmental Authority necessary for the consummation of the transactions contemplated hereby shall have been obtained or made or shall have occurred.",approvals
"Approvals. The execution and delivery by WTC, in its individual capacity or as Mortgagee, a Pass Through Trustee or Subordination Agent, as the case may be, of the Pass Through Trustee Agreements and the Operative Agreements to which it is a party, the performance by WTC, in its individual capacity or as Mortgagee, a Pass Through Trustee or Subordination Agent, as the case may be, of its obligations thereunder and the consummation on the Closing Date by WTC, in its individual capacity or as Mortgagee, a Pass Through Trustee or Subordination Agent, as the case may be, of the transactions contemplated thereby do not and will not require the consent, approval or authorization of, or the giving of notice to, or the registration with, or the recording or filing of any documents with, or the taking of any other action in respect of, (a) any trustee or other holder of any Debt of WTC or (b) any Government Entity, other than the filing of the FAA Filed Documents and the Financing Statements.",approvals
