clause_text,clause_type
"Arbitration. Disputes arising under or in connection with this Agreement that are not resolved pursuant to Section 5.1, including requests for specific performance, will be resolved through binding arbitration conducted pursuant to the rules of the International Court of Arbitration of the International Chamber of Commerce. The arbitration will be conducted in the English language and will occur in Geneva, Switzerland, unless another location is mutually agreed upon by Registry Operator and ICANN. Any arbitration will be in front of a single arbitrator, unless (i) ICANN is seeking punitive or exemplary damages, or operational sanctions, (ii) the parties agree in writing to a greater number of arbitrators, or (iii) the dispute arises under Section 7.6 or 7.7. In the case of clauses (i), (ii) or (iii) in the preceding sentence, the arbitration will be in front of three arbitrators with each party selecting one arbitrator and the two selected arbitrators selecting the third arbitrator. In order to expedite the arbitration and limit its cost, the arbitrator(s) shall establish page limits for the parties’ filings in conjunction with the arbitration, and should the arbitrator(s) determine that a hearing is necessary, the hearing shall be limited to one (1) calendar day, provided that in any arbitration in which ICANN is seeking punitive or exemplary damages, or operational sanctions, the hearing may be extended for one (1) additional calendar day if agreed upon by the parties or ordered by the arbitrator(s) based on the arbitrator(s) independent determination or the reasonable request of one of the parties thereto. The prevailing party in the arbitration will have the right to recover its costs and reasonable attorneys’ fees, which the arbitrator(s) shall include in the awards. In the event the arbitrators determine that Registry Operator has been repeatedly and willfully in fundamental and material breach of its obligations set forth in Article 2, Article 6 or Section 5.4 of this Agreement, ICANN may request the arbitrators award punitive or exemplary damages, or operational sanctions (including without limitation an order temporarily restricting Registry Operator’s right to sell new registrations). Each party shall treat information received from the other party pursuant to the arbitration that is appropriately marked as confidential (as required by Section 7.15) as Confidential Information of such other party in accordance with Section 7.15. In any litigation involving IC...",arbitration
"Arbitration. Any dispute or controversy arising under or in connection with this Agreement shall be settled exclusively by arbitration, conducted before a panel of three arbitrators sitting in a location selected by Executive within fifty (50) miles from the location of the Bank, in accordance with the rules of the American Arbitration Association then in effect. Judgment may be entered on the arbitrator’s award in any court having jurisdiction; provided, however, that Executive shall be entitled to seek specific performance of his right to be paid until the Date of Termination during the pendency of any dispute or controversy arising under or in connection with this Agreement.",arbitration
"Arbitration. Any controversy or claim arising out of or relating to this Agreement, or the breach thereof, shall be settled exclusively by arbitration in Boston, Massachusetts in accordance with the Commercial Arbitration Rules of the American Arbitration Association then in effect, and judgment upon the award rendered by the arbitrator(s) may be entered in any court having jurisdiction thereof.",arbitration
"Arbitration. If there is a disagreement or dispute between the parties with respect to this Agreement or the interpretation thereof, such disagreement or dispute will be referred to binding arbitration to be conducted by a single arbitrator, if Executive and the Corporation agree upon one, otherwise by three arbitrators appointed as hereinafter set out, pursuant to the provisions of the Arbitrations Act 1991 (Ontario) and any amendments thereto. A party who wishes to arbitrate shall give written notice of such intention to the other party (a “Notice of Intention”). The arbitrator shall be appointed by agreement by agreement of Executive and the Corporation or, in default of agreement within ten (10) Business Days of service of the Notice of Intention, each of Executive and the Corporation shall within five (5) Business Days of the expiry of the aforesaid ten (10) Business Day period, select one arbitrator and notify the other of its selection, with the third arbitrator to be chosen by the first two named arbitrators within five (5) Business Days of the expiry of the aforesaid five (5) Business Day period. If one of the parties does not so notify the other of its selection within the prescribed time, then the arbitrator selected by the other party in accordance with the above procedure shall be the sole arbitrator. The arbitration shall be held in the City of Toronto. The procedure to be followed shall be as agreed by the parties or, in default of agreement, determined by the arbitrator(s), provided, however, that depositions or examinations for discovery will not be allowed but information may be exchanged by other means. The parties will use their best efforts to ensure that the arbitration hearing is conducted no later than sixty (60) days after the arbitrator is, or arbitrators are, selected. The final decision of the arbitrator or arbitrators or any two of the three arbitrators will be furnished to the parties in writing and will constitute a conclusive determination of the issue in question, binding upon the parties, without right of appeal. The fees and expenses of the arbitration shall be in the discretion of the arbitrator(s). Judgment upon the award may be entered in any court of competent jurisdiction.",arbitration
"Arbitration. (a) Each and every controversy or claim arising out of or relating to this Agreement shall be settled by arbitration in Philadelphia, Pennsylvania, in accordance with the commercial rules (the ""Rules"") of the American Arbitration Association then obtaining, and judgment upon the award rendered in such arbitration shall be final and binding upon the parties and may be confirmed in any court having jurisdiction thereof. Notwithstanding the foregoing, this Agreement to arbitrate shall not bar any party from seeking temporary or provisional remedies in any Court having jurisdiction. Notice of the demand for arbitration shall be filed in writing with the other party to this Agreement, which such demand shall set forth in the same degree of particularity as required for complaints under the Federal Rules of Civil Procedure the claims to be submitted to arbitration. Additionally, the demand for arbitration shall be stated with reasonable particularity with respect to such demand with documents attached as appropriate. In no event shall the demand for arbitration be made after the date when institution of legal or equitable proceedings based on such claim, dispute or other matter in question would be barred by the applicable statutes of limitations.",arbitration
"Arbitration. Any dispute arising out of or relating to this Agreement or the alleged breach of it, or the making of this Agreement, including claims of fraud in the inducement, shall be discussed between the disputing parties in a good faith effort to arrive at a mutual settlement of any such controversy. If, notwithstanding, such dispute cannot be resolved, such dispute shall be settled by binding arbitration. Judgment upon the award rendered by the arbitrator may be entered in any court having jurisdiction thereof. The arbitrator shall be a retired state or federal judge or an attorney who has practiced securities or business litigation for at least 10 years. If the parties cannot agree on an arbitrator within 20 days, any party may request that the chief judge of the District Court for Hennepin County, Minnesota, select an arbitrator. Arbitration will be conducted pursuant to the provisions of this Agreement, and the commercial arbitration rules of the American Arbitration Association, unless such rules are inconsistent with the provisions of this Agreement. Limited civil discovery shall be permitted for the production of documents and taking of depositions. Unresolved discovery disputes may be brought to the attention of the arbitrator who may dispose of such dispute. The arbitrator shall have the authority to award any remedy or relief that a court of this state could order or grant; provided, however, that punitive or exemplary damages shall not be awarded. The arbitrator may award to the prevailing party, if any, as determined by the arbitrator, all of its costs and fees, including the arbitrator’s fees, administrative fees, travel expenses, out-of-pocket expenses and reasonable attorneys’ fees. Unless otherwise agreed by the parties, the place of any arbitration proceedings shall be Hennepin County, Minnesota.",arbitration
"Arbitration. Any controversy, claim or dispute arising out of or relating to this Agreement, shall be settled solely and exclusively by a binding arbitration process administered by JAMS/Endispute in Boston, Massachusetts. Such arbitration shall be conducted in accordance with the then-existing JAMS/Endispute Rules of Practice and Procedure, with the following exceptions if in conflict: (i) one arbitrator who is a retired judge shall be chosen by JAMS/Endispute; (ii) each Party to the arbitration will pay one-half of the expenses and fees of the arbitrator, together with other expenses of the arbitration incurred or approved by the arbitrator; and (iii) arbitration may proceed in the absence of any Party if written notice (pursuant to the JAMS/Endispute rules and regulations) of the proceedings has been given to such Party. Each Party shall bear its own attorney’s fees and expenses; provided that the arbitrator may assess the prevailing Party’s fees and costs against the non-prevailing Party as part of the arbitrator’s award. The Parties agree to abide by all decisions and awards rendered in such proceedings. Such decisions and awards rendered by the arbitrator shall be final and conclusive. All such controversies, claims or disputes shall be settled in this manner in lieu of any action at law or equity; provided, however, that nothing in this subsection shall be construed as precluding the bringing of an action for injunctive relief or specific performance as provided in this Agreement or the Restrictive Covenant Agreement. This dispute resolution process and any arbitration hereunder shall be confidential and neither any Party nor the neutral arbitrator shall disclose the existence, contents or results of such process without the prior written consent of all Parties, except where necessary or compelled in a court to enforce this arbitration provision or an award from such arbitration or otherwise in a legal proceeding. If JAMS/Endispute no longer exists or is otherwise unavailable, the Parties agree that the American Arbitration Association (“AAA”) shall administer the arbitration in accordance with its then-existing rules as modified by this subsection. In such event, all references herein to JAMS/Endispute shall mean AAA. Notwithstanding the foregoing, Executive and the Company each have the right to resolve any issue or dispute over intellectual property rights by court action instead of arbitration.",arbitration
"Arbitration. Any dispute, claim or controversy arising from, relating to, or in connection with this Agreement, including without limitation any question regarding its existence, validity, termination, or the performance or breach thereof, shall be referred to and finally resolved and settled by arbitration administered by International Chamber of Commerce International Court of Arbitration (the “ICC”), in accordance with ICC Rules of Arbitration in effect at the time of the arbitration, which rules are deemed to be incorporated by reference into this clause except as they may be modified herein or by agreement of the parties. Each party hereby irrevocably waives its right to commence any proceedings in any court with respect to any matter subject to arbitration under this Agreement. The arbitral tribunal shall consist of three arbitrators. Each party shall nominate one arbitrator, the party requesting arbitration concurrently with such request and the other party within fifteen (15) calendar days from receipt of the request for arbitration. In the event a party fails to nominate an arbitrator or deliver notification of such nomination to the other party and to the ICC within this time period, upon request of either party, such arbitrator shall instead be appointed by the ICC within fifteen (15) calendar days receiving such request in accordance with the Rules of Arbitration. The two arbitrators appointed in accordance with the above provisions shall nominate the third arbitrator and notify the parties and the ICC in writing of such nomination within fifteen (15) calendar days of their appointment. If the first two appointed arbitrators fail to nominate a third arbitrator or notify the parties and the ICC of that nomination within this time period, then, upon request of either party, the third arbitrator shall be appointed by the ICC within fifteen (15) calendar days of receiving such request in accordance with the Rules of Arbitration. The third arbitrator shall serve as Chairman of the arbitral tribunal. The place of arbitration shall be Paris, France. The language of the arbitration shall be English. No arbitrator shall be an employee, officer or director of either party or of their respective affiliates, nor shall any Arbitrator have any interest that would be affected in any material respect by the outcome of the dispute. The decision of a majority of the arbitrators shall be final and binding on the parties and their respective successors and assigns and the part...",arbitration
"Arbitration. Except for disputes arising under Sections 5 and 6 of this Agreement (including, without limitation, any claim for injunctive relief), any controversy, dispute or claim arising out of or relating to this Agreement, or its interpretation, application, implementation, breach or enforcement which the Parties are unable to resolve by mutual agreement, shall be settled by submission by either Executive or the Company of the controversy, claim or dispute to binding arbitration in New York (unless the Parties agree in writing to a different location), before a single arbitrator in accordance with the Employment Dispute Resolution Rules of the American Arbitration Association then in effect. In any such arbitration proceeding the Parties agree to provide all discovery deemed necessary by the arbitrator. The decision and award made by the arbitrator shall be accompanied by a reasoned opinion, and shall be final, binding and conclusive on all Parties hereto for all purposes, and judgment may be entered thereon in any court having jurisdiction thereof. The Company will bear the totality of the arbitrator’s and administrative fees and costs. Each party shall bear its or his litigation costs and expenses; provided, however, that the arbitrator shall have the discretion to award the prevailing party reimbursement of its or his reasonable attorney’s fees and costs. Upon the request of any of the parties, at any time prior to the beginning of the arbitration hearing the parties may attempt in good faith to settle the dispute by mediation administered by the American Arbitration Association. The Company will bear the totality of the mediator’s and administrative fees and costs.",arbitration
Arbitration. Any dispute or controversy arising under or in connection with this Agreement shall be settled exclusively by arbitration in accordance with the rules of the American Arbitration Association then in effect. Judgment may be entered on the arbitrator's award in any court having jurisdiction.,arbitration
