clause_text,clause_type
"Assignability. The Bank may assign this Agreement and its rights and obligations hereunder in whole, but not in part, to any corporation, bank or other entity with or into which the Bank may hereafter merge or consolidate or to which the Bank may transfer all or substantially all of its assets, if in any such case said corporation, bank or other entity shall by operation of law or expressly in writing assume all obligations of the Bank hereunder as fully as if it had been originally made a party hereto, but may not otherwise assign this Agreement or its rights and obligations hereunder. The Executive may not assign or transfer this Agreement or any rights or obligations hereunder.",assignability
"Assignability. Neither this Agreement nor any right, remedy, obligation or liability arising hereunder or by reason hereof shall be assignable by the Company or the Employee without the prior written consent of the other party.",assignability
"Assignability. This Agreement is not assignable by Subscriber, and may not be modified, waived or terminated except by an instrument in writing signed by the party against whom enforcement of such modification, waiver or termination is sought.",assignability
"Assignability. Except as set forth in any Ancillary Agreement, this Agreement and each Ancillary Agreement shall be binding upon and inure to the benefit of the Parties and the parties thereto, respectively, and their respective successors and permitted assigns; provided, however, that neither Party nor any such party thereto may assign its rights or delegate its obligations under this Agreement or any Ancillary Agreement without the express prior written consent of the other Party hereto or other parties thereto, as applicable. Notwithstanding the foregoing, no such consent shall be required for the assignment of a party’s rights and obligations under this Agreement and the Ancillary Agreements (except as may be otherwise provided in any such Ancillary Agreement) in whole (i.e., the assignment of a party’s rights and obligations under this Agreement and all Ancillary Agreements all at the same time) in connection with a change of control of a Party so long as the resulting, surviving or transferee Person assumes all the obligations of the relevant party thereto by operation of Law or pursuant to an agreement in form and substance reasonably satisfactory to the other Party.",assignability
"Assignability. This Agreement shall be binding upon, and shall be enforceable by and inure solely to the benefit of, the parties hereto and their respective successors and assigns; provided, however, that neither this Agreement nor any of a party’s rights or obligations hereunder may be assigned or delegated by such party without the prior written consent of the other parties hereto, and any attempted assignment or delegation of this Agreement or any of such rights or obligations by such party without the other party’s prior written consent shall be void and of no effect. Nothing in this Agreement, express or implied, is intended to or shall confer upon any Person (other than the parties hereto) any right, benefit or remedy of any nature whatsoever under or by reason of this Agreement.",assignability
"Assignability. The rights and obligations of the Company under this Agreement shall inure to the benefit of and be binding upon the successors and assigns of the Company, provided that such successor or assign shall acquire all or substantially all of the securities or assets and business of the Company. The Executive’s obligations hereunder may not be assigned or alienated and any attempt to do so by the Executive will be void.",assignability
"Assignability. This Subscription Agreement and the rights, interests and obligations hereunder are not transferable or assignable by the Purchaser and the transfer or assignment of any of the Securities will be made only in accordance with all applicable laws.",assignability
Assignability. This Agreement is not transferable or assignable by the undersigned.,assignability
Assignability. This Agreement shall not be assigned by either party without the prior written consent of the other.,assignability
"Assignability. This Note shall be binding upon the Borrower and its successors and assigns, and shall inure to the benefit of the Holder and its successors and assigns.",assignability
"Assignability. Except as set forth in any Ancillary Agreement, this Agreement and each Ancillary Agreement shall be binding upon and inure to the benefit of the parties hereto and thereto, respectively, and their respective successors and assigns; provided, however, that no party hereto or thereto may assign its respective rights or delegate its respective obligations under this Agreement or any Ancillary Agreement without the express prior written consent of the other parties hereto or thereto.",assignability
Assignability. Neither this Agreement nor any of the parties' rights hereunder shall be assignable by any party hereto without the prior written consent of the other parties hereto.,assignability
"Assignability. The Subrecipient shall not assign or transfer any interest in this Agreement without the prior written consent of the Grantee thereto; provided, however, that claims for money due or to become due to the Subrecipient from the Grantee under this contract may be assigned to a bank, trust company, or other financial institution without such approval. Notice of any such assignment or transfer shall be furnished promptly to the Grantee.",assignability
Assignability. This Agreement shall not be assigned by the Escrow Agent without the Company’s prior written consent.,assignability
"Assignability. The Executive may not assign his interest in or delegate his duties under this Agreement. This Agreement is for the employment of the Executive, personally, and the services to be rendered by him under this Agreement must be rendered by him and no other person. This Agreement shall be binding upon and inure to the benefit of and be enforceable by the Company and its successors and assigns. Without limiting the foregoing and notwithstanding anything else in this Agreement to the contrary, the Company may assign this Agreement to, and all rights hereunder shall inure to the benefit of, any subsidiary of the Company or any person, firm or corporation resulting from the reorganization of the Company or succeeding to the business or assets of the Company by purchase, merger, consolidation or otherwise.",assignability
"Assignability. This Agreement shall be binding upon, and shall be enforceable by and inure to the benefit of, the parties hereto and their respective heirs, legal representatives, successors and assigns; provided, however, that this Agreement may not be assigned (except by operation of law) by any party without the prior written consent of the other parties, and any attempted assignment without such consent shall be void and of no effect, except that the Operating Partnership, may assign its rights and obligations hereunder to an affiliate.",assignability
