clause_text,clause_type
Assignment. This Agreement and all rights and obligations hereunder may not be assigned without the written consent of the other party.,assignment
"Assignment. Neither this Agreement nor any of the rights, interests or obligations hereunder shall be assigned by any of the parties hereto (whether by operation of law or otherwise) without the prior written consent of the other parties. Subject to the preceding sentence, this Agreement will be binding upon, inure to the benefit of and be enforceable by the parties and their respective successors and assigns.",assignment
"Assignment. This Agreement shall extend to and be binding upon the parties hereto and their respective successors and assigns; provided, however, that this Agreement shall not be assignable by the Trust without the written consent of USBFS, or by USBFS without the written consent of the Trust accompanied by the authorization or approval of the Trust’s Board of Trustees.",assignment
Assignment. This Agreement may not be assigned by either party without prior written consent of the other party.,assignment
"Assignment. Neither this Agreement nor any of the rights, interests or obligations under this Agreement shall be assigned, in whole or in part, by operation of law or otherwise by any of the parties without the prior written consent of the other parties. Subject to the preceding sentence, this Agreement will be binding upon, inure to the benefit of, and be enforceable by, the parties and their respective successors and assigns.",assignment
"Assignment. Notwithstanding anything to the contrary contained herein, except as provided in Section 6.02, this Agreement may not be assigned by the Master Servicer without the prior written consent of the Trustee and Depositor.",assignment
"Assignment. Neither this Agreement nor any of the rights, interests or obligations under this Agreement shall be assigned, in whole or in part, by operation of law or otherwise by any of the parties without the prior written consent of the other parties, except that Sub may assign, in its sole discretion, any of or all its rights, interests and obligations under this Agreement to Parent or to any direct or indirect wholly owned subsidiary of Parent, but no such assignment shall relieve Sub of any of its obligations under this Agreement. Any purported assignment without such consent shall be void. Subject to the preceding sentences, this Agreement will be binding upon, inure to the benefit of, and be enforceable by, the parties and their respective successors and assigns.",assignment
"Assignment. Except as expressly provided herein, and without limitation of the Parties’ right to license or sublicense their rights to Licensed Products to Third Parties, as contemplated by this Agreement, neither Party may assign or transfer (collectively “assign”) this Agreement, or any rights or obligations under this Agreement, without the prior written consent of the other, which consent may be withheld in the consenting Party’s discretion; provided, however, that, subject to Section 13.18, a Party may make such an assignment without the other Party’s consent (i) to an Affiliate, provided that such Affiliate agrees in writing to be bound by the terms and conditions of this Agreement and that the assigning Party remains liable for the full and complete performance of its obligations arising hereunder prior to such assignment; (ii) in conjunction with a Change of Control of such Party; or (iii) in conjunction with the sale of a Party, or all or substantially all assets of such Party related to the subject matter of this Agreement, to, or the merger of a Party with, any Third Party. This Agreement shall be binding upon the successors and permitted assigns of the Parties. Any assignment or attempted assignment by either Party in violation of the terms of this Section 13.7 shall be null and void and of no legal effect.",assignment
Assignment. The rights and obligations under this Agreement may not be assigned by either party hereto without the prior written consent of the other party.,assignment
"Assignment. No party may assign either this Agreement or any of its rights, interests, or obligations hereunder without the prior written approval of the other parties. Subject to the preceding sentence, this Agreement shall be binding upon and shall inure to the benefit of the parties hereto and their respective successors and permitted assigns.",assignment
"Assignment. This Agreement and all of the provisions hereof shall be binding upon and inure to the benefit of the parties hereto and their respective successors and permitted assigns, but neither this Agreement nor any of the rights, interests or obligations hereunder shall be assigned by any of the parties hereto without the prior written consent of the other parties.",assignment
