clause_text,clause_type
"Assignments. The Member may at any time assign in whole or in part its limited liability company interest in the Company. If the Member transfers all of its interest in the Company pursuant to this Section 18, the transferee shall be admitted to the Company upon its execution of an instrument signifying its agreement to be bound by the terms and conditions of this Agreement. Such admission shall be deemed effective immediately prior to the transfer, and, immediately following such admission, the transferor Member shall cease to be a member of the Company.",assignments
"Assignments. No Member may sell, assign, encumber or otherwise transfer in whole or in part its limited liability company interest at any time to any person or entity without the consent of the Managing Member. If a Member transfers its limited liability company interest in the Company, the transferee may be admitted to the Company as a member of the Company upon the approval of the Managing Member and such transferee’s execution of an instrument signifying its agreement to be bound by the terms and conditions of this Agreement, as this Agreement may be amended or restated, which instrument may be a counterpart signature page to this Agreement or a restatement thereof. Such admission shall be deemed effective immediately prior to the transfer and, immediately following such admission, the transferor Member shall cease to be a member of the Company. Notwithstanding anything in this Agreement to the contrary, any successor to a Member by merger or consolidation shall, without further act, be a Member hereunder without any action by any person or entity, and such merger or consolidation shall not constitute an assignment for purposes of this Agreement and Company shall continue without dissolution.",assignments
"Assignments. Except as otherwise specifically provided herein, no party hereto may assign either this Agreement or any of its rights, interests, or obligations hereunder without the prior written approval of the other party.",assignments
"Assignments. Any Lender may, in the ordinary course of its commercial lending business and in accordance with applicable law, at any time and from time to time, assign to any Lender or any Affiliate or Approved Fund thereof or, with the consent of the Borrower, the Administrative Agent and the Issuing Lender (which consent of the Borrower, the Administrative Agent and the Issuing Lender shall not be unreasonably withheld or delayed and which consent shall not be required from the Borrower during the continuation of an Event of Default), to an additional bank or financial institution (an ""Assignee"") all or any part of its rights and obligations under this Agreement and the other Loan Documents pursuant to an Assignment and Acceptance, substantially in the form of Exhibit E (an ""Assignment and Acceptance""), executed by such Assignee, such assigning Lender, and (to the extent required by this paragraph) the Administrative Agent and the Issuing Lender (and, in the case of an Assignee that is not then a Lender or an Affiliate thereof, by the Borrower) and delivered to the Administrative Agent for its acceptance and recording in the Register, provided that, in the case of any such assignment to an additional bank or financial institution, (i) the sum (without duplication) of the aggregate principal amount of the Commitments and Exposure being assigned shall not be less than $5,000,000 (or such lesser amount as may be agreed to by the Borrower and the Administrative Agent) and (ii) the sum (without duplication) of the aggregate principal amount of the Commitments and Exposure retained by the assigning Lender, if any, shall not be less than $5,000,000 (or such lesser amount as may be agreed to by the Borrower and the Administrative Agent). Upon such execution, delivery, acceptance and recording, from and after the effective date determined pursuant to such Assignment and Acceptance, (x) the Assignee thereunder shall be a party hereto and, to the extent provided in such Assignment and Acceptance, have the rights and obligations of a Lender hereunder with a Commitment as set forth therein, and (y) the assigning Lender thereunder shall, to the extent provided in such Assignment and Acceptance, be released from its obligations under this Agreement (and, in the case of an Assignment and Acceptance covering all or the remaining portion of an assigning Lender's rights and obligations under this Agreement, such assigning Lender shall cease to be a party hereto), but shall retain its r...",assignments
"Assignments. Any Lender may assign to one or more Eligible Assignees all or any portion of its rights and obligations under this Agreement (including, without limitation, all or a portion of its Commitments, the Advances owing to it, the Notes held by it, and the participation interest in the Letter of Credit Obligations held by it); provided, however, that (i) each such assignment shall be of a constant, and not a varying, percentage of such Lender’s rights and obligations assigned under this Agreement and shall be an equal percentage with respect to both its obligations owing in respect of the Commitments and the related Advances and Letters of Credit, (ii) the amount of the Commitments and Advances of such Lender being assigned pursuant to each such assignment (determined as of the date of the Assignment and Acceptance with respect to such assignment) shall be, if to an entity other than a Lender, not less than $5,000,000 and shall be an integral multiple of $1,000,000 in excess thereof, (iii) each such assignment shall be to an Eligible Assignee, (iv) the parties to each such assignment shall execute and deliver to the Administrative Agent, for its acceptance and recording in the Register, an Assignment and Acceptance, together with the Notes subject to such assignment, and (v) each Eligible Assignee (other than the Eligible Assignee of the Administrative Agent or an Affiliate of a Lender) shall pay to the Administrative Agent a $3,500 administrative fee. Upon such execution, delivery, acceptance and recording, from and after the effective date specified in each Assignment and Acceptance, which effective date shall be at least three Business Days after the execution thereof, (A) the assignee thereunder shall be a party hereto for all purposes and, to the extent that rights and obligations hereunder have been assigned to it pursuant to such Assignment and Acceptance, have the rights and obligations of a Lender hereunder and (B) such Lender thereunder shall, to the extent that rights and obligations hereunder have been assigned by it pursuant to such Assignment and Acceptance, relinquish its rights and be released from its obligations under this Agreement (and, in the case of an Assignment and Acceptance covering all or the remaining portion of such Lender’s rights and obligations under this Agreement, such Lender shall cease to be a party hereto).",assignments
"Assignments. This Agreement shall inure to the benefit of and be binding upon the parties hereto, and their respective successors and permitted assigns.",assignments
"Assignments. Any assignment by either Party to any non-affiliated entity of any right, obligation or duty, or of any other interest hereunder, in whole or in part, without the prior written consent of the other Party shall be void. A Party may assign this Agreement or any right, obligation, duty or other interest hereunder to an Affiliate of the Party without the consent of the other Party; provided, however, that the assigning Party shall notify the other Party in writing of such assignment thirty (30) days prior to the Effective Date thereof and, provided further, if the assignee is an assignee of <<customer_name>>, the assignee must provide evidence of Commission CLEC certification. The Parties shall amend this Agreement to reflect such assignments and shall work cooperatively to implement any changes required due to such assignment. All obligations and duties of any Party under this Agreement shall be binding on all successors in interest and assigns of such Party. No assignment or delegation hereof shall relieve the assignor of its obligations under this Agreement in the event that the assignee fails to perform such obligations.",assignments
"Assignments. Any Lender may, with the prior written consent of the Administrative Agent and (except during the existence of a Default) the Borrower, which consent(s) shall not be unreasonably withheld or delayed, at any time assign to one or more Persons that (unless a Default exists) are Eligible Assignees (provided that no written consent of the Borrower or the Administrative Agent shall be required in connection with any assignment by a Lender to an Eligible Assignee that is a Lender or an Affiliate of any Lender and that the Borrower will be deemed to have consented to an assignment if it fails to respond negatively to a written request for consent within ten Business Days of delivery of such request and provided, further, that it is acknowledged that it is reasonable for the Borrower to withhold its consent to an assignment to a competitor of the Borrower or to an Affiliate of a competitor of the Borrower) (each an “Assignee”) all, or any portion, of the Loans, the Commitment and the other rights and obligations of such Lender hereunder, in a minimum Dollar/Peso Equivalent amount of $5,000,000 or a higher integral multiple of $1,000,000 (or, if less, all of such Lender’s remaining rights and obligations hereunder); provided that the Credit Parties and the Agents may continue to deal solely and directly with such Lender in connection with the interest so assigned to an Assignee until: (i) written notice of such assignment, together with payment instructions, addresses and related information with respect to the Assignee, shall have been given to the Borrower and the Administrative Agent by such Lender and/or its Assignee, (ii) such Lender and its Assignee shall have delivered to the Borrower and the Administrative Agent a duly executed Assignment Agreement substantially in the form of Exhibit C (an “Assignment Agreement”) together with the Note(s) subject to such assignment and (iii) except to the extent waived by the Administrative Agent, such Lender or its Assignee shall have paid to the Administrative Agent a processing fee relating to such assignment in the amount of $3,500. Notwithstanding the foregoing, no such assignment shall be allowed if it would require securities registration under any Applicable Law or if the assigner thereof (if it is assigning less than all of its Loans and Commitments) would, after such assignment, have less than $5,000,000 (or its Dollar/Peso Equivalent) in Loans and remaining Commitments.",assignments
Assignments. (a) Any Lender may at any time assign to one or more Eligible Assignees all or a portion of such Lender’s rights and obligations under this Agreement (including all or a portion of its Commitment and the Loans at the time owing to it); provided that any such assignment shall be subject to the following conditions:,assignments
"Assignments. 15.1 This Agreement shall extend to and be binding upon the parties hereto, their successors, and assigns. Subject to the provisions below, this Agreement and the rights, duties or obligations of the parties hereunder may be assigned or conveyed in whole or in part; provided, however, that except as set forth in the following sentence or in Section 14.2, neither Party shall assign or transfer this Agreement and any rights, duties or obligations hereunder, without the prior written consent of the other Party, which consent shall not be unreasonably withheld. Either Party may make such an assignment or transfer to an Affiliate without seeking the prior written consent of the other Party. A reasonable basis for withholding consent may include (i) the financial condition of the assignee raising reasonable concern relating to its ability to perform under this Agreement or (ii) concerns regarding the administration of this Agreement among multiple assignees of Antero unless the assignees appoint an agent to represent them in connection with this Agreement in a manner reasonably satisfactory to the other Party. All assignments and conveyances of the Gathering System shall be subject to this Agreement, including the foregoing provisions of this Article 15. No transfer of, or succession to, the interest of any Party hereto, either in whole or partially, shall affect or bind the other Party until the first (1st) day of the month following the month in which the other Party shall have received written notification thereof.",assignments
