clause_text,clause_type
"Attorneys’ Fees. If any action at law or in equity is necessary to enforce or interpret the terms of this Agreement, the prevailing party shall be entitled to reasonable attorneys' fees, costs and necessary disbursements in addition to any other relief to which such party may be entitled.",attorneys-fees
"Attorneys’ Fees. In the event of any dispute between the parties concerning the terms and provisions of this Warrant, the party prevailing in such dispute shall be entitled to collect from the other party all costs incurred in such dispute, including reasonable attorneys’ fees.",attorneys-fees
"Attorneys’ Fees. In the event that any suit or action is instituted to enforce any provision in this Agreement, the prevailing party in such dispute shall be entitled to recover from the losing party all fees, costs and expenses of enforcing any right of such prevailing party under or with respect to this Agreement, including without limitation, such reasonable fees and expenses of attorneys and accountants, which shall include, without limitation, all fees, costs and expenses of appeals.",attorneys-fees
"Attorneys’ Fees. In the event that any action is instituted by Indemnitee under this Agreement to enforce or interpret any of the terms hereof, Indemnitee shall be entitled to be paid all court costs and expenses, including reasonable attorneys’ fees, incurred by Indemnitee with respect to such action, unless as a part of such action, the court of competent jurisdiction determines that each of the material assertions made by Indemnitee as a basis for such action were not made in good faith or were frivolous. In the event of an action instituted by or in the name of the Company under this Agreement or to enforce or interpret any of the terms of this Agreement, Indemnitee shall be entitled to be paid all court costs and expenses, including attorneys’ fees, incurred by Indemnitee in defense of such action (including with respect to Indemnitee’s counterclaims and cross-claims made in such action), unless as a part of such action the court determines that each of Indemnitee’s material defenses to such action were made in bad faith or were frivolous.",attorneys-fees
"Attorneys’ Fees. If any action or proceeding relating to this Agreement or the enforcement of any provision of this Agreement is brought against any party hereto, the prevailing party shall be entitled to recover reasonable attorneys' fees, costs and disbursements (in addition to any other relief to which the prevailing party may be entitled).",attorneys-fees
"Attorneys’ Fees. If any legal action, arbitration or other proceeding, is brought for the enforcement of this Agreement, or because of an alleged dispute, breach or default in connection with any of the provisions of this Agreement, the prevailing party shall be entitled to recover reasonable attorneys' fees and other costs incurred in that action or proceeding, including any appeal of such action or proceeding, in addition to any other relief to which that party may be entitled.",attorneys-fees
"Attorneys’ Fees. In the event that any party institutes any action or suit to enforce this Agreement or to secure relief from any default hereunder or breach hereof, the breaching party or parties shall reimburse the non-breaching party or parties for all costs, including reasonable attorneys' fees, incurred in connection therewith and in enforcing or collecting any judgment rendered therein.",attorneys-fees
"Attorneys’ Fees. In any action or proceeding brought to enforce any provision of this Agreement or where any provision hereof is validly asserted as a defense, the successful party shall, to the extent permitted by applicable law, be entitled to recover reasonable attorneys’ fees in addition to any other available remedy.",attorneys-fees
"Attorneys’ Fees. In any action at law or suit in equity to enforce this Agreement or the rights of any of the parties hereunder, the prevailing party in such action or suit shall be entitled to receive a reasonable sum for its attorneys’ fees and all other reasonable costs and expenses incurred in such action or suit.",attorneys-fees
"Attorneys’ Fees. If any Party or Broker brings an action or proceeding involving the Premises whether founded in tort, contract or equity, or to declare rights hereunder, the Prevailing Party (as hereafter defined) in any such proceeding, action, or appeal thereon, shall be entitled to reasonable attorneys’ fees. Such fees may be awarded in the same suit or recovered in a separate suit, whether or not such action or proceeding is pursued to decision or judgment. The term, “Prevailing Party” shall include, without limitation, a Party or Broker who substantially obtains or defeats the relief sought, as the case may be, whether by compromise, settlement, judgment, or the abandonment by the other Party or Broker of its claim or defense. The attorneys’ fees award shall not be computed in accordance with any court fee schedule, but shall be such as to fully reimburse all attorneys’ fees reasonably incurred. In addition, Lessor shall be entitled to attorneys’ fees, costs and expenses incurred in the preparation and service of notices of Default and consultations in connection therewith, whether or not a legal action is subsequently commenced in connection with such Default or resulting Breach ($200 is a reasonable minimum per occurrence for such services and consultation).",attorneys-fees
