clause_text,clause_type
"Authority. Provider represents that it is authorized to bind to the terms of this Agreement, including confidentiality and destruction of Student Data and any portion thereof contained therein, all related or associated institutions, individuals, employees or contractors who may have access to the Student Data and/or any portion thereof, or may own, lease or control equipment or facilities of any kind where the Student Data and portion thereof stored, maintained or used in any way.",authority
"Authority. Each party represents that it is authorized to bind to the terms of this DPA, including confidentiality and destruction of Student Data and any portion thereof contained therein, all related or associated institutions, individuals, employees or contractors who may have access to the Student Data and/or any portion thereof.",authority
"Authority. (a) The Company has the requisite corporate power and authority to enter into and perform its obligations under this Agreement and to issue the Put Shares; (b) the execution and delivery of this Agreement by the Company and the consummation by it of the transactions contemplated hereby and thereby have been duly authorized by all necessary corporate action and no further consent or authorization of the Company or its Board of Directors or stockholders is required; and (c) each of this Agreement and has been duly executed and delivered by the Company and constitutes a valid and binding obligation of the Company enforceable against the Company in accordance with its terms, except as such enforceability may be limited by applicable bankruptcy, insolvency, or similar laws relating to, or affecting generally the enforcement of, creditors' rights and remedies or by other equitable principles of general application.",authority
"Authority. The Partnership may merge or consolidate with or into one or more corporations, limited liability companies, statutory trusts or associations, real estate investment trusts, common law trusts or unincorporated businesses, including a partnership (whether general or limited (including a limited liability partnership)) or convert into any such entity, whether such entity is formed under the laws of the State of Delaware or any other state of the United States of America, pursuant to a written plan of merger or consolidation (“Merger Agreement”) or a written plan of conversion (“Plan of Conversion”), as the case may be, in accordance with this Article XIV.",authority
Authority. The Company represents and warrants that the undersigned has the authority to act on behalf of the Company and to bind the Company and all who may claim through it to the terms and conditions of this Agreement. Employee represents and warrants that he has the capacity to act on his own behalf and on behalf of all who might claim through him to bind them to the terms and conditions of this Agreement. Each Party warrants and represents that there are no liens or claims of lien or assignments in law or equity or otherwise of or against any of the claims or causes of action released herein.,authority
"Authority. (a) Investor has the requisite power and authority to enter into and perform its obligations under this Agreement and the transactions contemplated hereby in accordance with its terms; (b) the execution and delivery of this Agreement and the consummation by it of the transactions contemplated hereby and thereby have been duly authorized by all necessary action and no further consent or authorization of Investor or its partners is required; and (c) this Agreement has been duly authorized and validly executed and delivered by Investor and constitutes a valid and binding obligation of Investor enforceable against it in accordance with its terms, subject to applicable bankruptcy, insolvency, or similar laws relating to, or affecting generally the enforcement of, creditors' rights and remedies or by other equitable principles of general application.",authority
"Authority. If either Party hereto is a corporation, trust, or general or limited partnership, each individual executing this Lease on behalf of such entity represents and warrants that he or she is duly authorized to execute and deliver this Lease on its behalf. If Lessee is a corporation, trust or partnership, Lessee shall, within thirty (30) days after request by Lessor, deliver to Lessor evidence satisfactory to Lessor of such authority.",authority
"Authority. Each of Parent and Merger Sub has all requisite corporate power and authority to enter into and to perform its obligations under this Agreement and to consummate the transactions contemplated hereby. The execution and delivery of this Agreement by Parent and Merger Sub and the consummation by Parent and Merger Sub of the transactions contemplated hereby have been duly authorized by all necessary corporate action on the part of Parent and Merger Sub and no other corporate proceedings on the part of Parent or Merger Sub are necessary to authorize the execution and delivery of this Agreement or to consummate the Merger and the other transactions contemplated hereby, subject only to the filing of the Certificate of Merger pursuant to the DGCL. This Agreement has been duly executed and delivered by Parent and Merger Sub and, assuming due execution and delivery by the Company, constitutes the valid and binding obligation of Parent and Merger Sub, enforceable against Parent and Merger Sub in accordance with its terms, except as such enforceability may be limited by bankruptcy, insolvency, moratorium and other similar Laws affecting creditors rights generally and by general principles of equity.",authority
"Authority. Each of the parties hereto represents to the other that (i) it has the corporate power and authority to execute, deliver and perform this Agreement, (ii) the execution, delivery and performance of this Agreement by it has been duly authorized by all necessary corporate action and no such further action is required, (iii) it has duly and validly executed and delivered this Agreement, and (iv) this Agreement is a legal, valid and binding obligation, enforceable against it in accordance with its terms subject to applicable bankruptcy, insolvency, reorganization, moratorium or other similar laws affecting creditors’ rights generally and general equity principles.",authority
"Authority. Purchaser has the requisite corporate power and authority to enter into and perform this Agreement and each of the Transaction Documents to which it is a party and to consummate the Contemplated Transactions. The execution, delivery and performance by Purchaser of this Agreement and each of the Transaction Documents to which it is a party, and the consummation by it of the Contemplated Transactions have been duly authorized by all necessary limited liability company action on the part of Purchaser. This Agreement and each of the Transaction Documents to which Purchaser is a party have been duly executed and delivered by Purchaser and, assuming due authorization, execution and delivery by the Company and the Equityholders (as the case may be) constitute legal, valid and binding obligations of Purchaser enforceable against Purchaser in accordance with their respective terms, except as such enforcement may be limited by the Bankruptcy and Equity Exceptions.",authority
