clause_text,clause_type
"Authorization. All corporate action required to be taken by the Company’s Board of Directors and stockholders in order to authorize the Company to enter into this Agreement, and to issue the Forward Purchase Securities at the Forward Closing, and the securities issuable upon exercise of the Forward Purchase Warrants, has been taken or will be taken prior to the Forward Closing. All action on the part of the stockholders, directors and officers of the Company necessary for the execution and delivery of this Agreement, the performance of all obligations of the Company under this Agreement to be performed as of the Forward Closing, and the issuance and delivery of the Forward Purchase Securities and the securities issuable upon exercise of the Forward Purchase Warrants has been taken or will be taken prior to the Forward Closing. This Agreement, when executed and delivered by the Company, shall constitute the valid and legally binding obligation of the Company, enforceable against the Company in accordance with its terms except (i) as limited by applicable bankruptcy, insolvency, reorganization, moratorium, fraudulent conveyance, or other laws of general application relating to or affecting the enforcement of creditors’ rights generally, (ii) as limited by laws relating to the availability of specific performance, injunctive relief, or other equitable remedies, or (iii) to the extent the indemnification provisions contained in the Registration Rights may be limited by applicable federal or state securities laws.",authorization
"Authorization. The Purchaser has full power and authority to enter into this Agreement. This Agreement, when executed and delivered by the Purchaser, will constitute the valid and legally binding obligation of the Purchaser, enforceable against the Purchaser in accordance with its terms, except (i) as limited by applicable bankruptcy, insolvency, reorganization, moratorium, fraudulent conveyance and any other laws of general application affecting enforcement of creditors’ rights generally, (ii) as limited by laws relating to the availability of specific performance, injunctive relief or other equitable remedies, or (iii) to the extent the indemnification provisions contained in the Registration Rights (as defined below) may be limited by applicable federal or state securities laws.",authorization
"Authorization. The execution and delivery of this Agreement, and the consummation by the Purchaser of the transactions contemplated hereby, have been duly and validly approved by all necessary corporate or other applicable action of the Purchaser, and no other corporate, shareholder or other proceedings on the part of the Purchaser are necessary to approve this Agreement or to consummate the transactions contemplated hereby. This Agreement has been duly and validly executed and delivered by the Purchaser, and (assuming the due authorization, execution and delivery of this Agreement by the Seller) this Agreement constitutes a valid and binding obligation of the Purchaser, enforceable against the Purchaser in accordance with its terms, except as enforcement may be limited by general principles of equity whether applied in a court of law or a court of equity and by bankruptcy, insolvency and similar laws affecting creditors’ rights and remedies generally.",authorization
"Authorization. The Company has full power and authority and, has taken all requisite action on the part of the Company, its officers, directors and stockholders necessary for (i) the authorization, execution and delivery of the Transaction Documents, (ii) authorization of the performance of all obligations of the Company hereunder or thereunder, and (iii) the authorization, issuance (or reservation for issuance) and delivery of the Securities. The Transaction Documents constitute the legal, valid and binding obligations of the Company, enforceable against the Company in accordance with their terms, subject to bankruptcy, insolvency, fraudulent transfer, reorganization, moratorium and similar laws of general applicability, relating to or affecting creditors’ rights generally.",authorization
"Authorization. The execution, delivery and performance by the Guarantor of this Guarantee and Agreement (a) have been duly authorized by all requisite corporate action on the part of the Guarantor, and (b) will not (i) violate (A) any provision of any law, statute, rule or regulation to which the Guarantor is subject, (B) the articles of incorporation or by-laws of the Guarantor, (C) any order of any Governmental Authority to which the Guarantor is subject, or (D) any material provision of any indenture, agreement or other instrument to which the Guarantor is a party or by which it or any of its property is or may be bound, which such violation is reasonably likely to result in a Material Adverse Effect, (ii) constitute (alone or with notice or lapse of time or both) a default under any such indenture, agreement or other instrument, which such default is reasonably likely to result in a Material Adverse Effect or (iii) result in the creation or imposition of any Lien upon any property or assets of the Guarantor, which such Lien is reasonably likely to result in a Material Adverse Effect.",authorization
"Authorization. The execution, delivery and performance of this Amendment and the transactions contemplated hereby (i) are within the authority of Borrower and Guarantors, (ii) have been duly authorized by all necessary proceedings on the part of such Persons, (iii) do not and will not conflict with or result in any breach or contravention of any provision of law, statute, rule or regulation to which any of such Persons is subject or any judgment, order, writ, injunction, license or permit applicable to such Persons, (iv) do not and will not conflict with or constitute a default (whether with the passage of time or the giving of notice, or both) under any provision of the partnership agreement or certificate, certificate of formation, operating agreement, articles of incorporation or other charter documents or bylaws of, or any mortgage, indenture, agreement, contract or other instrument binding upon, any of such Persons or any of its properties or to which any of such Persons is subject, and (v) do not and will not result in or require the imposition of any lien or other encumbrance on any of the properties, assets or rights of such Persons, other than the liens and encumbrances created by the Loan Documents.",authorization
"Authorization. The execution, delivery and performance by such Investor of the Transaction Documents to which such Investor is a party have been duly authorized and will each constitute the valid and legally binding obligation of such Investor, enforceable against such Investor in accordance with their respective terms, subject to bankruptcy, insolvency, fraudulent transfer, reorganization, moratorium and similar laws of general applicability, relating to or affecting creditors’ rights generally.",authorization
"Authorization. The execution, delivery, and performance of this Agreement and all Related Documents by Borrower, to the extent to be executed, delivered or performed by Borrower, have been duly authorized by all necessary action by Borrower; do not require the consent or approval of any other person, regulatory authority or governmental body; and do not conflict with, result in a violation of, or constitute a default under (a) any provision of its articles of incorporation or organization, or bylaws, or any agreement or other instrument binding upon Borrower or (b) any law, governmental regulation, court decree, or order applicable to Borrower.",authorization
"Authorization. Such Investor has full power and authority to enter into this Agreement and the Ancillary Agreements, and each such Agreement constitutes its valid and legally binding obligation, enforceable in accordance with its terms except (i) as limited by applicable bankruptcy, insolvency, reorganization, moratorium, and other laws of general application affecting enforcement of creditors’ rights generally, (ii) as limited by laws relating to the availability of specific performance, injunctive relief, or other equitable remedies, and (iii) to the extent the indemnification provisions contained in the Investors’ Rights Agreement may be limited by applicable federal or state securities laws.",authorization
"Authorization. Each of the Guarantors authorizes the Administrative Agent and each Lender without notice or demand (except as shall be required by applicable statute and cannot be waived), and without affecting or impairing its liability hereunder, from time to time to (a) renew, compromise, extend, increase, accelerate or otherwise change the time for payment of, or otherwise change the terms of the indebtedness or any part thereof in accordance with this Agreement, including any increase or decrease of the rate of interest thereon, (b) take and hold security from any guarantor or any other party for the payment of this Guaranty or the indebtedness and exchange, enforce waive and release any such security, (c) apply such security and direct the order or manner of sale thereof as the Administrative Agent and the Lenders in their discretion may determine and (d) release or substitute any one or more endorsers, guarantors, the Borrower or other obligors.",authorization
