clause_text,clause_type
"Bank Accounts. The Custodian shall identify on its books as belonging to the applicable Fund cash (including cash denominated in foreign currencies) deposited with the Custodian. Where the Custodian is unable to maintain, or market practice does not facilitate the maintenance of, cash on the books of the Custodian, a bank account or bank accounts shall be opened and maintained outside the United States on behalf of a Portfolio with a Foreign Sub-Custodian. All accounts referred to in this Section shall be subject only to draft or order by the Custodian (or, if applicable, such Foreign Sub-Custodian) acting pursuant to the terms of this Agreement to hold cash received by or from or for the account of the Portfolio. Cash maintained on the books of the Custodian (including its branches, subsidiaries and affiliates), regardless of currency denomination, is maintained in bank accounts established under, and subject to the laws of, The Commonwealth of Massachusetts.",bank-accounts
"Bank Accounts. The Custodian shall open and maintain a separate bank account or accounts in the United States in the name of each Portfolio of each Fund, subject only to draft or order by the Custodian acting pursuant to the terms of this Agreement, and shall hold in such account or accounts, subject to the provisions hereof, all cash received by it from or for the account of the Portfolio, other than cash maintained by the Portfolio in a bank account established and used in accordance with Rule 17f-3 under the 1940 Act. Funds held by the Custodian for a Portfolio may be deposited by it to its credit as Custodian in the banking department of the Custodian or in such other banks or trust companies as it may in its discretion deem necessary or desirable; provided, however, that every such bank or trust company shall be qualified to act as a custodian under the 1940 Act and that each such bank or trust company and the funds to be deposited with each such bank or trust company shall on behalf of each applicable Portfolio be approved by vote of a majority of the Board. Such funds shall be deposited by the Custodian in its capacity as Custodian and shall be withdrawable by the Custodian only in that capacity.",bank-accounts
"Bank Accounts. The Advisor may establish and maintain one or more bank accounts in its own name for the account of the Company or in the name of the Company and may collect and deposit into any such account or accounts, and disburse from any such account or accounts, any money on behalf of the Company, under such terms and conditions as the Directors may approve, provided that no funds shall be commingled with the funds of the Advisor; and the Advisor shall from time to time render appropriate accountings of such collections and payments to the Directors and to the auditors of the Company.",bank-accounts
"Bank Accounts. The Custodian shall open and maintain a separate bank account or accounts in the United States in the name of each Fund, subject only to draft or order by the Custodian acting pursuant to the terms of this Contract, and shall hold in such account or accounts, subject to the provisions hereof, all cash received by it from or for the account of the Fund, other than cash maintained by the Fund in a bank account established and used in accordance with Rule 17f-3 under the Investment Company Act of 1940, as amended (the “1940 Act”). Funds held by the Custodian for a Fund may be deposited by it to its credit as Custodian in the Banking Department of the Custodian or in such other banks or trust companies as it may in its discretion deem necessary or desirable; provided, however, that every such bank or trust company shall be qualified to act as a custodian under the 1940 Act and that each such bank or trust company and the funds to be deposited with each such bank or trust company shall on behalf of each applicable Fund be approved by vote of a majority of the Board of the Fund. Such funds shall be deposited by the Custodian in its capacity as Custodian and shall be withdrawable by the Custodian only in that capacity.",bank-accounts
"Bank Accounts. Funds of the Company shall be deposited in such banks or other depositories as shall be designated from time to time by the Board. All withdrawals from any such depository shall be made only as authorized by the Board and shall be made only by check, wire transfer, debit memorandum or other written instruction.",bank-accounts
"Bank Accounts. All of the deposit accounts, investment accounts or other accounts in the name of or used by any Borrower or Guarantor maintained at any bank or other financial institution are set forth on Schedule 8.10 to the Information Certificate, subject to the right of each Borrower and Guarantor to establish new accounts in accordance with Section 5.2 hereof.",bank-accounts
"Bank Accounts. All funds of the Company shall be deposited in a bank account or accounts opened in the Company’s name. The Member shall unanimously determine the institution or institutions at which the accounts will be opened and maintained, the types of accounts, and the Persons who will have authority with respect to the accounts and the funds therein.",bank-accounts
Bank Accounts. All funds of the Company shall be deposited in the Company’s name in a bank account or accounts as chosen by the Member(s). Withdrawals from any bank accounts shall be made only in the regular course of business of the Company and shall be made upon such signature or signatures as the Members from time to time may designate.,bank-accounts
"Bank Accounts. The Trust and the Funds shall establish and maintain such bank accounts with such bank or banks as are selected by the Trust, as are necessary in order that BISYS may perform the services required to be performed hereunder. To the extent that the performance of such services shall require BISYS directly to disburse amounts for payment of dividends, redemption proceeds or other purposes, the Trust and Funds shall provide such bank or banks with all instructions and authorizations necessary for BISYS to effect such disbursements.",bank-accounts
"Bank Accounts. Upon Instructions, the Custodian shall open and operate a bank account or accounts on the books of the Custodian; provided that such bank account(s) shall be in the name of the Custodian or a nominee thereof, for the account of one or more Funds, and shall be subject only to draft or order of the Custodian. The responsibilities of the Custodian to any one or more such Funds for deposits accepted on the Custodian's books shall be that of a U.S. bank for a similar deposit.",bank-accounts
"Bank Accounts. A bank account or bank accounts opened and maintained outside the United States on behalf of a Fund with a Foreign Sub-Custodian shall be subject only to draft or order by the Custodian or such Foreign Sub-Custodian, acting pursuant to the terms of this Agreement to hold cash received by or from or for the account of the Fund.",bank-accounts
"Bank Accounts. The NCI Disclosure Schedule sets forth the names ------------- and locations of all banks, trusts, companies, savings and loan associations, and other financial institutions at which NCI maintains accounts of any nature and the names of all persons authorized to draw thereon or make withdrawals therefrom.",bank-accounts
"Bank Accounts. All funds received by Computershare under this Agreement that are to be distributed or applied by Computershare in the performance of Services (the “Monies”) shall be held by Computershare as agent for Fund and deposited in one or more bank accounts to be maintained by Computershare in its name as agent for Fund. Until paid pursuant to this Agreement, Computershare may hold or invest the Monies through such Accounts in: (a) obligations of, or guaranteed by, the United States of America; (b) commercial paper obligations rated A-1 or P-1 or better by Standard & Poor’s Corporation (“S&P”) or Moody’s Investors Service, Inc. (“Moody’s”), respectively; (c) AAA rated money market funds that comply with Rule 2a-7 of the Investment Company Act of 1940; or (d) demand deposit accounts, short term certificates of deposit, bank repurchase agreements or bankers’ acceptances, of commercial banks with Tier 1 capital exceeding $1 billion or with an average rating above investment grade by S&P (LT Local Issuer Credit Rating), Moody’s (Long Term Rating) and Fitch Ratings, Inc. (LT Issuer Default Rating) (each as reported by Bloomberg Finance L.P.). Computershare shall have no responsibility or liability for any diminution of the Monies that may result from any deposit or investment made by Computershare in accordance with this paragraph, including any losses resulting from a default by any bank, financial institution or other third party. Computershare may from time to time receive interest, dividends or other earnings in connection with such deposits or investments. Computershare shall not be obligated to pay such interest, dividends or earnings to Fund, any Shareholder or any other party.",bank-accounts
"Bank Accounts. The Manager shall maintain the funds of the Company in one or more separate bank accounts in the name of the Company, and shall not permit the funds of the Company to be commingled in any fashion with the funds of any other Person.",bank-accounts
"Bank Accounts. All Partnership funds received from any and all sources shall be deposited in the name of, and to the credit of, the Partnership in a bank or banks to be determined by the General Partner and may be withdrawn only with the approval and signature of those individuals so authorized by the General Partner.",bank-accounts
"Bank Accounts. All funds of the Company shall be deposited in its name into such checking, savings and/or money market accounts or time certificates as shall be designated by the Board. Withdrawals therefrom shall be made upon such signature or signatures as the Board may designate. The Board shall be entitled to make withdrawals from such accounts to invest such funds in connection with the cash management system employed by CHS/Community Health Systems, Inc. on behalf of its affiliated hospitals and health care facilities.",bank-accounts
"Bank Accounts. Schedule 3.21 sets forth the names and locations of all banks, trust companies, savings and loan associations and other financial institutions at which the Company maintains a safe deposit box, lock box or checking, savings, custodial or other account of any nature, the type and number of each such account and the signatories therefore, a description of any compensating balance arrangements, and the names of all persons authorized to draw thereon, make withdrawals therefrom or have access thereto.",bank-accounts
"Bank Accounts. The Custodian shall open and operate one or more accounts in the name of the Fund on the Custodian's books subject only to draft or order by the Custodian pursuant to the terms of this Agreement. All funds received by the Custodian from or for the account of the Fund shall be deposited in said account(s). The responsibilities of the Custodian to the Fund for deposits accepted on the Custodian's books shall be that of a U.S. bank for a similar deposit. Upon receipt of Proper Instructions, the Custodian may open and operate additional accounts in such other banks or trust companies, including any Subcustodian, as may be designated by the Fund in such instructions (any such bank or trust company other than the Custodian so designated by the Fund being referred to hereafter as a ""Banking Institution""), provided that any such account shall be in the name of the Custodian for the account of the Fund (or, if authorized by Special Instructions, for the account of the Custodian's customers generally) and subject only to the Custodian's draft or order pursuant to the terms of this Agreement; provided that if assets are held in such an account for the account of the Custodian's customers generally, the records of the Custodian shall at all times indicate the Fund and other customers for which such assets are held in such account and their respective interests therein. Such accounts may be opened with Banking Institutions in the United States and in other countries and may be denominated in U.S. Dollars or such other currencies as the Fund may determine. Such deposits shall be obligations of such Banking Institutions and shall be treated as an investment of the Fund. Accordingly, the Custodian shall be responsible for exercising reasonable care in the administration of such accounts, but shall not be liable for their repayment in the event such Banking Institution, by reason of its bankruptcy, insolvency or otherwise, fails to make repayment. In connection with the services provided hereunder, the Custodian is hereby directed to open cash accounts on its books and records from time to time for the purposes of receiving subscriptions and/or processing redemptions on behalf of the Funds, and/or for the purposes of aggregating, netting and/or clearing transactions (including, without limitation foreign exchange, repurchase agreements, capital stock activity, expense payment) or other administrative purposes (each an ""Account""). Each such Account shall be subject to the t...",bank-accounts
"Bank Accounts. The Custodian shall open and maintain a separate bank account or accounts (the ""Trust's Account or Accounts"") in the name of the Trust, subject only to draft or order by the Custodian acting pursuant to the terms of this Contract, and shall hold in such Account or Accounts, subject to the provisions hereof, all cash received by it from or for the account of the Trust, other than cash maintained by the Trust in a bank Account established and used in accordance with Rule 17f-3 under the Investment Company Act of 1940. Funds held by the Custodian for the Trust may be deposited by it to its credit as Custodian in the Banking Department of the Custodian or in such other banks or trust companies as it may in its discretion deem necessary or desirable; provided, however, that every such bank or trust company shall be qualified to act as a custodian under the Investment Company Act of 1940 and that each such bank or trust company and the funds to be deposited with each such bank or trust company shall be approved by vote of majority of the Board of Trustees of the Trust. Such funds shall be deposited by the Custodian in its capacity as Custodian and shall be withdrawable by the Custodian only in that capacity.",bank-accounts
"Bank Accounts. The Company may maintain one or more bank, securities, brokerage or other accounts for such funds or other assets of the Company as it shall choose to deposit therein, and withdrawals therefrom shall be made upon such signature or signatures as the Member or an officer of the Company shall determine.",bank-accounts
"Bank Accounts. The Fund acknowledges that the bank demand deposit accounts (“DDAs”) maintained by the Transfer Agent in connection with the Services will be in its name and that the Transfer Agent may receive investment earnings in connection with the investment of funds, at the Transfer Agent’s risk and for its benefit, held in those accounts from time to time.",bank-accounts
