clause_text,clause_type
"Benefits. 17.01 The Employer agrees, during the term of the Collective Agreement, to contribute towards the premium coverage of participating eligible employees in the active employ of the Employer under the insurance plans set out below subject to their respective terms and conditions including any enrolment requirements:",benefits
Benefits. This Amendment shall be binding upon and shall inure to the benefit of the parties hereto and their respective successors and assigns.,benefits
"Benefits. Nothing herein, express or implied, shall give to any Person, other than the Fund, the Auction Agent and their respective successors and assigns, any benefit of any legal or equitable right, remedy or claim hereunder.",benefits
"Benefits. Nothing in this Agreement, express or implied, shall give to any person, other than the Trust, the Auction Agent and BD and their respective successors and assigns, any benefit of any legal or equitable right, remedy or claim under this Agreement.",benefits
"Benefits. The Executive will, during the Employment Period, be permitted to participate in such pension, profit sharing, bonus, life insurance, hospitalization, major medical, and other employee benefit plans of the Employer that may be in effect from time to time, to the extent the Executive is eligible under the terms of those plans (collectively, the ""Benefits"").",benefits
"Benefits. For weeks eighteen (18) through fifty-two (52) inclusive, the service of an employee who is on parental leave shall be considered continuous for the purpose of any pension, medical or other plan beneficial to the employee, and the Employer shall continue to make payment to the plans in the same manner as if the employee was not absent.",benefits
"Benefits. Executive shall be entitled to participate in benefits under the Company’s benefit plans and arrangements, including, without limitation, any employee benefit plan or arrangement made available in the future by the Company to its senior executives, subject to and on a basis consistent with the terms, conditions and overall administration of such plans and arrangements. The Company shall have the right to amend or delete any such benefit plan or arrangement made available by the Company to its senior executives and not otherwise specifically provided for herein.",benefits
"Benefits. The Executive is eligible for participation in any standard employee benefit plan of the Company that currently exists or may be adopted by the Company in the future, including, but not limited to, any retirement plan, life insurance plan, health insurance plan and travel/holiday plan.",benefits
Benefits. This Agreement is and will only be construed as for the benefit of or enforceable by those persons party to this Agreement.,benefits
"Benefits. Employee shall be eligible to participate in the employee benefit plans which are available or which become available to other employees of the Company, with the adoption or maintenance of such plans to be in the discretion of the Company, subject in each case to the generally applicable terms and conditions of the plan or program in question and to the determination of any committee administering such plan or program. Such benefits shall include participation in the Company’s group medical, life, disability, and retirement plans, and any supplemental plans available to senior executives of the Company from time to time. The Company reserves the right to change or terminate its employee benefit plans and programs at any time.",benefits
"Benefits. Nothing in this Warrant shall be construed to give any person, firm or corporation (other than the Company and the Warrantholder) any legal or equitable right, remedy or claim, it being agreed that this Warrant shall be for the sole and exclusive benefit of the Company and the Warrantholder.",benefits
"Benefits. Executive shall be eligible to participate in the benefits made generally available by the Company to similarly-situated executives, in accordance with the benefit plans established by the Company, and as may be amended from time to time in the Company’s sole discretion.",benefits
"Benefits. (1) MSP, Dental, EHB, and Life Insurance benefits shall continue uninterrupted during the period of time the employee is on maternity and/or parental leave provided that the employee makes arrangements prior to commencing the leave to pay their share of the benefit premiums for that period where the premiums are cost-shared. Where an employee makes arrangements to continue benefits coverage all benefits named in this paragraph shall continue.",benefits
"Benefits. In addition to the benefits specifically described in this Agreement, the Executive shall be entitled to such benefits as may be available from time to time to executives of the Bank similarly situated to the Executive. All such benefits shall be awarded and administered in accordance with the Bank’s standard policies and practices. Such benefits may include, by way of example only, profit-sharing plans, retirement or investment funds, dental, health, life and disability insurance benefits and such other benefits as the Bank deems appropriate.",benefits
"Benefits. From the Effective Date through the date of termination of Employee’s employment with the Company for any reason, Employee shall be entitled to participate in any welfare, health and life insurance and pension benefit and incentive programs as may be adopted from time to time by the Company on the same basis as that provided to similarly situated employees of the Company. Without limiting the generality of the foregoing, Employee shall be entitled to the following benefits:",benefits
"Benefits. The Executive's accrual of, or participation in plans providing for, the Benefits will cease at the effective date of the termination of this Agreement, and the Executive will be entitled to accrued Benefits pursuant to such plans only as provided in such plans. The Executive will not receive, as part of his termination pay pursuant to this Section 5, any payment or other compensation for any vacation, holiday, sick leave, or other leave unused on the date the notice of termination is given under this Agreement.",benefits
"Benefits. The Company and Consultant agree that Consultant will receive no Company-sponsored benefits from the Company. If Consultant is reclassified by a state or federal agency or court as Company’s employee, Consultant will become a reclassified employee and will receive no benefits from the Company, except those mandated by state or federal law, even if by the terms of the Company’s benefit plans or programs of the Company in effect at the time of such reclassification, Consultant would otherwise be eligible for such benefits.",benefits
