clause_text,clause_type
"Books and Records. In compliance with the requirements of Rule 31a-3 under the 1940 Act, the Sub-Advisor hereby agrees that all records which it maintains for the Fund are the property of the Trust and further agrees to surrender promptly to the Trust any of such records upon the Trust’s request. The Sub-Advisor further agrees to preserve for the periods prescribed by Rule 31a-2 under the 1940 Act the records required to be maintained by Rule 31a-1 under the 1940 Act with respect to the services provided by the Sub-Advisor hereunder.",books-and-records
"Books and Records. (a) Maintain proper books of record and account, in which full, true and correct entries in conformity with GAAP consistently applied shall be made of all financial transactions and matters involving the assets and business of the Borrower or such Subsidiary, as the case may be; and (b) maintain such books of record and account in material conformity with all applicable requirements of any Governmental Authority having regulatory jurisdiction over the Borrower or such Subsidiary, as the case may be.",books-and-records
"Books and Records. Maintain proper books of record and account, in which full, true and correct entries in conformity with GAAP consistently applied shall be made of all financial transactions and matters involving the assets and business of the Borrower or such Subsidiary, as the case may be.",books-and-records
"Books and Records. The Sub-Adviser hereby agrees that all records which it maintains for the Series are the property of the Fund and further agrees to surrender promptly to the Fund any of such records upon the Fund’s or the Manager’s request in compliance with the requirements of Rule 31a-3 under the 1940 Act, although the Sub-Adviser may, at its own expense, make and retain a copy of such records. The Sub-Adviser further agrees to preserve for the periods prescribed by Rule 31a-2 under the 1940 Act the records required to be maintained by Rule 31a-l under the 1940 Act.",books-and-records
"Books and Records. Assure that all financial, accounting and other records required to be maintained and preserved by the Adviser on behalf of the Trust are maintained and preserved by it in accordance with applicable laws and regulations.",books-and-records
"Books and Records. The Subadviser shall maintain separate detailed records as are required by applicable laws and regulations of all matters hereunder pertaining to the Subadviser Assets (the “Fund’s Records”), including, without limitation, brokerage and other records of all securities transactions. The Subadviser acknowledges that the Fund’s Records are property of the Trust; except to the extent that the Subadviser is required to maintain the Fund’s Records under the Advisers Act or other applicable law and except that the Subadviser, at its own expense, is entitled to make and keep a copy of the Fund’s Records for its internal files. The Fund’s Records shall be available to the Adviser or the Trust at any time upon reasonable request during normal business hours and shall be available for telecopying promptly to the Adviser during any day that the Fund is open for business as set forth in the Prospectus.",books-and-records
"Books and Records. In compliance with the requirements of Rule 31a-3 under the 1940 Act, the Advisor hereby agrees that all records which it maintains for each Fund are the property of the Trust and further agrees to surrender promptly to the Trust any such records upon the Trust’s request. The Advisor further agrees to preserve for the periods prescribed by Rule 31a-2 under the 1940 Act the records required to be maintained by Rule 31a-1 under the 1940 Act. Notwithstanding anything in this Agreement to the contrary, and to the extent permitted by applicable law, the Trust will not object to the Advisor maintaining copies of any such records, including the performance records of each Fund, and will not object to the Advisor using such performance records to promote its services to other accounts, including other fund accounts.",books-and-records
"Books and Records. Record title to each Mortgage and the related Mortgage Note as of the related Closing Date shall be in the name of the Seller, an Affiliate of the Seller, the Purchaser or one or more designees of the Purchaser, as the Purchaser shall select; provided, however, that if a Mortgage has been recorded in the name of MERS or its designee, the Seller is shown as the owner of the related Mortgage Loan on the records of MERS for purposes of the system of recording transfers of beneficial ownership of mortgages maintained by MERS. Notwithstanding the foregoing, ownership of each Mortgage and related Mortgage Note shall be vested solely in the Purchaser or the appropriate designee of the Purchaser, as the case may be. All rights arising out of the Mortgage Loans including, but not limited to, all funds received by the Seller or the Interim Servicer after the related Cut-off Date on or in connection with a Mortgage Loan shall be vested in the Purchaser or one or more designees of the Purchaser; provided, however, that all funds received on or in connection with a Mortgage Loan shall be received and held by the Seller or the Interim Servicer in trust for the benefit of the Purchaser or the appropriate designee of the Purchaser, as the case may be, as the owner of the Mortgage Loans pursuant to the terms of this Agreement. The Seller shall be or shall cause the Interim Servicer to be responsible for maintaining, and shall maintain, a complete set of books and records for each Mortgage Loan which shall be marked clearly to reflect the ownership of each Mortgage Loan by the Purchaser. In particular, the Seller shall or shall cause the Interim Servicer to maintain in its possession, available for inspection by the Purchaser, and shall deliver to the Purchaser upon demand, evidence of compliance with all federal, state and local laws, rules and regulations, and requirements of Fannie Mae or Freddie Mac, including but not limited to documentation as to the method used in determining the applicability of the provisions of the National Flood Insurance Act of 1968, as amended, to the Mortgaged Property, documentation evidencing insurance coverage and periodic inspection reports, as required by the Fannie Mae Guides. To the extent that original documents are not required for purposes of realization of Liquidation Proceeds or Insurance Proceeds, documents maintained by the Seller or the Interim Servicer may be in the form of microfilm or microfiche so long as the Seller or the I...",books-and-records
"Books and Records. The Adviser agrees to maintain such books and records with respect to its services to the Fund as are required by Section 31 under the 1940 Act, and rules adopted thereunder, and by other applicable legal provisions, and to preserve such records for the periods and in the manner required by that Section, and those rules and legal provisions. The Adviser also agrees that records it maintains and preserves pursuant to Rules 31a-1 and Rule 31a-2 under the 1940 Act and otherwise in connection with its services hereunder are the property of the Trust and will be surrendered promptly to the Trust upon its request. And the Adviser further agrees that it will furnish to regulatory authorities having the requisite authority any information or reports in connection with its services hereunder which may be requested in order to determine whether the operations of the Fund are being conducted in accordance with applicable laws and regulations.",books-and-records
"Books and Records. The Partnership (i) makes and keeps books, records and accounts that, in reasonable detail, accurately and fairly reflect the transactions and dispositions of assets and (ii) maintains systems of internal accounting controls sufficient to provide reasonable assurances that (A) transactions are executed in accordance with management’s general or specific authorization; (B) transactions are recorded as necessary to permit preparation of financial statements in conformity with generally accepted accounting principles and to maintain accountability for assets; (C) access to assets is permitted only in accordance with management’s general or specific authorization; and (D) the recorded accountability for assets is compared with existing assets at reasonable intervals and appropriate action is taken with respect to any differences.",books-and-records
"Books and Records. Each Credit Party will, and will cause each of its Subsidiaries to, keep complete and accurate books and records of its transactions in accordance with good accounting practices on the basis of GAAP (including the establishment and maintenance of appropriate reserves).",books-and-records
"Books and Records. In compliance with the requirements of Rule 31a-3 ----------------- under the 1940 Act, Sub-Adviser hereby agrees that all records which it maintains for the Portfolio are the property of the Fund and further agrees to surrender promptly to the Fund any such records upon the Fund's request. Sub- Adviser further agrees to preserve for the periods prescribed by Rule 31a-2 under the 1940 Act the records required to be maintained by Rule 31a-1 under the 1940 Act.",books-and-records
