clause_text,clause_type
"Brokerage. In connection with the services provided under subparagraph (b) of paragraph 1 of this Agreement, the Sub-Advisor shall place all orders for the purchase and sale of portfolio securities for the Portfolio's account with brokers or dealers selected by the Sub-Advisor, which may include brokers or dealers affiliated with the Advisor or Sub-Advisor. The Sub-Advisor shall use its best efforts to seek to execute portfolio transactions at prices which are advantageous to the Portfolio and at commission rates which are reasonable in relation to the benefits received. In selecting brokers or dealers qualified to execute a particular transaction, brokers or dealers may be selected who also provide brokerage and research services (as those terms are defined in Section 28(e) of the Securities Exchange Act of 1934) to the Portfolio and/or to the other accounts over which the Sub-Advisor or Advisor exercise investment discretion. The Sub-Advisor is authorized to pay a broker or dealer who provides such brokerage and research services a commission for executing a portfolio transaction for the Portfolio which is in excess of the amount of commission another broker or dealer would have charged for effecting that transaction if the Sub-Advisor determines in good faith that such amount of commission is reasonable in relation to the value of the brokerage and research services provided by such broker or dealer. This determination may be viewed in terms of either that particular transaction or the overall responsibilities which the Sub-Advisor has with respect to accounts over which it exercises investment discretion. The Trustees of the Trust shall periodically review the commissions paid by the Portfolio to determine if the commissions paid over representative periods of time were reasonable in relation to the benefits to the Portfolio.",brokerage
"Brokerage. The Sub-Adviser may place orders pursuant to its investment determinations for the Fund directly with the issuers of the securities, or with brokers or dealers selected by the Sub-Adviser. The Sub-Adviser may, in respect of the Portfolio, open and maintain brokerage accounts of all types on behalf of and in the name of the Fund. The Sub-Adviser may enter into standard customer agreements with brokers and direct payments of cash, cash equivalents and securities and other property into such brokerage accounts as the Sub-Adviser deems desirable or appropriate. In selecting brokers or dealers to execute transactions on behalf of the Fund, the Sub-Adviser will use its best efforts to seek the best overall terms available. In assessing the best overall terms available for the Fund transaction, the Sub-Adviser will consider all factors it deems relevant, including, but not limited to, the breadth of the market in the security, the price of the security, the financial condition and execution capability of the broker or dealer and the reasonableness of the commission, if any, for the specific transaction and on a continuing basis. In selecting broker-dealers to execute a particular transaction, and in evaluating the best overall terms available, the Sub-Adviser is authorized to consider the brokerage and research services (as those terms are defined in Section 28(e) of the Securities Exchange Act of 1934, as amended (the ""1934 Act"")) provided to the Fund and/or other accounts over which the Sub-Adviser or its affiliates exercise investment discretion. The parties hereto acknowledge that it is desirable for the Trust that the Sub-Adviser have access to supplemental investment and market research and security and economic analysis provided by broker-dealers who may execute brokerage transactions at a higher cost to the Fund than may result when allocating brokerage to other brokers on the basis of seeking the most favorable price and efficient execution. Therefore, the Sub-Adviser may cause the Fund to pay a broker-dealer that furnishes brokerage and research services a higher commission than that which might be charged by another broker-dealer for effecting the same transaction, provided that the Sub-Adviser determines in good faith that such commission is reasonable in relation to the value of the brokerage and research services provided by such broker-dealer, viewed in terms of either the particular transaction or the overall responsibilities of the Sub-Adviser to...",brokerage
"Brokerage. The Advisor shall be responsible for decisions to buy and sell securities for the Fund, for broker-dealer selection, and for negotiation of brokerage commission rates, provided that the Advisor shall not direct orders to an affiliated person of the Advisor without general prior authorization to use such affiliated broker or dealer from the Trust’s Board of Trustees. The Advisor’s primary consideration in effecting a securities transaction will be execution at the most favorable price. In selecting a broker-dealer to execute each particular transaction, the Advisor may take the following into consideration: the best net price available; the reliability, integrity and financial condition of the broker-dealer; the size of and difficulty in executing the order; and the value of the expected contribution of the broker-dealer to the investment performance of the Fund on a continuing basis. The price to the Fund in any transaction may be less favorable than that available from another broker-dealer if the difference is reasonably justified by other aspects of the portfolio execution services offered. Subject to such policies as the Board of Trustees of the Trust may determine and consistent with Section 28(e) of the 1934 Act, the Advisor shall not be deemed to have acted unlawfully or to have breached any duty created by this Agreement or otherwise solely by reason of its having caused the Fund to pay a broker or dealer that provides (directly or indirectly) brokerage or research services to the Advisor an amount of commission for effecting a portfolio transaction in excess of the amount of commission another broker or dealer would have charged for effecting that transaction, if the Advisor determines in good faith that such amount of commission was reasonable in relation to the value of the brokerage and research services provided by such broker or dealer, viewed in terms of either that particular transaction or the Advisor’s overall responsibilities with respect to the Trust. Subject to the same policies and legal provisions, the Advisor is further authorized to allocate the orders placed by it on behalf of the Fund to such brokers or dealers who also provide research or statistical material, or other services, to the Trust, the Advisor, or any affiliate of either. Such allocation shall be in such amounts and proportions as the Advisor shall determine, and the Advisor shall report on such allocations regularly to the Trust, indicating the broker-dealers to whom...",brokerage
"Brokerage. The Subadviser is authorized, subject to the supervision of the Adviser and the plenary authority of the Trust’s Board of Trustees, to establish and maintain accounts on behalf of the Fund with, and place orders for the investment and reinvestment, including without limitation purchase and sale of the Subadviser Assets with or through, such persons, brokers (including, to the extent permitted by applicable law, any broker affiliated with the Subadviser) or dealers (collectively “Brokers”) as Subadviser may elect and negotiate commissions to be paid on such transactions. The Subadviser, however, is not required to obtain the consent of the Adviser or the Trust’s Board of Trustees prior to establishing any such brokerage account. The Subadviser shall place all orders for the purchase and sale of portfolio investments for the Fund’s account with Brokers selected by the Subadviser. In the selection of such Brokers and the placing of such orders, the Subadviser shall seek to obtain for each Fund the most favorable price and execution available, except to the extent it may be permitted to pay higher brokerage commissions for brokerage and research services, as provided below. In using its reasonable efforts to obtain for the Fund the most favorable price and execution available, the Subadviser, bearing in mind the best interests of the Fund at all times, shall consider all factors it deems relevant, including price, the size of the transaction, the breadth and nature of the market for the security, the difficulty of the execution, the amount of the commission, if any, the timing of the transaction, market prices and trends, the reputation, experience and financial stability of the Broker involved, and the quality of service rendered by the Broker in other transactions. Notwithstanding the foregoing, neither the Trust, the Fund nor the Adviser shall instruct the Subadviser to place orders with any particular Broker(s) with respect to the Subadviser Assets. Subject to such policies as the Trustees may determine, or as may be mutually agreed to by the Adviser and the Subadviser, the Subadviser is authorized but not obligated to cause, and shall not be deemed to have acted unlawfully or to have breached any duty created by this Agreement or otherwise solely by reason of its having caused, the Fund to pay a Broker that provides brokerage and research services (within the meaning of Section 28(e) of the Securities Exchange Act of 1934) to the Subadviser an amount of c...",brokerage
"Brokerage. Each of the parties hereto represents that it has had no dealings in connection with this transaction with any finder or broker who will demand payment of any fee or commission from the other party. The Company on the one hand, and the Investor, on the other hand, agree to indemnify the other against and hold the other harmless from any and all liabilities to any person claiming brokerage commissions or finder's fees on account of services purported to have been rendered on behalf of the indemnifying party in connection with this Agreement or the transactions contemplated hereby.",brokerage
"Brokerage. There are no claims for brokerage commissions, finders’ fees or similar compensation in connection with the transactions contemplated by this Agreement based on any arrangement or agreement made by or on behalf of Buyer.",brokerage
"Brokerage. Subject to the approval of the board of directors, the Manager, in carrying out its duties under Paragraph 1.A., may cause the Corporation, with respect to the Fund, to pay a broker-dealer which furnishes brokerage or research services [as such services are defined under Section 28(e) of the Securities Exchange Act of l934, as amended (the “‘34 Act”)], a higher commission than that which might be charged by another broker-dealer which does not furnish brokerage or research services or which furnishes brokerage or research services deemed to be of lesser value, if such commission is deemed reasonable in relation to the brokerage and research services provided by the broker-dealer, viewed in terms of either that particular transaction or the overall responsibilities of the Manager with respect to the accounts as to which it exercises investment discretion (as such term is defined under Section 3(a)(35) of the ‘34 Act).",brokerage
"Brokerage. Each party hereto will indemnify and hold harmless the others against and in respect of any claim for brokerage or other commissions relative to this Agreement or to the transactions contemplated hereby, based in any way on agreements, arrangements or understandings made or claimed to have been made by such party with any third party.",brokerage
"Brokerage. In selecting brokers or dealers to execute transactions on behalf of a Fund, the Sub-Adviser will seek the best overall terms available. In assessing the best overall terms available for any transaction, the Sub-Adviser will consider factors it deems relevant, including, without limitation, the breadth of the market in the security, the price of the security, the financial condition and execution capability of the broker or dealer and the reasonableness of the commission, if any, for the specific transaction and on a continuing basis. In selecting brokers or dealers to execute a particular transaction, and in evaluating the best overall terms available, the Sub-Adviser is authorized to consider brokerage and research services (within the meaning of Section 28(e) of the Securities Exchange Act of 1934, as amended). The Sub-Adviser will not execute any portfolio transactions with a broker or dealer which is an “affiliated person” (as defined in the 1940 Act) of the Sub-Adviser or the Adviser, except pursuant to the any 17e-1 Policies and Procedures for affiliated brokerage transactions that have been approved by Board for such Fund. The Adviser will provide the Sub-Adviser with a list of brokers and dealers that are “affiliated persons” of the Adviser.",brokerage
"Brokerage. (i) OFI is authorized, in arranging the Fund's portfolio transactions, to employ or deal with such members of securities or commodities exchanges, brokers or dealers, including ""affiliated"" broker dealers (as that term is defined in the Investment Company Act) (hereinafter ""broker-dealers""), as may, in its best judgment, implement the policy of the Fund to obtain, at reasonable expense, the ""best execution"" (prompt and reliable execution at the most favorable security price obtainable) of the Fund's portfolio transactions as well as to obtain, consistent with the provisions of part (c) (iii) of section 2 of this Agreement, the benefit of such investment information or research as may be of significant assistance to the performance by the SubAdviser of its investment management functions.",brokerage
