clause_text,clause_type
Captions. The captions in this Agreement are included for convenience of reference only and in no other way define or delineate any of the provisions hereof or otherwise affect their construction or effect.,captions
Captions. The titles and headings of the paragraphs of this Agreement have been inserted for convenience of reference only and are not intended to summarize or otherwise describe the subject matter of the paragraphs and shall not be given any consideration in the construction of this Agreement.,captions
Captions. The captions herein are included for convenience of reference only and shall be ignored in the construction or interpretation hereof.,captions
Captions. The table of contents and captions and section headings appearing herein are included solely for convenience of reference and are not intended to affect the interpretation of any provision of this Agreement.,captions
"Captions. The captions appearing in this Agreement are inserted only as a matter of convenience and for reference and in no way define, limit or describe the scope and intent of this Agreement or any of the provisions hereof.",captions
Captions. The headings used in this Agreement are for convenience only and shall not affect the interpretation of this Agreement.,captions
"Captions. Captions contained in this Agreement are included only for convenience of reference and do not define, limit, explain or modify this Agreement or its interpretation, instruction or meanings and are in no way intended to be construed as part of this Agreement.",captions
"Captions. The captions or headings in this Agreement are for convenience only and in no way define, limit or describe the scope or intent of any provisions or sections of this Agreement.",captions
Captions. The captions in this Agreement are for convenience of reference only and shall not limit or otherwise affect any of the terms or provisions hereof.,captions
"Captions. The captions of this Agreement are for convenience and reference only and in no way define, describe, extend or limit the scope or intent of this Agreement or the intent of any provision hereof.",captions
Captions. The captions of this Agreement are not part of the provisions hereof and shall have no force or effect.,captions
Captions. The section headings contained herein are for reference purposes only and shall not in any way affect the meaning or interpretation of this Agreement.,captions
"Captions. The article, section, paragraph and clause captions herein are for convenience of reference only, do not constitute part of this Agreement and will not be deemed to limit or otherwise affect any of the provisions hereof.",captions
Captions. Captions provided herein are for convenience only and are not to serve as a basis for interpretation or construction of this Agreement.,captions
"Captions. The captions of the sections of this Agreement are for convenience of reference only and in no way define, limit or affect the scope or substance of any section of this Agreement.",captions
"Captions. The captions, headings and arrangements used in this Agreement are for convenience only and do not in any way limit or amplify the terms and provisions hereof.",captions
Captions. The captions in this Agreement are for convenience only and shall not be considered a part of or affect the construction or interpretation of any provision of this Agreement.,captions
"Captions. The captions contained in this Agreement are for convenience of reference only, shall not be deemed to be a part of this Agreement and shall not be referred to in connection with the construction or interpretation of this Agreement.",captions
"Captions. The caption headings of the Sections of this Agreement are for convenience of reference only and are not intended, nor should they be construed as, a part of this Agreement and shall be given no substantive effect.",captions
Captions. The captions and headings of this Agreement are for convenience of reference only and shall not affect the interpretation of this Agreement.,captions
"Captions. Captions contained in this Agreement are inserted only as a matter of convenience and in no way define, limit or extend the scope or intent of this Agreement or any provision hereof.",captions
Captions. The captions contained in this Agreement are for reference purposes only and are not part of this Agreement.,captions
Captions. The captions of paragraphs in this Agreement are for convenience only and shall not be considered or referred to in resolving questions of interpretation or construction.,captions
Captions. The captions contained in this Contract are intended for convenience and reference purposes only and shall in no way be deemed to define or limit any provision thereof.,captions
"Captions. The captions used in this Agreement are for convenience of reference only and do not constitute a part of this Agreement and shall not be deemed to limit, characterize or in any way affect any provision of this Agreement, and all provisions of this Agreement shall be enforced and construed as if no caption had been used in this Agreement.",captions
"Captions. The headings of this Agreement are inserted for convenience only, shall not constitute a part of this Agreement or be used to construe or interpret any provision hereof.",captions
Captions. The headings in the sections of this Agreement are inserted for convenience of reference only and shall not constitute a part of the Agreement.,captions
Captions. Captions and headings of the sections and paragraphs of this Agreement are intended solely for convenience and no provision of this Agreement is to be construed by reference to the caption or heading of any section or paragraph.,captions
"Captions. The Captions are inserted only as a matter of convenience and for reference and in no way define, limit or describe the scope of this lease nor the intent of any provision thereof.",captions
Captions. The captions of the sections of this Agreement have been inserted for convenience only and shall not control or affect the meaning or construction of any of the provisions hereof.,captions
Captions. The captions at various places in this Agreement are intended for convenience only and do not constitute and shall not be interpreted as part of this Agreement.,captions
"Captions. Headings contained in this Agreement, which are included as convenient references only, shall have no bearing upon the interpretation of the terms of the Agreement or the obligations of the parties hereto.",captions
"Captions. The captions or headings herein and any table of contents hereto are for convenience only and in no way define, limit or describe the scope or intent of any provision of this Agreement.",captions
Captions. The captions in this Agreement are for convenience of reference only and shall not be given any effect in the interpretation of this Agreement.,captions
Captions. The captions of the Sections and subsections of this Agreement have been inserted for convenience only and shall have no substantive effect.,captions
Captions. The captions to sections of this Agreement have been inserted for identification and reference purposes only and shall not be used to construe or interpret this Agreement.,captions
"Captions. Paragraph titles or captions contained herein are inserted as a matter of convenience and for reference, and in no way define, limit, extend or describe the scope of this Agreement or any provision hereof.",captions
"Captions. All section titles or captions contained in this Agreement or in any schedule or exhibit annexed hereto or referred to herein, and the table of contents to this Agreement, are for convenience only, shall not be deemed a part of this Agreement and shall not affect the meaning or interpretation of this Agreement.",captions
"Captions. Captions to and headings of the Articles, Sections and subsections of this Agreement are solely for the conveniences of the Partners, are not a part of this Agreement, and shall not be used for the interpretation or determination of the validity of this Agreement or any provision hereof.",captions
Captions. The section captions used in this Agreement are for convenience of reference only and do not affect the interpretation or construction of this Agreement.,captions
Captions. The section and subsection headings of this Warrant are inserted for convenience only and shall not constitute a part of this Warrant in construing or interpreting any provision hereof.,captions
"Captions. The captions in this Agreement are inserted only as a matter of convenience and for reference and shall not be deemed to define, limit, enlarge, or describe the scope of this Agreement or the relationship of the parties, and shall not affect this Agreement or the construction of any provisions herein.",captions
"Captions. The captions contained in this Agreement are for convenience of reference only, are without substantive meaning and should not be construed to modify, enlarge, or restrict any provision.",captions
"Captions. The section headings appearing in this Agreement are for convenience of reference only and are not intended, to any extent and for any purpose, to limit or define the text of any section or any subsection hereof.",captions
"Captions. All captions and headings contained in this Single Family Shared-Loss Agreement are for convenience of reference only and do not form a part of, and shall not affect the meaning or interpretation of, this Single Family Shared-Loss Agreement.",captions
"Captions. The captions and section numbers appearing in this Agreement are inserted only as a matter of convenience. They do not define, limit, construe or describe the scope or intent of the provisions of this Agreement.",captions
Captions. The descriptive headings of the various Sections or parts of this Agreement are for convenience only and shall not affect the meaning or construction of any of the provisions hereof.,captions
Captions. The table of contents and headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement.,captions
"Captions. The captions, section designations, section numbers, article numbers, titles and headings appearing in this Agreement are inserted only as a matter of convenience, have no substantive meaning, and in no way define, limit, construe or describe the scope or intent of such articles or sections of this Agreement, nor in any way affect this Agreement and shall not be construed to create a conflict with the provisions of this Agreement.",captions
"Captions. All captions contained in this Agreement are for convenience of reference only, do not form a part of this Agreement and shall not affect in any way the meaning or interpretation of this Agreement.",captions
Captions. The captions included in this Agreement are included solely for convenience of reference and are not to be considered a part of this Agreement.,captions
"Captions. The captions of Paragraphs, Articles and Sections in this Agreement have been included for convenience of reference only, and shall not define or limit the provisions hereof and have no legal or other significance whatsoever.",captions
Captions. The various captions of this Agreement are for reference only and shall not be considered or referred to in resolving questions of interpretation of this Agreement.,captions
"Captions. Section captions used in this Agreement are for convenience only, and shall not affect the construction of this Agreement.",captions
"Captions. The captions or headings in this Agreement are made for convenience and general reference only and shall not be construed to describe, define or limit the scope or intent of the provisions of this Agreement.",captions
"Captions. The captions appearing in this Lease are inserted only as a matter of convenience and in no way define, limit, construe or describe the scope or intent of any section.",captions
"Captions. The captions, section numbers and Article numbers appearing in this Agreement are inserted for convenience of reference only and shall in no way define, limit, construe or describe the scope or intent of this Agreement nor in any way affect this Agreement.",captions
Captions. All captions in this Agreement are included herein for convenience of reference only and shall not constitute part of this Agreement for any other purpose.,captions
"Captions. The captions used herein are for the convenience of reference only and not part of this Agreement, and shall in no way be deemed to define, limit, describe or modify the meanings of any provision of this Agreement.",captions
Captions. The captions used in this Contract have been inserted only for purposes of convenience and the same shall not be construed or interpreted so as to limit or define the intent or the scope of any part of this Contract.,captions
"Captions. The captions to this Agreement are for convenience only, and are to be of no force or effect in construing or interpreting any of the provisions of this Agreement.",captions
Captions. The captions contained in this Agreement are for convenience only and shall not affect the construction or interpretation of any provisions of this Agreement.,captions
"Captions. The captions in this Agreement are included for convenience of reference only and in no way define or delimit any of the provisions hereof or otherwise affect their construction or effect. If you are in agreement with the foregoing, please sign the form of acceptance on the accompanying counterpart of this letter and return such counterpart to the Trust, whereupon this letter shall become a binding contract upon the date thereof. Yours very truly, Neiman Funds Dated: __________ By: Print Name: Title: The foregoing Agreement is hereby accepted. Neiman Capital Management, LLC Dated: __________ By: Print Name:",captions
Captions. The captions of sections or subsections of this Agreement are for reference only and will not affect the interpretation or construction of this Agreement.,captions
"Captions. All captions used in this Agreement are for convenience only, are not a party hereof, and are not to be used in construing or interpreting any aspect hereof.",captions
Captions. The captions of sections and subsections contained in this Agreement are for convenience only and shall not control or affect the meaning or construction of any of the provisions of this Agreement.,captions
Captions. Captions are used throughout this Agreement for convenience of reference only and shall not be considered in any manner in the construction or interpretation hereof.,captions
"Captions. The Article and Section captions used herein for reference purposes only, and shall not in any way affect the meaning or interpretation of this Agreement.",captions
"Captions. The Article and Section headings contained in this Agreement are inserted for convenience of reference only, shall not be deemed to be a part of this Agreement for any purpose, and shall not in any way define or affect the meaning, construction or scope of any of the provisions hereof.",captions
Captions. All captions are and shall be without substantive meaning or content of any kind whatsoever.,captions
Captions. The Parties acknowledge that the captions in this Amendment have been inserted solely for convenience of reference and in no way define or limit the scope or substance of any term or provision of this Amendment.,captions
"Captions. The captions and descriptive headings herein are for the convenience of the parties only. They do not in any way modify, amplify, alter or give full notice of the provisions hereof.",captions
"Captions. The captions herein have been inserted solely for convenience of reference and in no way define, limit or describe the scope or substance of any provision of this Agreement.",captions
"Captions. The captions used in this Agreement are for the convenience of the parties only and will not be interpreted to enlarge, contract, or alter the terms and provisions of this Agreement.",captions
"Captions. Section captions used in this Amendment are for convenience only, and shall not affect the construction of this Amendment.",captions
"Captions. The captions at the beginning of each of the numbered Sections and Articles herein are for reference purposes only and will have no legal force or effect. Such captions will not be considered a part of this Agreement for purposes of interpreting, construing or applying this Agreement and will not define, limit, extend, explain or describe the scope or extent of this Agreement or any of its terms and conditions.",captions
Captions. Captions are for convenience only and are not deemed to be part of this Agreement.,captions
"Captions. The titles, captions and table of contents contained in this Agreement are inserted in this Agreement only as a matter of convenience and for reference and in no way define, limit, extend or describe the scope of this Agreement or the intent of any provision of this Agreement. Unless otherwise specified to the contrary, all references to Articles and Sections are references to Articles and Sections of this Agreement and all references to Schedules or Exhibits are references to Schedules and Exhibits, respectively, to this Agreement.",captions
"Captions. The captions and headings of various Articles, Sections and subsections of this Agreement and Exhibits pertaining hereto are for convenience only and are not to be considered as defining or limiting in any way the scope or intent of the provisions hereof.",captions
Captions. The captions and headings used in this Agreement are inserted for convenience only and shall not be deemed to constitute part of this Agreement or to affect the construction thereof.,captions
Captions. The captions used in this Employment Agreement are intended for descriptive and reference purposes only and are not intended to affect the meaning of any Section hereunder.,captions
"Captions. The headings and other captions in this Agreement are for convenience and reference only and shall not be used in interpreting, construing or enforcing any provision of this Agreement.",captions
"Captions. The captions of the various sections of this agreement are not part of the context of this agreement, but are only labels to assist in locating those sections, and shall be ignored in construing this agreement.",captions
Captions. The captions of this Agreement are inserted for convenience and do not constitute a part hereof.,captions
"Captions. Section captions used in this Guaranty are for convenience of reference only, and shall not affect the construction of this Guaranty.",captions
Captions. The captions of this Agreement are solely for the convenience of reference and shall not affect its interpretation.,captions
Captions. The captions of this Lease are for convenience only and are not a part of this Lease and do not in any way limit or amplify the terms and provisions of this Lease.,captions
Captions. The headings and captions in this Guaranty are for convenience only and shall not affect the interpretation or construction of this Guaranty.,captions
Captions. The captions and headings used in this Lease are for the purpose of convenience only and shall not be construed to limit or extend the meaning of any part of this Lease.,captions
"Captions. Captions in no way define, limit, extend or describe the scope of this Agreement nor the effect of any of its provisions.",captions
"Captions. Captions contained in this Agreement are for reference only, and, therefore, have no effect in construing this Agreement. The captions are not restrictive of the subject matter of any section in this Agreement.",captions
Captions. The captions in this Guaranty have been inserted for convenience only and shall be given no substantive meaning or significance whatever in construing the terms and provisions of this Guaranty.,captions
"Captions. All indexes, titles, subject headings, section titles, and similar items are provided for the purpose of reference and convenience and are not intended to be inclusive or definitive or to affect the meaning of the contents or scope of this Agreement.",captions
Captions. The captions in this Agreement are for purposes of reference only and shall not limit or otherwise affect the interpretation hereof.,captions
Captions. The headings of the paragraphs of this Agreement are inserted for convenience only and shall not be deemed to constitute part of this Agreement or to affect the construction thereof. (signature page follows),captions
"Captions. The captions of the articles, sections and paragraphs of this Plan are for convenience only and shall not control or affect the meaning or construction of any of its provisions.",captions
Captions. The captions set forth in this Agreement are for convenience only and shall not be considered as part of this Agreement or as in any way limiting or amplifying the terms and conditions hereof.,captions
"Captions. The Article and Section captions in this Lease are inserted only as a matter of convenience and in no way define, limit, construe, or describe the scope or intent of such Articles and Sections.",captions
Captions. The headings to the Sections of this Amendment have been inserted for convenience of reference only and shall in no way modify or restrict any provisions hereof or be used to construe any such provisions.,captions
Captions. The captions used herein are for ease of reference only and shall not define or limit the provisions hereof.,captions
Captions. The captions or headings at the beginning of each Section hereof are for the convenience of the parties and are not a part of this Deed of Trust.,captions
"Captions. All captions used herein are for convenience only, are not a part of this Agreement, and are not to be used in construing or interpreting any aspect of this Agreement.",captions
"Captions. The title of this Agreement and the headings of the various articles, section and subsections have been inserted only for the purpose of convenience, are not part of this Agreement and shall not be deemed in any manner to modify, explain, expand or restrict any of the provisions of this Agreement.",captions
Captions. Captions of the sections and subsections of this Agreement are for reference purposes only and do not constitute terms or conditions of this Agreement and shall not limit or affect the meaning or construction of the terms and conditions hereof.,captions
Captions. Captions of sections have been added only for convenience and shall not be deemed to be a part of this Agreement.,captions
"Captions. The captions inserted in this Lease are for convenience only and in no way define, limit or otherwise describe the scope or intent of this Lease, or any provision hereof, or in any way affect the interpretation of this Lease.",captions
Captions. The captions of this Lease are for convenience only and are not to be construed as part of this Lease and shall not be construed as defining or limiting in any way the scope or intent of the provisions hereof.,captions
Captions. The headings and captions used in this Agreement are used for convenience only and are not to be considered in construing or interpreting this Agreement.,captions
Captions. The captions contained in this Agreement are for convenience of reference only and do not form a part of this Agreement.,captions
"Captions. The captions of this Agreement are for convenience in reference only and the words contained therein shall in no way be held to explain, modify, amplify or aid in the interpretation, construction or meaning of the provisions of this Agreement.",captions
"Captions. The captions contained in this Lease are for convenience of reference only, and in no way limit or enlarge the terms and conditions of this Lease.",captions
"Captions. All captions are for convenience only, do not form a substantive part of this Agreement and shall not restrict or enlarge any substantive provisions of this Agreement.",captions
"Captions. All paragraph, section, exhibit and schedule headings and captions herein are used for reference only and in no way limit or describe the scope or intent of, or in any way affect, this Note.",captions
"Captions. The paragraph headings or captions appearing in this Agreement are for convenience only, are not a part of this Agreement and are not to be considered in interpreting this Agreement.",captions
"Captions. The captions of this agreement are for convenience and reference only and shall not define, explain, modify, limit, exemplify, or aid in the interpretation, construction, or meaning of any provisions of this agreement.",captions
Captions. The captions herein are included for convenience of reference only and shall be ignored in the construction or interpretation hereof. All references to an Article or Section include all subparts thereof.,captions
"Captions. The captions of Articles and Sections are for convenience only and shall not be deemed to limit, construe, affect or alter the meaning of such Articles and Sections.",captions
"Captions. The captions of the articles and paragraphs of this Agreement are for reference only, and do not affect the meaning or interpretation of this Agreement.",captions
Captions. The headings in this Agreement are for convenience only and do not affect this Agreement’s interpretation.,captions
Captions. The Article and Section headings of this Agreement are inserted for convenience only and shall not constitute a part of this Agreement in construing or interpreting any provision hereof.,captions
Captions. The captions used in this Lease shall have no effect on the construction of this Lease.,captions
Captions. The captions used in each Section of this Agreement are for identification purposes only and are not a substantive part of this Agreement.,captions
Captions. The captions contained in this Agreement are inserted for convenience only and are not intended to be part of the Agreement. They shall not affect or be utilized in the construction or interpretation of the Agreement.,captions
"Captions. The captions in this Agreement are included for convenience of reference only and in no way define or limit any of the provisions hereof or otherwise affect their construction or effect. If you are in agreement with the foregoing, please sign the form of acceptance below and return it to the Trust, whereupon this letter shall become a binding contract effective as of the date set forth above. Approved by the Board of Trustees on August 7, 2017. Yours very truly, By: David R. Carson, President The foregoing Agreement is hereby accepted. By:",captions
"Captions. The captions of this Agreement are inserted only for the purpose of convenient reference and do not define, limit or prescribe the scope or intent of this Agreement or any part hereof.",captions
"Captions. The paragraph captions utilized herein are in no way intended to interpret or limit the terms and conditions hereof; rather, they are intended for purposes of convenience only.",captions
"Captions. The captions used in connection with the Articles, Sections and Subsections of this Agreement are for convenience only and will not be deemed to expand or limit the meaning of the language of this Agreement.",captions
Captions. The captions in this Agreement are for convenience only and shall not affect the construction or interpretation of any term or provision hereof.,captions
"Captions. Section headings used herein are for convenience of reference only, are not part of this Amendment and shall not affect the construction of, or be taken into consideration in interpreting, this Amendment.",captions
