clause_text,clause_type
"Certain Defined Terms. As used in this Agreement, the following terms shall have the following meanings (such meanings to be equally applicable to both the singular and plural forms of the terms defined):",certain-defined-terms
"Certain Defined Terms. For purposes of this Agreement, (a) except where otherwise expressly provided, the term “affiliate” has the meaning set forth in Rule 405 under the Securities Act; (b) the term “business day” means any day other than a day on which banks are permitted or required to be closed in New York City; and (c) the term “subsidiary” has the meaning set forth in Rule 405 under the Securities Act.",certain-defined-terms
"Certain Defined Terms. As used in this Agreement, the following terms shall have the following meanings:",certain-defined-terms
Certain Defined Terms. For purposes of this Agreement:,certain-defined-terms
"Certain Defined Terms. For purposes of this Agreement, the following terms shall have the following meanings:",certain-defined-terms
"Certain Defined Terms. As used herein, the following terms shall have the following meanings:",certain-defined-terms
Certain Defined Terms. The following terms used in this Agreement shall have the following meanings:,certain-defined-terms
Certain Defined Terms. The following terms have the following meanings:,certain-defined-terms
"Certain Defined Terms. As used herein, the following terms shall have the following meanings (all terms defined in this Section 1.01 or in other provisions of this Agreement in the singular to have the same meanings when used in the plural and vice versa):",certain-defined-terms
"Certain Defined Terms. In addition to terms defined elsewhere herein, the following terms have the following meanings when used in this Agreement with initial capital letters:",certain-defined-terms
"Certain Defined Terms. As used in this Agreement, the following terms have the meanings specified below:",certain-defined-terms
"Certain Defined Terms. Capitalized terms used but not otherwise defined herein have the meanings set forth in the Credit Agreement or, if defined in the New York UCC, the meanings specified therein. As used in this Agreement, the following terms have the meanings specified below:",certain-defined-terms
Certain Defined Terms. As used in this Agreement:,certain-defined-terms
Certain Defined Terms. (a) Certain capitalized terms used throughout this Agreement are defined above or in this Section 1.01.,certain-defined-terms
"Certain Defined Terms. As used herein, the following terms shall have the meanings herein specified unless the context otherwise requires:",certain-defined-terms
"Certain Defined Terms. For purposes of this Agreement, (a) except where otherwise expressly provided, the term “affiliate” has the meaning set forth in Rule 405 under the Securities Act; (b) the term “business day” means any day other than a day on which banks are permitted or required to be closed in New York City; (c) the term “subsidiary” has the meaning set forth in Rule 405 under the Securities Act; (d) the term “Exchange Act” means the Securities Exchange Act of 1934, as amended; (e) the term “written communication” has the meaning set forth in Rule 405 under the Securities Act; and (f) the term “significant subsidiary” has the meaning set forth in Rule 1-02 of Regulation S-X under the Exchange Act.",certain-defined-terms
"Certain Defined Terms. As used in this Agreement, the terms defined above shall have the meanings set forth therein and the following terms shall have the following meanings (unless otherwise indicated, such meanings to be equally applicable to both the singular and plural forms of the terms defined):",certain-defined-terms
"Certain Defined Terms. (a) As used herein, “",certain-defined-terms
"Certain Defined Terms. As used in this Agreement, the term ""Prospectus"" means the applicable Portfolio's prospectus and related statement of additional information, whether in paper format or electronic format, included in the Portfolio's then currently effective registration statement (or post-effective amendment thereto), and any information that we or the Portfolio may issue to you as a supplement to such prospectus or statement of additional information (a ""sticker""), all as filed with the Securities and Exchange Commission (the ""SEC"") pursuant to the Securities Act of 1933.",certain-defined-terms
"Certain Defined Terms. For purposes of this Agreement, (a) except where otherwise expressly provided, the term “affiliate” has the meaning set forth in Rule 405 under the Securities Act; and (b) the term “business day” means any day other than a day on which banks are permitted or required to be closed in New York City; and (c) the term “Liquidation” means the distributions of the Trust Account to the Public Stockholders in connection with the redemption of the Common Stock held by the Public Stockholders pursuant to the terms of the Company’s Amended and Restated Certificate of Incorporation, as amended, if the Company fails to consummate a Business Combination with the time period provided therein.",certain-defined-terms
"Certain Defined Terms. As used herein, the following terms have the following respective meanings:",certain-defined-terms
Certain Defined Terms. Capitalized terms that are used herein without definition and that are defined in Exhibit I to the Agreement shall have the same meanings herein as therein defined.,certain-defined-terms
"Certain Defined Terms. For purposes of this Agreement, except where otherwise expressly provided, the term “affiliate” has the meaning set forth in Rule 405 under Act.",certain-defined-terms
"Certain Defined Terms. Unless the context otherwise requires, the following terms, when used in this Agreement, shall have the respective meanings specified below (such meanings to be equally applicable to the singular and plural forms of the terms defined):",certain-defined-terms
"Certain Defined Terms. As used in this Agreement, each of the following terms has the meaning given it below:",certain-defined-terms
Certain Defined Terms. Capitalized terms which are used herein without definition and that are defined in the Agreement shall have the same meanings herein as in the Agreement.,certain-defined-terms
"Certain Defined Terms. In addition to the terms defined above, the following terms used in this Agreement shall have the following meanings, applicable both to the singular and the plural forms of the terms defined as used in this Agreement:",certain-defined-terms
"Certain Defined Terms. The following terms shall have the following meanings (unless otherwise indicated, such meanings to be equally applicable to both the singular and plural forms of the terms defined):",certain-defined-terms
"Certain Defined Terms. As used in this Agreement, the terms defined in the Preamble and Recitals hereto shall have the respective meanings specified therein, and the following terms shall have the following meanings:",certain-defined-terms
Certain Defined Terms. The terms defined below are used in this Agreement as so defined. Terms defined in the preamble and recitals to this Agreement are used in this Agreement as so defined.,certain-defined-terms
