clause_text,clause_type
"Certain Definitions. For purposes of this Agreement, the following terms have the meanings indicated:",certain-definitions
"Certain Definitions. As used in this Agreement, the following terms shall have the following respective meanings:",certain-definitions
"Certain Definitions. For purposes of this Agreement, the following terms shall have the following meanings:",certain-definitions
Certain Definitions. For purposes of this Agreement:,certain-definitions
"Certain Definitions. As used in this Agreement, the following terms shall have the meanings set forth below:",certain-definitions
"Certain Definitions. For purposes of this Agreement, the term:",certain-definitions
"Certain Definitions. For the purposes of this Contract, the ""affirmative vote of a majority of the outstanding shares"" of the Fund means the affirmative vote, at a duly called and held meeting of shareholders, (a) of the holders of 67% or more of the shares of the Fund present (in person or by proxy) and entitled to vote at such meeting, if the holders of more than 50% of the outstanding shares of the Fund entitled to vote at such meeting are present in person or by proxy, or (b) of the holders of more than 50% of the outstanding shares of the Fund entitled to vote at such meeting, whichever is less.",certain-definitions
"Certain Definitions. As used herein, the following terms shall have the following meanings:",certain-definitions
"Certain Definitions. (a) The ""Effective Date"" shall mean the first date during the Change of Control Period (as defined in Section 1(b)) on which a Change of Control (as defined in Section 2) occurs. Anything in this Agreement to the contrary notwithstanding, if a Change of Control occurs and if the Executive's employment with the Company is terminated prior to the date on which the Change of Control occurs, and if it is reasonably demonstrated by the Executive that such termination of employment (i) was at the request of a third party who has taken steps reasonably calculated to effect a Change of Control or (ii) otherwise arose in connection with or anticipation of a Change of Control, then for all purposes of this Agreement the ""Effective Date"" shall mean the date immediately prior to the date of such termination of employment.",certain-definitions
"Certain Definitions. For the purposes of this Agreement and except as otherwise provided herein, “interested person,” “affiliated person,” and “assignment” shall have their respective meanings as set forth in the 1940 Act, subject, however, to such exemptions as may be granted by the SEC.",certain-definitions
"Certain Definitions. For purposes of this Agreement, the following terms shall have the meanings specified in this Section 1.1:",certain-definitions
Certain Definitions. As used in this Agreement:,certain-definitions
"Certain Definitions. The terms ""vote of a majority of the outstanding voting securities,"" ""assignment"" and ""interested persons"" when used herein, shall have the respective meanings specified in the 1940 Act, as now in effect or hereafter amended, and the rules and regulations thereunder, subject to such orders, exemptions and interpretations as may be issued by the Securities and Exchange Commission under said Act and as may be then in effect.",certain-definitions
"Certain Definitions. Whenever used in this Agreement, the following words and phrases shall have the meanings set forth below unless the context otherwise requires:",certain-definitions
"Certain Definitions. The terms “assignment” and “interested persons” when used herein shall have the respective meanings specified in the Investment Company Act of 1940 as now in effect or as hereafter amended subject, however, to such exemptions as may be granted by the Securities and Exchange Commission by any rule, regulation or order. The term “vote of a majority of the outstanding voting securities” shall mean the vote, at a meeting of shareholders, of the lesser of (a) 67 per centum or more of the shares of the Fund present or represented by proxy at the meeting if the holders of more than 50 per centum of the shares of the Fund are present or represented by proxy at the meeting, or (b) more than 50 per centum of the shares of the Fund.",certain-definitions
"Certain Definitions. As used in this Agreement, the following terms have the following meanings unless the context otherwise requires:",certain-definitions
"Certain Definitions. As used in this Agreement, the following terms shall have the meanings set forth in this Section 1. Terms used but not otherwise defined in this Agreement that are defined in Article 9 of the UCC (such as “account”, “chattel paper”, “commercial tort claim”, “deposit account”, “document”, “equipment”, “fixtures”, “general intangibles”, “goods”, “instruments”, “inventory”, “investment property”, “letter-of-credit rights”, “proceeds” and “supporting obligations”) shall have the respective meanings given such terms in Article 9 of the UCC.",certain-definitions
"Certain Definitions. For purposes of this Agreement, the following terms shall have the meanings set forth below:",certain-definitions
"Certain Definitions. As used in this Agreement, the following terms shall have the meanings set forth in this Section 1. Terms used but not otherwise defined in this Agreement that are defined in Article 9 of the UCC (such as “general intangibles” and “proceeds”) shall have the respective meanings given such terms in Article 9 of the UCC.",certain-definitions
Certain Definitions. As used herein:,certain-definitions
"Certain Definitions. For the purposes of this Contract, the “affirmative vote of a majority of the outstanding shares” of a Fund means the affirmative vote, at a duly called and held meeting of shareholders of the respective Fund, (a) of the holders of 67% or more of the shares of the Fund present (in person or by proxy) and entitled to vote at the meeting, if the holders of more than 50% of the outstanding shares of the Fund entitled to vote at the meeting are present in person or by proxy or (b) of the holders of more than 50% of the outstanding shares of the Fund entitled to vote at the meeting, whichever is less. For the purposes of this Contract, the terms “affiliated person,” “control,” “interested person” and “assignment” have their respective meanings defined in the 1940 Act, subject, however, to the rules and regulations under the 1940 Act and any applicable guidance or interpretation of the Securities and Exchange Commission or its staff; the term “approve at least annually” will be construed in a manner consistent with the 1940 Act and the rules and regulations under the 1940 Act and any applicable guidance or interpretation of the Securities and Exchange Commission or its staff; and the term “brokerage and research services” has the meaning given in the Securities Exchange Act of 1934 and the rules and regulations under the Securities Exchange Act of 1934 and under any applicable guidance or interpretation of the Securities and Exchange Commission or its staff.",certain-definitions
Certain Definitions. For the purposes of this Agreement:,certain-definitions
"Certain Definitions. For the purpose of this Agreement, the terms ""vote of a majority of the outstanding voting securities,"" ""interested person,"" ""affiliated person"" and ""assignment"" shall have their respective meanings defined in the 1940 Act, subject, however, to such exemptions as may be granted by the Securities and Exchange Commission under the 1940 Act.",certain-definitions
"Certain Definitions. For purposes of this Exchange and Registration Rights Agreement, the following terms shall have the following respective meanings:",certain-definitions
"Certain Definitions. All capitalized terms that are used but not defined herein shall have the respective meanings ascribed to them in the Merger Agreement. For all purposes of and under this Agreement, the following terms shall have the following respective meanings:",certain-definitions
"Certain Definitions. “Registration Expenses” means all expenses incident to the Partnership’s performance under or compliance with this Agreement to effect the registration of Registrable Securities on the Registration Statement pursuant to Section 2.01(a) or an Underwritten Offering covered under this Agreement, and the disposition of such Registrable Securities, including, without limitation, all registration, filing, securities exchange listing and NYSE fees, all registration, filing, qualification and other fees and expenses of complying with securities or blue sky laws, fees of the Financial Industry Regulatory Authority, fees of transfer agents and registrars, all word processing, duplicating and printing expenses, any transfer taxes and the fees and disbursements of counsel and independent public accountants for the Partnership, including the expenses of any special audits or “comfort” letters required by or incident to such performance and compliance. “Selling Expenses” means all underwriting fees, discounts and selling commissions or similar fees or arrangements allocable to the sale of the Registrable Securities.",certain-definitions
"Certain Definitions. For purposes of this Agreement, the following definitions shall apply:",certain-definitions
Certain Definitions. The following terms are used in this Agreement with the meanings set forth below:,certain-definitions
"Certain Definitions. In addition to terms defined elsewhere herein, the following terms have the following meanings when used in this Agreement with initial capital letters:",certain-definitions
"Certain Definitions. In addition to words and terms defined elsewhere in this Agreement, the following words and terms shall have the following meanings, respectively, unless the context hereof clearly requires otherwise:",certain-definitions
"Certain Definitions. For purposes of this Agreement, capitalized terms used herein and not otherwise defined shall have the following respective meanings:",certain-definitions
"Certain Definitions. As used in this Agreement (including the recitals above), the following terms shall have the following meanings (such meanings to be equally applicable to both the singular and plural forms of the terms defined):",certain-definitions
"Certain Definitions. As used herein, each of the following terms has the meaning set forth below, unless the context otherwise requires:",certain-definitions
"Certain Definitions. For all purposes of and under this Agreement, the following capitalized terms shall have the following respective meanings:",certain-definitions
Certain Definitions. The following terms when used in this Amendment shall have the following meanings (such meanings to be equally applicable to the singular and plural forms thereof):,certain-definitions
"Certain Definitions. (a) The """,certain-definitions
"Certain Definitions. For the purposes of this Agreement and except as otherwise provided herein, “interested person,” “affiliated person,” “affiliates,” “controlling persons” and “assignment” shall have their respective meanings as set forth in the 1940 Act, subject, however, to such exemptions as may be granted by the SEC, and the term “Fund” or “Funds” shall refer to those Fund(s) for which the Sub-Advisor provides investment management services and as are listed on Exhibit A to this Agreement.",certain-definitions
"Certain Definitions. Unless otherwise defined herein or the context otherwise requires, the following terms used in this Amendment, including its preamble and recitals, have the following meanings:",certain-definitions
"Certain Definitions. In addition to the terms defined elsewhere in this Agreement, the following terms shall have the following meanings:",certain-definitions
Certain Definitions. (a) The “,certain-definitions
"Certain Definitions. For purposes of this Article VIII, references to the “Corporation” shall include, in addition to the resulting corporation, any constituent corporation (including any constituent of a constituent) absorbed in a consolidation or merger which, if its separate existence had continued, would have had power and authority to indemnify its directors, officers, employees or agents, so that any person who is or was a director, officer, employee or agent of such constituent corporation, or is or was serving at the request of such constituent corporation as a director, officer, employee or agent of another corporation, partnership, joint venture, trust or other enterprise, shall stand in the same position under the provisions of this Article VIII with respect to the resulting or surviving corporation as such person would have with respect to such constituent corporation if its separate existence had continued. For purposes of this Article VIII, references to “other enterprises” shall include employee benefit plans; references to “fines” shall include any excise taxes assessed on a person with respect to an employee benefit plan (excluding any “parachute payments” within the meanings of Sections 280G and 4999 of the Internal Revenue Code of 1986, as amended); and references to “serving at the request of the Corporation” shall include any service as a director, officer, employee or agent of the Corporation which imposes duties on, or involves services by, such director, officer, employee or agent with respect to an employee benefit plan, its participants or beneficiaries; and a person who acted in good faith and in a manner such person reasonably believed to be in the interest of the participants and beneficiaries of an employee benefit plan shall be deemed to have acted in a manner “not opposed to the best interests of the Corporation” as referred to in this Article VIII.",certain-definitions
"Certain Definitions. In addition to terms defined elsewhere herein, the following terms have the following meanings when used in this Agreement:",certain-definitions
"Certain Definitions. As used in this Agreement, the following terms have the respective meanings set forth below.",certain-definitions
"Certain Definitions. Capitalized terms used herein and not otherwise defined shall have the meaning ascribed thereto in the Purchase Agreement or the Note. As used in this Agreement, the following terms shall have the following respective meanings:",certain-definitions
