clause_text,clause_type
"Certificates. Principal Life hereby agrees to deliver an Officer’s Certificate, a copy of which is attached hereto as Exhibit E, on a quarterly basis to any rating agency currently rating the Program. The Trust hereby agrees to deliver an Officer’s Certificate, a copy of which is attached hereto as Exhibit F, on a quarterly basis to any rating agency currently rating the Program.",certificates
"Certificates. Each of Paul Rowan and William Arnold are hereby designated as “authorized persons” within the meaning of the Act, and has executed, delivered and filed the Certificate of Formation of the Company with the Secretary of State of the State of Delaware. Upon the filing of the Certificate of Formation with the Secretary of State of the State of Delaware, their powers as “authorized persons” shall cease, and the Member thereupon became the designated “authorized person” and shall continue as the designated “authorized person” within the meaning of the Act. The Member or an Officer shall execute, deliver and file any other certificates (and any amendments and/or restatements thereof) necessary for the Company to qualify to do business in any other jurisdiction in which the Company may wish to conduct business.",certificates
"Certificates. Upon the Partnership’s issuance of Common Units or Subordinated Units to any Person, the Partnership shall issue, upon the request of such Person, one or more Certificates in the name of such Person evidencing the number of such Units being so issued. In addition, (a) upon the General Partner’s request, the Partnership shall issue to it one or more Certificates in the name of the General Partner evidencing its General Partner Units and (b) upon the request of any Person owning Incentive Distribution Rights or any other Partnership Securities other than Common Units or Subordinated Units, the Partnership shall issue to such Person one or more certificates evidencing such Incentive Distribution Rights or other Partnership Securities other than Common Units or Subordinated Units. Certificates shall be executed on behalf of the Partnership by the Chairman of the Board, President or any Executive Vice President or Vice President and the Chief Financial Officer or the Secretary or any Assistant Secretary of the General Partner. No Common Unit Certificate shall be valid for any purpose until it has been countersigned by the Transfer Agent; provided, however, that if the General Partner elects to issue Common Units in global form, the Common Unit Certificates shall be valid upon receipt of a certificate from the Transfer Agent certifying that the Common Units have been duly registered in accordance with the directions of the Partnership. Subject to the requirements of Section 6.7(c), the Partners holding Certificates evidencing Subordinated Units may exchange such Certificates for Certificates evidencing Common Units on or after the date on which such Subordinated Units are converted into Common Units pursuant to the terms of Section 5.7.",certificates
"Certificates. A certificate of a Lender or the Issuing Bank setting forth the amount or amounts necessary to compensate such Lender or the Issuing Bank or its holding company, as the case may be, as specified in Section 5.01(a) or (b) shall be delivered to the Borrower and shall be conclusive absent manifest error. The Borrower shall pay such Lender or the Issuing Bank, as the case may be, the amount shown as due on any such certificate within 10 days after receipt thereof.",certificates
"Certificates. If so determined by resolution of the Board of Trustees, each Shareholder of the Trust shall be entitled upon request to have a certificate or certificates, in such form as shall be approved by the Board of Trustees, representing the number of Shares of the Trust owned by the Shareholder, provided, however, that certificates for fractional shares will not be delivered in any case. Certificates representing Shares shall be signed by or in the name of the Trust by the President or a Vice President or the Chairman and by the Secretary or an Assistant Secretary or the Treasurer or an Assistant Treasurer. Any or all of the signatures may be a facsimile. In case any officer, transfer agent or registrar who has signed or whose facsimile signature has been placed upon a certificate shall have ceased to be such officer, transfer agent or registrar before such certificate shall be issued, it may be issued by the Trust with the same effect as if such officer, transfer agent or registrar were still in the office at the date of issue.",certificates
"Certificates. PURCHASER shall have delivered to TARGET (i) a ------------ certificate, dated as of the Effective Time and signed on its behalf by its chief executive officer and its chief financial officer, to the effect that the conditions of its obligations set forth in Section 8.3(a) and 8.3(b) of this Agreement have been satisfied, and (ii) certified copies of resolutions duly adopted by PURCHASER's Board of Directors evidencing the taking of all corporate action necessary to authorize the execution, delivery and performance of this Agreement, and the consummation of the transactions contemplated hereby, all in such reasonable detail as TARGET and its counsel shall reasonably request.",certificates
Certificates. Any certificate signed by an officer of the Company and delivered to the Placement Agent or to counsel for the Placement Agent shall be deemed to be a representation and warranty by the Company to the Placement Agent as to the matters set forth therein.,certificates
"Certificates. Any certificate signed by any officer of the Company or any of its subsidiaries (whether signed on behalf of such officer, the Company or such subsidiary) and delivered to the Representatives or to counsel for the Underwriters shall be deemed a representation and warranty by the Company to each Underwriter as to the matters covered thereby.",certificates
"Certificates. A certificate evidencing the Restricted Shares shall be issued by the Company in the Employee’s name, pursuant to which the Employee shall have all of the rights of a stockholder of the Company with respect to the Restricted Shares, including, without limitation, voting rights and the right to receive dividends (provided, however, that dividends paid in shares of the Company’s stock shall be subject to the Forfeiture Restrictions and further provided that dividends that are paid other than in shares of the Company’s stock shall be paid no later than the end of the calendar year in which the dividend for such class of stock is paid to stockholders of such class or, if later, the 15th day of the third month following the date the dividend is paid to stockholders of such class of stock). Notwithstanding the foregoing, the Company may, in its discretion, elect to complete the delivery of the Restricted Shares by means of electronic, book-entry statement, rather than issuing physical share certificates. The Employee may not sell, transfer, pledge, exchange, hypothecate or otherwise dispose of the stock until the Forfeiture Restrictions have expired, and a breach of the terms of this Agreement shall cause a forfeiture of the Restricted Shares. The certificate, if any, shall be delivered upon issuance to the Secretary of the Company or to such other depository as may be designated by the Committee as a depository for safekeeping until the forfeiture of such Restricted Shares occurs or the Forfeiture Restrictions lapse pursuant to the terms of the Plan and this Agreement. At the Company’s request, the Employee shall deliver to the Company a stock power, endorsed in blank, relating to the Restricted Shares. Upon the lapse of the Forfeiture Restrictions without forfeiture, the Company shall cause a new certificate or certificates to be issued without legend (except for any legend required pursuant to applicable securities laws or any other agreement to which the Employee is a party) in the name of the Employee in exchange for the certificate evidencing the Restricted Shares or, as may be the case, the Company shall issue appropriate instructions to the transfer agent if the electronic, book-entry method is utilized.",certificates
"Certificates. (a) The Depository, the Seller and the Trustee have entered into a Depository Agreement dated as of the Closing Date (the ""Depository Agreement""). Except for the Residual Certificates, the Private Certificates and the Individual Certificates and as provided in Subsection 5.01(b), the Certificates shall at all times remain registered in the name of the Depository or its nominee and at all times: (i) registration of such Certificates may not be transferred by the Trustee except to a successor to the Depository; (ii) ownership and transfers of registration of such Certificates on the books of the Depository shall be governed by applicable rules established by the Depository; (iii) the Depository may collect its usual and customary fees, charges and expenses from its Depository Participants; (iv) the Trustee shall deal with the Depository as representative of such Certificate Owners of the respective Class of Certificates for purposes of exercising the rights of Certificateholders under this Agreement, and requests and directions for and votes of such representative shall not be deemed to be inconsistent if they are made with respect to different Certificate Owners; and (v) the Trustee may rely and shall be fully protected in relying upon information furnished by the Depository with respect to its Depository Participants. The Residual Certificates and the Private Certificates are initially Physical Certificates. If at any time the Holders of all of the Certificates of one or more such Classes request that the Trustee cause such Class to become Global Certificates, the Trustee and the Seller will take such action as may be reasonably required to cause the Depository to accept such Class or Classes for trading if it may legally be so traded. All transfers by Certificate Owners of such respective Classes of Book-Entry Certificates and any Global Certificates shall be made in accordance with the procedures established by the Depository Participant or brokerage firm representing such Certificate Owners. Each Depository Participant shall only transfer Book-Entry Certificates of Certificate Owners it represents or of brokerage firms for which it acts as agent in accordance with the Depository's normal procedures.",certificates
"Certificates. Mario Ferla is hereby designated as an “authorized person” within the meaning of the Act, and has executed, delivered and filed the Certificate of Formation of the Company with the Secretary of State of the State of Delaware. The Economic Member or an Officer shall execute, deliver and file any other certificates (and any amendments and/or restatements thereof) necessary for the Company to qualify to do business in any jurisdiction in which the Company may wish to conduct business. The existence of the Company as a separate legal entity shall continue until cancellation of the Certificate of Formation as provided in the Act.",certificates
"Certificates. Highwoods shall have delivered to JCN (i) a certificate, dated as of the Effective Time and signed on its behalf by its chief executive officer and its chief financial officer, to the effect that the conditions set forth in Section 9.1 as relates to Highwoods and in Section 9.3(a) and 9.3(b) have been satisfied, and (ii) certified copies of resolutions duly adopted by Highwoods' Board of Directors and Sub's Board of Directors and sole shareholder evidencing the taking of all corporate action necessary to authorize the execution, delivery and performance of this Agreement, and the consummation of the transactions contemplated hereby, all in such reasonable detail as JCN and its counsel shall request.",certificates
"Certificates. The Fund shall deliver to Transfer Agent an appropriate supply of stock certificates, which certificates shall provide a signature panel for use by an officer of or authorized signor for Transfer Agent to sign as transfer agent and registrar, and which shall state that such certificates are only valid after being countersigned and registered.",certificates
