clause_text,clause_type
"Change in Control. The Company agrees that if there is a Change in Control of the Company (other than a Change in Control which has been approved by a majority of the Company’s Board of Directors who were directors immediately prior to such Change in Control) then with respect to all matters thereafter arising concerning the rights of Indemnitee to payments of Expenses and Expense Advances under this Agreement or any other agreement or under the Company’s Certificate of Incorporation or By-laws as now or hereafter in effect, the Company shall seek legal advice only from Independent Legal Counsel (as defined in Section 10(d) hereof) selected by Indemnitee and approved by the Company (which approval shall not be unreasonably withheld). Such counsel, among other things, shall render its written opinion to the Company and Indemnitee as to whether and to what extent Indemnitee would be permitted to be indemnified under applicable law. The Company agrees to pay the reasonable fees of the Independent Legal Counsel referred to above and to fully indemnify such counsel against any and all expenses (including attorneys’ fees), claims, liabilities and damages arising out of or relating to this Agreement or its engagement pursuant hereto.",change-in-control
Change in Control. Any Change in Control shall occur.,change-in-control
"Change in Control. For purposes of this Agreement, a “Change in Control” shall be deemed to have occurred if (i) any “person” (as such term is used in Sections 13(d) and 14(d) of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), other than a trustee or other fiduciary holding securities under an employee benefit plan of the Company or a corporation owned directly or indirectly by the stockholders of the Company in substantially the same proportions as their ownership of stock of the Company, is or becomes the “beneficial owner” (as defined in Rule 13d-3 under the Exchange Act), directly or indirectly, of securities of the Company representing 20% or more of the total voting power represented by the Company’s then outstanding Voting Securities, (ii) individuals who on the date of this Agreement are members of the Board (the “Incumbent Board”) cease for any reason to constitute at least a majority of the members of the Board (provided, however, that if the appointment or election (or nomination for election) of any new Board member was approved or recommended by a majority vote of the members of the Incumbent Board then still in office, such new member shall be considered as a member of the Incumbent Board), or (iii) the stockholders of the Company approve a merger or consolidation of the Company with any other corporation, other than a merger or consolidation which would result in the Voting Securities of the Company outstanding immediately prior thereto continuing to represent (either by remaining outstanding or by being converted into Voting Securities of the surviving entity) at least 80% of the total voting power represented by the Voting Securities of the Company or such surviving entity outstanding immediately after such merger or consolidation, or the stockholders of the Company approve a plan of complete liquidation of the Company or an agreement for the sale or disposition by the Company of (in one transaction or a series of transactions) all or substantially all of the Company’s assets.",change-in-control
"Change in Control. (a) For purposes of this Agreement, a ""Change in Control"" of the Holding Company or the Institution shall mean an event of a nature that: (i) would be required to be reported in response to Item 1(a) of the current report on Form 8-K, as in effect on the date hereof, pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 (the ""Exchange Act""); or (ii) results in a Change in Control of the Institution or the Holding Company within the meaning of the Home Owners' Loan Act of 1933, as amended, the Federal Deposit Insurance Act, and the Rules and Regulations promulgated by the Office of Thrift Supervision (or its predecessor agency), as in effect on the date hereof (provided, that in applying the definition of change in control as set forth under the rules and regulations of the OTS, the Board shall substitute its judgment for that of the OTS); or (iii) without limitation such a Change in Control shall be deemed to have occurred at such time as (A) any ""person"" (as the term is used in Sections 13(d) and 14(d) of the Exchange Act) is or becomes the ""beneficial owner"" (as defined in Rule 13d-3 under the Exchange Act), directly or indirectly, of voting securities of the Institution or the Holding Company representing 20% or more of the Institution's or the Holding Company's outstanding voting securities or right to acquire such securities except for any voting securities of the Institution purchased by the Holding Company and any voting securities purchased by any employee benefit plan of the Holding Company or its Subsidiaries, or (B) individuals who constitute the Board on the date hereof (the ""Incumbent Board"") cease for any reason to constitute at least a majority thereof, provided that any person becoming a director subsequent to the date hereof whose election was approved by a vote of at least three-quarters of the directors comprising the Incumbent Board, or whose nomination for election by the Company's stockholders was approved by a Nominating Committee solely composed of members which are Incumbent Board members, shall be, for purposes of this clause (B), considered as though he were a member of the Incumbent Board, or (C) a plan of reorganization, merger, consolidation, sale of all or substantially all the assets of the Institution or the Holding Company or similar transaction occurs or is effectuated in which the Institution or Holding Company is not the resulting entity; provided, however, that such an event listed above will be deemed...",change-in-control
"Change in Control. Upon a “Change in Control,” as defined below, one hundred percent (100%) of the Units shall vest automatically. A “Change in Control” shall mean the occurrence of one or more of the following events: (i) any person within the meaning of Section 13(d) and 14(d) of the Securities Exchange Act or 1934, as amended (the “Exchange Act”), other than the Company (including its subsidiaries, directors or executive officers) has become the beneficial owner, within the meaning of Rule 13d-3 under the Exchange Act, of 50 percent or more of the combined voting power of the Company’s then outstanding common stock or equivalent in voting power of any class or classes of the Company’s outstanding securities ordinarily entitled to vote in elections of directors (“voting securities”); (ii) shares representing 50 percent or more of the combined voting power of the Company’s voting securities are purchased pursuant to a tender offer or exchange offer (other than an offer by the Company or its subsidiaries, directors or executive officers); (iii) as a result of, or in connection with, any tender offer or exchange offer, merger or other business combination, sale of assets or contested election, or any combination of the foregoing transactions (a “Transaction”), the persons who were directors of the Company before the Transaction shall cease to constitute a majority of the Board or of any successor to the Company; (iv) following the date hereof, the Company is merged or consolidated with another corporation and as a result of such merger or consolidation less than 50 percent of the outstanding voting securities of the surviving or resulting corporation shall then be owned in the aggregate by the former stockholders of the Company, other than (1) any party to such merger or consolidation, or (2) any affiliates of any such party; or (v) the Company transfers more than 50 percent of its assets, or the last of a series of transfers results in the transfer of more than 50 percent of the assets of the Company, or the Company transfers a business unit and/or business division responsible for more than 35% of the Company’s revenue for the twelve-month period preceding the month in which such transfer occurred, in either case, to another entity that is not wholly-owned by the Company. Any determination required above in this subsection (v) shall be made by the Compensation Committee of the Board of Directors of the Company, as constituted immediately prior to the occurrence of such even...",change-in-control
"Change in Control. No compensation shall be payable under this Agreement unless and until (a) there has been a Change in Control of the Company while the Executive is still an employee of the Company and (b) the Executive’s employment by the Company terminates in the circumstances specified in Section 3(a). For purposes of this Agreement, a “Change in Control” of the Company shall be deemed to have occurred if (i) there shall be consummated (x) any consolidation or merger of the Company (whether or not the Company is the continuing or surviving entity) other than a consolidation or merger of the Company in which the holders of the Company’s Common Stock immediately prior to the consolidation or merger continue to have proportionate ownership of at least 50.1% of capital stock of the surviving corporation eligible to vote in the election of directors immediately after the consolidation or merger, or (y) any sale, lease, exchange or other transfer (in one transaction or a series of related transactions) of all, or substantially all, of the assets of the Company other than to a corporation in which the holders of the Company’s Common Stock immediately prior to such transaction continue to have proportionate ownership of at least 50.1% of the capital stock of such corporation eligible to vote in the election of directors, or (ii) the stockholders of the Company approve any plan or proposal for the liquidation or dissolution of the Company, or (iii) any person (as such term is used in Section l3(d) and l4(d)(2) of the Securities Exchange Act of 1934, as amended (the “Exchange Act”)), shall become the beneficial owner (within the meaning of Rule 13d-3 under the Exchange Act) of more than 25% of the Company’s outstanding shares of Common Stock, or (iv) during any period of two consecutive years during the term of this Agreement, individuals who at the beginning of the two year period constituted the entire Board do not for any constitute a majority thereof unless the election, or the nomination for election by the Company’s stockholders, of each new director was approved by a vote of at least a majority of the directors then still in office who were directors at the beginning of the period or who were elected or nominated for election in the manner provided herein.",change-in-control
"Change in Control. The Company agrees that if there is a Change in Control of the Company, other than a Change in Control which has been approved by a majority of the Company’s Board who were directors immediately prior to such Change in Control, then with respect to all matters thereafter arising concerning the rights of the Indemnitee to indemnity payments and Expense Advances under this Agreement or any other agreement or under applicable law or the Company’s Certificate of Incorporation or Bylaws now or hereafter in effect relating to indemnification for Indemnifiable Events, the Company shall seek legal advice only from special independent counsel selected by the Indemnitee and approved by the Company, which approval shall not be unreasonably withheld. Such special independent counsel shall not have otherwise performed services for the Company or the Indemnitee, other than in connection with such matters, within the last five years. Such independent counsel shall not include any person who, under the applicable standards of professional conduct then prevailing, would have a conflict of interest in representing either the Company or the Indemnitee in an action to determine the Indemnitee’s rights under this Agreement. Such counsel, among other things, shall render its written opinion to the Company and the Indemnitee as to whether and to what extent the Indemnitee would be permitted to be indemnified under applicable law. The Company agrees to pay the reasonable fees of the special independent counsel referred to above and to indemnify fully such counsel against any and all expenses (including attorneys’ fees), claims, liabilities and damages arising out of or relating to this Agreement or the engagement of special independent counsel pursuant to this Agreement.",change-in-control
"Change in Control. For purposes of this Agreement, a ""Change in Control"" shall mean any of the following events:",change-in-control
Change in Control. “Change in Control” means the occurrence of any of the following events:,change-in-control
"Change in Control. During the Term, if within 12 months after a Change in Control, the Executive’s employment is terminated by the Company without Cause as provided in Section 3(d) or the Executive terminates his employment for Good Reason as provided in Section 3(e), then, subject to the signing of the Separation Agreement and Release by the Executive and the Separation Agreement and Release becoming irrevocable, all within 60 days after the Date of Termination,",change-in-control
