clause_text,clause_type
"Choice of Law. The Agreement between the Vendor and TIPS/ESC Region 8 and any addenda or other additions resulting from this procurement process, however described, shall be governed by, construed and enforced in accordance with the laws of the State of Texas, regardless of any conflict of laws principles.",choice-of-law
"Choice of Law. THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE INTERNAL, SUBSTANTIVE LAWS OF THE STATE OF NEW YORK WITHOUT REFERENCE TO THE RULES THEREOF RELATING TO CONFLICTS OF LAW, OTHER THAN SECTIONS 5-1401 AND 5-1402 OF THE NEW YORK GENERAL OBLIGATIONS LAW, AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",choice-of-law
"Choice of Law. All issues and questions concerning the construction, validity, enforcement and interpretation of this Agreement and the exhibits and schedules hereto shall be governed by, and construed in accordance with, the laws of the State of Delaware, without giving effect to any choice of law or conflict of law rules or provisions (whether of the State of Delaware or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of Delaware.",choice-of-law
"Choice of Law. The agreement between the Vendor and TIPS/ESC Region 8 and any addenda or other additions resulting from this procurement process, however described, shall be governed by, construed and enforced in accordance with the laws of the State of Texas, regardless of any conflict of laws principles. THIS DOES NOT APPLY to a vendor's agreement entered into with a TIPS Member, as the Member may be located outside Texas. Do you agree to these terms? Agreed",choice-of-law
"Choice of Law. The validity, interpretation, construction and performance of this Agreement shall be governed by the laws of the State of California.",choice-of-law
Choice of Law. This Agreement shall be governed by and construed and enforced in accordance with the laws of the State of New York.,choice-of-law
Choice of Law. THIS AMENDMENT SHALL BE CONSTRUED IN ACCORDANCE WITH THE INTERNAL LAWS (AND NOT THE LAW OF CONFLICTS) OF THE STATE OF ILLINOIS.,choice-of-law
"Choice of Law. This Agreement shall be governed by and its provisions construed and enforced in accordance with the laws of the State of Delaware, as applied to contracts between Delaware residents, entered into and to be performed entirely within the State of Delaware, without regard to the conflict of laws principles thereof.",choice-of-law
"Choice of Law. The validity, interpretation, construction and performance of this Agreement shall be governed by the laws of the State of California without reference to conflict of laws provisions.",choice-of-law
"Choice of Law. THE LOAN DOCUMENTS (OTHER THAN THOSE CONTAINING A CONTRARY EXPRESS CHOICE OF LAW PROVISION) SHALL BE CONSTRUED IN ACCORDANCE WITH THE INTERNAL LAWS (AND NOT THE LAW OF CONFLICTS) OF THE STATE OF ILLINOIS, BUT GIVING EFFECT TO FEDERAL LAWS APPLICABLE TO NATIONAL BANKS.",choice-of-law
"Choice of Law. All questions concerning the construction, validity and interpretation of this Agreement will be governed by the laws of the State of California.",choice-of-law
Choice of Law. This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut without regard to the conflicts of law provisions thereof.,choice-of-law
"Choice of Law. All questions concerning the construction, validity and interpretation of this Agreement will be governed by the law of the State of California, without regard to such state’s conflict of laws rules.",choice-of-law
"Choice of Law. THIS AGREEMENT AND THE RIGHTS OF THE PARTIES UNDER IT WILL BE GOVERNED BY AND CONSTRUED IN ALL RESPECTS IN ACCORDANCE WITH THE LAWS OF THE STATE OF DELAWARE, WITHOUT REGARD TO THE CONFLICTS OF LAWS RULES OF DELAWARE.",choice-of-law
"Choice of Law. The validity, interpretation, construction and performance of this Agreement shall be governed by the internal substantive laws, but not the conflicts of law rules, of the State of California.",choice-of-law
"Choice of Law. The agreement between the Vendor and TIPS/ESC Region 8 and any addenda or other additions resulting from this procurement process, however described, shall be governed by, construed and enforced in accordance with the laws of the State of Texas, regardless of any conflict of laws principles. THIS DOES NOT APPLY to a vendor's agreement entered into with a TIPS Member, as the Member may be located outside Texas. Do you agree to these terms? Agreed The successful vendor will be expected to indemnify and hold harmless the TIPS and its employees, officers, agents, representatives, contractors, assignees and designees from any and all third party claims and judgments involving infringement of patent, copyright, trade secrets, trade or service marks, and any other intellectual or intangible property rights attributed to or claims based on the Vendor's proposal or Vendor’s performance of contracts awarded and approved. Do you agree to these terms? Yes, I Agree Any contract made or entered into by the TIPS is subject to and is to be governed by Section 271.151 et seq, Tex Loc Gov't Code. Otherwise, TIPS does not waive its governmental immunities from suit or liability except to the extent expressly waived by other applicable laws in clear and unambiguous language. Yes Payment Terms: TIPS or TIPS Members shall not be liable for interest or late payment fees on past-due balances at a rate higher than permitted by the laws or regulations of the jurisdiction of the TIPS Member. Funding Out Clause: Vendor agrees to abide by the laws and regulations, including Texas Local Government Code § 271.903, or any statutory or regulatory limitations of the jurisdiction of any TIPS Member which governs contracts entered into by the Vendor and TIPS or a TIPS Member that requires all contracts approved by TIPS or a TIPS Member are subject to the budgeting and appropriation of currently available funds by the entity or its governing body. See statute(s) for specifics or consult your legal counsel. Not a negotiable term. Failure to agree will render your proposal non-responsive and it will not be considered. Do you agree to these terms? Yes",choice-of-law
"Choice of Law. This Agreement and the Securities Account shall each be governed by the laws of the State of New York. Regardless of any provision in any other agreement, for purposes of the UCC, New York shall be deemed to be the Securities Intermediary’s jurisdiction (within the meaning of Section 8-110 of the UCC) and the Securities Account (as well as the securities entitlements related thereto) shall be governed by the laws of the State of New York.",choice-of-law
"Choice of Law. It is the intention of the parties that the laws of Minnesota shall govern the validity of this Agreement, the construction of its terms and the interpretation of the rights and duties of the parties.",choice-of-law
"Choice of Law. This Agreement is made and to be principally performed in the State of New York and except insofar as the 1940 Act or other federal laws and regulations may be controlling, this Agreement shall be governed by, and construed and enforced in accordance with, the internal laws of the State of New York.",choice-of-law
"Choice of Law. This Agreement shall be governed by, and construed in accordance with, the laws of the state of Delaware, without giving effect to the choice of laws provisions thereof.",choice-of-law
"Choice of Law. The validity, interpretation, construction and ------------- performance of this Agreement shall be governed by the laws of the State of California, without giving effect to the principles of conflict of laws.",choice-of-law
"Choice of Law. THIS AGREEMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES RELATING TO THE SUBJECT MATTER OF THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REGARD TO PRINCIPLES OF CONFLICTS OF LAW.",choice-of-law
Choice of Law. This Award Agreement shall be governed by and construed and enforced in accordance with the laws of the State of Missouri without reference to principles of conflicts of laws.,choice-of-law
Choice of Law. This Agreement shall be governed by and its provisions construed in accordance with the laws of the State of California as applied to contracts between California residents entered into and to be performed entirely within California.,choice-of-law
"Choice of Law. This Agreement shall be construed, interpreted, and the rights of the parties determined in accordance with, the laws of the State of Florida except with respect to matters of law concerning the internal affairs of any corporate or partnership entity which is a party to or the subject of this Agreement, and as to those matters the law of the state of incorporation or organization of the respective entity shall govern.",choice-of-law
"Choice of Law. The validity of this Amendment, its construction, interpretation and enforcement, the rights of the parties hereunder, shall be determined under, governed by, and construed in accordance with the internal laws of the State of California governing contracts only to be performed in that State.",choice-of-law
"Choice of Law. This Agreement and the rights of the parties hereunder shall be governed by and construed in accordance with the laws of the State of California including all matters of construction, validity, performance, and enforcement and without giving effect to the principles of conflict of laws.",choice-of-law
