clause_text,clause_type
"Closing Date. Subject to the satisfaction of the conditions set forth in Section 9.1, Section 9.2 and Section 9.3 hereof (or the waiver thereof by the Party entitled to waive that condition), the closing of the purchase and sale of the Purchased Assets and the assumption of the Assumed Liabilities provided for in Article II hereof (the “Closing”) shall take place at the Wilmington, Delaware offices of Pachulski Stang Ziehl & Jones LLP (or at such other place as the Parties may designate in writing) as soon as practicable following the satisfaction or waiver of the conditions set forth in Article X (other than conditions that by their nature are to be satisfied at the Closing, but subject to the satisfaction or waiver of such conditions) and no later than a date that is two (2) Business Days after the Sale Order becomes a Final Order, unless another time or date, or both, are agreed to in writing by the Parties hereto. The date on which the Closing shall be held is referred to in this Agreement as the “Closing Date,” and the Closing shall be deemed effective at the close of business on the Closing Date.",closing-date
"Closing Date. Subject to the satisfaction (or written waiver) of the conditions thereto set forth in Section 6 and Section 7 below, the date and time of the issuance and sale of the Note pursuant to this Agreement (the “Closing Date”) shall be 12:00 noon, Eastern Standard Time on or about October 6, 2017, or such other mutually agreed upon time. The closing of the transactions contemplated by this Agreement (the “Closing”) shall occur on the Closing Date at such location as may be agreed to by the parties.",closing-date
"Closing Date. The First Closing of the purchase and sale of the Convertible Debentures shall take place at 10:00 a.m. Eastern Standard Time on the fifth (5th) business day following the date hereof, subject to notification of satisfaction of the conditions to the First Closing set forth herein and in Sections 6 and 7 below (or such later date as is mutually agreed to by the Company and the Buyer(s)) (the ""First Closing Date"") and the Second Closing of the purchase and sale of the Convertible Debentures shall take place at 10:00 a.m. Eastern Standard Time two (2) business days prior to the date the Registration Statement is filed with the SEC, subject to notification of satisfaction of the conditions to the Second Closing set forth herein and in Sections 6 and 7 below (or such later date as is mutually agreed to by the Company and the Buyer(s)) (the ""Second Closing Date"") (collectively referred to a the ""Closing Dates""). The Closing shall occur on the respective Closing Dates at the offices of Yorkville Advisors, LLC, 3700 Hudson Street, Suite 3700, Jersey City, New Jersey 07302 (or such other place as is mutually agreed to by the Company and the Buyer(s)).",closing-date
"Closing Date. The date and time of the issuance and sale of the Note pursuant to this Agreement (the “Closing Date”) shall be on or around September 18, 2019, or such other mutually agreed upon time. The closing of the transactions contemplated by this Agreement (the “Closing”) shall occur on the Closing Date at such location as may be agreed to by the parties.",closing-date
"Closing Date. The date of this Agreement. Commission: The Securities and Exchange Commission. Consummate: A registered Exchange Offer shall be deemed “Consummated” for purposes of this Agreement upon the occurrence of (i) the filing and effectiveness under the Securities Act of the Exchange Offer Registration Statement relating to the Exchange Securities to be issued in the Exchange Offer, (ii) the maintenance of such Registration Statement continuously effective and the keeping of the Exchange Offer open for a period not less than the minimum period required pursuant to Section 3(b) hereof, and (iii) the delivery by the Company to the Registrar under the Indenture of Exchange Securities in the same aggregate principal amount as the aggregate principal amount of Initial Securities that were tendered by Holders thereof pursuant to the Exchange Offer.",closing-date
"Closing Date. Subject to the satisfaction (or written waiver) of the conditions thereto set forth in Section 6 and Section 7 below, the date and time of the issuance and sale of the Notes and the Warrants pursuant to this Agreement (the “Closing Date”) shall be 12:00 noon, Eastern Standard Time on September 28, 2006, or such other mutually agreed upon time. The closing of the transactions contemplated by this Agreement (the “Closing”) shall occur on the Closing Date at such location as may be agreed to by the parties.",closing-date
"Closing Date. The obligation of each Lender to make a Credit Extension on the Closing Date is subject to the satisfaction, or waiver in accordance with Section 10.5, of the following conditions on or before the Closing Date:",closing-date
Closing Date. The closing of the purchase and sale of the Shares hereunder (the “Closing”) shall be held immediately following the execution and delivery of this Agreement.,closing-date
"Closing Date. The obligation of the Company hereunder to issue and sell the Notes and the related Warrants to each Buyer at the Closing is subject to the satisfaction, at or before the Closing Date, of each of the following conditions, provided that these conditions are for the Company’s sole benefit and may be waived by the Company at any time in its sole discretion by providing each Buyer with prior written notice thereof:",closing-date
Closing Date. The obligations of the Lenders to make the initial Loans hereunder shall not become effective until the date on which each of the following conditions is satisfied (or waived in accordance with Section 9.02):,closing-date
