clause_text,clause_type
"Closing. The closing of the purchase and sale of the Mortgage Loans (the “Closing”) shall be held at the offices of Sidley Austin LLP, 787 Seventh Avenue, New York, New York 10019 at 10:00 a.m., New York City time, on the Closing Date. The Closing shall be subject to each of the following conditions:",closing
"Closing. The closing of the sale of the Mortgage Loans (the “Closing”) shall be held at the offices of special counsel to the Purchaser at 10:00 a.m., New York City time, on the Closing Date. The Closing shall be subject to each of the following conditions:",closing
"Closing. The closing for the purchase and sale of each Mortgage Loan Package shall take place on the related Closing Date. At the Purchaser's option, each Closing shall be either: by telephone, confirmed by letter or wire as the parties shall agree, or conducted in person, at such place as the parties shall agree. The closing for the Mortgage Loans to be purchased on each Closing Date shall be subject to each of the following conditions:",closing
"Closing. Subject to the satisfaction or waiver of all of the conditions to closing contained in Article VI, the closing of the Merger (the “Closing”) shall take place (a) at the offices of Paul, Weiss, Rifkind, Wharton & Garrison LLP, 1285 Avenue of the Americas, New York, New York, at 10:00 a.m. (local time) on the second Business Day after the day on which the conditions set forth in Article VI (other than any conditions that by their nature are to be satisfied at the Closing, but subject to the satisfaction or waiver of those conditions) are satisfied or waived in accordance with this Agreement or (b) at such other place and time as Parent and the Company may agree in writing. The date on which the Closing occurs is referred to as the “Closing Date.”",closing
"Closing. On the Closing Date, upon the terms and subject to the conditions set forth herein, substantially concurrent with the execution and delivery of this Agreement by the parties hereto, the Company agrees to sell, and the Purchasers, severally and not jointly, agree to purchase, up to an aggregate of $___,000,000 of Shares and Warrants. Each Purchaser shall deliver to the Company, via wire transfer or a certified check of immediately available funds equal to such Purchaser’s Subscription Amount as set forth on the signature page hereto executed by such Purchaser and the Company shall deliver to each Purchaser its respective Shares and a Warrant as determined pursuant to Section 2.2(a), and the Company and each Purchaser shall deliver the other items set forth in Section 2.2 deliverable at the Closing. Upon satisfaction of the covenants and conditions set forth in Sections 2.2 and 2.3, the Closing shall occur at the offices of Company Counsel or such other location as the parties shall mutually agree.",closing
"Closing. Subject to the terms and conditions of this Agreement, the sale and purchase of the Shares contemplated by this Agreement shall take place at a closing (the “Closing”) to be held at the offices of Shearman & Sterling LLP, 12th Floor, Gloucester Tower, The Landmark, 15 Queen’s Road Central, Central, Hong Kong at 10:00 a.m. local time on the eleventh Business Day following the satisfaction or waiver of all conditions to the obligations of the parties set forth in Section 6.01(b), (e) and (f) and Sections 6.02(b), (d) and (e) or at such other place or at such other time or on such other date as the Seller and the Purchaser may mutually agree upon in writing.",closing
"Closing. (1) Although the Board has agreed to submit certain programs and reports to the Assistant Deputy Comptroller for review or prior written determination of no supervisory objection, the Board has the ultimate responsibility for proper and sound management of the Bank.",closing
"Closing. The closing for the purchase and sale of the Mortgage Loans shall take place at the office of Cadwalader, Wickersham & Taft LLP, New York, New York, at 10:00 a.m., on the Closing Date or such other place and time as the parties shall agree.",closing
"Closing. On the Closing Date, upon the terms and subject to the conditions set forth herein, substantially concurrent with the execution and delivery of this Agreement by the parties hereto, the Company agrees to sell, and the Purchasers, severally and not jointly, agree to purchase, up to an aggregate of $ of Shares and Warrants. Each Purchaser’s Subscription Amount as set forth on the signature page hereto executed by such Purchaser shall be made available for “Delivery Versus Payment” settlement with the Company. The Company shall deliver to each Purchaser its respective Shares and a Warrant as determined pursuant to Section 2.2(a), and the Company and each Purchaser shall deliver the other items set forth in Section 2.2 deliverable at the Closing. Upon satisfaction of the covenants and conditions set forth in Sections 2.2 and 2.3, the Closing shall occur at the offices of EGS or such other location as the parties shall mutually agree. Unless otherwise directed by the Placement Agent, settlement of the Shares shall occur via “Delivery Versus Payment” (“DVP”) (i.e., on the Closing Date, the Company shall issue the Shares registered in the Purchasers’ names and addresses and released by the Transfer Agent directly to the account(s) at the Placement Agent identified by each Purchaser; upon receipt of such Shares, the Placement Agent shall promptly electronically deliver such Shares to the applicable Purchaser, and payment therefor shall be made by the Placement Agent (or its clearing firm) by wire transfer to the Company).",closing
"Closing. The closing (the “Closing”) of the Merger will take place at the offices of Hogan Lovells US LLP, 555 13th Street NW, Washington, DC 20004 on a date and at a time to be mutually agreed upon by the Parties, but in no event later than the third (3rd) Business Day after all the conditions set forth in Article 8 (other than those conditions that by their nature are to be satisfied or waived at the Closing, but subject to the satisfaction or valid waiver of such conditions) shall have been satisfied or validly waived by the Party entitled to the benefit of such condition (subject to applicable Law), unless such date is extended by mutual agreement of the Parties (the “Closing Date”); provided, that notwithstanding the satisfaction or waiver of the closing conditions described in Article 8, Parent and Merger Sub shall not be required to effect the Closing until the earlier of (i) the date on which all of the consents listed on Section 2.2 of the Parent Disclosure Letter have been obtained, or (ii) the Outside Date.",closing
"Closing. The closing of the transactions contemplated hereby (the “Closing”) will be held at the offices of Haynes and Boone, LLP, 2323 Victory Avenue, Suite 700, Dallas, Texas 75219 at 10:00 a.m. (or such other location as mutually agreed upon by the parties hereto) on the second business day, in each case, after the satisfaction or waiver of all conditions in ARTICLE IV other than those conditions that by their nature are to be satisfied at the Closing (but subject to the satisfaction or waiver of such conditions). The actual date on which the Closing takes place is referred to herein as the “Closing Date.”",closing
"Closing. On the Closing Date, upon the terms and subject to the conditions set forth herein, substantially concurrent with the execution and delivery of this Agreement by the parties hereto, the Company agrees to sell, and the Purchasers, severally and not jointly, agree to purchase, up to an aggregate of $2,500,000 in principal amount of the Debentures. Each Purchaser shall deliver to the Company, via wire transfer or a certified check, immediately available funds equal to its Subscription Amount and the Company shall deliver to each Purchaser its respective Debenture and a Warrant, as determined pursuant to Section 2.2(a), and the Company and each Purchaser shall deliver the other items set forth in Section 2.2 deliverable at the Closing. Upon satisfaction of the conditions set forth in Sections 2.2 and 2.3, the Closing shall occur at the offices of FWS or such other location as the parties shall mutually agree.",closing
