clause_text,clause_type
"Collateral. Each of the Banks represents to the Agent and each of the other Banks that it in good faith is not relying upon any ""margin stock"" (as defined in Regulation U) as collateral in the extension or maintenance of the credit provided for in this Agreement.",collateral
"Collateral. Borrower has good title to, has rights in, and the power to transfer each item of the Collateral upon which it purports to grant a Lien hereunder, free and clear of any and all Liens except Permitted Liens. Borrower has no deposit accounts other than the deposit accounts with Bank, the deposit accounts, if any, described in the Perfection Certificate delivered to Bank in connection herewith, or of which Borrower has given Bank notice and taken such actions as are necessary to give Bank a perfected security interest therein. The Accounts are bona fide, existing obligations of the Account Debtors. The Collateral is not in the possession of any third party bailee (such as a warehouse) except as otherwise provided in the Perfection Certificate. None of the components of the Collateral shall be maintained at locations other than as provided in the Perfection Certificate or as permitted pursuant to Section 7.2. All Inventory is in all material respects of good and marketable quality, free from material defects. Borrower is the sole owner of the Intellectual Property which it owns or purports to own except for (a) non-exclusive licenses granted to its customers in the ordinary course of business, (b) over-the-counter software that is commercially available to the public, and (c) material Intellectual Property licensed to Borrower and noted on the Perfection Certificate. Each Patent which it owns or purports to own and which is material to Borrower’s business is valid and enforceable, and no part of the Intellectual Property which Borrower owns or purports to own and which is material to Borrower’s business has been judged invalid or unenforceable, in whole or in part. To the best of Borrower’s knowledge, no claim has been made that any part of the Intellectual Property violates the rights of any third party except to the extent such claim would not reasonably be expected to have a material adverse effect on Borrower’s business. Except as noted on the Perfection Certificate, Borrower is not a party to, nor is it bound by, any Restricted License.",collateral
"Collateral. The word ""Collateral"" means and includes without limitation all property and assets granted as collateral security for a Loan, whether real or personal property, whether granted directly or indirectly, whether granted now or in the future, and whether granted in the form of a security interest, mortgage, deed of trust, assignment, pledge, chattel mortgage, chattel trust, factor's lien, equipment trust, conditional sale, trust receipt, lien, charge, lien or title retention contract, lease or consignment intended as a security device, or any other security or lien interest whatsoever, whether created by law, contract, or otherwise.",collateral
"Collateral. As collateral security for the payment in full when due (whether at stated maturity, by acceleration or otherwise) of its Secured Obligations, each Obligor hereby pledges and grants to the Collateral Agent for the benefit of the Secured Parties as hereinafter provided a security interest in all of such Obligor’s right, title and interest in, to and under all of the following property and assets, in each case whether tangible or intangible, wherever located, and whether now owned by such Obligor or hereafter acquired and whether now existing or hereafter coming into existence (all of the property described in this Section 4 being collectively referred to herein as “Collateral”):",collateral
"Collateral. (a) Borrower and each its Subsidiaries have good title to, have rights in, and the power to transfer each item of the Collateral upon which it purports to grant a Lien under the Loan Documents, free and clear of any and all Liens except Permitted Liens, and neither Borrower nor any of its Subsidiaries have any Deposit Accounts, Securities Accounts, Commodity Accounts or other investment accounts other than the Collateral Accounts or the other investment accounts, if any, described in the Perfection Certificates delivered to Collateral Agent in connection herewith with respect of which Borrower or such Subsidiary has given Collateral Agent notice and taken such actions as are necessary to give Collateral Agent a perfected security interest therein. The Accounts are bona fide, existing obligations of the Account Debtors.",collateral
"Collateral. The word ""Collateral"" means all of Grantor's right, title and interest in and to all the Collateral as described in the Collateral Description section of this Agreement.",collateral
"Collateral. For the purposes of this Agreement, all of the following property now owned or at any time hereafter acquired by a Grantor or in which a Grantor now has or at any time in the future may acquire any right, title or interests is collectively referred to as the “Collateral”:",collateral
"Collateral. The Secured Obligations shall be secured by valid, perfected, and enforceable Liens on all right, title, and interest of each Loan Party in all of its real property, personal property, and fixtures, whether now owned or hereafter acquired or arising, and all proceeds thereof; provided, however, that: (i) the Collateral shall not include Excluded Property, (ii) until an Event of Default has occurred and is continuing and thereafter until otherwise required by the Administrative Agent or the Required Lenders, Liens on vehicles or other goods which are subject to a certificate of title law need not be perfected provided that the fair market value of such vehicles or other goods at any one time not so perfected shall not exceed $500,000 in the aggregate, and (iii) the Collateral need not include (or be perfected if a Lien is granted) those assets of any Loan Party as to which the Administrative Agent in its sole discretion determines that the cost of obtaining a security interest in or perfection thereof are excessive in relation to the value of the security to be afforded thereby. Each Loan Party acknowledges and agrees that the Liens on the Collateral shall be granted to the Administrative Agent for the benefit of the holders of the Secured Obligations and shall be valid and perfected first priority Liens (to the extent perfection by filing, registration, recordation, possession or control is required herein or in any other Loan Document) subject to the proviso appearing at the end of the preceding sentence and to Liens permitted by Section 8.8, in each case pursuant to one or more Collateral Documents from such Persons, each in form and substance reasonably satisfactory to the Administrative Agent.",collateral
"Collateral. This Agreement does not contemplate a sale of accounts, contract rights or chattel paper, and, as provided by law, the Borrower is entitled to any surplus and shall remain liable for any deficiency. The Lender's duty of care with respect to Collateral in its possession (as imposed by law) shall be deemed fulfilled if it exercises reasonable care in physically keeping such Collateral, or in the case of Collateral in the custody or possession of a bailee or other third person, exercises reasonable care in the selection of the bailee or other third person, and the Lender need not otherwise preserve, protect, insure or care for any Collateral. The Lender shall not be obligated to preserve any rights the Borrower may have against prior parties, to realize on the Collateral at all or in any particular manner or order or to apply any cash proceeds of the Collateral in any particular order of application.",collateral
"Collateral. As security for all indebtedness of Borrower to Bank subject hereto, Borrower hereby grants to Bank security interests of first priority in all Borrower’s accounts receivable and other rights to payment, general intangibles, inventory and equipment. All of the foregoing shall be evidenced by and subject to the terms of such security agreements, financing statements, deeds of trust and other documents as Bank shall reasonably require, all in form and substance satisfactory to Bank. Borrower shall reimburse Bank immediately upon demand for all costs and expenses incurred by Bank in connection with any of the foregoing security, including without limitation, filing and recording fees and costs of appraisals, audits and title insurance.",collateral
