clause_text,clause_type
"Compensation and Benefits. As compensation for all services performed by the Executive under and during the term hereof and subject to performance of the Executive’s duties and of the obligations of the Executive to the Company and its Affiliates, pursuant to this Agreement or otherwise:",compensation-and-benefits
"Compensation and Benefits. (a) The Employers shall compensate and pay the Executive for his services during the term of this Agreement at a minimum base salary of $_______ per year (""Base Salary""), which may be increased from time to time in such amounts as may be determined by the Boards of Directors of the Employers and may not be decreased without the Executive's express written consent. In addition to his Base Salary, the Executive shall be entitled to receive during the term of this Agreement such bonus payments as may be determined by the Boards of Directors of the Employers.",compensation-and-benefits
Compensation and Benefits. The regular compensation and benefits payable to the Executive under this Agreement shall be as follows:,compensation-and-benefits
"Compensation and Benefits. The Company shall pay or provide, as the case may be, to Executive the compensation and other benefits and rights set forth in this Section 3.",compensation-and-benefits
"Compensation and Benefits. During the Employment Term, the Executive shall be entitled to the following compensation and benefits:",compensation-and-benefits
"Compensation and Benefits. As remuneration for all services to be rendered by Executive during the Term, and as consideration for complying with the covenants herein, the Company shall pay and provide to Executive the following:",compensation-and-benefits
"Compensation and Benefits. For all services rendered by the Executive pursuant to this Agreement during the Period of Employment, including services as an executive officer, director or committee member of the Company or any subsidiary or affiliate of the Company, the Executive shall be compensated as follows:",compensation-and-benefits
"Compensation and Benefits. Subject to the terms of this Agreement, the Company shall compensate Executive under this Agreement as follows (collectively, the “Severance Payments”):",compensation-and-benefits
"Compensation and Benefits. For all services rendered by the Executive in any capacity during the Term (including, without limitation, serving as an officer, director or member of any committee of the Company or any of its subsidiaries or other Affiliates), the Executive shall be compensated as follows (subject, in each case, to the provisions of ARTICLE 4 below):",compensation-and-benefits
"Compensation and Benefits. In consideration of the Executive’s performance of his duties hereunder, the Company shall provide the Executive with the following compensation and benefits during the term of his employment hereunder.",compensation-and-benefits
"Compensation and Benefits. In consideration of the services rendered by the Executive during the Agreement Term, the Company shall pay or provide the Executive the compensation and benefits set forth below.",compensation-and-benefits
"Compensation and Benefits. In consideration for the services Executive shall render under this Agreement, Company shall provide or cause to be provided to Executive the following compensation and benefits:",compensation-and-benefits
"Compensation and Benefits. For all services rendered by Employee in any capacity during the Term, including, without limitation, services as an officer, director or member of any committee of Employer, or any subsidiary, affiliate or division thereof, Employee shall be compensated as follows (subject, in each case, to the provisions of Article IV below):",compensation-and-benefits
"Compensation and Benefits. In consideration for the services of the Employee hereunder, the Company will compensate Employee as follows:",compensation-and-benefits
"Compensation and Benefits. Subject to the terms and conditions of this Agreement, during the Employment Period, while Executive is employed by the Employer, the Employer shall compensate Executive for Executive’s services as follows for periods following the Effective Date:",compensation-and-benefits
Compensation and Benefits. The Company agrees to pay or cause to be paid to Executive and Executive agrees to accept in exchange for the services rendered hereunder the following compensation and benefits:,compensation-and-benefits
"Compensation and Benefits. Until the termination of the Employee's employment hereunder, in consideration for the services of the Employee hereunder, the Employer shall compensate the Employee as follows:",compensation-and-benefits
"Compensation and Benefits. (a) During the Employment Period, Executive’s base salary shall be Four Hundred Thousand Dollars ($400,000) per annum (as increased from time to time as provided below, the “Base Salary”), which salary shall be payable by the Company in regular installments in accordance with the Company’s general payroll practices (in effect from time to time). The Board or the Compensation Committee thereof (either such entity, the “Compensation Committee”) shall review the Base Salary each year during the Employment Period, and Executive may receive increases (but no decreases) in his Base Salary from time to time, based upon his performance, subject to approval of the Compensation Committee. In addition, during the Employment Period, Executive shall be entitled to participate in the Company’s employee benefit programs for which other senior executive employees of the Company are generally eligible. The Company reserves the right to cancel or change the benefit plans and programs it offers to its employees at any time.",compensation-and-benefits
"Compensation and Benefits. In return for the services to be provided by Executive pursuant to this Agreement, Employer agrees to pay Executive as follows:",compensation-and-benefits
"Compensation and Benefits. During the Executive’s employment hereunder, as compensation for all services performed by the Executive for the Company and its Affiliates, the Company will provide the Executive the following compensation and benefits:",compensation-and-benefits
"Compensation and Benefits. During your employment, as compensation for all services performed by you for the Company and subject to your performance of your duties and responsibilities for the Company, pursuant to this Agreement or otherwise, the Company will provide you the following pay and benefits:",compensation-and-benefits
"Compensation and Benefits. During your employment, as compensation for all services performed by you for the Company and its Affiliates, the Company will provide you the following pay and benefits:",compensation-and-benefits
"Compensation and Benefits. During the Employment Period, Executive shall be paid or receive compensation and benefits as follows:",compensation-and-benefits
"Compensation and Benefits. As full and complete compensation for the Employee's execution and delivery of this Agreement and performance of any services hereunder, the Company shall pay, grant or provide the Employee, and the Employee agrees to accept, the following compensation and benefits:",compensation-and-benefits
"Compensation and Benefits. (a) During the Employment Period, Executive’s base salary shall be a minimum of $187,460 per annum (as increased or decreased in accordance with this Agreement from time to time, the “Base Salary”), which salary shall be payable by the Company in regular installments in accordance with the Company’s general payroll practices (in effect from time to time). The Executive’s Base Salary will be subject to review and increase or decrease (but not below the Base Salary in effect on the date of this Agreement) by the Board on or about January 1 of each fiscal year during the Employment Period. In addition, during the Employment Period, Executive shall be entitled to participate in all of the Benefits.",compensation-and-benefits
"Compensation and Benefits. The Company shall pay and/or provide the following compensation and benefits to Employee during the term hereof, and Employee shall accept the same as payment in full for all services rendered by Employee to or for the benefit of the Company:",compensation-and-benefits
"Compensation and Benefits. 2.1 Employee's monthly base salary during the Term shall be not less than the amount set forth under the heading ""Monthly Base Salary"" on Exhibit A, subject to increase at the sole discretion of the Employer, which shall be paid in semimonthly installments in accordance with Employer's standard payroll practice. Any calculation to be made under this Agreement with respect to Employee's Monthly Base Salary shall be made using the then current Monthly Base Salary in effect at the time of the event for which such calculation is made.",compensation-and-benefits
"Compensation and Benefits. As compensation for Executive’s services during the Term of this Agreement, Executive shall be paid and receive the compensation and benefits set forth in subsections (a) through (e) below:",compensation-and-benefits
"Compensation and Benefits. During the Executive’s employment hereunder, the Company shall provide to the Executive, and the Executive shall accept from the Company as full compensation for the Executive’s services hereunder, compensation and benefits as follows:",compensation-and-benefits
"Compensation and Benefits. 2.1 Employee's base salary as of the Effective Date is four hundred thousand United States dollars ($400,000) per annum, which shall continue to be paid in accordance with the Employer's standard payroll practice for its executives. Employee’s base salary may thereafter be increased from time to time with the approval of the Compensation Committee of Halliburton Company’s Board of Directors (the “Compensation Committee”) or its delegate, as applicable. Such increased base salary shall become the minimum base salary under this Agreement and may not be decreased thereafter without the written consent of Employee, unless comparable reductions in salary are effective for all similarly situated executives of Employer.",compensation-and-benefits
Compensation and Benefits. During the Employment Period:,compensation-and-benefits
"Compensation and Benefits. During the Employment Term, the Company shall provide the Employee with the compensation and benefits described below:",compensation-and-benefits
"Compensation and Benefits. During the Employment Period, while Executive is employed by the Company, the Company shall compensate Executive for Executive’s services as follows:",compensation-and-benefits
"Compensation and Benefits. The Company shall pay Employee as compensation for all of the services to be rendered by him hereunder during the Term, and in consideration of the various restrictions imposed upon Employee during the Term and the Restricted Period, and otherwise under this Agreement, the Basic Salary and other benefits as provided for and determined pursuant to Sections 5 to 10, inclusive, of this Agreement.",compensation-and-benefits
Compensation and Benefits. During the term of Executive’s employment hereunder as compensation for all services performed by the Executive:,compensation-and-benefits
"Compensation and Benefits. In consideration of entering into this Agreement and as full compensation for Executive’s services hereunder, during the Employment Period, Executive shall receive the following compensation and benefits:",compensation-and-benefits
"Compensation and Benefits. The Company shall pay Employee, and Employee accepts as full compensation for all services to be rendered to all Consolidated Companies, the following compensation and benefits:",compensation-and-benefits
Compensation and Benefits. During the Employment Period Employee shall receive the following compensation and benefits:,compensation-and-benefits
"Compensation and Benefits. As the entire consideration for the services to be performed and the obligations incurred by Executive hereunder, and subject to the terms and conditions hereof, during the Term (as defined below) of this Agreement, Executive shall be entitled to the following:",compensation-and-benefits
"Compensation and Benefits. (a) The Bank or the Company (as they shall determine), shall pay Executive as compensation a salary of $175,000 per year (“Base Salary”). In addition to the Base Salary provided in this Section 3(a), the Bank shall also provide Executive with all such other benefits as are provided uniformly to permanent full-time employees of the Bank. If Executive’s Base Salary is increased, such increased Base Salary shall then constitute the Base Salary for all purposes of this Agreement. For purposes of Section 4(b) of this Agreement, Base Salary shall be deemed to include the highest cash bonus or similar cash incentive compensation paid to or accrued on behalf of the Executive with respect to the three (3) taxable years preceding his termination of employment. For purposes of Section 5(c) of this Agreement, Base Salary shall be defined as the amount reported in Box 1 of the Executive’s Form W-2, plus amounts deferred under the Bank’s 401(k) Plan and/or Section 125 Plan (if any), or deferred at the Executive’s election or on behalf of the Executive to any non-qualified deferred compensation plan of the Bank or the Company.",compensation-and-benefits
