clause_text,clause_type
"Compliance Certificate. (a) The Company shall deliver to the Trustee, within 90 days after the end of each fiscal year, an Officers' Certificate stating that a review of the activities of the Company and its Subsidiaries during the preceding fiscal year has been made under the supervision of the signing Officers with a view to determining whether the Company has kept, observed, performed and fulfilled its obligations under this Indenture, and further stating, as to each such Officer signing such certificate, that to the best of his or her knowledge the Company has kept, observed, performed and fulfilled each and every covenant contained in this Indenture and is not in default in the performance or observance of any of the terms, provisions and conditions of this Indenture (or, if a Default or Event of Default shall have occurred, describing all such Defaults or Events of Default of which he or she may have knowledge and what action the Company is taking or proposes to take with respect thereto) and that to the best of his or her knowledge no event has occurred and remains in existence by reason of which payments on account of the principal of or interest, if any, on the Notes is prohibited or if such event has occurred, a description of the event and what action the Company is taking or proposes to take with respect thereto.",compliance-certificate
"Compliance Certificate. The Company shall deliver to the Trustee within 120 days after the end of each fiscal year of the Company an Officers' Certificate stating that in the course of the performance by the signers of their duties as Officers of the Company they would normally have knowledge of any Default and whether or not the signers know of any Default that occurred during such period. If they do, the certificate shall describe the Default, its status and what action the Company is taking or proposes to take with respect thereto. The Company also shall comply with TIA Section 314(a)(4).",compliance-certificate
"Compliance Certificate. The Company shall deliver to the Trustee, within 90 days after the end of each fiscal year of the Company, an Officers’ Certificate stating that a review of the activities of the Company and its Subsidiaries during the preceding fiscal year has been made under the supervision of the signing Officers with a view to determining whether the Company has kept, observed, performed and fulfilled its obligations under this Indenture, and further stating, as to each such Officer signing such certificate, that to the best of his knowledge the Company has kept, observed, performed and fulfilled each and every covenant contained in this Indenture and is not in default in the performance or observance of any of the terms, provisions and conditions hereof (or, if a Default or Event of Default shall have occurred, describing all such Defaults or Events of Default of which he may have knowledge). The Company will, so long as any of the Securities are outstanding, deliver to the Trustee, forthwith upon becoming aware of any Default or Event of Default, an Officers’ Certificate specifying such Default or Event of Default and what action the Company is taking or proposes to take with respect thereto.",compliance-certificate
"Compliance Certificate. (a) The Issuer and each Guarantor (to the extent that such Guarantor is so required under the Trust Indenture Act) shall deliver to the Trustee, within 90 days after the end of each fiscal year ending after the Issue Date, a certificate from the principal executive officer, principal financial officer or principal accounting officer stating that a review of the activities of the Issuer and its Restricted Subsidiaries during the preceding fiscal year has been made under the supervision of the signing Officer with a view to determining whether the Issuer has kept, observed, performed and fulfilled its obligations under this Indenture, and further stating, as to such Officer signing such certificate, that to the best of his or her knowledge the Issuer has kept, observed, performed and fulfilled each and every condition and covenant contained in this Indenture and is not in default in the performance or observance of any of the terms, provisions, covenants and conditions of this Indenture (or, if a Default shall have occurred, describing all such Defaults of which he or she may have knowledge and what action the Issuer is taking or proposes to take with respect thereto).",compliance-certificate
"Compliance Certificate. Together with the financial statements required hereunder, a compliance certificate in substantially the form of Exhibit V signed by such Seller Party’s Authorized Officer and dated the date of such annual financial statement or such quarterly financial statement, as the case may be.",compliance-certificate
"Compliance Certificate. At the time Borrower furnishes each set of financial statements pursuant to Section 9.04(a) or Section 9.04(b), a certificate of a Responsible Officer of Borrower in the form of Exhibit E hereto (I) to the effect that no Default has occurred and is continuing (or, if any Default has occurred and is continuing, describing the same in reasonable detail and describing the action that the Companies have taken and propose to take with respect thereto) and (II) from and after the Initial Test Date, setting forth in reasonable detail the computations necessary to determine whether Borrower and its Restricted Subsidiaries are in compliance with Section 10.08 as of the end of the respective fiscal quarter or fiscal year; provided that if such certificate demonstrates an Event of Default with respect to the financial maintenance covenants set forth in Section 10.08, Borrower may deliver, prior to or together with such certificate, a notice of intent to cure (a “Notice of Intent to Cure”) pursuant to Section 11.03 to the extent permitted thereunder;",compliance-certificate
"Compliance Certificate. (a) The Company and each Guarantor (to the extent that such Guarantor is so required under the TIA) shall deliver to the Trustee, within 120 days after the end of each fiscal year, an Officers’ Certificate stating that a review of the activities of the Company and its Subsidiaries during the preceding fiscal year has been made under the supervision of the signing Officers with a view to determining whether the Company has kept, observed, performed and fulfilled its obligations under this Indenture, and further stating, as to each such Officer signing such certificate, that to the best of his or her knowledge the Company has kept, observed, performed and fulfilled each and every covenant contained in this Indenture and is not in default in the performance or observance of any of the terms, provisions and conditions of this Indenture (or, if a Default or Event of Default has occurred, describing all such Defaults or Events of Default of which he or she may have knowledge and what action the Company is taking or proposes to take with respect thereto) and that to the best of his or her knowledge no event has occurred and remains in existence by reason of which payments on account of the principal of or interest, if any, on the Notes is prohibited or if such event has occurred, a description of the event and what action the Company is taking or proposes to take with respect thereto.",compliance-certificate
"Compliance Certificate. (a) The Issuers and each Guarantor (to the extent that such Guarantor is so required under the TIA) shall deliver to the Trustee, within 120 days after the end of each fiscal year, an Officers’ Certificate stating that a review of the activities of the Issuers and Targa Resources Partners’ Subsidiaries during the preceding fiscal year has been made under the supervision of the signing Officers with a view to determining whether the Issuers have kept, observed, performed and fulfilled their obligations under this Indenture, and further stating, as to each such Officer signing such certificate, that to the best of his or her knowledge the Issuers have kept, observed, performed and fulfilled each and every covenant contained in this Indenture and are not in default in the performance or observance of any of the terms, provisions and conditions of this Indenture (or, if a Default or Event of Default has occurred, describing all such Defaults or Events of Default of which he or she may have knowledge and what action the Issuers are taking or propose to take with respect thereto).",compliance-certificate
"Compliance Certificate. (a) The Parent shall supply to the Agent, with each set of consolidated financial statements delivered pursuant to paragraphs (a) and (c) of Clause 19.1 (Financial statements), a Compliance Certificate setting out (in reasonable detail) computations as to compliance with Clause 20 (Financial Covenants) as at the date as at which those financial statements were drawn up.",compliance-certificate
"Compliance Certificate. Together with each delivery of financial statements of Holdings and its Subsidiaries pursuant to Sections 5.1(b) and 5.1(c), a duly executed and completed Compliance Certificate;",compliance-certificate
