clause_text,clause_type
"Compliance with Law. Each Receivable and the sale of the related Financed Equipment complied in all material respects at the time it was originated or made and at the execution of this Agreement with all requirements of applicable federal, state and local laws and regulations thereunder, including usury law, the Federal Truth-in-Lending Act, the Equal Credit Opportunity Act, the Fair Credit Reporting Act, the Fair Debt Collection Practices Act, the Federal Trade Commission Act, the Magnuson-Moss Warranty Act, the Consumer Financial Protection Bureau’s Regulations B and Z, the Wisconsin Consumer Act and state adaptations of the National Consumer Act and of the Uniform Consumer Credit Code, and other consumer credit laws and equal credit opportunity and disclosure laws, in each case, to the extent applicable.",compliance-with-law
"Compliance with Law. All requirements of applicable federal, state and local laws, and regulations thereunder (including, without limitation, usury laws, the Federal Truth-in-Lending Act, the Equal Credit Opportunity Act, the Fair Credit Billing Act, the Fair Credit Reporting Act, the Fair Debt Collection Practices Act, the Federal Trade Commission Act, the Moss-Magnuson Warranty Act, the Federal Reserve Board’s Regulations “B” and “Z” (including amendments to the Federal Reserve’s Official Staff Commentary to Regulation Z, effective October 1, 1998, concerning negative equity loans), the Servicemembers Civil Relief Act, each applicable state Motor Vehicle Retail Installment Sales Act, and state adaptations of the National Consumer Act and of the Uniform Consumer Credit Code and other consumer credit laws and equal credit opportunity and disclosure laws) in respect of the Receivables and the Financed Vehicles, have been complied with in all material respects, and each Receivable and the sale of the Financed Vehicle evidenced by each Receivable complied at the time it was originated or made and now complies in all material respects with all applicable legal requirements.",compliance-with-law
"Compliance with Law. The business of the Company and the Subsidiaries has been and is presently being conducted in accordance with all applicable federal, state and local governmental laws, rules, regulations and ordinances, except as set forth in the Commission Documents or on Schedule 2.1(n) hereto or such that, individually or in the aggregate, the noncompliance therewith could not reasonably be expected to have a Material Adverse Effect. The Company and each of its Subsidiaries have all franchises, permits, licenses, consents and other governmental or regulatory authorizations and approvals necessary for the conduct of its business as now being conducted by it unless the failure to possess such franchises, permits, licenses, consents and other governmental or regulatory authorizations and approvals, individually or in the aggregate, could not reasonably be expected to have a Material Adverse Effect.",compliance-with-law
"Compliance with Law. The Company will and will cause each of its Subsidiaries to comply with all laws, ordinances or governmental rules or regulations to which each of them is subject, including, without limitation, Environmental Laws, and will obtain and maintain in effect all licenses, certificates, permits, franchises and other governmental authorizations necessary to the ownership of their respective properties or to the conduct of their respective businesses, in each case to the extent necessary to ensure that non-compliance with such laws, ordinances or governmental rules or regulations or failures to obtain or maintain in effect such licenses, certificates, permits, franchises and other governmental authorizations could not, individually or in the aggregate, reasonably be expected to have a Material Adverse Effect.",compliance-with-law
"Compliance with Law. (i) Neither the Assuming Institution nor any of its Subsidiaries is in violation of any statute, regulation, order, decision, judgment or decree of, or any restriction imposed by, the United States of America, any State, municipality or other political subdivision or any agency of any of the foregoing, or any court or other tribunal having jurisdiction over the Assuming Institution or any of its Subsidiaries or any assets of any such Person, or any foreign government or agency thereof having such jurisdiction, with respect to the conduct of the business of the Assuming Institution or of any of its Subsidiaries, or the ownership of the properties of the Assuming Institution or any of its Subsidiaries, which, either individually or in the aggregate with all other such violations, would materially and adversely affect the business, operations or condition (financial or otherwise) of the Assuming Institution or the ability of the Assuming Institution to perform, satisfy or observe any obligation or condition under this Agreement.",compliance-with-law
"Compliance with Law. Except for the obligations of Ultimus otherwise set forth herein, the Trust assumes full responsibility for the preparation, contents and distribution of each prospectus of the Trust as to compliance with all applicable requirements of the Securities Act of 1933, as amended (the ""Securities Act""), the 1940 Act and any other laws, rules and regulations of governmental authorities having jurisdiction. The Trust represents and warrants that no shares of the Trust will be offered to the public until the Trust's registration statement under the Securities Act and the 1940 Act has been declared or becomes effective.",compliance-with-law
"Compliance with Law. The Company shall make reasonable efforts to comply with all applicable federal and state securities laws; provided, however, that notwithstanding any other provision of this Agreement, the Option shall not be exercisable if the exercise thereof would result in a violation of any such law.",compliance-with-law
Compliance with Law. The issuance and transfer of shares of Common Stock shall be subject to compliance by the Company and the Grantee with all applicable requirements of federal and state securities laws and with all applicable requirements of any stock exchange on which the Company’s shares of Common Stock may be listed. No shares of Common Stock shall be issued or transferred unless and until any then applicable requirements of state and federal laws and regulatory agencies have been fully complied with to the satisfaction of the Company and its counsel.,compliance-with-law
"Compliance with Law. Tenant shall not do anything or suffer anything to be done in or about the Premises or the Project which will in any way conflict with any law, statute, ordinance or other governmental rule, regulation or requirement now in force or which may hereafter be enacted or promulgated (“Applicable Laws”). Tenant shall, at its sole cost and expense, promptly comply with any Applicable Laws which relate to (i) Tenant’s use of the Premises except to the extent that a law is enacted or modified (as contrasted with a variance or grandfathered right ceasing to exist) subsequent to the Lease Commencement Date), (ii) any Alterations made by Tenant to the Premises, or (iii) the Base Building, but as to the Base Building (including the Building Structure and Building Systems), only to the extent such obligations are triggered by Alterations made by Tenant to the Premises to the extent such Alterations are not normal and customary business office improvements, or Tenant’s particular use of the Premises for uses other than customary office and research and development use. Subject to the foregoing, should any standard or regulation now or hereafter be imposed on Tenant by a state, federal or local governmental body charged with the establishment, regulation and enforcement of occupational, health or safety standards for employers, employees or tenants, then Tenant agrees, at its sole cost and expense, to comply promptly with such standards or regulations and to cooperate with Landlord, including, without limitation, by taking such actions as Landlord may reasonably require, in Landlord’s efforts to comply with such standards or regulations, provided that Tenant shall not be required to make alterations to the Base Building (including the Building Structure and Building Systems), except to the extent set forth in item (iii), above. Subject to the foregoing, Tenant shall be responsible, at its sole cost and expense, to make all alterations to the Premises as are required to comply with the governmental rules, regulations, requirements or standards described in this Article 24. The judgment of any court of competent jurisdiction or the admission of Tenant in any judicial action, regardless of whether Landlord is a party thereto, that Tenant has violated any of said governmental measures, shall be conclusive of that fact as between Landlord and Tenant. Tenant shall promptly pay all fines, penalties and damages that may arise out of or be imposed because of its failure to comply ...",compliance-with-law
"Compliance with Law. Each Credit Party will, and will cause each of its Subsidiaries to, comply with all laws, rules, regulations and orders, and all applicable restrictions imposed by all Governmental Authorities, applicable to it and its Property if noncompliance with any such law, rule, regulation, order or restriction could reasonably be expected to have a Material Adverse Effect.",compliance-with-law
