clause_text,clause_type
"Compliance with Laws. Each Loan Party and each Subsidiary thereof is in compliance in all material respects with the requirements of all Laws and all orders, writs, injunctions and decrees applicable to it or to its properties, except in such instances in which (a) such requirement of Law or order, writ, injunction or decree is being contested in good faith by appropriate proceedings diligently conducted or (b) the failure to comply therewith, either individually or in the aggregate, could not reasonably be expected to have a Material Adverse Effect.",compliance-with-laws
"Compliance with Laws. The Borrower will, and will cause each of its Subsidiaries to, comply with all laws, rules, regulations and orders of any Governmental Authority applicable to it or its property, except where the failure to do so, individually or in the aggregate, could not reasonably be expected to result in a Material Adverse Effect.",compliance-with-laws
"Compliance with Laws. Comply in all material respects with the requirements of all Laws and all orders, writs, injunctions and decrees applicable to it or to its business or property, except in such instances in which (a) such requirement of Law or order, writ, injunction or decree is being contested in good faith by appropriate proceedings diligently conducted; or (b) the failure to comply therewith could not reasonably be expected to have a Material Adverse Effect.",compliance-with-laws
"Compliance with Laws. The Trust has and retains primary responsibility for all compliance matters relating to the Fund, including but not limited to compliance with the 1940 Act, the Internal Revenue Code of 1986, the Sarbanes-Oxley Act of 2002, the USA Patriot Act of 2001 and the policies and limitations of the Fund relating to its portfolio investments as set forth in its Prospectus and statement of additional information. The Custodian’s services hereunder shall not relieve the Trust of its responsibilities for assuring such compliance or the Board of Trustee’s oversight responsibility with respect thereto.",compliance-with-laws
"Compliance with Laws. The Company and each of its subsidiaries shall maintain, or cause to be maintained, all material environmental permits, licenses and other authorizations required by federal, state and local law in order to conduct their businesses as described in the Prospectus, and the Company and each of its subsidiaries shall conduct their businesses, or cause their businesses to be conducted, in substantial compliance with such permits, licenses and authorizations and with applicable environmental laws, except where the failure to maintain or be in compliance with such permits, licenses and authorizations could not reasonably be expected to have a Material Adverse Effect.",compliance-with-laws
"Compliance with Laws. The Borrower will, and will cause each of its Subsidiaries to, comply with all laws, rules, regulations and orders of any Governmental Authority applicable to it or its property, except where the failure to do so, individually or in the aggregate, could not reasonably be expected to result in a Material Adverse Effect. The Borrower will maintain in effect and enforce policies and procedures designed to ensure compliance by the Borrower, its Subsidiaries and their respective directors, officers, employees and agents with Anti-Corruption Laws and applicable Sanctions.",compliance-with-laws
"Compliance with Laws. Each of the Company and its Subsidiaries: (A) is and at all times has been in compliance with all statutes, rules, or regulations applicable to the ownership, testing, development, manufacture, packaging, processing, use, distribution, marketing, labeling, promotion, sale, offer for sale, storage, import, export or disposal of any product manufactured or distributed by the Company or its Subsidiaries (“Applicable Laws”), except as could not, individually or in the aggregate, reasonably be expected to result in a Material Adverse Effect; (B) has not received any FDA Form 483, notice of adverse finding, warning letter, untitled letter or other correspondence or notice from the FDA or any other Governmental Authority alleging or asserting noncompliance with any Applicable Laws or any licenses, certificates, approvals, clearances, authorizations, permits and supplements or amendments thereto required by any such Applicable Laws (“Authorizations”); (C) possesses all material Authorizations and such Authorizations are valid and in full force and effect and are not in material violation of any term of any such Authorizations; (D) has not received notice of any claim, action, suit, proceeding, hearing, enforcement, investigation, arbitration or other action from any Governmental Authority or third party alleging that any product operation or activity is in violation of any Applicable Laws or Authorizations and has no knowledge that any such Governmental Authority or third party is considering any such claim, litigation, arbitration, action, suit, investigation or proceeding; (E) has not received notice that any Governmental Authority has taken, is taking or intends to take action to limit, suspend, modify or revoke any Authorizations and has no knowledge that any such Governmental Authority is considering such action; (F) has filed, obtained, maintained or submitted all material reports, documents, forms, notices, applications, records, claims, submissions and supplements or amendments as required by any Applicable Laws or Authorizations and that all such reports, documents, forms, notices, applications, records, claims, submissions and supplements or amendments were complete and correct on the date filed (or were corrected or supplemented by a subsequent submission); and (G) has not, either voluntarily or involuntarily, initiated, conducted, or issued or caused to be initiated, conducted or issued, any recall, market withdrawal or replacement, safety alert, post ...",compliance-with-laws
"Compliance with Laws. The Company and its subsidiaries have been and are in compliance with all applicable laws, rules and regulations, except where failure to be so in compliance would not reasonably be expected, individually or in the aggregate, to have a Material Adverse Effect.",compliance-with-laws
"Compliance with Laws. Comply with the requirements of all applicable laws, rules, regulations, and orders of any Governmental Authority, other than laws, rules, regulations, and orders the non-compliance with which, individually or in the aggregate, could not reasonably be expected to result in a Material Adverse Change.",compliance-with-laws
"Compliance with Laws. The Borrower and its Subsidiaries have complied with all applicable statutes, rules, regulations, orders and restrictions of any domestic or foreign government or any instrumentality or agency thereof having jurisdiction over the conduct of their respective businesses or the ownership of their respective Property except for any failure to comply with any of the foregoing which could not reasonably be expected to have a Material Adverse Effect.",compliance-with-laws
