clause_text,clause_type
"Compliance. Neither the Company nor any Subsidiary: (i) is in default under or in violation of (and no event has occurred that has not been waived that, with notice or lapse of time or both, would result in a default by the Company or any Subsidiary under), nor has the Company or any Subsidiary received notice of a claim that it is in default under or that it is in violation of, any indenture, loan or credit agreement or any other agreement or instrument to which it is a party or by which it or any of its properties is bound (whether or not such default or violation has been waived), (ii) is in violation of any judgment, decree or order of any court, arbitrator or other governmental authority or (iii) is or has been in violation of any statute, rule, ordinance or regulation of any governmental authority, including without limitation all foreign, federal, state and local laws relating to taxes, environmental protection, occupational health and safety, product quality and safety and employment and labor matters, except in each case as could not have or reasonably be expected to result in a Material Adverse Effect.",compliance
Compliance. Each Holder covenants and agrees that it will comply with the prospectus delivery requirements of the Securities Act as applicable to it in connection with sales of Registrable Securities pursuant to the Registration Statement.,compliance
"Compliance. Neither the Company nor any Subsidiary (i) is in default under or in violation of (and no event has occurred that has not been waived that, with notice or lapse of time or both, would result in a default by the Company or any Subsidiary under), nor has the Company or any Subsidiary received notice of a claim that it is in default under or that it is in violation of, any indenture, loan or credit agreement or any other agreement or instrument to which it is a party or by which it or any of its properties is bound (whether or not such default or violation has been waived), (ii) is in violation of any order of any court, arbitrator or governmental body, or (iii) is or has been in violation of any statute, rule or regulation of any governmental authority, including without limitation all foreign, federal, state and local laws applicable to its business and all such laws that affect the environment, except in each case as could not have or reasonably be expected to result in a Material Adverse Effect.",compliance
"Compliance. During the time when a Prospectus is required to be delivered under the Act, the Company will use all reasonable efforts to comply with all requirements imposed upon it by the Act, the Regulations and the Exchange Act and by the regulations under the Exchange Act, as from time to time in force, so far as necessary to permit the continuance of sales of or dealings in the Public Securities in accordance with the provisions hereof and the Prospectus. If at any time when a Prospectus relating to the Public Securities is required to be delivered under the Act, any event shall have occurred as a result of which, in the opinion of counsel for the Company or counsel for the Underwriters, the Prospectus, as then amended or supplemented, includes an untrue statement of a material fact or omits to state any material fact required to be stated therein or necessary to make the statements therein, in light of the circumstances under which they were made, not misleading, or if it is necessary during such period to amend the Registration Statement or amend or supplement the Prospectus to comply with the Act, the Company will notify the Representative promptly and prepare and file with the Commission, subject to Section 3.1 hereof, an appropriate amendment to the Registration Statement or amendment or supplement to the Prospectus (at the expense of the Company) so as to correct such statement or omission or effect such compliance.",compliance
"Compliance. Become an “investment company” or a company controlled by an “investment company”, under the Investment Company Act of 1940, as amended, or undertake as one of its important activities extending credit to purchase or carry margin stock (as defined in Regulation U of the Board of Governors of the Federal Reserve System), or use the proceeds of any Credit Extension for that purpose; fail to meet the minimum funding requirements of ERISA, permit a Reportable Event or Prohibited Transaction, as defined in ERISA, to occur; fail to comply with the Federal Fair Labor Standards Act or violate any other law or regulation, if the violation could reasonably be expected to have a material adverse effect on Borrower’s business, or permit any of its Subsidiaries to do so; withdraw or permit any Subsidiary to withdraw from participation in, permit partial or complete termination of, or permit the occurrence of any other event with respect to, any present pension, profit sharing and deferred compensation plan which could reasonably be expected to result in any liability of Borrower, including any liability to the Pension Benefit Guaranty Corporation or its successors or any other governmental agency.",compliance
"Compliance. The Company is, or at the Applicable Time and on the Closing Date will be, in material compliance with the provisions of the Sarbanes-Oxley Act applicable to it, and has implemented or will implement such programs and taken reasonable steps to ensure the Company’s future compliance (not later than the relevant statutory and regulatory deadlines therefor) with all of the material provisions of the Sarbanes-Oxley Act.",compliance
"Compliance. The Company, subject to Section 3.2.2, shall comply with the requirements of Rule 430A of the Securities Act Regulations, and will notify the Representative promptly, and confirm the notice in writing, (i) when any post-effective amendment to the Registration Statement shall become effective or any amendment or supplement to the Prospectus shall have been filed; (ii) of the receipt of any comments from the Commission; (iii) of any request by the Commission for any amendment to the Registration Statement or any amendment or supplement to the Prospectus or for additional information; (iv) of the issuance by the Commission of any stop order suspending the effectiveness of the Registration Statement or any post-effective amendment or of any order preventing or suspending the use of any Preliminary Prospectus or the Prospectus, or of the suspension of the qualification of the Public Securities and Representative’s Securities for offering or sale in any jurisdiction, or of the initiation or threatening of any proceedings for any of such purposes or of any examination pursuant to Section 8(d) or 8(e) of the Securities Act concerning the Registration Statement and (v) if the Company becomes the subject of a proceeding under Section 8A of the Securities Act in connection with the Offering of the Public Securities and Representative’s Securities. The Company shall effect all filings required under Rule 424(b) of the Securities Act Regulations, in the manner and within the time period required by Rule 424(b) (without reliance on Rule 424(b)(8)), and shall take such steps as it deems necessary to ascertain promptly whether the form of prospectus transmitted for filing under Rule 424(b) was received for filing by the Commission and, in the event that it was not, it will promptly file such prospectus. The Company shall use its best efforts to prevent the issuance of any stop order, prevention or suspension and, if any such order is issued, to obtain the lifting thereof at the earliest possible moment.",compliance
"Compliance. Lessor warrants that to the best of its knowledge the improvements on the Premises comply with the building codes, applicable laws, covenants or restrictions of record, regulations, and ordinances (“Applicable Requirements”) that were in effect at the time that each improvement, or portion thereof, was constructed. Said warranty does not apply to the use to which Lessee will put the Premises, modifications which may be required by the Americans with Disabilities Act or any similar laws as a result of Lessee’s use (see Paragraph 50), or to any Alterations or Utility Installations (as defined in Paragraph 7.3(a)) made or to be made by Lessee. NOTE: Lessee is responsible for determining whether or not the Applicable Requirements, and especially the zoning, are appropriate for Lessee’s intended use, and acknowledges that past uses of the Premises may no longer be allowed. If the Premises do not comply with said warranty, Lessor shall, except as otherwise provided, promptly after receipt of written notice from Lessee setting forth with specificity the nature and extent of such non-compliance, rectify the same at Lessor’s expense. If Lessee does not give Lessor written notice of a non-compliance with this warranty within 6 months following the Start Date, correction of that non-compliance shall be the obligation of Lessee at Lessee’s sole cost and expense. If the Applicable Requirements are hereafter changed so as to require during the term of this Lease the construction of an addition to or an alteration of the Premises and/or Building, the remediation of any Hazardous Substance, or the reinforcement or other physical modification of the Unit, Premises and/or Building (“Capital Expenditure”), Lessor and Lessee shall allocate the cost of such work as follows:",compliance
"Compliance. The Adviser agrees to comply with the requirements of the 1940 Act, the Advisers Act, the 1933 Act, the Securities Exchange Act of 1934, as amended (the “1934 Act”), the Commodity Exchange Act and the respective rules and regulations thereunder, as applicable, as well as with all other applicable federal and state laws, rules, regulations and case law that relate to the services and relationships described hereunder and to the conduct of its business as a registered investment adviser. The Adviser also agrees to comply with the objectives, policies and restrictions set forth in the Registration Statement, as amended or supplemented, of the Funds, and with any policies, guidelines, instructions and procedures approved by the Board and provided to the Adviser. In selecting each Fund’s portfolio securities and performing the Adviser’s obligations hereunder, the Adviser shall cause each Fund to comply with the diversification and source of income requirements of Subchapter M of the Internal Revenue Code of 1986, as amended (the “Code”), for qualification as a regulated investment company if the Fund has elected to be treated as a regulated investment company under the Code. The Adviser shall maintain compliance procedures that it reasonably believes are adequate to ensure its compliance with the foregoing. No supervisory activity undertaken by the Board shall limit the Adviser’s full responsibility for any of the foregoing.",compliance
"Compliance. To Borrower's knowledge, Borrower and the Property and the use thereof comply in all material respects with all applicable Legal Requirements, including, without limitation, building and zoning ordinances and codes. Borrower is not in default or violation of any order, writ, injunction, decree or demand of any Governmental Authority. There has not been committed by Borrower or, to Borrower's knowledge, any other Person in occupancy of or involved with the operation or use of the Property any act or omission affording the federal government or any other Governmental Authority the right of forfeiture as against the Property or any part thereof or any monies paid in performance of Borrower's obligations under any of the Loan Documents.",compliance
"Compliance. Become an “investment company” or be controlled by an “investment company,” within the meaning of the Investment Company Act of 1940, or become principally engaged in, or undertake as one of its important activities, the business of extending credit for the purpose of purchasing or carrying margin stock, or use the proceeds of any Credit Extension for such purpose. Fail to meet the minimum funding requirements of ERISA, permit a Reportable Event or Prohibited Transaction, as defined in ERISA, to occur, fail to comply with the Federal Fair Labor Standards Act or violate any law or regulation, which violation could have a Material Adverse Effect, or a material adverse effect on the Collateral or the priority of Bank’s Lien on the Collateral, or permit any of its Subsidiaries to do any of the foregoing.",compliance
"Compliance. Become an ""investment company"" or a company controlled by an ""investment company,"" under the Investment Company Act of 1940 or undertake as one of its important activities extending credit to purchase or carry margin stock, or use the proceeds of any Credit Extension for that purpose; fail to meet the minimum funding requirements of ERISA, permit a Reportable Event or Prohibited Transaction, as defined in ERISA, to occur; fail to comply with the Federal Fair Labor Standards Act or violate any other law or regulation, if the violation could reasonably be expected to have a material adverse effect on Borrower's business or operations or would reasonably be expected to cause a Material Adverse Change, or permit any of its Subsidiaries to do so.",compliance
"Compliance. (a) Subadviser will comply with (i) all applicable state and federal laws and regulations governing the performance of the Subadviser’s duties hereunder, (ii) the investment objective, policies and limitations, as provided in the Fund’s Prospectus and other governing documents, and (iii) such instructions, policies and limitations relating to the Fund and/or the oversight of the Subadviser’s performance of its duties hereunder as the Trustees or Manager may from time to time adopt and communicate in writing to subadviser.",compliance
"Compliance. The terms of the Mortgage Loan documents evidencing such Mortgage Loan, comply in all material respects with all applicable local, state and federal laws and regulations, and the Seller has complied with all material requirements pertaining to the origination of the Mortgage Loans, including but not limited to, usury and any and all other material requirements of any federal, state or local law to the extent non-compliance would have a material adverse effect on the Mortgage Loan.",compliance
Compliance. (1) Regulatory Compliance:,compliance
"Compliance. Neither the Company nor any Subsidiary (i) is in default under or in violation of (and no event has occurred that has not been waived that, with notice or lapse of time or both, would result in a default by the Company or any Subsidiary under), nor has the Company or any Subsidiary received notice of a claim that it is in default under or that it is in violation of, any indenture, loan or credit agreement or any other agreement or instrument to which it is a party or by which it or any of its properties is bound (whether or not such default or violation has been waived), (ii) is in violation of any order of any court, arbitrator or governmental body, or (iii) is or has been in violation of any statute, rule or regulation of any governmental authority, including without limitation all foreign, federal, state and local laws relating to taxes, environmental protection, occupational health and safety, product quality and safety and employment and labor matters, except in each case as could not, individually or in the aggregate, have or reasonably be expected to result in a Material Adverse Effect. The Company is in compliance with all effective requirements of the Sarbanes-Oxley Act of 2002, as amended, and the rules and regulations thereunder, that are applicable to it, except where such noncompliance could not have or reasonably be expected to result in a Material Adverse Effect.",compliance
"Compliance. (a) The Sub-Adviser agrees to use reasonable compliance techniques as the Manager or the Board of Trustees may adopt, including any written compliance procedures.",compliance
"Compliance. The representations and warranties contained herein and in each of the other Loan Documents shall be true on and as of the date of the signing of this Agreement and on the date of each extension of credit by Bank pursuant hereto, with the same effect as though such representations and warranties had been made on and as of each such date, and on each such date, no Event of Default as defined herein, and no condition, event or act which with the giving of notice or the passage of time or both would constitute such an Event of Default, shall have occurred and be continuing or shall exist.",compliance
Compliance. Each Holder covenants and agrees that it will comply with the prospectus delivery requirements of the Securities Act as applicable to it (unless an exemption therefrom is available) in connection with sales of Registrable Securities pursuant to the Registration Statement and shall sell the Registrable Securities only in accordance with a method of distribution described in the Registration Statement.,compliance
"Compliance. Upon execution of this Agreement, the Subadviser shall provide the Adviser with the Subadviser’s written policies and procedures (“Compliance Policies”) as required by Rule 206(4)-7 under the Investment Advisers Act. Throughout the term of this Agreement, the Subadviser shall promptly submit to the Adviser: (i) any material changes to the Compliance Policies, (ii) notification of the commencement of a regulatory examination of the Subadviser and documentation describing the results of any such examination and of any periodic testing of the Compliance Policies, and (iii) notification of any material compliance matter that relates to the services provided by the Subadviser to the Trust including but not limited to any material violation of the Compliance Policies or of the Subadviser’s code of ethics and/or related code. Throughout the term of this Agreement, the Subadviser shall provide the Adviser with any certifications, information and access to personnel and resources (including those resources that will permit testing of the Compliance Policies by the Adviser) that the Adviser may reasonably request to enable the Trust to comply with Rule 38a-1 under the Investment Company Act.",compliance
"Compliance. Preserve and maintain all licenses, permits, governmental approvals, rights, privileges and franchises necessary for the conduct of its business; and comply with the provisions of all documents pursuant to which Borrower is organized and/or which govern Borrower's continued existence and with the requirements of all laws, rules, regulations and orders of any governmental authority applicable to Borrower and/or its business.",compliance
"Compliance. Each Administrative Party may refrain from doing anything (including disclosing any information) which might, in its opinion, constitute a breach of any law or regulation or be otherwise actionable at the suit of any person, and may do anything which, in its opinion, is necessary or desirable to comply with any law or regulation.",compliance
"Compliance. (a) To the best knowledge of Pubco, Pubco is in compliance with, is not in default or violation in any material respect under, and has not been charged with or received any notice at any time of any material violation of any statute, law, ordinance, regulation, rule, decree or other applicable regulation to the business or operations of Pubco;",compliance
"Compliance. (a) The Portfolio Manager agrees that it shall immediately notify the Adviser and the Trust in the event (i) that the SEC has censured the Portfolio Manager; placed limitations upon its activities, functions or operations; suspended or revoked its registration as an investment adviser; or has commenced proceedings or an investigation that may result in any of these actions, and (ii) upon having a reasonable basis for believing that a Fund has ceased to qualify or might not qualify as a regulated investment company under Subchapter M of the Internal Revenue Code. The Portfolio Manager further agrees to notify the Adviser and the Trust immediately of any material fact known to the Portfolio Manager respecting or relating to the Portfolio Manager that is not contained in the Registration Statement or prospectus for the Trust, or any amendment or supplement thereto, or of any statement contained therein that becomes untrue in any material respect.",compliance
