clause_text,clause_type
"Condemnation. As of the date of origination and to the Mortgage Loan Seller’s knowledge as of the Cut-off Date, there is no proceeding pending and, to the Mortgage Loan Seller’s knowledge as of the date of origination and as of the Cut-off Date, there is no proceeding threatened for the total or partial condemnation of such Mortgaged Property that would have a material adverse effect on the value, use or operation of the Mortgaged Property.",condemnation
"Condemnation. If the whole or any part of the Premises, Building or Project shall be taken by power of eminent domain or condemned by any competent authority for any public or quasi-public use or purpose, or if any adjacent property or street shall be so taken or condemned, or reconfigured or vacated by such authority in such manner as to require the use, reconstruction or remodeling of any part of the Premises, Building or Project, or if Landlord shall grant a deed or other instrument in lieu of such taking by eminent domain or condemnation, Landlord shall have the option to terminate this Lease effective as of the date possession is required to be surrendered to the authority. If more than twenty-five percent (25%) of the rentable square feet of the Premises is taken, or if access to the Premises is substantially impaired, in each case for a period in excess of one hundred eighty (180) days, Tenant shall have the option to terminate this Lease effective as of the date possession is required to be surrendered to the authority. Tenant shall not because of such taking assert any claim against Landlord or the authority for any compensation because of such taking and Landlord shall be entitled to the entire award or payment in connection therewith, except that Tenant shall have the right to file any separate claim available to Tenant for any taking of Tenant’s personal property and fixtures belonging to Tenant and removable by Tenant upon expiration of the Lease Term pursuant to the terms of this Lease, and for moving expenses, so long as such claims do not diminish the award available to Landlord, its ground lessor with respect to the Building or Project or its mortgagee, and such claim is payable separately to Tenant. All Rent shall be apportioned as of the date of such termination. If any part of the Premises shall be taken, and this Lease shall not be so terminated, the Rent shall be proportionately abated. Tenant hereby waives any and all rights it might otherwise have pursuant to Section 1265.130 of The California Code of Civil Procedure. Notwithstanding anything to the contrary contained in this Article 13, in the event of a temporary taking of all or any portion of the Premises for a period of one hundred and eighty (180) days or less, then this Lease shall not terminate but the Base Rent and the Additional Rent shall be abated for the period of such taking in proportion to the ratio that the amount of rentable square feet of the Premises taken bears to the total r...",condemnation
"Condemnation. Borrower shall promptly give Lender notice of the actual or threatened commencement of any proceeding for the Condemnation of the Property and shall deliver to Lender copies of any and all papers served in connection with such proceedings. Lender may participate in any such proceedings, and Borrower shall from time to time deliver to Lender all instruments requested by it to permit such participation. Borrower shall, at its expense, diligently prosecute any such proceedings, and shall consult with Lender, its attorneys and experts, and cooperate with them in the carrying on or defense of any such proceedings. Notwithstanding any taking by any public or quasi-public authority through Condemnation or otherwise (including but not limited to any transfer made in lieu of or in anticipation of the exercise of such taking), Borrower shall continue to pay the Debt at the time and in the manner provided for its payment in the Note and in this Agreement and the Debt shall not be reduced until any Award shall have been actually received and applied by Lender, after the deduction of expenses of collection, to the reduction or discharge of the Debt. Lender shall not be limited to the interest paid on the Award by the condemning authority but shall be entitled to receive out of the Award interest at the rate or rates provided herein or in the Note. If the Property or any portion thereof is taken by a condemning authority, Borrower shall promptly commence and diligently prosecute the Restoration of the Property and otherwise comply with the provisions of Section 6.4. If the Property is sold, through foreclosure or otherwise, prior to the receipt by Lender of the Award, Lender shall have the right, whether or not a deficiency judgment on the Note shall have been sought, recovered or denied, to receive the Award, or a portion thereof sufficient to pay the Debt.",condemnation
"Condemnation. If the Premises or any portion thereof are taken under the power of eminent domain or sold under the threat of the exercise of said power (collectively “Condemnation”), this Lease shall terminate as to the part taken as of the date the condemning authority takes title or possession, whichever first occurs. If more than 10% of the floor area of the Unit, or more than 25% of Lessee’s Reserved Parking Spaces, is taken by Condemnation, Lessee may, at Lessee’s option, to be exercised in writing within 10 days after Lessor shall have given Lessee written notice of such taking (or in the absence of such notice, within 10 days after the condemning authority shall have taken possession) terminate this Lease as of the date the condemning authority takes such possession. If Lessee does not terminate this Lease in accordance with the foregoing, this Lease shall remain in full force and effect as to the portion of the Premises remaining, except that the Base Rent shall be reduced in proportion to the reduction in utility of the Premises caused by such Condemnation. Condemnation awards and/or payments shall be the property of Lessor, whether such award shall be made as compensation for diminution in value of the leasehold, the value of the part taken, or for severance damages; provided, however, that Lessee shall be entitled to any compensation for Lessee’s relocation expenses, loss of business goodwill and/or Trade Fixtures, without regard to whether or not this Lease is terminated pursuant to the provisions of this Paragraph. All Alterations and Utility Installations made to the Premises by Lessee, for purposes of Condemnation only, shall be considered the property of the Lessee and Lessee shall be entitled to any and all compensation which is payable therefor. In the event that this Lease is not terminated by reason of the Condemnation, Lessor shall repair any damage to the Premises caused by such Condemnation.",condemnation
"Condemnation. If the whole or any material part of the Premises or the Project is taken for any public or quasi-public use under governmental law, ordinance, or regulation, or by right of eminent domain, or by private purchase in lieu thereof (a “Taking” or “Taken”), and the Taking would in Landlord’s reasonable judgment, either prevent or materially interfere with Tenant’s use of the Premises or materially interfere with or impair Landlord’s ownership or operation of the Project, then upon written notice by Landlord this Lease shall terminate and Rent shall be apportioned as of said date. If part of the Premises shall be Taken, and this Lease is not terminated as provided above, Landlord shall promptly restore the Premises and the Project as nearly as is commercially reasonable under the circumstances to their condition prior to such partial Taking and the rentable square footage of the Building, the rentable square footage of the Premises, Tenant’s Share of Operating Expenses and the Rent payable hereunder during the unexpired Term shall be reduced to such extent as may be fair and reasonable under the circumstances. Upon any such Taking, Landlord shall be entitled to receive the entire price or award from any such Taking without any payment to Tenant, and Tenant hereby assigns to Landlord Tenant’s interest, if any, in such award. Tenant shall have the right, to the extent that same shall not diminish Landlord’s award, to make a separate claim against the condemning authority (but not Landlord) for such compensation as may be separately awarded or recoverable by Tenant for moving expenses and damage to Tenant’s trade fixtures, if a separate award for such items is made to Tenant. Tenant hereby waives any and all rights it might otherwise have pursuant to any provision of state law to terminate this Lease upon a partial Taking of the Premises or the Project.",condemnation
"Condemnation. If the Premises or any portion thereof are taken under the power of eminent domain or sold under the threat of the exercise of said power (all of which are herein called ""condemnation""), this Lease shall terminate as to the part so taken as of the date the condemning authority takes title or possession, whichever first occurs. If more than ten percent (10%) of the floor area of the Premises, or more than twenty-five percent (25%) of the portion of the Common Areas designated for Lessee's parking, is taken by condemnation, Lessee may, at Lessee's option, to be exercised in writing within ten (10) days after Lessor shall have given Lessee written notice of such taking (or in the absence of such notice, within ten (10) days after the condemning authority shall have taken possession) terminate this Lease as of the date the condemning authority takes such possession. If Lessee does not terminate this Lease in accordance with the foregoing, this Lease shall remain in full force and effect as to the portion of the Premises remaining, except that the Base Rent shall be reduced in the same proportion as the rentable floor area of the Premises taken bears to the total rentable floor area of the Premises. No reduction of Base Rent shall occur if the condemnation does not apply to any portion of the Premises. Any award for the taking of all or any part of the Premises under the power of eminent domain or any payment made under threat of the exercise of such power shall be the property of Lessor, whether such award shall be made as compensation for diminution of value of the leasehold or for the taking of the fee, or as severance damages; provided, however, that Lessee shall be entitled to any compensation, separately awarded to Lessee for Lessee's relocation expenses and/or loss of Lessee's Trade Fixtures. In the event that this Lease is not terminated by reason of such condemnation, Lessor shall to the extent of its net severance damages received, over and above Lessee's Share of the legal and other expenses incurred by Lessor in the condemnation matter, repair any damage to the Premises caused by such condemnation authority. Lessee shall be responsible for the payment of any amount in excess of such net severance damages required to complete such repair.",condemnation
"Condemnation. No Condemnation or other similar proceeding has been commenced or, to Borrower’s best knowledge, is threatened or contemplated with respect to all or any portion of the Property or for the relocation of roadways providing access to the Property.",condemnation
"Condemnation. If the Premises are taken under any public or private power of eminent domain, or sold by Landlord under the threat of the exercise of said power (all of which is herein referred to as “condemnation”), or if any portion of the Building is so condemned so that it would not be practical, in Landlord’s reasonable judgment, to continue to maintain the Building, this Lease shall terminate as of the date of the condemning authority takes title or possession, whichever occurs first. If more than ten percent (10%) of the rentable area of the Premises is so condemned, both Landlord and Tenant shall have the right to terminate this Lease as of the date the condemning authority takes title or possession, whichever occurs first, by giving written notice of such termination to the other not later than thirty (30) days after said date; provided that should neither Landlord nor Tenant elect to so terminate this Lease in a timely manner, then the Lease shall remain in full force and effect as to the portion of the Premises not so taken, Tenant’s Base Rent and Tenant’s Proportionate Share shall be reduced proportionately to reflect the reduction in the rentable area of the Premises (such reduction, if any, to take effect as of the date which is thirty (30) days after the date of which the condemning authority takes title or possession, whichever first occurs), and if repairs or restorations to that portion of the Premises not taken are deemed reasonably necessary by Landlord to render such portion reasonably suitable for the purposes for which is was leased, Landlord shall perform such work at its own cost and expense. Notwithstanding any obligation to restore the Premises however, Landlord shall not be required to expend any amount greater than the amount actually received by Landlord as compensation for the portion of the Premises taken by the condemning authority. All awards for any taking of any part of the Premises or any payment made under the threat of the exercise of power of eminent domain shall be the property of Landlord, whether made as compensation for diminution of value of the leasehold or for the taking of the fee or as severance damages, No award for any partial or entire taking shall be apportioned, and Tenant hereby assigns to Landlord any award which may be made in such taking or condemnation, together with any and all rights of Tenant now or hereafter arising in or to the same or any part thereof, except that any award or other compensation made for an...",condemnation
"Condemnation. After the Effective Date, Seller agrees to give Purchaser prompt written notice of any knowledge of or notice of any taking by condemnation of any part of or rights appurtenant to the Real Property. If taking will materially interfere with the operation or use of any Hotel which constitutes a part of such Real Property, Purchaser may terminate this Agreement by written notice to Seller within ten (10) days after Seller has given Purchaser the notice of taking referred to in this Section 7.2, or on the Closing Date, whichever is earlier. If Purchaser exercises its option to terminate its obligations to purchase the Property pursuant to this Section 7.2, the parties hereto shall be released from all further obligations hereunder with respect to the Property, except those which expressly survive a termination of the Agreement. If Purchaser does not so elect to terminate this Agreement, then the Closing shall take place as provided herein, and Seller shall assign to Purchaser at the Closing all of Seller’s interest in any condemnation award which may be payable to Seller on account of any such condemnation and, at Closing, Seller shall credit to the amount of the Purchase Price payable by Purchaser the amount, if any, of condemnation proceeds received by Seller between the Effective Date and Closing less (a) any amounts reasonably expended by Seller in collecting such sums and (b) any amounts reasonably used by Seller to repair the Property as a result of such condemnation. If, prior to Closing, there shall occur a taking by condemnation of any part of or rights appurtenant to the Property that does not materially interfere with the operation or use of the Hotel which constitutes a part of the Property, Purchaser shall not have the right to terminate this Agreement by reason thereof and the Closing shall take place without abatement of the Purchase Price, but Seller shall assign to Purchaser at Closing all of Seller’s interest in any condemnation award which may be payable to Seller on account of any such condemnation and, at Closing, Seller shall credit to the amount of the Purchase Price payable by Purchaser the amount, if any, of condemnation proceeds received by Seller between the Effective Date and Closing less (a) any amounts reasonably expended by Seller in collecting such sums and (b) any amounts reasonably used by Seller to repair the Property as a result of such condemnation. Provided Purchaser has not exercised its right to terminate this Agreement ...",condemnation
"Condemnation. If all or any portion of the Leased Premises is the subject of a taking under the power of eminent domain by any legally constituted authority, Landlord will give Client immediate notice thereof. In the event of a partial taking where there remains a sufficient amount of space to permit Client to carry on its business in a manner comparable to that which it has become accustomed, then this Lease shall continue, but the obligation to pay rent on the part of Client shall be reduced in an amount proportionate to the square footage of the entire Leased Premises relative to the square footage taken by such condemnation. If neither Client nor Landlord elects to terminate this Lease in the event of a partial taking, Landlord will make the repairs and alterations to the Leased Premises necessary to constitute the remaining portion of the Building as a whole architectural unit as soon as practicable and the Base Rent shall abate entirely during any period of such restoration and thereafter in proportion to the area of the Leased Premises so taken. In the event all of the Leased Premises shall be taken, or so much of the Leased Premises taken that it is not feasible to continue a reasonably satisfactory operation of the business of Client, then Client shall have the option of terminating this Lease within thirty (30) days’ after the date of such notice. Such termination shall be without prejudice to the rights of either Landlord or Client to recover compensation from the condemning authority for any loss or damage caused by such condemnation, and Client will not share in the proceeds of any condemnation award except as to an award made to Client for cost of moving, loss of business, and trade fixtures. Neither Landlord nor Client shall have any right in or to any award made to the other by the condemning authority.",condemnation
