clause_text,clause_type
Conditions Precedent. The effectiveness of this Amendment is subject to the satisfaction of all of the following conditions precedent:,conditions-precedent
"Conditions Precedent. This Amendment shall become effective as of the date hereof (the “Amendment Effective Date”), subject to the satisfaction of the following conditions precedent:",conditions-precedent
"Conditions Precedent. Each Transfer obligation of the Pledgor under Paragraphs 3 and 5 and of the Secured Party under Paragraphs 3, 4(d)(ii), 5 and 6(d) is subject to the conditions precedent that:",conditions-precedent
"Conditions Precedent. This Amendment shall be effective when the Lender shall have received an executed original hereof, together with each of the following, each in substance and form acceptable to the Lender in its sole discretion:",conditions-precedent
"Conditions Precedent. The obligation of each Lender to make any Loan, or Issuing Bank to issue any Letter of Credit, on any Credit Date, including the Closing Date, are subject to the satisfaction, or waiver in accordance with Section 10.5, of the following conditions precedent:",conditions-precedent
Conditions Precedent. This First Amendment shall not become effective until the date on which each of the following conditions is satisfied (or waived in accordance with Section 12.02 of the Credit Agreement) (the “First Amendment Effective Date”):,conditions-precedent
"Conditions Precedent. The effectiveness of this Amendment is subject to receipt by the Administrative Agent of each of the following, each in form and substance satisfactory to the Administrative Agent:",conditions-precedent
"Conditions Precedent. The obligation of HARC to acquire the Receivables hereunder is subject to the satisfaction, on or prior to the Purchase Date, of the following conditions precedent:",conditions-precedent
Conditions Precedent. This Amendment shall be effective upon satisfaction of the following conditions precedent:,conditions-precedent
Conditions Precedent. This Amendment shall be effective as of the date hereof upon satisfaction of each of the following conditions precedent:,conditions-precedent
Conditions Precedent. The provisions contained herein shall only be effective upon the satisfaction of each of the following conditions precedent in a manner satisfactory to Agent:,conditions-precedent
Conditions Precedent. The effectiveness of this Amendment is subject to the following conditions precedent:,conditions-precedent
"Conditions Precedent. This Amendment shall become effective on November 29, 2004 (the ""Amendment Effective Date"") subject to the satisfaction of the following conditions precedent:",conditions-precedent
Conditions Precedent. The purchase and sale of the Asset and closing of this transaction shall be subject to the following conditions precedent:,conditions-precedent
"Conditions Precedent. The acceptance by the Trustee set forth in Section 4 and the amendment of the Pooling and Servicing Agreement set forth in Section 7 are subject to the satisfaction, on or prior to the Addition Date, of the following conditions precedent:",conditions-precedent
"Conditions Precedent. The effectiveness of this First Amendment is subject to the receipt by the Administrative Agent of the following documents and satisfaction of the other conditions provided in this Section 3, each of which shall be reasonably satisfactory to the Administrative Agent in form and substance:",conditions-precedent
"Conditions Precedent. The obligation of each Lender to advance, continue or convert any Loan (other than the continuation of, or conversion into, a Base Rate Loan) or of the L/C Issuer to issue, extend the expiration date (including by not giving notice of non-renewal) of or increase the amount of any Letter of Credit under this Agreement, shall be subject to the following conditions precedent:",conditions-precedent
"Conditions Precedent. This Amendment shall become effective on the date first set forth above, provided, however, that the effectiveness of this Amendment is subject to the satisfaction of each of the following conditions precedent:",conditions-precedent
"Conditions Precedent. This Amendment shall become effective on the first date (the ""Amendment Effective Date"") on which all of the following conditions precedent shall have been satisfied:",conditions-precedent
"Conditions Precedent. Notwithstanding any other provision of this Agreement or any of the other Loan Documents, and without affecting in any manner the rights of Lender under the other sections of this Agreement, Lender shall not be required to make any Loan under this Agreement unless and until each of the following conditions has been and continues to be satisfied:",conditions-precedent
"Conditions Precedent. Disbursement from the Replacement Reserve Fund will be made no more frequently than once every Replacement Reserve Disbursement Period and, except for the final disbursement, no disbursement will be made in an amount less than the Minimum Replacement Disbursement Request Amount. Disbursements will be made only if the following conditions precedent have been satisfied, as determined by Lender in Lender’s Discretion:",conditions-precedent
Conditions Precedent. This Amendment shall become effective upon satisfaction of all of the following conditions precedent:,conditions-precedent
Conditions Precedent. This Amendment shall become effective as of the date above first written after receipt by the Bank of the following documents:,conditions-precedent
"Conditions Precedent. The obligation of the Applicable Pass Through Trustees to enter into, and to cause the Subordination Agent to enter into, any Participation Agreement as directed pursuant to a Closing Notice and to perform its obligations thereunder is subject to satisfaction of the following conditions:",conditions-precedent
"Conditions Precedent. Each Investment Company’s obligations hereunder shall be subject to (a) performance by the other Investment Company of all its obligations to be performed hereunder at or before the Closing, (b) all representations and warranties of the other Investment Company contained herein being true and correct in all material respects at the date hereof and, except as they may be affected by the transactions contemplated hereby, at the Effective Time, with the same force and effect as if made at that time, and (c) the following further conditions that, at or before that time:",conditions-precedent
