clause_text,clause_type
Conditions to Effectiveness. This Amendment shall become effective as of the date hereof only upon the satisfaction of all of the following conditions precedent (the date of satisfaction of such conditions being referred to herein as the “First Amendment Effective Date”):,conditions-to-effectiveness
Conditions to Effectiveness. The obligations of the Lenders (including the Swingline Lender) to make Loans and the obligation of the Issuing Bank to issue any Letter of Credit hereunder shall not become effective until the date on which each of the following conditions is satisfied (or waived in accordance with Section 10.2).,conditions-to-effectiveness
Conditions to Effectiveness. This First Amendment shall not be effective until each of the following conditions precedent have been fulfilled to the satisfaction of the Administrative Agent:,conditions-to-effectiveness
"Conditions to Effectiveness. This Amendment shall become effective only upon the satisfaction in full, in a manner satisfactory to Lender, of the following conditions precedent (the first date upon which all such conditions have been satisfied being herein called the “Effective Date”):",conditions-to-effectiveness
Conditions to Effectiveness. This Amendment shall become effective as of the date hereof and upon the satisfaction of the following conditions precedent:,conditions-to-effectiveness
Conditions to Effectiveness. The effectiveness of this Agreement is subject to satisfaction of the following conditions precedent:,conditions-to-effectiveness
Conditions to Effectiveness. This Amendment shall become effective upon the satisfaction of the following conditions precedent:,conditions-to-effectiveness
Conditions to Effectiveness. This Agreement shall become effective on the Effective Date and enforceable against the parties hereto upon the occurrence of the following conditions precedent:,conditions-to-effectiveness
"Conditions to Effectiveness. Section 1 of this Amendment shall become effective only upon the satisfaction of all of the following conditions precedent (the date of satisfaction of such conditions being referred to herein as the ""FIRST AMENDMENT EFFECTIVE DATE""):",conditions-to-effectiveness
"Conditions to Effectiveness. The effectiveness of this Amendment is subject to the satisfaction of the following conditions precedent, unless specifically waived in writing by the Bank:",conditions-to-effectiveness
"Conditions to Effectiveness. The amendments set forth in Section 1 of this Amendment shall become effective only upon the satisfaction of all of the following conditions precedent (the date of satisfaction of all such conditions being referred to as the ""Amendment Effective Date""):",conditions-to-effectiveness
Conditions to Effectiveness. The effectiveness of this Amendment shall be subject to the satisfaction of the following conditions precedent:,conditions-to-effectiveness
Conditions to Effectiveness. The effectiveness of this Amendment is subject to satisfaction of each of the following conditions:,conditions-to-effectiveness
Conditions to Effectiveness. The obligations of the Lenders to make Loans hereunder shall not become effective until the date on which each of the following conditions is satisfied (or waived in accordance with Section 9.2).,conditions-to-effectiveness
Conditions to Effectiveness. This Amendment shall become effective as of the date on which each of the following conditions has been satisfied (the “Effective Date”):,conditions-to-effectiveness
