clause_text,clause_type
"Conditions. The Limited Damage Waiver Program has certain conditions. Covered Damage does not include, and the Covered Guest remains liable for, the following: • Damages caused by Intentional Acts of a Covered Guest • Damages caused by gross negligence or willful and wanton conduct. • Any damage that the Covered Guest does not report to iTrip staff in writing by the time the Covered Guest checks out of the unit. • Damage from theft without a valid police report. • Damage caused by any pet or other animals brought onto the premises by any Guests, whether or not the property is ""pet friendly"". • Damage or loss of any property owned by or brought onto the premises by a Covered Guests or invitee of Covered Guest. • Property Damage resulting from any motorized vehicle or watercraft operated by a Covered Guest. • Damaged Caused by any forbidden items or property usage including but not limited to BBQ Grills, Candles, Cigarettes, etc.",conditions
Conditions. The effectiveness of this Amendment is subject to the satisfaction of the following conditions precedent:,conditions
"Conditions. The obligations of Rocky hereunder shall be subject to the satisfaction, at or before the Closing, of all the conditions set forth in this Article 6. Rocky may waive any or all of these conditions in whole or in part without prior notice; provided, however, that no such waiver of a condition shall constitute a waiver by Rocky of any other condition of or any of Rocky's other rights or remedies, at law or in equity, if MPEG shall be in default of any of their representations, warranties, or covenants under this Agreement.",conditions
"Conditions. In addition to being subject to the satisfaction of the conditions contained in Sections 5.1 and 5.2, the obligation of an Issuing Bank to issue any Letter of Credit is subject to the satisfaction in full of the following conditions:",conditions
"Conditions. The beneficiaries may suspend implementation of the action or any part of it, if exceptional circumstances — in particular force majeure (see Article 51) — make implementation impossible or excessively difficult.",conditions
Conditions. The Agency may — at any moment — suspend the payment deadline (see Article 21.2 to 21.4) if a request for payment (see Article 20) cannot be approved because:,conditions
"Conditions. The Agreement may be amended, unless the amendment entails changes to the Agreement which would call into question the decision awarding the grant or breach the principle of equal treatment of applicants. Amendments may be requested by any of the parties.",conditions
"Conditions. The JU will — after termination of the participation of a beneficiary, at the time of an interim payment, at the payment of the balance or afterwards — reject any costs which are ineligible (see Article 6), in particular following checks, reviews, audits or investigations (see Article 22). The rejection may also be based on the extension of findings from other grants to this grant (see Article 22.5.2). Ineligible costs will be rejected in full [OPTION if lump sum foreseen in Article 5.2:, except for lump sum costs, which will be rejected proportionally to the tasks or parts of the action not implemented]. If the rejection of costs does not lead to a recovery (see Article 44), the JU will formally notify the coordinator or beneficiary concerned of the rejection of costs, the amounts and the reasons why (if applicable, together with the notification of amounts due; see Article 21.5). The coordinator or beneficiary concerned may — within 30 days of receiving notification — formally notify the JU of its disagreement and the reasons why. If the rejection of costs leads to a recovery, the JU will follow the contradictory procedure with pre-information letter set out in Article 44.",conditions
"Conditions. The Agency may suspend implementation of the action or any part of it, if:",conditions
Conditions. The amendments to the Credit Agreement contained in Section 1 of this Amendment shall be effective upon the satisfaction of each of the conditions set forth in this Section 2.,conditions
