clause_text,clause_type
"Conduct of Business. The Company has all requisite corporate power and authority, and has all necessary authorizations, approvals, orders, licenses, certificates and permits of and from all governmental regulatory officials and bodies that it needs as of the date hereof to conduct its business for the purposes described in the Registration Statement, the Preliminary Prospectus and the Prospectus. To the Company’s knowledge, the disclosures in the Registration Statement and the Prospectus concerning the effects of federal, state and local regulation on the Offering and the Company’s business purpose as currently contemplated are correct in all material respects and do not omit to state a material fact required to be stated therein or necessary in order to make the statements therein (with respect to the Prospectus, in light of the circumstances under which they were made), not misleading. Since its formation, the Company has conducted no business and has incurred no liabilities other than in connection with and in furtherance of the Offering.",conduct-of-business
"Conduct of Business. The business of the Company and its Subsidiaries shall not be conducted in violation of any law, ordinance or regulation of any governmental entity, except where such violations would not result, either individually or in the aggregate, in a Material Adverse Effect.",conduct-of-business
"Conduct of Business. (a) Except as contemplated or permitted by this Agreement, as required by applicable Laws, as contemplated by any of the matters set forth in Section 5.1(a) of the Company Disclosure Schedule, or with the prior written consent of Parent (which consent shall not be unreasonably withheld, delayed or conditioned), during the period from the date of this Agreement until the earlier of the Effective Time and the termination of this Agreement in accordance with Article VII, (x) the Company shall, and shall cause each of its Subsidiaries to, use reasonable best efforts to conduct its business in all material respects in the ordinary course and to preserve intact its present lines of business, maintain its rights and franchises and preserve satisfactory relationships with Governmental Authorities, employees, customers and suppliers, and (y) the Company shall not, and shall not permit any of its Subsidiaries to:",conduct-of-business
"Conduct of Business. The Borrower will, and will cause each Subsidiary to, carry on and conduct its business in substantially the same manner and in substantially the same fields of enterprise as it is presently conducted and do all things necessary to remain duly incorporated or organized, validly existing and (to the extent such concept applies to such entity) in good standing as a domestic corporation, partnership or limited liability company in its jurisdiction of incorporation or organization, as the case may be, and maintain all requisite authority to conduct its business in each jurisdiction in which its business is conducted.",conduct-of-business
"Conduct of Business. Except as described in the Registration Statement, the Pricing Disclosure Package and the Prospectus, the Company has all requisite corporate power and authority, and has all necessary authorizations, approvals, orders, licenses, certificates and permits of and from all governmental regulatory officials and bodies that it needs as of the date hereof to conduct its business purpose as described in the Registration Statement, the Pricing Disclosure Package and the Prospectus.",conduct-of-business
"Conduct of Business. The Company will continue to engage, in an efficient and economical manner, in a business of the same general type as conducted by it on the date of this Agreement.",conduct-of-business
"Conduct of Business. Other than our currently effective prospectus, you will not issue any sales material or statements except literature or advertising which conforms to the requirements of Federal and State securities laws and regulations and which have been filed, where necessary, with the appropriate regulatory authorities. You will furnish us with copies of all such materials prior to their use and no such material shall be published if we shall reasonably and promptly object. You shall comply with the applicable Federal and State laws and regulations where our Shares are offered for sale and conduct your affairs with us and with dealers, brokers or investors in accordance with the Conduct Rules of the National Association of Securities Dealers, Inc.",conduct-of-business
"Conduct of Business. The Contractor must comply with all laws, rules, codes, ordinances, and licensing requirements that are applicable to the conduct of its business, including those of federal, state, and local agencies having jurisdiction and authority. For example, the Contractor must comply with section 274A of the Immigration and Nationality Act, the Americans with Disabilities Act, Health Insurance Portability and Accountability Act, if applicable, and all prohibitions against discrimination on the basis of race, religion, sex, creed, national origin, handicap, marital status, or veteran’s status. The provisions of subparagraphs 287.058(1)(a)-(c), and (g), F.S., are hereby incorporated by reference.",conduct-of-business
"Conduct of Business. The Borrower will, and will cause each Principal Subsidiary to, (a) carry on and conduct its business in substantially the same manner and in substantially the same fields of enterprise as it is presently conducted, (b) do all things necessary to remain duly incorporated or organized, validly existing and (to the extent such concept applies to such entity) in good standing as a domestic corporation, partnership or limited liability company in its jurisdiction of incorporation or organization, as the case may be, and (c) maintain all requisite authority to conduct its business in each jurisdiction in which its business is conducted and the failure so to maintain such authority would reasonably be expected to have a Material Adverse Effect, provided that this Section shall not be deemed to prohibit any transaction permitted under Section 6.11 or 6.12.",conduct-of-business
"Conduct of Business. From and after the Closing Date, no Credit Party shall, nor shall it permit any of its Subsidiaries to, engage in any business other than (i) the businesses engaged in by such Credit Party on the Closing Date and similar or related businesses and (ii) such other lines of business as may be consented to by Requisite Lenders.",conduct-of-business
"Conduct of Business. Except as described in the Registration Statement, the Pricing Disclosure Package and the Prospectus, the Company has all requisite corporate power and authority, and has all necessary authorizations, approvals, orders, licenses, certificates and permits of and from all governmental regulatory officials and bodies that it needs as of the date hereof to conduct its business purpose as described in the Registration Statement, the Pricing Disclosure Package and the Prospectus, except where the failure to have any such authorization, approval, order, license, certificate or permit would not have or reasonably be expected to result in a Material Adverse Change.",conduct-of-business
"Conduct of Business. During the period from the date of this Agreement to the Effective Time, the Company shall, and shall cause its subsidiaries to, carry on their business in the ordinary course of business in substantially the same manner as heretofore conducted and, to the extent consistent therewith, use all reasonable efforts to preserve intact their current business organizations, keep available the services of their current officers and employees (as a group) and preserve their relationships with customers, suppliers, licensors, licensees, distributors and others having business dealings with them. Without limiting the generality of the foregoing, during the period from the date of this Agreement to the Effective Time, the Company shall not, and shall not permit any of its subsidiaries to, except as contemplated by this Agreement or with the prior written approval of Parent:",conduct-of-business
"Conduct of Business. From and after the Third Restatement Date, no Credit Party shall, nor shall it permit any of its Subsidiaries to, engage in any business other than (i) the businesses engaged in by such Credit Party or Subsidiary on the Third Restatement Date and similar or related or ancillary businesses and (ii) such other lines of business as may be consented to by Requisite Lenders.",conduct-of-business
"Conduct of Business. The Borrower shall, and shall cause each of its Subsidiaries to, (a) conduct its business in the ordinary course (except for non-material changes in the nature or conduct of its business as carried on as of the Closing Date) and (b) use its reasonable efforts, in the ordinary course, to preserve its business and the goodwill and business of the customers, suppliers and others having business relations with the Borrower or any of its Subsidiaries, except where the failure to comply with the covenants in each of clauses (a) and (b) above would not reasonably be expected to have a Material Adverse Effect.",conduct-of-business
"Conduct of Business. Engage in any business, other than its business as conducted on the Closing Date and any activities incidental thereto.",conduct-of-business
"Conduct of Business. Subject to the provisions hereof, from the date hereof through the Closing, each party hereto shall (i) conduct its business in the ordinary course and in such a manner so that the representations and warranties contained herein shall continue to be true and correct in all material respects as of the Closing as if made at and as of the Closing and (ii) not enter into any material transactions or incur any material liability (except in the ordinary course of its business) not required or specifically contemplated hereby, without first obtaining the written consent of the Acquiree and the holders of a majority of voting stock of the Acquiree, on the one hand, and the Acquiror and the holders of a majority of the Acquiror Common Stock, on the other hand. Without the prior written consent of the Acquiree, the Acquiree Shareholder, or the Acquiror, except as required or specifically contemplated hereby, each party shall not undertake or fail to undertake any action if such action or failure would render any of said warranties and representations untrue in any material respect as of the Closing.",conduct-of-business
"Conduct of Business. Tenant shall not engage in any business other than the leasing and operation of the Leased Property (including any incidental or ancillary business relating thereto) and shall do or cause to be done all things necessary to preserve, renew and keep in full force and effect and in good standing its corporate existence and its rights and licenses necessary to conduct such business.",conduct-of-business
Conduct of Business. Company and its Subsidiaries are engaged only in the businesses permitted to be engaged in pursuant to subsection 7.10.,conduct-of-business
"Conduct of Business. Prior to the closing, and except as contemplated by this Agreement, each party shall conduct its business in the normal course, and shall not sell, pledge, or assign any assets, without the prior written approval of the other party, except in the regular course of business. Except as contemplated by this Agreement, neither party to this Agreement shall amend its Articles of Incorporation or By-laws, declare dividends, redeem or sell stock or other securities, incur additional or newly-funded material liabilities, acquire or dispose of fixed assets, change senior management, change employment terms, enter into any material or long-term contract, guarantee obligations of any third party, settle or discharge any balance sheet receivable for less than its stated amount, pay more on any liability than its stated amount, or enter into any other transaction other than in the regular course of business.",conduct-of-business
"Conduct of Business. Until the Closing, conduct the Kraft Business diligently and in the ordinary course consistent with the manner in which the Kraft Business generally has been operated up to the date of execution of this Agreement;",conduct-of-business
