clause_text,clause_type
"Confidential Information. The Executive shall hold in a fiduciary capacity for the benefit of the Company all secret or confidential information, knowledge or data relating to the Company or any of its affiliated companies, and their respective businesses, which shall have been obtained by the Executive during the Executive's employment by the Company or any of its affiliated companies and which shall not be or become public knowledge (other than by acts by the Executive or representatives of the Executive in violation of this Agreement). After termination of the Executive's employment with the Company, the Executive shall not, without the prior written consent of the Company or as may otherwise be required by law or legal process, communicate or divulge any such information, knowledge or data to anyone other than the Company and those designated by it. In no event shall an asserted violation of the provisions of this Section 10 constitute a basis for deferring or withholding any amounts otherwise payable to the Executive under this Agreement.",confidential-information
"Confidential Information. Executive acknowledges that the information, observations and data obtained by him while providing services to the Company and its subsidiaries concerning the business or affairs of the Company, any of its subsidiaries (“Confidential Information”) are the property of the Company or such subsidiary. Therefore, Executive agrees that he shall not disclose to any unauthorized person or use for their own purposes any Confidential Information without the prior written consent of the Board, unless and to the extent that the aforementioned matters are or become generally known to and available for use by the public other than as a result of Executive’s acts or omissions. Executive shall deliver to the Company at the termination of the Employment Period, or at any other time the Company may request, all memoranda, notes, plans, records, reports, computer tapes, printouts and software and other documents and data (and copies thereof) relating to the Confidential Information, Work Product (as defined below) or the business of the Company, any of its subsidiaries which he may then possess or have under his control.",confidential-information
"Confidential Information. (a) Executive acknowledges that the continued success of Parent, the Company and their Subsidiaries and affiliates, depends upon the use and protection of a large body of confidential and proprietary information. All of such confidential and proprietary information now existing or to be developed in the future will be referred to in this Agreement as “Confidential Information.” Confidential Information will be interpreted as broadly as possible to include all information of any sort (whether merely remembered or embodied in a tangible or intangible form) that is (i) related to Parent’s, the Company’s or their Subsidiaries’ or affiliates’ current or potential business, and (ii) is not generally or publicly known. Confidential Information includes, without specific limitation, the information, observations and data obtained by him whether before or after the date of this Agreement concerning the business and affairs of Parent, the Company and their Subsidiaries and affiliates, information concerning acquisition opportunities in or reasonably related to Parent, the Company’s or their Subsidiaries’ or affiliates’ business or industry of which Executive becomes aware, the persons or entities that are current, former or prospective business relations, as well as development, transition and transformation plans, methodologies and methods of doing business, strategic, marketing and expansion plans, including plans regarding planned and potential sales, financial and business plans, employee lists and telephone numbers, locations of sales agents, new and existing programs and services, prices and terms, merchant service, integration processes, requirements and costs of providing service, support and equipment. Therefore, Executive agrees that he shall not disclose to any unauthorized person or use for his own account any of such Confidential Information without the Board’s prior written consent, unless and to the extent that any Confidential Information (i) becomes generally known to and available for use by the public other than as a result of Executive’s acts or omissions to act, or (ii) is required to be disclosed pursuant to any applicable law or court order. Executive agrees to deliver to Parent at the end of the Employment Period, or at any other time the Board may request in writing, all memoranda, notes, plans, records, reports and other documents (and copies thereof) relating to the business of Parent, the Company or their Subsidiaries or affiliates (inclu...",confidential-information
"Confidential Information. (i) The Employee acknowledges that as a result of his retention by the Company, the Employee has and will continue to have knowledge of, and access to, proprietary and confidential information of the Company including, without limitation, research and development plans and results, software, databases, technology, inventions, trade secrets, technical information, know-how, plans, specifications, methods of operations, product and service information, product and service availability, pricing information (including pricing strategies), financial, business and marketing information and plans, and the identity of customers, clients and suppliers (collectively, the “Confidential Information”), and that the Confidential Information, even though it may be contributed, developed or acquired by the Employee, constitutes valuable, special and unique assets of the Company developed at great expense which are the exclusive property of the Company. Accordingly, the Employee shall not, at any time, either during or subsequent to the Term of this Agreement, use, reveal, report, publish, transfer or otherwise disclose to any person, corporation, or other entity, any of the Confidential Information without the prior written consent of the Company, except to responsible officers and employees of the Company and other responsible persons who are in a contractual or fiduciary relationship with the Company and who have a need for such Confidential Information for purposes in the best interests of the Company, and except for such Confidential Information which is or becomes of general public knowledge from authorized sources other than by or through the Employee.",confidential-information
"Confidential Information. The Executive shall hold in a fiduciary capacity for the benefit of the Company all secret or confidential information, knowledge, trade secrets, methods, know-how or data relating to the Company or its affiliates and their businesses or acquisition prospects that the Executive obtained or obtains during the Executive’s employment by the Company (“Confidential Information”), provided that “Confidential Information” shall not include any secret or confidential information, knowledge, trade secrets, methods, know-how or data that is or becomes generally known to the public (other than as a result of the Executive’s violation of this section 10). Except as may be required and appropriate in connection with carrying out his duties under this Agreement, the Executive shall not communicate, divulge, or disseminate any material Confidential Information at any time during or after the Executive’s employment with the Company, except with the prior written consent of the Company or as otherwise required by law or legal process; provided, however, that if so required, the Executive will provide the Company with reasonable notice to contest such disclosure.",confidential-information
"Confidential Information. For the purposes of this Section 20, “",confidential-information
"Confidential Information. By virtue of his employment with the Company, the Executive will have access to confidential, proprietary, and highly sensitive information relating to the business of the Company and which is a valuable, competitive and unique asset of the Company (“Confidential Information”), the confidentiality of which is essential to the Company’s ability to differentiate its products and services. Such Confidential Information includes all information which relates to the business of the Company, which is or has been disclosed to the Executive orally or in writing by the Company or obtained by virtue of work performed for the Company, is or was developed by the Company, and is not generally available to or known by individuals or entities within the industry in which the Company is or may become engaged or readily accessible by independent investigation. The Confidential Information sought to be protected includes, without limitation, information pertaining to: (i) the identities of customers and clients with which or whom the Company does or seeks to do business, as well as the point of contact persons and decision-makers at these customers and clients, including their names, addresses, e-mail addresses and positions; (ii) the past or present purchasing history and the past and/or current job requirements of each past and/or existing customer and client; (iii) the volume of business and the nature of the business relationship between the Company and its customers and clients; (iv) the pricing of the Company’s services, including any deviations from its standard pricing for particular customers and clients; (v) the Company’s business plans and strategy, including customer or client assignments and rearrangements, sales and administrative staff expansions, marketing and sales plans and strategy, proposed adjustments in compensation of sales personnel, revenue, expense and profit projections, industry analyses, and any proposed or actual implemented technology changes; (vi) information regarding the Company’s employees, including their identities, skills, talents, knowledge, experience, and compensation; (vii) the Company’s financial results and business condition; and (viii) computer programs and software developed by the Company and tailored to the Company’s needs by its employees, independent contractors, consultants or vendors; (ix) information relating to the Company’s architects, designers, contractors, or persons likely to become architects, designers, or contra...",confidential-information
"Confidential Information. Each Finance Party agrees to keep all Confidential Information confidential and not to disclose it to anyone, save to the extent permitted by Clause 35.2 (Disclosure of Confidential Information) and Clause 35.3 (Disclosure to numbering service providers), and to ensure that all Confidential Information is protected with security measures and a degree of care that would apply to its own confidential information.",confidential-information
"Confidential Information. The Executive recognizes and acknowledges that the Company’s and its affiliated companies’ trade secrets and other confidential or proprietary information, as they may exist from time to time, are valuable, special and unique assets of the Company’s and/or such affiliated companies’ business, access to and knowledge of which are essential to the performance of the Executive’s duties hereunder. The Executive confirms that all such trade secrets and other information constitute the exclusive property of the Company and/or such affiliated companies. During the Employment Term and thereafter without limitation of time, the Executive shall hold in strict confidence and shall not, directly or indirectly, disclose or reveal to any person, or use for the Executive’s own personal benefit or for the benefit of anyone else, any trade secrets, confidential dealings or other confidential or proprietary information of any kind, nature or description (whether or not acquired, learned, obtained or developed by the Executive alone or in conjunction with others) belonging to or concerning the Company or any of its affiliated companies, except (i) with the prior written consent of the Company duly authorized by its Board, (ii) in the course of the proper performance of the Executive’s duties hereunder, (iii) for information (x) that becomes generally available to the public other than as a result of unauthorized disclosure by the Executive or the Executive’s affiliates or (y) that becomes available to the Executive on a nonconfidential basis from a source other than the Company or its affiliated companies who is not bound by a duty of confidentiality, or other contractual, legal or fiduciary obligation, to the Company, or (iv) as required by applicable law or legal process. The provisions of this Paragraph 9 shall continue in effect notwithstanding termination of the Executive’s employment hereunder for any reason.",confidential-information
"Confidential Information. CNHCR agrees that it will neither use nor disclose to any Person the names and addresses of the Obligors, except in connection with the enforcement of CNHCR’s rights hereunder, under the Receivables, under the Sale and Servicing Agreement or the Indenture or any other Basic Document or as required by any of the foregoing or by law.",confidential-information
