clause_text,clause_type
"Confidentiality. The parties hereto agree that each shall treat confidentially the terms and conditions of this Agreement and all information provided by each party to the other regarding its business and operations. All confidential information provided by a party hereto shall be used by any other party hereto solely for the purpose of rendering or obtaining services pursuant to this Agreement and, except as may be required in carrying out this Agreement, shall not be disclosed to any third party without the prior consent of such providing party. The foregoing shall not be applicable to any information that is publicly available when provided or thereafter becomes publicly available other than through a breach of this Agreement, or that is required to be disclosed by or to any bank examiner of the Custodian or any Subcustodian, any Regulatory Authority, any auditor of the parties hereto, or by judicial or administrative process or otherwise by Applicable Law.",confidentiality
"Confidentiality. The Parties acknowledge that the existence and the terms of this Agreement and any oral or written information exchanged between the Parties in connection with the preparation and performance this Agreement are regarded as confidential information. Each Party shall maintain confidentiality of all such confidential information, and without obtaining the written consent of the other Party, it shall not disclose any relevant confidential information to any third parties, except for the information that: (a) is or will be in the public domain (other than through the receiving Party’s unauthorized disclosure); (b) is under the obligation to be disclosed pursuant to the applicable laws or regulations, rules of any stock exchange, or orders of the court or other government authorities; or (c) is required to be disclosed by any Party to its shareholders, investors, legal counsels or financial advisors regarding the transaction contemplated hereunder, provided that such shareholders, investors, legal counsels or financial advisors shall be bound by the confidentiality obligations similar to those set forth in this Section. Disclosure of any confidential information by the staff members or agencies hired by any Party shall be deemed disclosure of such confidential information by such Party, which Party shall be held liable for breach of this Agreement. This Section shall survive the termination of this Agreement for any reason.",confidentiality
"Confidentiality. (a) Subject to Section 7.15(c), during the Term and for a period of three",confidentiality
"Confidentiality. The Executive recognizes and acknowledges that certain assets of the Company constitute Confidential Information. The term “Confidential Information” as used in this Agreement shall mean all information which is known only to the Executive or the Company, other employees or others in a confidential relationship with the Company and any persons controlling, controlled by or under common control with the Company (each, an “Affiliate”) and their respective employees, officers and partners), and relating to the Company’s or any Affiliate’s business (including, without limitation, information regarding clients, customers, pricing policies, methods of operation, proprietary computer programs, sales, products, profits, costs, markets, key personnel, formulae, product applications, technical processes, and trade secrets), as such information may exist from time to time, which the Executive acquired or obtained by virtue of work performed for the Company and its Affiliates, or which the Executive may acquire or may have acquired knowledge of during the performance of said work. The Executive agrees that at all times during his employment and thereafter (including periods after the term of this Agreement), he will keep and maintain all Confidential Information and all of the affairs of the Company and its Affiliates confidential, and will not, except (i) as necessary for the performance of his responsibilities hereunder or (ii) as required by judicial process and after three (3) days prior notice to the Company unless required earlier by a court order or a legal requirement, disclose to any person for any reason or purpose whatsoever, directly or indirectly, all or any part of the Confidential Information of the Company and its Affiliates. The Executive is not bound by the restrictions in this paragraph with respect to any information that becomes public other than as a consequence of the breach by the Executive of his confidentiality obligations hereunder or is disclosed without an obligation of confidentiality. The Executive can disclose all information to his personal advisors subject to becoming liable for any violation by them of Executive’s confidentiality obligations.",confidentiality
"Confidentiality. Subject to the duties of the Adviser, the Trust and the Subadviser to comply with applicable law, including any demand of any regulatory or taxing authority having jurisdiction, the parties hereto shall treat as confidential and shall not disclose any and all information pertaining to the Fund and the actions of the Subadviser, the Adviser and the Fund in respect thereof; except to the extent:",confidentiality
"Confidentiality. (a) In acting as agent for the Finance Parties, the Agent shall be regarded as acting through its agency division which shall be treated as a separate entity from any other of its divisions or departments.",confidentiality
"Confidentiality. The Custodian agrees to treat all records and other information relative to the Fund and its prior, present or future shareholders as confidential, and the Custodian, on behalf of itself and its employees, agrees to keep confidential all such information except, after prior notification to and approval in writing by the Fund, which approval shall not be unreasonably withheld and may not be withheld where the Custodian may be exposed to civil or criminal contempt proceedings for failure to comply when requested to divulge such information by duly constituted authorities, or when so requested by the Fund.",confidentiality
"Confidentiality. Each Investor agrees that such Investor will keep confidential and will not disclose, divulge, or use for any purpose (other than to monitor its investment in the Company) any confidential information obtained from the Company pursuant to the terms of this Agreement (including notice of the Company’s intention to file a registration statement), unless such confidential information (a) is known or becomes known to the public in general (other than as a result of a breach of this Subsection 3.4 by such Investor), (b) is or has been independently developed or conceived by the Investor without use of the Company’s confidential information, or (c) is or has been made known or disclosed to the Investor by a third party without a breach of any obligation of confidentiality such third party may have to the Company; provided, however, that an Investor may disclose confidential information (i) to its attorneys, accountants, consultants, and other professionals to the extent necessary to obtain their services in connection with monitoring its investment in the Company; (ii) to any prospective purchaser of any Registrable Securities from such Investor, if such prospective purchaser agrees to be bound by the provisions of this Subsection 3.4; (iii) to any existing or prospective Affiliate, partner, member, stockholder, or wholly owned subsidiary of such Investor in the ordinary course of business, provided that such Investor informs such Person that such information is confidential and directs such Person to maintain the confidentiality of such information; or (iv) as may otherwise be required by law, provided that the Investor promptly notifies the Company of such disclosure and takes reasonable steps to minimize the extent of any such required disclosure.",confidentiality
"Confidentiality. The parties hereto agree that each shall treat confidentially all information provided by each party to the other party regarding its business and operations (“Confidential Information”). All Confidential Information provided by a party hereto shall be used by the other party hereto solely for the purpose of rendering or receiving services pursuant to this Agreement and, except as may be required in carrying out this Agreement, shall not be disclosed to any third party. Neither party will use or disclose Confidential Information for purposes other than the activities contemplated by this Agreement or except as required by law, court process or pursuant to the lawful requirement of a governmental agency, or if the party is advised by counsel that it may incur liability for failure to make a disclosure, or except at the request or with the written consent of the other party. Notwithstanding the foregoing, each party acknowledges that the other party may provide access to and use of Confidential Information relating to the other party to the disclosing party’s employees, contractors, agents, professional advisors, auditors or persons performing similar functions. The foregoing shall not be applicable to any information (i) that is publicly available when provided or thereafter becomes publicly available, other than through a breach of this Agreement, (ii) that is independently derived by a party hereto without the use of any information provided by the other party hereto in connection with this Agreement, (iii) that is required in any legal or regulatory proceeding, investigation, audit, examination, subpoena, civil investigative demand or other similar process, or by operation of law or regulation, or (iv) where the party seeking to disclose has received the prior written consent of the party providing the information, which consent shall not be unreasonably withheld. Furthermore, and notwithstanding anything in this Section XI to the contrary, the Accounting Agent may aggregate Portfolio data with similar data of other customers of the Accounting Agent (“Aggregated Data”) and may use Aggregated Data for purposes of constructing statistical models so long as such Aggregated Data represents a sufficiently large sample that no Portfolio data can be identified either directly or by inference or implication. If either party is required to disclose Confidential Information as a result of a court order, subpoena or similar legal duress, then that party may disclos...",confidentiality
"Confidentiality. During the term of this Agreement, the Distributor and the Client may have access to confidential information relating to such matters as either party’s business, trade secrets, systems, procedures, manuals, products, contracts, personnel, and clients. As used in this Agreement, “Confidential Information” means information belonging to the Distributor or the Client which is of value to such party and the disclosure of which could result in a competitive or other disadvantage to either party, including, without limitation, financial information, business practices and policies, know-how, trade secrets, market or sales information or plans, customer lists, business plans, and all provisions of this Agreement. Confidential Information does not include: (i) information that was known to the receiving Party before receipt thereof from or on behalf of the Disclosing Party; (ii) information that is disclosed to the Receiving Party by a third person who has a right to make such disclosure without any obligation of confidentiality to the Party seeking to enforce its rights under this Section; (iii) information that is or becomes generally known in the trade without violation of this Agreement by the Receiving Party; or (iv) information that is independently developed by the Receiving Party or its employees or affiliates without reference to the Disclosing Party’s information. Each party will protect the other’s Confidential Information with at least the same degree of care it uses with respect to its own Confidential Information, and will not use the other party’s Confidential Information other than in connection with its obligations hereunder. Notwithstanding the foregoing, a party may disclose the other’s Confidential Information if (i) required by law, regulation or legal process or if requested by any Agency; (ii) it is advised by counsel that it may incur liability for failure to make such disclosure; (iii) requested to by the other party; provided that in the event of (i) or (ii) the disclosing party shall give the other party reasonable prior notice of such disclosure to the extent reasonably practicable and cooperate with the other party (at such other party’s expense) in any efforts to prevent such disclosure.",confidentiality
