clause_text,clause_type
"Conflict of Interest. No officer, member or employee of the Contractor or subcontractor, no member of the governing body of the Contractor, and no other public officials of the Contractor who exercise any functions or responsibilities in the review or Contractor approval of this Agreement, shall participate in any decision relating to this Agreement which affects his or her personal interest, or shall have any personal or pecuniary interest, direct or indirect, in this Agreement.",conflict-of-interest
"Conflict of Interest. Party shall fully disclose, in writing, any conflicts of interest or potential conflicts of interest.",conflict-of-interest
"Conflict of Interest. 11.1. CONTRACTOR represents that it presently has no interest and shall acquire no interest, either direct or indirect, which would conflict in any manner with the performance of services required hereunder. CONTRACTOR further represents that no persons having any such interest shall be employed to perform those services.",conflict-of-interest
"Conflict of Interest. By executing this Agreement, PROVIDER and each person signing on behalf of PROVIDER certifies, and in the case of a sole proprietorship, partnership or corporation, each party thereto certifies as to its own organization, that to the best of their knowledge and belief, no member of The A&M System or The A&M System Board of Regents, nor any employee, or person, whose salary is payable in whole or in part by The A&M System, has direct or indirect financial interest in the award of this Agreement, or in the services to which this Agreement relates, or in any of the profits, real or potential, thereof.",conflict-of-interest
"Conflict of Interest. (1) The Warrant Agent represents to the Corporation that at the time of execution and delivery hereof no material conflict of interest exists between its role as a Warrant Agent hereunder and its role in any other capacity and agrees that in the event of a material conflict of interest arising hereafter it will, within 90 days after ascertaining that it has such material conflict of interest, either eliminate the same or assign its agency hereunder to a successor Warrant Agent approved by the Corporation and meeting the requirements set forth in Section 9.8(1). Notwithstanding the foregoing provisions of this Section 9.9(1), if any such material conflict of interest exists or hereafter shall exist, the validity and enforceability of this Indenture and the Warrant Certificate shall not be affected in any manner whatsoever by reason thereof.",conflict-of-interest
"Conflict of Interest. 41.1 The Parties represent that no employee or agent of either Party has been or will be employed, retained, paid a fee, or otherwise received or will receive any personal compensation or consideration from the other Party, or any of the other Party’s employees or agents in connection with the negotiation of this Agreement or any associated documents.",conflict-of-interest
"Conflict of Interest. The Grantee agrees to notify the Commonwealth promptly of any actual, perceived or potential conflicts of interest which could affect its performance of this Agreement and agrees to take action to resolve the conflict.",conflict-of-interest
"Conflict of Interest. The Contractor shall exercise reasonable care and diligence to prevent any actions or conditions that could result in a conflict with the best interests of the County. This obligation shall apply to the Contractor; the Contractor’s employees, agents, and relatives; sub-tier Consultants; and third parties associated with accomplishing work and services hereunder. The Contractor’s efforts shall include, but not be limited to establishing precautions to prevent its employees or agents from making, receiving, providing or offering gifts, entertainment, payments, loans or other considerations which could be deemed to appear to influence individuals to act contrary to the best interests of the County.",conflict-of-interest
"Conflict of Interest. Through its execution of this Agreement, Contractor acknowledges that it is familiar with the provision of Section 15.103 of the City’s Charter, Article III, Chapter 2 of City’s Campaign and Governmental Conduct Code, and Section 87100 et seq. and Section 1090 et seq. of the Government Code of the State of California, and certifies that it does not know of any facts which constitutes a violation of said provisions and agrees that it will immediately notify the City if it becomes aware of any such fact during the term of this Agreement.",conflict-of-interest
"Conflict of Interest. The CONTRACTOR covenants that it presently has no interest, and shall not have any interest, direct or indirect, which would conflict in any manner with the performance of services required under this Agreement.",conflict-of-interest
"Conflict of Interest. Pursuant to HOME regulations at 24 CFR 92.356, no employee, agent, consultant, officer, or elected official or appointed official of the PJ or the Program Administrator, individually known as a “Covered Person,” that exercises or has exercised any functions or responsibilities with respect to HOME-assisted activities, or who is in a position to participate in a decision-making process or gain inside information with regard to HOME-assisted activities, is eligible to receive HOME assistance under this Program or to have a financial interest in or obtain a financial benefit from any contract, subcontract, or other agreement with respect to the HOME-funded activities contemplated in this Contract or the proceeds from such activities. This provision applies to both Covered Persons and those with whom they have business or immediate family ties, during their tenure with the PJ or Program Administrator and for one year thereafter. Immediate family ties include (whether by blood, marriage, or adoption) the spouse, parent (including a stepparent), child (including a stepchild), brother, sister (including a stepbrother or stepsister), grandparent, grandchild, and in-laws of a Covered Person. Owner hereby certifies that, to the best of its knowledge and belief, it has no Conflict of Interest associated with participation in this Program. Owner, including the underlying individual owners if the Owner is a corporation, partnership, or other such entity, is not a Covered Person or an immediate family member of a Covered Person and has no business relationships with a Covered Person. Tenant hereby certifies that, to the best of its knowledge and belief, they have no Conflict of Interest associated with participation in this Program. Neither Tenant nor another member of the household is a Covered Person or an immediate family member of a Covered Person and has no business ties with a Covered Person.",conflict-of-interest
"Conflict of Interest. 7.1 Other than those which have already been disclosed to the Commonwealth, the Grantee warrants that, to the best of its knowledge, at the date of this Agreement, neither it nor its officers have any actual, perceived or potential conflicts of interest in relation to the Activity.",conflict-of-interest
"Conflict of Interest. The HSP will use the Funding, provide the Services and otherwise fulfil its obligations under this Agreement, without an actual, potential or perceived Conflict of Interest. The HSP will disclose to the LHIN without delay any situation that a reasonable person would interpret as an actual, potential or perceived Conflict of Interest and comply with any requirements prescribed by the LHIN to resolve any Conflict of Interest.",conflict-of-interest
"Conflict of Interest. Consultant may serve other clients, but none whose activities within the corporate limits of City or whose business, regardless of location, would place Consultant in a “conflict of interest,” as that term is defined in the Political Reform Act, codified at California Government Code Section 81000 et seq. Consultant shall not employ any City official in the work performed pursuant to this Agreement. No officer or employee of City shall have any financial interest in this Agreement that would violate California Government Code Sections 1090 et seq. Consultant hereby warrants that it is not now, nor has it been in the previous twelve (12) months, an employee, agent, appointee, or official of the City. If Consultant were an employee, agent, appointee, or official of the City in the previous twelve months, Consultant warrants that it did not participate in any manner in the forming of this Agreement. Consultant understands that, if this Agreement is made in violation of Government Code §1090 et.seq., the entire Agreement is void and Consultant will not be entitled to any compensation for services performed pursuant to this Agreement, including reimbursement of expenses, and Consultant will be required to reimburse the City for any sums paid to the Consultant. Consultant understands that, in addition to the foregoing, it may be subject to criminal prosecution for a violation of Government Code § 1090 and, if applicable, may be disqualified from holding public office in the State of California. Consultant certifies that it has not paid any direct or contingent fee, contribution, donation or consideration of any kind to any firm, organization, or person (other than a bona fide employee of Consultant) in connection with procuring this Agreement, nor has Consultant agreed to employ or retain any firm, organization, or person in connection with the performance of this Agreement as a condition for obtaining this Agreement.",conflict-of-interest
"Conflict of Interest. 8.9.1 No County employee whose position with the County enables such employee to influence the award of this Contract or any competing Contract, and no spouse or economic dependent of such employee, shall be employed in any capacity by the Contractor or have any other direct or indirect financial interest in this Contract. No officer or employee of the Contractor who may financially benefit from the performance of work hereunder shall in any way participate in the County’s approval, or ongoing evaluation, of such work, or in any way attempt to unlawfully influence the County’s approval or ongoing evaluation of such work.",conflict-of-interest
"Conflict of Interest. Pursuant to Arizona law, rules and regulations, no member, official or employee of the City shall have any personal interest, direct or indirect, in this Agreement, nor shall any such member, official or employee participate in any decision relating to this Agreement which affects his or her personal interest or the interest of any corporation, partnership or association in which he or she is, directly or indirectly, interested. This Agreement is subject to A.R.S. § 38-511.",conflict-of-interest
"Conflict of Interest. By executing this Agreement, Contractor certifies that it does not know of any fact which constitutes a violation of Section 15.103 of the City’s Charter; Article III, Chapter 2 of City’s Campaign and Governmental Conduct Code; Title 9, Chapter 7 of the California Government Code (Section 87100 et seq.), or Title 1, Division 4, Chapter 1, Article 4 of the California Government Code (Section 1090 et seq.), and further agrees promptly to notify the City if it becomes aware of any such fact during the term of this Agreement.",conflict-of-interest
"Conflict of Interest. Notwithstanding any determination by the Executive Ethics Board or other tribunal, the AGENCY may, in its sole discretion, by written notice to the CONTRACTOR terminate this contract if it is found after due notice and examination by the AGENT that there is a violation of the Ethics in Public Service Act, Chapter 42.52 RCW; or any similar statute involving the CONTRACTOR in the procurement of, or performance under this contract. In the event this contract is terminated as provided above, the AGENCY shall be entitled to pursue the same remedies against the CONTRACTOR as it could pursue in the event of a breach of the contract by the CONTRACTOR. The rights and remedies of the AGENCY provided for in this clause shall not be exclusive and are in addition to any other rights and remedies provided by law. The existence of facts upon which the AGENT makes any determination under this clause shall be an issue and may be reviewed as provided in the “Disputes” clause of this contract.",conflict-of-interest
"Conflict of Interest. The CONTRACTOR agrees that it will not engage in any action that would create a conflict of interest in the performance of its obligations pursuant to this Agreement, or which would violate or cause others to violate the provisions of Part III, Chapter 112, Florida Statutes, relating to ethics in government. Further, the CONTRACTOR hereby certifies that no officer, agent, or employee of the COUNTY has any material interest either directly or indirectly in the business of the CONTRACTOR conducted here and that no such person may have any such interest at any time during the term of this Agreement unless approved by the COUNTY.",conflict-of-interest
Conflict of Interest. This Agreement may be canceled by the City pursuant to ARIZ. REV. STAT. § 38-511.,conflict-of-interest
"Conflict of Interest. This Agreement is subject to the provisions of ARIZ. REV. STAT. § 38-511. The City may cancel this Agreement without penalty or further obligations by the City or any of its departments or agencies if any person significantly involved in initiating, negotiating, securing, drafting or creating this Agreement on behalf of the City or any of its departments or agencies is, at any time while this Agreement or any extension of this Agreement is in effect, an employee of any other party to this Agreement in any capacity or a consultant to any other party of this Agreement with respect to the subject matter of this Agreement.",conflict-of-interest
"Conflict of Interest. Contractor shall disclose to District any outside activities or interests that conflict or may conflict with the interests of the District. Prompt disclosure is required if the activity or interest is related, directly or indirectly, to (1) any activity that Contractor may be involved with on behalf of the District, or (2) any activity that Contractor may be involved with on behalf of any other firm or agency. In addition, Contractor shall comply with all provisions of the Political Reform Act and implementing regulations, as applicable, and in accordance with the District’s Conflict of Interest Code. Contractor shall be subject to the broadest disclosure category in the District’s Conflict of Interest Code during the term of this Agreement, except to the extent specifically modified in writing by the Superintendent or designee. For the term of this Agreement, no member, officer or employee of District, during the term of his or her service with District, shall have any direct interest in this Agreement, or obtain any present or anticipated material benefit arising therefrom.",conflict-of-interest
"Conflict of Interest. CONTRACTOR shall exercise reasonable care and diligence to prevent any actions or conditions that could result in a conflict with COUNTY interests. In addition to CONTRACTOR, this obligation shall apply to CONTRACTOR’s employees, agents, and subcontractors associated with the provision of goods and services provided under this Agreement. CONTRACTOR’s efforts shall include, but not be limited to establishing rules and procedures preventing its employees, agents, and subcontractors from providing or offering gifts, entertainment, payments, loans or other considerations which could be deemed to influence or appear to influence COUNTY staff or elected officers in the performance of their duties.”",conflict-of-interest
"Conflict of Interest. (a) Contractor covenants that it has no interest and will not acquire any interest, direct or indirect, which would conflict in any manner or degree with the performance of services required to perform under this Contract.",conflict-of-interest
"Conflict of Interest. Contractor warrants that no part of the compensation payable hereunder shall be paid directly or indirectly to an employee or official of Owner as wages, compensation, or gifts in exchange in connection with the Services contemplated or performed relative to this Agreement. Contractor shall disclose in writing to Owner’s Office of the General Counsel any financial or beneficial interests that it, or its principals or officers, has in services, products, or companies recommended to Owner in the performance of this Agreement. Failure to disclose any such interests shall be deemed a violation of this Agreement and will result in the forfeiture of all monies previously paid by Owner to Contractor pursuant to this Agreement.",conflict-of-interest
"Conflict of Interest. Contractor warrants and represents that it presently has no interest and covenants that it will not acquire any interest, direct or indirect, that represents a financial conflict of interest under state law or that would otherwise conflict in any manner or degree with the performance of the Work. Contractor further agrees that in the performance of this Agreement no person having any such interest shall be employed by Contractor.",conflict-of-interest
"Conflict of Interest. Party must disclose in writing any potential conflict of interest in accordance with Uniform Guidance §200.112, Bulletin 5 Section X and Bulletin 3.5 Section IV.B.",conflict-of-interest
