clause_text,clause_type
Consent to Jurisdiction. The Company and Indemnitee each hereby irrevocably consent to the jurisdiction of the courts of the State of Delaware for all purposes in connection with any action or proceeding which arises out of or relates to this Agreement and agree that any action instituted under this Agreement shall be brought only in the state courts of the State of Delaware.,consent-to-jurisdiction
"Consent to Jurisdiction. Any legal suit, action or proceeding arising out of or based upon this Agreement or the transactions contemplated hereby (“Related Proceedings”) may be instituted in the federal courts of the United States of America located in the City and County of New York, Borough of Manhattan, or the courts of the State of New York in each case located in the City and County of New York, Borough of Manhattan (collectively, the “Specified Courts”), and each party irrevocably submits to the exclusive jurisdiction (except for proceedings instituted in regard to the enforcement of a judgment of any such court (a “Related Judgment”), as to which such jurisdiction is non-exclusive) of such courts in any such suit, action or proceeding. Service of any process, summons, notice or document by mail to such party’s address set forth above shall be effective service of process for any suit, action or other proceeding brought in any such court. The parties irrevocably and unconditionally waive any objection to the laying of venue of any suit, action or other proceeding in the Specified Courts and irrevocably and unconditionally waive and agree not to plead or claim in any such court that any such suit, action or other proceeding brought in any such court has been brought in an inconvenient forum.",consent-to-jurisdiction
"Consent to Jurisdiction. EACH PARTY HEREBY IRREVOCABLY SUBMITS TO THE NON-EXCLUSIVE JURISDICTION OF THE STATE AND FEDERAL COURTS SITTING IN THE CITY OF NEW YORK, BOROUGH OF MANHATTAN, FOR THE ADJUDICATION OF ANY DISPUTE HEREUNDER OR IN CONNECTION WITH ANY TRANSACTION CONTEMPLATED HEREBY, AND HEREBY IRREVOCABLY WAIVES, AND AGREES NOT TO ASSERT IN ANY SUIT, ACTION OR PROCEEDING, ANY CLAIM THAT IT IS NOT PERSONALLY SUBJECT TO THE JURISDICTION OF ANY SUCH COURT, THAT SUCH SUIT, ACTION OR PROCEEDING IS BROUGHT IN AN INCONVENIENT FORUM OR THAT THE VENUE OF SUCH SUIT, ACTION OR PROCEEDING IS IMPROPER. EACH PARTY HEREBY IRREVOCABLY WAIVES PERSONAL SERVICE OF PROCESS AND CONSENTS TO PROCESS BEING SERVED IN ANY SUCH SUIT, ACTION OR PROCEEDING BY MAILING A COPY THEREOF (CERTIFIED OR REGISTERED MAIL, RETURN RECEIPT REQUESTED) TO SUCH PARTY AT THE ADDRESS IN EFFECT FOR NOTICES TO IT UNDER THIS AGREEMENT AND AGREES THAT SUCH SERVICE SHALL CONSTITUTE GOOD AND SUFFICIENT SERVICE OF PROCESS AND NOTICE THEREOF. NOTHING CONTAINED HEREIN SHALL BE DEEMED TO LIMIT IN ANY WAY ANY RIGHT TO SERVE PROCESS IN ANY MANNER PERMITTED BY LAW.",consent-to-jurisdiction
"Consent to Jurisdiction. THE BORROWER HEREBY IRREVOCABLY SUBMITS TO THE NON-EXCLUSIVE JURISDICTION OF ANY UNITED STATES FEDERAL OR ILLINOIS STATE COURT SITTING IN CHICAGO IN ANY ACTION OR PROCEEDING ARISING OUT OF OR RELATING TO ANY LOAN DOCUMENTS AND THE BORROWER HEREBY IRREVOCABLY AGREES THAT ALL CLAIMS IN RESPECT OF SUCH ACTION OR PROCEEDING MAY BE HEARD AND DETERMINED IN ANY SUCH COURT AND IRREVOCABLY WAIVES ANY OBJECTION IT MAY NOW OR HEREAFTER HAVE AS TO THE VENUE OF ANY SUCH SUIT, ACTION OR PROCEEDING BROUGHT IN SUCH A COURT OR THAT SUCH COURT IS AN INCONVENIENT FORUM. NOTHING HEREIN SHALL LIMIT THE RIGHT OF THE ADMINISTRATIVE AGENT OR ANY LENDER TO BRING PROCEEDINGS AGAINST THE BORROWER IN THE COURTS OF ANY OTHER JURISDICTION. ANY JUDICIAL PROCEEDING BY THE BORROWER AGAINST THE ADMINISTRATIVE AGENT OR ANY LENDER OR ANY AFFILIATE OF THE ADMINISTRATIVE AGENT OR ANY LENDER INVOLVING, DIRECTLY OR INDIRECTLY, ANY MATTER IN ANY WAY ARISING OUT OF, RELATED TO, OR CONNECTED WITH ANY LOAN DOCUMENT SHALL BE BROUGHT ONLY IN A COURT IN CHICAGO, ILLINOIS.",consent-to-jurisdiction
"Consent to Jurisdiction. To the extent that any court action is permitted consistent with or to enforce Section 8 of this Agreement, the parties hereby consent to the jurisdiction of the Superior Court of the Commonwealth of Massachusetts and the United States District Court for the District of Massachusetts. Accordingly, with respect to any such court action, the Executive (a) submits to the personal jurisdiction of such courts; (b) consents to service of process; and (c) waives any other requirement (whether imposed by statute, rule of court, or otherwise) with respect to personal jurisdiction or service of process.",consent-to-jurisdiction
"Consent to Jurisdiction. The Company and Indemnitee each hereby irrevocably consent to the jurisdiction of the courts of the State of Delaware for all purposes in connection with any action or proceeding which arises out of or relates to this Agreement and agree that any action instituted under this Agreement shall be commenced, prosecuted and continued only in the Court of Chancery of the State of Delaware in and for New Castle County, which shall be the exclusive and only proper forum for adjudicating such a claim.",consent-to-jurisdiction
"Consent to Jurisdiction. EACH OF THE PARTIES IRREVOCABLY SUBMITS TO THE EXCLUSIVE JURISDICTION OF THE STATE OR FEDERAL COURTS LOCATED IN THE CITY AND STATE OF NEW YORK IN THE BOROUGH OF MANHATTAN FOR THE PURPOSES OF ANY SUIT, ACTION OR OTHER PROCEEDING ARISING OUT OF THIS AGREEMENT, ANY RELATED AGREEMENT OR ANY TRANSACTION CONTEMPLATED HEREBY OR THEREBY. EACH OF THE PARTIES HERETO FURTHER AGREES THAT SERVICE OF ANY PROCESS, SUMMONS, NOTICE OR DOCUMENT BY U.S. REGISTERED MAIL TO SUCH PARTY’S RESPECTIVE ADDRESS SET FORTH IN SECTION 11 SHALL BE EFFECTIVE SERVICE OF PROCESS FOR ANY ACTION, SUIT OR PROCEEDING WITH RESPECT TO ANY MATTERS TO WHICH IT HAS SUBMITTED TO JURISDICTION IN THIS SECTION 16. EACH OF THE PARTIES HERETO IRREVOCABLY AND UNCONDITIONALLY WAIVES ANY OBJECTION TO THE LAYING OF VENUE OF ANY ACTION, SUIT OR PROCEEDING ARISING OUT OF THIS AGREEMENT, ANY RELATED DOCUMENT OR THE TRANSACTIONS CONTEMPLATED HEREBY AND THEREBY IN THE STATE OR FEDERAL COURTS LOCATED IN THE CITY AND STATE OF NEW YORK IN THE BOROUGH OF MANHATTAN AND HEREBY AND THEREBY FURTHER IRREVOCABLY AND UNCONDITIONALLY WAIVES AND AGREES NOT TO PLEAD OR CLAIM IN ANY SUCH COURT THAT ANY SUCH ACTION, SUIT OR PROCEEDING BROUGHT IN ANY SUCH COURT HAS BEEN BROUGHT IN AN INCONVENIENT FORUM.",consent-to-jurisdiction
"Consent to Jurisdiction. EACH OF THE PARTIES HERETO CONSENTS TO THE EXCLUSIVE JURISDICTION OF ANY STATE OR FEDERAL COURT LOCATED WITHIN THE STATE OF NEW YORK AND IRREVOCABLY AGREES THAT ALL ACTIONS OR PROCEEDINGS RELATING TO THIS AGREEMENT SHALL BE LITIGATED IN SUCH COURTS. EACH OF THE PARTIES HERETO ACCEPTS FOR ITSELF AND IN CONNECTION WITH ITS RESPECTIVE PROPERTIES, GENERALLY AND UNCONDITIONALLY, THE EXCLUSIVE JURISDICTION OF THE AFORESAID COURTS AND WAIVES ANY DEFENSE OF FORUM NON CONVENIENS, AND IRREVOCABLY AGREES TO BE BOUND BY ANY FINAL AND NONAPPEALABLE JUDGMENT RENDERED THEREBY IN CONNECTION WITH THIS AGREEMENT. EACH OF THE PARTIES HERETO FURTHER IRREVOCABLY CONSENTS TO THE SERVICE OF PROCESS OUT OF ANY OF THE AFOREMENTIONED COURTS IN ANY SUCH ACTION OR PROCEEDING BY THE MAILING OF COPIES THEREOF VIA OVERNIGHT COURIER, TO SUCH PARTY AT THE ADDRESS SPECIFIED IN THIS AGREEMENT, SUCH SERVICE TO BECOME EFFECTIVE FOURTEEN CALENDAR DAYS AFTER SUCH MAILING. NOTHING HEREIN SHALL IN ANY WAY BE DEEMED TO LIMIT THE ABILITY OF EITHER PARTY HERETO TO SERVE ANY SUCH LEGAL PROCESS, SUMMONS, NOTICES AND DOCUMENTS IN ANY OTHER MANNER PERMITTED BY APPLICABLE LAW OR TO OBTAIN JURISDICTION OVER OR TO BRING ACTIONS, SUITS OR PROCEEDINGS AGAINST THE OTHER PARTY HERETO IN SUCH OTHER JURISDICTIONS, AND IN SUCH MANNER, AS MAY BE PERMITTED BY ANY APPLICABLE LAW.",consent-to-jurisdiction
"Consent to Jurisdiction. The parties hereto agree that any suit, action or proceeding seeking to enforce any provision of, or based on any matter arising out of or in connection with, this Agreement or the transactions contemplated hereby shall be brought in the United States District Court for the Southern District of New York or any New York State court sitting in the Borough of Manhattan, so long as one of such courts shall have subject matter jurisdiction over such suit, action or proceeding, and that any cause of action arising out of this Agreement shall be deemed to have arisen from a transaction of business in the State of New York, and each of the parties hereby irrevocably consents to the jurisdiction of such courts (and of the appropriate appellate courts therefrom) in any such suit, action or proceeding and irrevocably waives, to the fullest extent permitted by law, any objection that it may now or hereafter have to the laying of the venue of any such suit, action or proceeding in any such court or that any such suit, action or proceeding brought in any such court has been brought in an inconvenient forum. Process in any such suit, action or proceeding may be served on any party anywhere in the world, whether within or without the jurisdiction of any such court.",consent-to-jurisdiction
"Consent to Jurisdiction. Each party to this Agreement, by its execution hereof, (i) hereby irrevocably submits to the exclusive jurisdiction of the state and federal courts sitting in the State of New York for the purpose of any action, claim, cause of action or suit (in contract, tort or otherwise), inquiry, proceeding or investigation arising out of or based upon this Agreement or relating to the subject matter hereof, (ii) hereby waives to the extent not prohibited by applicable law, and agrees not to assert, and agrees not to allow any of its subsidiaries to assert, by way of motion, as a defense or otherwise, in any such action, any claim that it is not subject personally to the jurisdiction of the above-named courts, that its property is exempt or immune from attachment or execution, that any such proceeding brought in one of the above-named courts is improper, or that this Agreement or the subject matter hereof or thereof may not be enforced in or by such court and (iii) hereby agrees not to commence or maintain any action, claim, cause of action or suit (in contract, tort or otherwise), inquiry, proceeding or investigation arising out of or based upon this Agreement or relating to the subject matter hereof or thereof other than before one of the above-named courts nor to make any motion or take any other action seeking or intending to cause the transfer or removal of any such action, claim, cause of action or suit (in contract, tort or otherwise), inquiry, proceeding or investigation to any court other than one of the above-named courts whether on the grounds of inconvenient forum or otherwise. Notwithstanding the foregoing, to the extent that any party hereto is or becomes a party in any litigation in connection with which it may assert indemnification rights set forth in this Agreement, the court in which such litigation is being heard shall be deemed to be included in clause (i) above. Notwithstanding the foregoing, any party to this Agreement may commence and maintain an action to enforce a judgment of any of the above-named courts in any court of competent jurisdiction. Each party hereto hereby consents to service of process in any such proceeding in any manner permitted by New York law, and agrees that service of process by registered or certified mail, return receipt requested, at its address specified pursuant to Section 4.2 hereof is reasonably calculated to give actual notice.",consent-to-jurisdiction
