clause_text,clause_type
"Consideration a. Per the Interlocal Cooperation Act, Texas Government Code, § 791.025, or other applicable law, the DIR Customer satisfies the requirement to seek competitive bids for the purchase of goods and/or services.",consideration
"Consideration. The Executive acknowledges that: (i) the payments, rights and benefits set forth in Section 8(c) of the Agreement constitute full settlement of all his rights under the Agreement, (ii) he has no entitlement under any other severance or similar arrangement maintained by the Company, and (iii) except as otherwise provided specifically in this Release, the Company and its affiliates do not and will not have any other liability or obligation to the Executive. The Executive acknowledges that, in the absence of his execution of this Release, the benefits and payments specified in Section 8(c) of the Agreement would not otherwise be due to him.",consideration
Consideration. The grant of the Restricted Stock Units is made in consideration of the services to be rendered by the Grantee to the Company.,consideration
"Consideration. The mutual promise by Company and Executive to arbitrate any and all disputes between them rather than litigate them before the courts or other bodies, provides the consideration for this agreement to arbitrate.",consideration
Consideration. The parties acknowledge that this Agreement and General Release is being executed in accordance with Section 9 of the Employment Agreement.,consideration
Consideration. The Parties acknowledge that the mutual promises and covenants contained herein and other good and valuable consideration are sufficient and adequate to support this Amendment.,consideration
"Consideration. All services provided by the Contractor under this contract shall be performed to the State’s satisfaction, as determined at the sole discretion of the State and in accordance with all applicable federal, state, and local laws, ordinances, rules, and regulations. The Contractor shall not receive payment for work found by the State to be unsatisfactory or performed in violation of federal, state, or local law. The State will pay for all services satisfactorily performed by the Contractor, under fully executed Work Authorizations issued under this Professional and Technical Services Master Contract, according to the applicable fee schedule(s), attached and incorporated herein as Attachment B – Fee-for-Service Rate Schedule and, if applicable, Performance Based Agreement (PBA) for Placement and Retention Services as referenced at: http://mn.gov/deed/job-seekers/disabilities/partners/. The total compensation of all Work Authorizations may not exceed $40,000.",consideration
"Consideration. Client agrees to pay Consultant, as his fee and as consideration for services provided, Five Hundred Thousand (500,000) shares of S-8 free trading common stock in Client. Shares are due and payable immediately upon the effectiveness of the Form S-8 Registration Statement with the U.S. Securities and Exchange Commission and with any appropriate states securities administrator.",consideration
"Consideration. (a) In consideration for the Mortgage Loans to be purchased hereunder, the Purchaser shall, as described in Section 7, pay to or upon the order of the Seller in immediately available funds an amount (the “Mortgage Loan Purchase Price”) equal to the net sale proceeds of the Certificates, plus accrued interest.",consideration
"Consideration. Subject to and in consideration of the Employee’s release of claims as provided herein, the Company has agreed to pay the Employee certain benefits and the Employee has agreed to provide certain benefits to the Company, both as set forth in the Severance Agreement.",consideration
"Consideration. The receipt of the Collateral Agent or any Receiver shall be conclusive discharge to a purchaser and, in making any sale or disposal of any of the Charged Property or making any acquisition, the Collateral Agent or any Receiver may do so for such consideration, in such manner and on such terms as it thinks fit.",consideration
"Consideration. In consideration of the mutual covenants and agreements contained in the Agreement and for other good and valuable consideration, the receipt and sufficiency of which are expressly acknowledged, the Province and the Recipient agree as follows:",consideration
"Consideration. In consideration for the rights granted under this agreement, Licensee shall pay to licensor the sum of Ninety Nine and Ninety Nine (£99.99) British Pounds and other good and valuable consideration, payable to ""SUS LIFESTYLE CO"", receipt of which is hereby acknowledged. If the Licensee fails to account to the Licensor, timely complete the payments provided for hereunder, or perform its other obligations hereunder, including having insufficient bank balance, the licensor shall have the right to terminate License upon written notice to the Licensee. Such termination shall render the recording, manufacture and/or distribution of Recordings for which monies have not been paid subject to and actionable infringements under applicable law, including, without limitation, the Canadian Copyright Act, as amended.",consideration
Consideration. Each of the Parties agrees and confirms by signing below that they have received valid consideration in connection with this Agreement and the transactions contemplated herein.,consideration
"Consideration. At the Closing Date, the Notes will have been validly issued by the Trust and paid for by the Depositor.",consideration
"Consideration. 10.1 The Parties agree that the Publisher’s agreement to its contractual obligations in this Agreement in respect of its efforts in considering publishing and promoting the Contribution and the Work is good and valuable consideration for the rights granted and obligations undertaken by the Author under this Agreement, the receipt, validity and sufficiency of which is hereby acknowledged by the Author. The Parties expressly agree that no royalty, remuneration, licence fee, costs or other moneys whatsoever shall be payable to the Author, subject to the following provisions of this Clause.",consideration
"Consideration. The duties and obligations of the Company to Executive under this Agreement shall be in consideration for Executive’s past services to the Company, Executive’s continued employment with the Company, and Executive’s execution of a release in accordance with Section 4.1.",consideration
Consideration. This Agreement is in consideration of the mutual covenants contained in it. You and the Company acknowledge the receipt and sufficiency of the consideration to this Agreement and intend this Agreement to be legally binding.,consideration
"Consideration. The parties agree that the consideration for this Agreement shall be, for the Board, the professional services provided by the Contractor, and for the Contractor, the sums paid by the Board.",consideration
"Consideration. Employee expressly acknowledges that the Covenants are a material part of the consideration bargained for by Company and, without the agreement of Employee to be bound by the Covenants, Company would not have agreed to enter into this Agreement.",consideration
"Consideration. As consideration for your entering into this Agreement and your willingness to remain bound by its terms, the Company shall continue to employ you and provide you with access to certain Confidential Information as defined in this Agreement and other valuable consideration as provided for throughout this Agreement, including in Sections 3 and 4 of this Agreement.",consideration
"Consideration. As consideration for the sale of the DWOG Shares by the Selling Shareholder, Tamm shall allot and issue the Tamm Shares to the Selling Shareholder on the basis of one Tamm Share for each one DWOG Share held by the Selling Shareholder. The Selling Shareholder acknowledges and agrees that the Tamm Shares are being issued pursuant to a safe harbor from the prospectus and registration requirements of the Securities Act. The Selling Shareholder agrees to abide by all applicable resale restrictions and hold periods imposed by all applicable securities legislation. All certificates representing the Tamm Shares issued on Closing to the Selling Shareholder who is a U.S. person, as defined by Regulation S of the Securities Act will be endorsed with the following legend pursuant to the Securities Act in order to reflect the fact that the Tamm Shares are restricted securities and will be issued to the Selling Shareholder pursuant to a safe harbor from the registration requirements of the Securities Act: “THE SECURITIES REPRESENTED HEREBY HAVE BEEN OFFERED IN AN OFFSHORE TRANSACTION TO A PERSON WHO IS NOT A U.S. PERSON (AS DEFINED HEREIN) PURSUANT TO REGULATION S UNDER THE UNITED STATES SECURITIES ACT OF 1933, AS AMENDED (THE “1933 ACT”). NONE OF THE SECURITIES REPRESENTED HEREBY HAVE BEEN REGISTERED UNDER THE 1933 ACT, OR ANY U.S. STATE SECURITIES LAWS, AND, UNLESS SO REGISTERED, MAY NOT BE OFFERED OR SOLD, DIRECTLY OR INDIRECTLY, IN THE UNITED STATES (AS DEFINED HEREIN) OR TO U.S. PERSONS EXCEPT IN ACCORDANCE WITH THE PROVISIONS OF REGULATION S UNDER THE 1933 ACT, PURSUANT TO AN EFFECTIVE REGISTRATION STATEMENT UNDER THE 1933 ACT, OR PURSUANT TO AN AVAILABLE EXEMPTION FROM, OR IN A TRANSACTION NOT SUBJECT TO, THE REGISTRATION REQUIREMENTS OF THE 1933 ACT AND IN EACH CASE ONLY IN ACCORDANCE WITH APPLICABLE STATE SECURITIES LAWS. IN ADDITION, HEDGING TRANSACTIONS INVOLVING THE SECURITIES MAY NOT BE CONDUCTED UNLESS IN COMPLIANCE WITH THE 1933 ACT. “UNITED STATES” AND “U.S. PERSON” ARE AS DEFINED BY REGULATION S UNDER THE 1933 ACT.”",consideration
"Consideration. In consideration of the foregoing, and of the promises and facts set forth herein, the Parties desire to settle and resolve all claims, disputes, and obligations relating to the above-listed alleged violations and voluntarily agree to resolve this matter by means of this Settlement Agreement. In order to resolve the violations described herein, Chevron has taken, or agrees to take, the actions enumerated below within the Terms and Conditions. Further, CARB accepts this Settlement Agreement in termination and full settlement of this matter.",consideration
