clause_text,clause_type
"Contracts. The Board of Managers may authorize any officer or officers, agent or agents, to enter into any contract or execute and deliver any instruments in the name of and on behalf of the Company and such authority may be general or confined to specific instances.",contracts
"Contracts. Except as disclosed in the Parent SEC Documents, there are no Contracts that are material to the business, properties, assets, condition (financial or otherwise), results of operations or prospects of the Parent taken as a whole. The Parent is not in violation of or in default under (nor does there exist any condition which upon the passage of time or the giving of notice would cause such a violation of or default under) any Contract to which it is a party or by which it or any of its properties or assets is bound, except for violations or defaults that would not, individually or in the aggregate, reasonably be expected to result in a Parent Material Adverse Effect.",contracts
"Contracts. Unless otherwise expressly provided herein or in any other Loan Document, references to agreements and other contractual instruments, including this Agreement and the other Loan Documents, shall be deemed to include all subsequent amendments, thereto, restatements and substitutions thereof and other modifications and supplements thereto which are in effect from time to time, but only to the extent such amendments and other modifications are not prohibited by the terms of any Loan Document.",contracts
"Contracts. (a) Neither the Company nor any of its Subsidiaries is a party to or bound by any contract, arrangement, commitment or understanding (whether written or oral) that: (i) is an employment agreement that upon Consummation of the Offer or the effectiveness of the Merger, will (either alone or upon the occurrence of any additional acts or events) result in any payment or benefits (whether of severance pay or otherwise) becoming due, or the acceleration or vesting of any rights to any payment or benefits, from Parent, Purchaser, the Company or the Surviving Corporation or any of their respective Subsidiaries to any officer, director, consultant or employee thereof, (ii) is a material contract (as defined in Item 601(b)(10) of Regulation S-K of the SEC) to be performed (in whole or in part) after the date of this Agreement that has not been filed or incorporated by reference in the Company SEC Reports, (iii) which contains any material prohibition on the conduct of any business or line of business, or any material limitation on the scope of business that may be conducted, by the Company of any of its Subsidiaries, including geographic limitations on the Company's or any of its Subsidiaries' activities or (iv) (including any stock option plan, stock appreciation rights plan, restricted stock plan or stock purchase plan) any of the benefits of which will be increased, or the vesting of the benefits of which will be accelerated, by the occurrence of any of the transactions contemplated by this Agreement, or the value of any of the benefits of which will be calculated on the basis of any of the transactions contemplated by this Agreement. Each contract, arrangement, commitment or understanding of the type described in this Section 6.20(a), whether or not set forth in Section 6.20(a) of the Company Disclosure Schedule, is referred to herein as a ""MATERIAL CONTRACT."" The Company has previously made available to Parent true, complete and correct copies of each Material Contract.",contracts
"Contracts. (a) Schedule 3.8 contains an accurate and complete list of all Contracts to which any of the Companies is a party or by which any of such Companies' assets or properties are bound or affected and which (i) involve the obligation (including contingent obligations) to pay by or to any of such Companies amounts in excess of US$100,000 in the aggregate in respect of the Company and the Subsidiaries and amounts in excess of US$1,000,000 in the aggregate in respect of the Brazilian Companies, (ii) are Contracts with any stockholder or member or any Affiliate of any stockholder or member, (iii) are Contracts with governmental entities, or (iv) were not entered into in the ordinary course of business of any of such Companies.",contracts
"Contracts. There are no ""material"" contracts, agreements, franchises, license agreements, debt instruments or other commitments to which CORP is a party or by which it or any of its patents, assets, products, technology, or properties are bound other than those incurred in the ordinary course of business (as used in this Agreement, a ""material"" contract, agreement, franchise, license agreement, debt instrument or commitment is one which (i) will remain in effect for more than six (6) months after the date of this Agreement or (ii) involves aggregate obligations of at least twenty five thousand dollars ($25,000);",contracts
"Contracts. Schedule 3.7 is a true and complete list of all Contracts which either (a) have a remaining term (after taking into account any cancellation rights of Sellers) of more than one year after the date hereof or (b) require expenditures in excess of Twenty Five Thousand Dollars ($25,000) in any calendar year after the date hereof, except contracts with advertisers for production or the sale of advertising time on the Stations for cash that may be canceled by Sellers without penalty on not more than ninety days' notice. Sellers have delivered or made available to Buyer true and complete copies of all written Assumed Contracts, and true and complete descriptions of all oral Assumed Contracts (including any amendments and other modifications to such Contracts). Other than the Contracts listed on Schedule 3.7, Schedule 3.5, and the Lease, Sellers require no material contract, lease, or other agreement to enable them to carry on their business in all material respects as now conducted. All of the Contracts are in full force and effect and are valid, binding and enforceable in accordance with their terms except as the enforceability of such Contracts may be affected by bankruptcy, insolvency, or similar laws affecting creditors' rights generally and by judicial discretion in the enforcement of equitable remedies. Neither the Seller party thereto or, to the knowledge of Sellers, any other party thereto, is in default, violation or breach in any material respect under any Contract and no event has occurred and is continuing that constitutes (with notice or passage of time or both) a default, violation, or breach in any material respect thereunder. Except as disclosed on Schedule 3.7, other than in the ordinary course of business, Sellers do not have Knowledge of any intention by any party to any Contract (a) to terminate such Contract or amend the terms thereof, (b) to refuse to renew the Contract upon expiration of its term, or (c) to renew the Contract upon expiration only on terms and conditions that are more onerous than those now existing. Except for the need to obtain the Consents listed on Schedule 3.7, the exchange and transfer of the Assets in accordance with this Agreement will not affect the validity, enforceability, or continuation of any of the Contracts.",contracts
"Contracts. Except for matters which are not reasonably likely to have a Material Adverse Effect and those contracts that are substantially or fully performed or expired by their terms, the contracts listed as exhibits to or described in the Company SEC Documents that are material to the Company or any of its subsidiaries and all amendments thereto, are in full force and effect on the date hereof, and neither the Company nor, to the Company’ knowledge, any other party to such contracts is in breach of or default under any of such contracts. The Company has no contracts or agreements that would constitute a material contract as such term is defined in Item 601(b) of Regulation S-K, except for such contracts or agreements that are filed as exhibits to or described in the Company SEC Documents.",contracts
"Contracts. The execution, delivery and performance of this Agreement and the consummation of the transactions herein contemplated will not (A) result in a breach or violation of any of the terms and provisions of, or constitute a default under, any law, order, rule or regulation to which the Company or any subsidiary is subject, or by which any property or asset of the Company or any subsidiary is bound or affected, except to the extent that such conflict, breach or default is not reasonably likely to result in a Material Adverse Effect, (B) conflict with, result in any violation or breach of, or constitute a default (or an event that with notice or lapse of time or both would become a default) under, or give to others any right of termination, amendment, acceleration or cancellation (with or without notice, lapse of time or both) (a “Default Acceleration Event”) of, any agreement, lease, credit facility, debt, note, bond, mortgage, indenture or other instrument (the “Contracts”) or obligation or other understanding to which the Company or any subsidiary is a party or by which any property or asset of the Company or any subsidiary is bound or affected, except to the extent that such conflict, default, or Default Acceleration Event is not reasonably likely to result in a Material Adverse Effect, or (C) result in a breach or violation of any of the terms and provisions of, or constitute a default under, the Company’s Certificate of Incorporation or by-laws.",contracts
"Contracts. Attached as Schedule 2.11.1 is a true and complete list of all debt instruments, contracts, leases, license agreements, employment and labor agreements, and other agreements, commitments and understandings of any kind, whether or not in writing, to which the Company or any Subsidiary is a party or to which the Company, any Subsidiary or any of their respective properties is subject or by which any thereof is bound which is either (a) important to the continued conduct of the business of the Company and any Subsidiary as presently conducted or (b) which pursuant to its terms imposes payment obligations on either party in excess of $1 million annually or $3 million in the aggregate (excluding all purchase orders, sales in the ordinary course of business and distributorship contracts that are not material to the business) (""Material Contracts""). Except as disclosed in Schedule 2.11.2, each Material Contract is in full force and effect; and no breach or default, breach or default alleged in writing, or event which would (with the passage of time, notice or both) constitute a breach or default thereunder by the Company or such Subsidiary, as the case may be, in each case in any material respect, or, to the knowledge of Chiron, the Company and each Subsidiary, any other party or obligor with respect thereto exists and is continuing. The execution, delivery and performance of this Agreement and the consummation of the transactions contemplated hereby will not result in a breach of or default under any Material Contract, will not (and will not give any Person a right to) terminate or modify any rights of, or accelerate or augment any obligation of, the Company or any Subsidiary, and do not require any consent, approval, waiver or other action by any party to any such Material Contract, other than the consents and approvals identified in Schedule 2.11.3 (the ""Contract Approvals"").",contracts
