clause_text,clause_type
"Cooperation. The principal executive officer of the Company, the principal financial officer of the Company, the principal accounting officer of the Company and all other officers and members of the management of the Company shall cooperate fully in any offering of Registrable Securities hereunder, which cooperation shall include, without limitation, the preparation of the Registration Statement with respect to such offering and all other offering materials and related documents, and participation in meetings with Underwriters, attorneys, accountants and potential investors.",cooperation
"Cooperation. The Custodian shall cooperate with and supply necessary information to the entity or entities appointed by the Trust to keep the books of account of the Fund and/or compute the value of the assets of the Fund. The Custodian shall take all such reasonable actions as the Trust may from time to time request to enable the Trust to obtain, from year to year, favorable opinions from the Trust's independent accountants with respect to the Custodian's activities hereunder in connection with (i) the preparation of the Trust's reports on Form N-1A and Form N-SAR and any other reports required by the SEC, and (ii) the fulfillment by the Trust of any other requirements of the SEC.",cooperation
"Cooperation. Each party to this Agreement agrees to cooperate with each other party and with all appropriate governmental authorities having the requisite jurisdiction (including, but not limited to, the SEC) in connection with any investigation or inquiry relating to this Agreement or the Trust.",cooperation
"Cooperation. (a) Each Member shall (i) furnish to the Corporation in a timely manner such information, documents and other materials as the Corporation may reasonably request for purposes of making any determination or computation necessary or appropriate under this Agreement, preparing any Tax Return or contesting or defending any audit, examination or controversy with any Taxing Authority, (ii) make itself available to the Corporation and its representatives to provide explanations of documents and materials and such other information as the Corporation or its representatives may reasonably request in connection with any of the matters described in clause (i) above, and (iii) reasonably cooperate in connection with any such matter.",cooperation
"Cooperation. Subject to the Executive’s other personal and business commitments and to the extent not inconsistent with Executive’s legal position, upon the receipt of reasonable notice from the Company (including outside counsel), the Executive agrees that while employed by the Company and thereafter, the Executive will respond and provide information with regard to matters in which the Executive has knowledge as a result of the Executive’s employment with the Company, and will provide reasonable assistance to the Company, its affiliates and their respective representatives in defense of any claims that may be made against the Company or its affiliates, and will assist the Company and its affiliates in the prosecution of any claims that may be made by the Company or its affiliates, to the extent that such claims may relate to the period of the Executive’s employment with the Company (collectively, the “Claims”). The Executive agrees to promptly inform the Company if the Executive becomes aware of any lawsuits involving Claims that may be filed or threatened against the Company or its affiliates. The Executive also agrees to promptly inform the Company (to the extent that the Executive is legally permitted to do so) if the Executive is asked to assist in any investigation of the Company or its affiliates (or their actions) or another party attempts to obtain information or documents from the Executive (other than in connection with any litigation or other proceeding in which the Executive is a party-in-opposition) with respect to matters the Executive believes in good faith to relate to any investigation of the Company or its affiliates, in each case, regardless of whether a lawsuit or other proceeding has then been filed against the Company or its affiliates with respect to such investigation regarding Claims or potential Claims, and shall not do so unless legally required. During the pendency of any litigation or other proceeding involving Claims, the Executive shall not communicate with anyone (other than the Executive’s attorneys and tax and/or financial advisors and except to the extent that the Executive determines in good faith is necessary in connection with the performance of the Executive’s duties hereunder) with respect to the facts or subject matter of any pending or potential litigation or regulatory or administrative proceeding involving the Company or any of its affiliates without giving prior written notice to the Company or the Company’s counsel. Upon ...",cooperation
"Cooperation. The Parties shall at all times endeavor to agree on the interpretation and application of this Agreement, and shall make every attempt through cooperation or consultations to arrive at a mutually satisfactory resolution of any matter that might affect its operation when a dispute occurs.",cooperation
"Cooperation. If the Indemnifying Party chooses to defend or prosecute any Third Party Claim, the Indemnified Party will, and will cause each other Indemnitee to, cooperate in the defense or prosecution thereof and will furnish such records, information and testimony, provide such witnesses and attend such conferences, discovery proceedings, hearings, trials and appeals as may be reasonably requested in connection with such Third Party Claim. Such cooperation will include access during normal business hours afforded to the Indemnifying Party to, and reasonable retention by the Indemnified Party of, records and information that are reasonably relevant to such Third Party Claim, and making Indemnitees and other employees and agents available on a mutually convenient basis to provide additional information and explanation of any material provided hereunder, and the Indemnifying Party will reimburse the Indemnified Party for all its reasonable out-of-pocket expenses incurred in connection with such cooperation.",cooperation
"Cooperation. Taking into account the principles set out in Article 116 (General Principles), the Parties shall: (a) share information and experiences on regulations and implementation of programs and technology in the framework of migratory issues, including those related to the use of biometric technology, advanced passenger information systems, frequent passenger programs and security in travel documents; and (b) endeavor to coordinate actively in multilateral forums, in order to promote the facilitation of temporary entry of business persons.",cooperation
"Cooperation. The Company, Stockholders and IES shall each deliver or cause to be delivered to the other on the Consummation Date, and at such other times and places as shall be reasonably agreed to, such additional instruments as the other may reasonably request for the purpose of carrying out this Agreement. The Company will cooperate and use its reasonable efforts to have the present officers, directors and employees of the Company cooperate with IES on and after the Consummation Date in furnishing information, evidence, testimony and other assistance in connection with any tax return filing obligations, actions, proceedings, arrangements or disputes of any nature with respect to matters pertaining to all periods prior to the Consummation Date.",cooperation
"Cooperation. Each Party agrees to cooperate fully with the other Party and to execute and deliver such further documents, certificates, agreements and instruments and to take such other actions as may be reasonably requested by the other Party to evidence or reflect the Contemplated Transactions and to carry out the intent and purposes of this Agreement.",cooperation
"Cooperation. The parties agree that certain matters in which the Executive will be involved during the Employment Term may necessitate the Executive’s cooperation in the future. Accordingly, following the termination of the Executive’s employment for any reason, to the extent reasonably requested by the Board, the Executive shall cooperate with the Company in connection with matters arising out of the Executive’s service to the Company; provided that, the Company shall make reasonable efforts to minimize disruption of the Executive’s other activities. The Company shall reimburse the Executive for reasonable expenses incurred in connection with such cooperation and, to the extent that the Executive is required to spend substantial time on such matters, the Company shall compensate the Executive at an hourly rate based on the Executive’s Base Salary on the Termination Date.",cooperation
