clause_text,clause_type
"Corporate Existence. So long as the Buyer beneficially owns any Note, the Company shall maintain its corporate existence and shall not sell all or substantially all of the Company’s assets, except in the event of a merger or consolidation or sale of all or substantially all of the Company’s assets, where the surviving or successor entity in such transaction (i) assumes the Company’s obligations hereunder and under the agreements and instruments entered into in connection herewith and (ii) is a publicly traded corporation whose Common Stock is listed for trading on the OTCBB, Nasdaq, Nasdaq SmallCap, NYSE or AMEX.",corporate-existence
"Corporate Existence. Subject to Article 5 hereof, the Company shall do or cause to be done all things necessary to preserve and keep in full force and effect (i) its corporate existence, and the corporate, partnership or other existence of each of its Subsidiaries, in accordance with the respective organizational documents (as the same may be amended from time to time) of the Company or any such Subsidiary and (ii) the rights (charter and statutory), licenses and franchises of the Company and its Subsidiaries; provided, however, that the Company shall not be required to preserve any such right, license or franchise, or the corporate, partnership or other existence of any of its Subsidiaries, if the Board of Directors shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company and its Subsidiaries, taken as a whole, and that the loss thereof is not adverse in any material respect to the Holders of the Notes.",corporate-existence
"Corporate Existence. Subject to Article V, the Company will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and the rights (charter and statutory), licenses and franchises of the Company; provided, however, that the Company shall not be required to preserve any such right, license or franchise if the Board of Directors shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company and its Subsidiaries taken as a whole and that the loss thereof is not adverse in any material respect to the Holders.",corporate-existence
"Corporate Existence. Subject to Article 5 hereof, the Company shall do or cause to be done all things necessary to preserve and keep in full force and effect:",corporate-existence
"Corporate Existence. Each of the Company and its Subsidiaries: (a) is a corporation, partnership or other entity duly organized, validly existing and in good standing under the laws of the jurisdiction of its organization; (b) has all requisite corporate or other power, and has all material governmental licenses, authorizations, consents and approvals necessary to own its assets and carry on its business as now being or as proposed to be conducted; and (c) is qualified to do business and is in good standing in all jurisdictions in which the nature of the business conducted by it makes such qualification necessary and where failure so to qualify could (either individually or in the aggregate) have a Material Adverse Effect.",corporate-existence
Corporate Existence. The Company will take all steps necessary to preserve and continue the corporate existence of the Company.,corporate-existence
"Corporate Existence. (a) During the term of this Agreement, the Seller will keep in full force and effect its existence, rights and franchises as a corporation under the laws of the jurisdiction of its incorporation and will obtain and preserve its qualification to do business in each jurisdiction in which such qualification is or shall be necessary to protect the validity and enforceability of this Agreement, the Basic Documents and each other instrument or agreement necessary or appropriate to the proper administration of this Agreement and the transactions contemplated hereby.",corporate-existence
"Corporate Existence. Subject to Article V, the Company will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and the corporate, partnership or other existence of each Significant Subsidiary in accordance with the respective organizational documents of each Significant Subsidiary and the rights (charter and statutory), licenses and franchises of the Company and its Significant Subsidiaries; provided, however, that the Company shall not be required to preserve any such right, license or franchise, or the corporate, partnership or other existence of any Significant Subsidiary, if the Board of Directors shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company and its Subsidiaries taken as a whole and that the loss thereof is not adverse in any material respect to the Holders.",corporate-existence
"Corporate Existence. So long as any Buyer beneficially owns any Securities, the Company shall not be party to any Fundamental Transaction (as defined in the Notes) unless the Company is in compliance with the applicable provisions governing Fundamental Transactions set forth in the Notes and the Warrants.",corporate-existence
"Corporate Existence. Subject to Article 8, the Company shall do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and rights (charter and statutory) and franchises; provided, however, that the foregoing shall not obligate the Company to preserve any such right or franchise if the Company shall determine that the preservation thereof is no longer desirable in the conduct of its business and that the loss thereof is not disadvantageous in any material respect to any Holder.",corporate-existence
"Corporate Existence. So long as any of the Convertible Debentures remain outstanding, the Company shall not directly or indirectly consummate any merger, reorganization, restructuring, reverse stock split consolidation, sale of all or substantially all of the Company's assets or any similar transaction or related transactions (each such transaction, an ""Organizational Change"") unless, prior to the consummation an Organizational Change, the Company obtains the written consent of each Buyer. In any such case, the Company will make appropriate provision with respect to such holders' rights and interests to insure that the provisions of this Section 4(h) will thereafter be applicable to the Convertible Debentures.",corporate-existence
"Corporate Existence. Subject to the rights of the Company under Article Eleven, the Company shall do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence.",corporate-existence
"Corporate Existence. So long as the Buyer beneficially owns any Note, the Company shall maintain its corporate existence and shall not sell all or substantially all of the Company’s assets, except with the prior written consent of the Buyer.",corporate-existence
Corporate Existence. The Company shall use all commercially reasonable efforts to preserve and continue the corporate existence of the Company.,corporate-existence
"Corporate Existence. Subject to Article 5 hereof, the Issuer shall do or cause to be done all things necessary to preserve and keep in full force and effect (i) its corporate existence and the corporate, partnership, limited liability company or other existence of each of its Restricted Subsidiaries, in accordance with the respective organizational documents (as the same may be amended from time to time) of the Issuer or any such Restricted Subsidiary and (ii) the rights (charter and statutory), licenses and franchises of the Issuer and its Restricted Subsidiaries; provided that the Issuer shall not be required to preserve any such right, license or franchise, or the corporate, partnership, limited liability company or other existence of any of its Restricted Subsidiaries, if the Issuer in good faith shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Issuer and its Restricted Subsidiaries, taken as a whole.",corporate-existence
"Corporate Existence. Subject to Article 5, the Company shall do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence, in accordance with the organizational documents (as the same may be amended from time to time) of the Company and the rights (charter and statutory), licenses and franchises of the Company; PROVIDED, HOWEVER, that the Company shall not be required to preserve any such right, license or franchise, or its corporate existence, if the Board of Directors shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company and that the loss thereof is not adverse in any material respect to the Holders.",corporate-existence
"Corporate Existence. Subject to Article VII, the Company will at all times do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence.",corporate-existence
"Corporate Existence. Subject to Article Eight, the Company will do or cause to be done all things necessary to preserve and keep in full force and effect the corporate existence and related rights and franchises (charter and statutory) of the Company and each Subsidiary; provided, however, that the Company shall not be required to preserve any such right or franchise or the corporate existence of any such Subsidiary if the Board of Directors of the Company shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company and its Subsidiaries as a whole and that the loss thereof would not reasonably be expected to have a material adverse effect on the ability of the Company to perform its obligations hereunder; and provided, further, however, that the foregoing shall not prohibit a sale, transfer or conveyance of a Subsidiary or any of its assets in compliance with the terms of this Indenture.",corporate-existence
"Corporate Existence. Except as otherwise provided in this Article III, Article IV and Section 10.2(b) and the ability of the Company or a Restricted Subsidiary to convert (or similar action) to another form of legal entity under the laws of the jurisdiction under which the Company or the Restricted Subsidiary then exists, the Company will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and the corporate, partnership, limited liability company or other existence of each Restricted Subsidiary; provided, however, that the Company shall not be required to preserve any such corporate, partnership, limited liability company or other existence of any Restricted Subsidiary if the respective Board of Directors or, with respect to a Restricted Subsidiary, senior management of the Company determines that the preservation thereof is no longer desirable in the conduct of the business of the Company and each of its Restricted Subsidiaries, taken as a whole, and that the loss thereof is not, and will not be, disadvantageous in any material respect to the Holders.",corporate-existence
"Corporate Existence. Subject to Article IV and Section 10.2, the Company will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and that of each Restricted Subsidiary and the corporate rights (charter and statutory) licenses and franchises of the Company and each Restricted Subsidiary; provided, however, that the Company shall not be required to preserve any such existence (except the Company), right, license or franchise if the Board of Directors of the Company shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company and each of its Restricted Subsidiaries, taken as a whole, and that the loss thereof would not have a material adverse effect on the ability of the Company to perform its obligations under the Notes or this Indenture, provided further that the Company and the Guarantors may merge in accordance with Sections 4.1 and 10.2.",corporate-existence
"Corporate Existence. Subject to Article 8, the Company shall do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and that of each of its Restricted Subsidiaries and their respective rights (charter and statutory) and franchises; provided, however, that the foregoing shall not obligate the Company or any of its Restricted Subsidiaries to preserve any such right or franchise if the Company or any such Restricted Subsidiary shall determine that the preservation thereof is no longer desirable in the conduct of its business or the business of such Restricted Subsidiary and that the loss thereof is not disadvantageous in any material respect to any Holder.",corporate-existence
"Corporate Existence. Subject to Article VII, the Company will at all times do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and its rights and franchises; provided that nothing in this Section 9.4 shall prevent the abandonment or termination of any right or franchise of the Company if, in the opinion of the Company, such abandonment or termination is in the best interests of the Company.",corporate-existence
"Corporate Existence. Subject to Article VIII, the Company will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence, rights (charter and statutory) and franchises; provided, however, that the Company shall not be required to preserve any such right or franchise if the Company shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company.",corporate-existence
"Corporate Existence. Except as otherwise permitted by Article Five, the Company shall do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and the corporate, partnership or other existence of each of its Restricted Subsidiaries in accordance with the respective organizational documents of each such Restricted Subsidiary and the rights (charter and statutory) and material franchises of the Company and each of its Restricted Subsidiaries; provided, however, that neither the Company nor any Restricted Subsidiary shall be required to preserve any such right or franchise or in the case of any Restricted Subsidiary, its existence, if (in each case) the Board of Directors of the Company shall determine that the loss thereof is not, and will not be, adverse in any material respect to the Holders.",corporate-existence
"Corporate Existence. So long as any Purchasers (or any of their respective affiliates) beneficially owns any Securities, the Company shall maintain its corporate existence, and in the event of a merger, consolidation or sale of all or substantially all of the Company's assets, the Company shall ensure that the surviving or successor entity in such transaction (i) assumes the Company's obligations under this Agreement and the other Transaction Documents and the agreements and instruments entered into in connection herewith and therewith regardless of whether or not the Company would have had a sufficient number of shares of Common Stock authorized and available for issuance in order to effect the conversion of all the Notes outstanding as of the date of such transaction and (ii) except in the event of a merger, consolidation of the Company into any other corporation, or the sale or conveyance of all or substantially all of the assets of the Company where the consideration consists solely of cash, the surviving or successor entity is a publicly traded corporation whose common stock is listed for trading on the SmallCap Market, the National Market, the NYSE or the AMEX.",corporate-existence
"Corporate Existence. Purchaser is a corporation duly organized, validly existing and in good standing under the laws of the State of Delaware.",corporate-existence
Corporate Existence. The Company shall use its best efforts to preserve and continue the corporate existence of the Company.,corporate-existence
"Corporate Existence. Subject to Article Five, the Issuer and each Restricted Subsidiary shall do or cause to be done all things necessary to preserve and keep in full force and effect their corporate, partnership, limited liability company or other existence and the rights (charter and statutory), licenses and franchises of the Issuer and each Restricted Subsidiary; provided that the Issuer shall not be required to preserve any such right, license or franchise if the board of directors of the Issuer shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Issuer and the Restricted Subsidiaries as a whole and that the loss thereof is not disadvantageous in any material respect to the Holders.",corporate-existence
"Corporate Existence. Except as otherwise permitted by Article V or by Section 4.16, the Company shall do or cause to be done, at its own cost and expense, all things necessary to preserve and keep in full force and effect its corporate existence and the corporate existence of each of the Restricted Subsidiaries in accordance with the respective organizational documents of each such Restricted Subsidiary and the material rights (charter and statutory) and franchises of the Company and each such Restricted Subsidiary; provided, however, that the Company shall not be required to preserve, with respect to itself, any material right or franchise and, with respect to any Restricted Subsidiary, any such existence, material right or franchise, if the Board of Directors of the Company shall determine in good faith that the preservation thereof is no longer desirable in the conduct of the business of the Company and the Restricted Subsidiaries, taken as a whole.",corporate-existence
"Corporate Existence. Subject to Article Five, the Company shall do or shall cause to be done all things necessary to preserve and keep in full force and effect its corporate existence and the corporate, partnership or other existence of each of its Restricted Subsidiaries in accordance with the respective organizational documents of each such Restricted Subsidiary and the rights (charter and statutory) and material franchises of the Company and its Restricted Subsidiaries; provided, however, that the Company shall not be required to preserve any such right or franchise, or the corporate existence of any Restricted Subsidiary, if the Board of Directors of the Company shall determine that the preservation thereof is no longer desirable in the conduct of the business of the Company and its Restricted Subsidiaries, taken as a whole, and that the loss thereof is not, and will not be, adverse in any material respect to the Holders; provided, further, however, that a determination of the Board of Directors of the Company shall not be required in the event of a merger of one or more wholly-owned Subsidiaries of the Company with or into another wholly-owned Subsidiary of the Company or another Person, if the surviving Person is a wholly-owned Subsidiary of the Company organized under the laws of the United States or a State thereof or of the District of Columbia.",corporate-existence
"Corporate Existence. As of the Effective Date, it is a company or corporation duly organized, validly existing, and in good standing under the Laws of the jurisdiction in which it is incorporated.",corporate-existence
"Corporate Existence. The Borrower is a corporation duly organized, legally existing, and in good standing under the laws of its state of incorporation and is duly qualified as a foreign corporation and is in good standing in all jurisdictions wherein the ownership of Property or the operation of its business necessitates same, other than those jurisdictions wherein the failure to so qualify will not have a Material Adverse Effect.",corporate-existence
"Corporate Existence. Such party is a corporation duly organized, validly existing and in good standing under the laws of the state in which it is incorporated.",corporate-existence
"Corporate Existence. Except as otherwise permitted by Article 5 hereof, the Company will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence.",corporate-existence
"Corporate Existence. So long as any Purchaser beneficially owns any Securities, the Company shall maintain its corporate existence, except in the event of a merger, consolidation or sale of all or substantially all of the Company's assets, as long as the surviving or successor entity in such transaction assumes the Company's obligations hereunder and under the agreements and instruments entered into in connection herewith.",corporate-existence
"Corporate Existence. The Borrower (a) is a corporation duly organized, validly existing and in good standing under the laws of the State of California and has the corporate power and authority, and the legal right, to own and operate its property, to lease the property it operates as lessee and to conduct the business in which it is currently engaged and (b) is in compliance with all Requirements of Law except to the extent that the failure to comply therewith would not, in the aggregate, reasonably be expected to have a Material Adverse Effect.",corporate-existence
"Corporate Existence. Except as otherwise permitted by Article VI, the Parent and the Issuers shall do or cause to be done all things necessary to preserve and keep in full force and effect their corporate, partnership or other existence, as applicable, and the corporate, partnership or other existence, as applicable, of each of the Restricted Subsidiaries of the Parent in accordance with the respective organizational documents of each such Restricted Subsidiary and the related material rights (charter and statutory) of the Parent, the Issuers and each Restricted Subsidiary of the Parent; provided, however, that the Parent and the Issuers shall not be required to preserve any such right or corporate existence with respect to themselves or any Restricted Subsidiary if the Board of Directors of the Parent or any Officer of the Parent shall determine that the preservation thereof is no longer necessary or desirable in the conduct of the business of the Parent, the Issuers and their Restricted Subsidiaries, taken as a whole, and that the loss thereof could not reasonably be expected to have a material adverse effect on the ability of the Issuers to perform their obligations hereunder and provided, further, however, that the foregoing shall not prohibit a sale, transfer, conveyance, lease or disposal of a Restricted Subsidiary or any of the Parent’s or any Restricted Subsidiary’s assets in compliance with the terms of this Indenture.",corporate-existence
"Corporate Existence. The Seller shall maintain its corporate existence and shall at all times continue to be duly organized under the laws of Delaware and duly qualified and duly authorized (as described in Sections 2.04(a), (b) and (c) hereof) and shall conduct its business in accordance with the terms of its corporate charter and bylaws.",corporate-existence
Corporate Existence. The Company will maintain its corporate existence in good standing and comply with all applicable laws and regulations of the United States or of any state or political subdivision thereof and of any government authority where failure to so comply would have a material adverse impact on the Company or its business or operations.,corporate-existence
"Corporate Existence. Except as otherwise permitted by Article Five, the Company shall do or cause to be done all things reasonably necessary to preserve and keep in full force and effect its corporate or other existence and the corporate or other existence of each of its Restricted Subsidiaries in accordance with the respective organizational documents of each such Restricted Subsidiary and the material rights (charter and statutory) and franchises of the Company and each such Restricted Subsidiary; except for such noncompliances as are not in the aggregate reasonably likely to have a material adverse effect on the financial condition or results of operations of the Company and its Restricted Subsidiaries taken as a whole.",corporate-existence
"Corporate Existence. Subject to Article 8 of the Base Indenture, each of the Guarantor and the Issuer will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence, rights (charter and statutory) and franchises; provided, however, that the Issuer and the Guarantor shall not be required to preserve any such right or franchise if the Issuer and the Guarantor determine that the preservation thereof is no longer desirable in the conduct of the business of the Issuer or the Guarantor and that the loss thereof is not disadvantageous in any material respect to the Holders.",corporate-existence
"Corporate Existence. Client is a corporation duly organized, validly existing and in good standing under the laws of the State of Florida with corporate power to own property and carry on its business as it is now being conducted.",corporate-existence
"Corporate Existence. (1) Commencing with the Effective Date, the Surviving Corporation shall continue its corporate existence as a Delaware corporation and (i) it shall thereupon and thereafter possess all rights, privileges, powers, franchises and property (real, personal and mixed) of each of the Constituent Corporations; (ii) all debts due to either of the Constituent Corporations, on whatever account, all causes in action and all other things belonging to either of the Constituent Corporations shall be taken and deemed to be transferred to and shall be vested in the Surviving Corporation by virtue of the Merger without further act or deed; and (iii) all rights of creditors and all liens, if any, upon any property of any of the Constituent Corporations shall be preserved unimpaired, limited in lien to the property affected by such liens immediately prior to the Effective Date, and all debts, liabilities and duties of the Constituent Corporations shall thenceforth attach to the Surviving Corporation.",corporate-existence
"Corporate Existence. Each Facility Borrower (a) is a corporation duly incorporated, validly existing and in good standing under the laws of the jurisdiction of its organization, and (b) is duly qualified as a foreign corporation to do business and is in good standing in each of the jurisdictions in which the character of the properties owned or held under lease by it or the nature of business transacted by it makes such qualification necessary, except in the case of this clause (b) to the extent that the failure to be so qualified or in good standing would not have a material adverse effect on the business, operations or financial condition of CFC and its Subsidiaries taken as a whole.",corporate-existence
"Corporate Existence. Subject to Article 5 hereof, the Issuer shall do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence, in accordance with its organizational documents (as the same may be amended from time to time).",corporate-existence
"Corporate Existence. The Company shall do or cause to be done all things reasonably necessary to maintain, preserve and renew its corporate existence and that of the Bank and the other Subsidiaries and its and their rights and franchises, and comply in all material respects with all related laws applicable to the Company, the Bank or the other Subsidiaries.",corporate-existence
"Corporate Existence. Except as otherwise permitted by Article V, the Issuer shall do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence in accordance with its organizational documents and the rights (charter and statutory) and material franchises of the Issuer.",corporate-existence
"Corporate Existence. The Company (i) is a corporation duly organized, validly existing and in good standing under the laws of the jurisdiction of its incorporation; (ii) is duly licensed or qualified to do business and is in good standing as a foreign corporation in all jurisdictions in which the conduct of its business or the activities in which it is engaged makes such licensing or qualification necessary, except to the extent that its non-compliance would not reasonably be expected to have, individually or in the aggregate, a Company Material Adverse Effect; and (iii) has all necessary licenses, permits, consents or approvals from or by, and has made all necessary filings and registrations with, all Governmental Authorities having jurisdiction, to the extent required for the ownership, lease or conduct and operation of its business, except to the extent that the failure to obtain such licenses, permits, consents or approvals or to make such filings or registrations would not reasonably be expected to have, individually or in the aggregate, a Company Material Adverse Effect.",corporate-existence
"Corporate Existence. The Credit Parties shall at all times preserve and maintain its: (i) existence and good standing in the jurisdiction of its organization; and (ii) its qualification to do business and good standing in each jurisdiction where the nature of its business makes such qualification necessary (other than such jurisdictions in which the failure to be qualified or in good standing could not reasonably be expected to have a Material Adverse Effect), and shall at all times continue as a going concern in the business which Borrower is presently conducting.",corporate-existence
"Corporate Existence. Subject to Article Eight, the Corporation will do or cause to be done all things necessary to preserve and keep in full force and effect its corporate existence, rights (charter and statutory) and franchises.",corporate-existence
"Corporate Existence. Such Borrower is duly organized, validly existing and in good standing under the laws of the jurisdiction of its incorporation and has the corporate power and authority to own its properties and to conduct the business in which it is currently engaged.",corporate-existence
