clause_text,clause_type
"Costs. Whether or not this Agreement is terminated, the Mortgage Loan Seller will pay its pro rata share (the Mortgage Loan Seller’s pro rata portion to be determined according to the percentage that the aggregate Cut-off Date Balance of all the Mortgage Loans represents as to the aggregate Cut-off Date Balance of all the mortgage loans of the Trust Fund (the “Cut-off Date Pool Balance”)) of all costs and expenses of the Purchaser in connection with the transactions contemplated herein, including, but not limited to: (i) the costs and expenses of the Purchaser in connection with the purchase of the Mortgage Loans; (ii) the costs and expenses of reproducing and delivering the Pooling and Servicing Agreement and this Agreement and printing (or otherwise reproducing) and delivering the Certificates; (iii) the reasonable and documented set-up fees, costs and expenses of the Trustee, the Certificate Administrator and their respective counsel; (iv) the fees and disbursements of a firm of certified public accountants selected by the Purchaser and the Mortgage Loan Seller with respect to numerical information in respect of the Mortgage Loans and the Certificates included in the Preliminary Prospectus, the Preliminary Private Placement Memorandum, the Prospectus and the Private Placement Memorandum or any other marketing materials or structural and collateral term sheets (or any similar item), including the cost of obtaining any agreed-upon procedures letters with respect to such items; (v) the costs and expenses in connection with the qualification or exemption of the Certificates under state securities or blue sky laws, including filing fees and reasonable fees and disbursements of counsel in connection therewith; (vi) the costs and expenses in connection with any determination of the eligibility of the Certificates for investment by institutional investors in any jurisdiction and the preparation of any legal investment survey, including reasonable fees and disbursements of counsel in connection therewith; (vii) the costs and expenses in connection with printing (or otherwise reproducing) and delivering this Agreement and the furnishing to the Underwriters or the Initial Purchasers, as applicable, of such copies of the Preliminary Prospectus, the Preliminary Private Placement Memorandum, the Prospectus and the Private Placement Memorandum or any other marketing materials or structural and collateral term sheets (or any similar item) and this Agreement as the Underwriter...",costs
Costs. 11.1 The Subscriber acknowledges and agrees that all costs and expenses incurred by the Subscriber (including any fees and disbursements of any special counsel retained by the Subscriber) relating to the purchase of the Shares shall be borne by the Subscriber.,costs
"Costs. The Purchaser shall pay any commissions due its salesmen and the legal fees and expenses of its attorneys and custodial fees. All other costs and expenses incurred in connection with the transfer and delivery of the Mortgage Loans and the Servicing Rights including recording fees, fees for title policy endorsements and continuations, fees for recording Assignments of Mortgage, and the Seller's attorney's fees, shall be paid by the Seller.",costs
"Costs. The Parties shall each bear their own costs, expert fees, attorneys’ fees and other fees incurred in connection with this Agreement.",costs
"Costs. The Seller shall pay (or shall reimburse the Purchaser to the extent that the Purchaser has paid) (a) the fees and expenses of counsel to the Seller, (b) the expenses of filing or recording UCC assignments of financing statements, assignments of Mortgage and Reassignments of Assignments of Leases, Rents and Profits with respect to the Mortgage Loans as set forth in this Agreement, and (c) on the Closing Date, the applicable Seller’s Shared Expense Percentage of the Shared Expenses (each as defined in the Term Sheet (Memorandum of Understanding), dated August 21, 2012, among UBS, Barclays, Archetype Mortgage Funding II LLC, KeyBank National Association, General Electric Capital Corporation and RAIT Partnership, L.P). All other costs and expenses, if any, in connection with the transactions contemplated hereunder shall be borne by the party incurring such cost or expense.",costs
"Costs. The Parties shall each bear their own costs, attorneys’ fees, and other fees incurred in connection with the preparation of this Agreement.",costs
"Costs. The Seller shall pay the legal fees and expenses of its attorneys. Costs and expenses incurred in connection with the transfer of the servicing responsibilities, including fees for delivering Servicing Files, shall be paid by the Seller. Subject to Sections 2.02 and 3.01(a), the Depositor shall pay the costs associated with the preparation, delivery and recording of Assignments of Mortgages.",costs
"Costs. The Seller shall pay (or shall reimburse the Purchaser or any other Person to the extent that the Purchaser or such other Person shall pay) all costs and expenses incurred in connection with the transfer and delivery of the Mortgage Loans, including without limitation, assignment of mortgage recording costs and/or fees for title policy endorsements and continuations, the fees and expenses of the Seller's in-house accountants and in-house attorneys, the costs and expenses incurred in connection with producing the Seller's loan loss, foreclosure and delinquency experience, and the costs and expenses incurred in connection with obtaining the documents referred to in Sections 9(d) and 9(e) to the extent such costs and expenses were not previously paid by the Seller. The Seller shall pay (or shall reimburse the Purchaser or any other Person to the extent that the Purchaser or such other Person shall pay) the costs and expenses of printing (or otherwise reproducing) and delivering this Agreement, the Pooling and Servicing Agreement, the Certificates, the prospectus, the prospectus supplement, and the private placement memorandum relating to the Certificates and other related documents, the initial fees, costs and expenses of the Trustee relating to the issuance of the initial certification of the Trustee under Section 2.02 of the Pooling and Servicing Agreement, the fees and expenses of the Seller's counsel in connection with the preparation of all documents relating to the securitization of the Mortgage Loans, the filing fee charged by the Securities and Exchange Commission for registration of the Certificates, the cost of outside special counsel that may be required for the Purchaser, the cost of obtaining the documents referred to in Section 9(g) and the fees charged by any rating agency to rate the Certificates. All other costs and expenses in connection with the transactions contemplated hereunder shall be borne by the party incurring such expense.",costs
"Costs. The Seller shall pay the legal fees and expenses of its attorneys. Costs and expenses incurred in connection with the transfer of the servicing responsibilities, including fees for delivering Servicing Files, shall be paid by (i) the terminated or resigning servicer if such termination or resignation is a result of an occurrence of a termination event under Section 8.01, (ii) the related Seller if such termination is pursuant to Section 8.02(iii) and (iii) in all other cases by the Trust Fund. Subject to Section 2.02, the Seller, on behalf of the Depositor, shall pay the costs associated with the preparation, delivery and recording of Assignments of Mortgages.",costs
"Costs. Each Party shall be responsible for its own costs incurred during the arbitration process and for the following costs, if applicable: (1) the cost of the arbitrator chosen by the Party to sit on the three member panel; or (2) one-third the cost of the single arbitrator jointly chosen by the Parties.",costs
