clause_text,clause_type
Covenants of the Company. The Company covenants with each Underwriter as follows:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees as follows:,covenants-of-the-company
"Covenants of the Company. In further consideration of the agreements of the Underwriters herein contained, the Company covenants with each Underwriter as follows:",covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with each Underwriter as follows:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the Underwriters that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the Subscribers as follows:,covenants-of-the-company
Covenants of the Company. The Company agrees that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the several Underwriters that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with Agent that:,covenants-of-the-company
Covenants of the Company. The Company covenants with the Underwriter as follows:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the Dealer Manager that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with each of the Underwriters that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the Underwriter as follows:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with Cowen that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the Purchaser as follows:,covenants-of-the-company
Covenants of the Company. The Company hereby covenants and agrees as follows:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the several Underwriters as follows:,covenants-of-the-company
"Covenants of the Company. The Company agrees to use its best efforts, within the requirements of applicable law, to ensure that the rights granted under this Agreement are effective and that the parties enjoy the benefits of this Agreement. Such actions include, without limitation, the use of the Company’s best efforts to cause the nomination and election of the directors as provided in this Agreement.",covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with each Underwriter that:,covenants-of-the-company
Covenants of the Company. The Company covenants with each Initial Purchaser as follows:,covenants-of-the-company
"Covenants of the Company. In further consideration of the agreements of the Underwriters contained herein, the Company covenants as follows:",covenants-of-the-company
"Covenants of the Company. Except as provided herein or as consented to in writing by the Fund, which consent shall not be unreasonably withheld, conditioned, or delayed from and after the date of this Agreement until the earlier of the termination of this Agreement in accordance with its terms or the Effective Time, each of the Company and Acquisition LLC (i) shall, and shall cause each of its Subsidiaries to, in all material respects, carry on its business in the ordinary course consistent with past practice in compliance with applicable laws, use commercially reasonable efforts, as determined in good faith by the Company, to maintain and preserve their respective business organizations, assets, officers, employees and business relationships and to maintain in effect its contracts and (ii) shall not, and shall not permit any of its Subsidiaries to, directly or indirectly, do any of the following:",covenants-of-the-company
Covenants of the Company. (a) The Company covenants and agrees as follows:,covenants-of-the-company
Covenants of the Company. The Company agrees with the Manager:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with MLV that:,covenants-of-the-company
"Covenants of the Company. The Company covenants and agrees that all Warrant Shares will, upon issuance, be duly authorized and issued, fully paid, non-assessable and free from all taxes, liens and charges with respect to the issue thereof. The Company further covenants and agrees that during the period within which the rights represented by this Warrant may be exercised, the Company will at all times have authorized and reserved for the purpose of issue or transfer upon exercise of the subscription rights evidenced by this Warrant a sufficient number of Shares to provide for the exercise of the rights represented by this Warrant.",covenants-of-the-company
"Covenants of the Company. The Company covenants with the Winning Bidder(s), each Placement Agent and the Selling Shareholder as follows:",covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with each of the Underwriters as follows:,covenants-of-the-company
"Covenants of the Company. Subject to any existing fiduciary duties, the Company agrees to use all reasonable efforts to ensure that the rights granted under this Agreement are effective and that the parties to this Agreement enjoy the benefits of such rights. Such actions include, without limitation, the use of the Company’s reasonable efforts to assist in the nomination and election of the directors as provided above. Subject to any existing fiduciary duties, the Company shall not, by any voluntary action, avoid or seek to avoid the observance or performance of any of the terms to be performed under this Agreement by the Company, but shall at all times in good faith assist in the carrying out of all of the provisions of this Agreement and in the taking of all such actions as may be necessary, appropriate, or reasonably requested by the Stockholders in order to protect the rights of the parties under this Agreement against impairment.",covenants-of-the-company
Covenants of the Company. The Company covenants with each U.S. Underwriter as follows:,covenants-of-the-company
"Covenants of the Company. The Company has delivered, or will as promptly as practicable deliver, to the Placement Agent complete conformed copies of the Registration Statement and of each consent and certificate of experts, as applicable, filed as a part thereof, and conformed copies of the Registration Statement (without exhibits), the Base Prospectus, the Time of Sale Prospectus and the Prospectus Supplement, as amended or supplemented, in such quantities and at such places as the Placement Agent reasonably requests. Neither the Company nor any of its directors and officers has distributed and none of them will distribute, prior to the Closing Date, any offering material in connection with the offering and sale of the Securities pursuant to the Placement other than the Base Prospectus, the Time of Sale Prospectus, the Prospectus Supplement, the Registration Statement, copies of the documents incorporated by reference therein and any other materials permitted by the Securities Act.",covenants-of-the-company
Covenants of the Company. The Company agrees with each of the Underwriters:,covenants-of-the-company
Covenants of the Company. The Company covenants with you as follows:,covenants-of-the-company
Covenants of the Company. The Company covenants that it will:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the Agent as follows:,covenants-of-the-company
"Covenants of the Company. During the period from the date of this Agreement and continuing until the Effective Time, the Company agrees as to the Company and its Subsidiaries that (except as expressly contemplated or permitted by this Agreement, or to the extent that Parent shall otherwise consent in writing):",covenants-of-the-company
"Covenants of the Company. The Company covenants, warrants and represents, during the full term of this Agreement, that:",covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with CF&Co that:,covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with the Agents that:,covenants-of-the-company
"Covenants of the Company. The Company covenants with you, and with each Underwriter participating in the offering of Underwritten Securities, as follows:",covenants-of-the-company
Covenants of the Company. The Company covenants and agrees with you that:,covenants-of-the-company
Covenants of the Company. The Company covenants with each International Manager as follows:,covenants-of-the-company
"Covenants of the Company. In addition to the other covenants and agreements of the Company contained herein, the Company further covenants and agrees with each of the Underwriters that:",covenants-of-the-company
"Covenants of the Company. The Company covenants and agrees with the Banks and the Administrative Agent that, so long as any Commitment or Loan is outstanding and until payment in full of all amounts payable by the Company hereunder:",covenants-of-the-company
