clause_text,clause_type
"Covenants. All covenants, agreements and conditions contained in this Agreement to be performed by the Company on or prior to the Closing Date shall have been performed or complied with in all material respects.",covenants
"Covenants. Section 4.01 Except as may be provided in a Future Supplemental Indenture, for the benefit of the Holders of the Notes but no other series of Securities under the Indenture, whether now or hereafter issued and Outstanding, Article Ten of the Base Indenture shall be amended by adding the following new Section 10.08 thereto, each as set forth below: ""Section 10.08 Section 18(a)(1)(A) of the Investment Company Act. The Company hereby agrees that for the period of time during which Notes are Outstanding, the Company will not violate, whether or not it is subject to, Section 18(a)(1)(A) as modified by Section 61(a)(1) of the Investment Company Act or any successor provisions thereto of the Investment Company Act.""",covenants
Covenants. SECTION 1001.,covenants
"Covenants. During the term of this Agreement, unless the Required Lenders shall otherwise consent in writing:",covenants
"Covenants. (a) In the performance of its duties under this Agreement, the Advisor shall at all times conform to, and act in accordance with, any requirements imposed by: (i) the provisions of the 1940 Act and the Investment Advisers Act of 1940, as amended, and all applicable Rules and Regulations of the SEC; (ii) any other applicable provision of law; (iii) the provisions of the Declaration of Trust and By Laws of the Trust, as such documents are amended from time to time; (iv) the investment objectives and policies of the Fund as set forth in its Registration Statement on Form N-1A and/or the resolutions of the Board of Trustees; and (v) any policies and determinations of the Board of Trustees of the Trust and",covenants
"Covenants. The Issuer shall not by any action including, without limitation, amending the Articles of Incorporation or the by-laws of the Issuer, or through any reorganization, transfer of assets, consolidation, merger, dissolution, issue or sale of securities or any other action, avoid or seek to avoid the observance or performance of any of the terms of this Warrant, but will at all times in good faith assist in the carrying out of all such terms and in the taking of all such actions as may be necessary or appropriate to protect the rights of the Holder hereof against dilution (to the extent specifically provided herein) or impairment. Without limiting the generality of the foregoing, the Issuer will (i) not permit the par value, if any, of its Common Stock to exceed the then effective Warrant Price, (ii) not amend or modify any provision of the Articles of Incorporation or by-laws of the Issuer in any manner that would adversely affect the rights of the Holders of the Warrants, (iii) take all such action as may be reasonably necessary in order that the Issuer may validly and legally issue fully paid and nonassessable shares of Common Stock, free and clear of any liens, claims, encumbrances and restrictions (other than as provided herein) upon the exercise of this Warrant, and (iv) use its best efforts to obtain all such authorizations, exemptions or consents from any public regulatory body having jurisdiction thereof as may be reasonably necessary to enable the Issuer to perform its obligations under this Warrant.",covenants
Covenants. The Asset Representations Reviewer covenants and agrees that:,covenants
Covenants. Purchaser shall have performed and complied in all material respects with all covenants or conditions required by this Agreement to be performed and complied with by it prior to the Closing.,covenants
"Covenants. So long as this Agreement shall remain in effect, the Advisor represents and covenants as follows:",covenants
Covenants. (a) The Company covenants and agrees with the Underwriters as follows:,covenants
