clause_text,clause_type
"Currency. All sums of money which are referred to in this Agreement are expressed in lawful money of Canada, unless otherwise specified.",currency
"Currency. Each reference in this Agreement to U.S. dollars or U.S. $ (the “relevant currency”) is of the essence. To the fullest extent permitted by law, the obligations of the Company in respect of any amount due under this Agreement will, notwithstanding any payment in any other currency (whether pursuant to a judgment or otherwise), be discharged only to the extent of the amount in the relevant currency that the party entitled to receive such payment may, in accordance with its normal procedures, purchase with the sum paid in such other currency (after any premium and costs of exchange) on the Business Day immediately following the day on which such party receives such payment. If the amount in the relevant currency that may be so purchased for any reason falls short of the amount originally due, the Company making such payment will pay such additional amounts, in the relevant currency, as may be necessary to compensate for the shortfall. Any obligation of the Company not discharged by such payment will, to the fullest extent permitted by applicable law, be due as a separate and independent obligation and, until discharged as provided herein, will continue in full force and effect.",currency
"Currency. Except as may be specifically noted in the Annex, the Net Deposit and all payments under Section 7 of this Agreement shall be made using the currency or currencies as specified in the Notes.",currency
"Currency. Unless otherwise specified in this Agreement, all references to currency, monetary values and dollars set forth herein shall mean United States (U.S.) dollars and all payments hereunder shall be made in United States dollars.",currency
"Currency. Unless otherwise stated, all references in this Agreement to sums of money are expressed in lawful money of Canada and “",currency
Currency indemnity,currency
"Currency. All references to “dollars” or “$” or “US$” in this Agreement refer to United States dollars, which is the currency used for all purposes in this Agreement.",currency
"Currency. Unless otherwise provided, all dollar amounts referred to in this Agreement are in lawful money of the United States of America.",currency
"Currency. (a) Unless a Finance Document specifies that payments under it are to be made in a different manner, the currency of each amount payable under the Finance Documents is determined under this Clause.",currency
"Currency. Unless otherwise stated, all references in this Plan of Arrangement to sums of money are expressed in lawful money of Canada.",currency
"Currency. Unless otherwise stipulated, all payments required to be made pursuant to the provisions of this Agreement and all money amount references contained herein are in lawful currency of the United States.",currency
Currency. Principal and interest on the Notes shall be payable in Dollars.,currency
"Currency. Unless otherwise specified, all references to money amounts are to lawful currency of Canada.",currency
Currency. Principal and interest on the Notes shall be payable in United States Dollars or in such coin or currency of the United States of America as at the time of payment is legal tender for payment of public and private debts.,currency
"Currency. 6. Except as otherwise provided in this Agreement, all monetary amounts referred to in this Agreement are in USD (US Dollars).",currency
"Currency. All references to “dollars” or “$” or “US$” in this Agreement or any Ancillary Agreement refer to United States dollars, which is the currency used for all purposes in this Agreement and any Ancillary Agreement.",currency
Currency. All references to currency in this Agreement shall refer to the lawful currency of the United States of America.,currency
Currency. All references to currency herein are to lawful money of Canada.,currency
Currency. The term “,currency
"Currency. Unless otherwise indicated, all dollar amounts referred to in this Agreement are in lawful money of Canada.",currency
"Currency. Whenever the word “Dollars” or the “$” sign appear in this Agreement, they shall be construed to mean United States Dollars, and all transactions under this Agreement shall be in United States Dollars.",currency
"Currency. Except where otherwise expressly provided, all amounts in this Agreement are stated and shall be paid in Canadian currency.",currency
Currency. All sums of money which are referred to in this Agreement are expressed in lawful money of Canada.,currency
"Currency. The currency of denomination of the Notes is United States Dollars. Payment of principal of and interest and premium, if any, on the Notes shall be made in United States Dollars.",currency
"Currency. Unless otherwise indicated, all dollar amounts referred to in this Agreement are in United States Dollars. All amounts owing under this Agreement or any Transaction Document shall be paid in US dollars. All amounts denominated in other currencies shall be converted in the US dollar equivalent amount in accordance with the Exchange Rate on the date of calculation. “Exchange Rate” means, in relation to any amount of currency to be converted into US dollars pursuant to this Agreement, the US dollar exchange rate as published in The Wall Street Journal on the relevant date of calculation.",currency
"Currency. Unless otherwise indicated, all dollar amounts referred to in this Agreement are in Canadian funds.",currency
Currency. All sums of money referred to in this Agreement shall mean Canadian funds.,currency
Currency will calculate the royalty on sales in currencies other than U.S. Dollars using the appropriate foreign exchange rate for the currency quoted by the Wall Street Journal on the close of business on the last banking day of each calendar quarter. ***** will make royalty payments to Stanford in U.S. Dollars.,currency
Currency a reference to any monetary amount is to New Zealand currency; Defined Terms: words or phrases appearing in this Agreement with capitalised initial letters are defined terms and have the meanings given to them in this Agreement;,currency
Currency. All payments and reporting by both parties under this Agreement will be made in United States dollars.,currency
"Currency indemnity In the event of a Finance Party receiving or recovering any amount payable under a Finance Document in a currency other than the Currency of Account, and if the amount received or recovered is insufficient when converted into the Currency of Account at the date of receipt to satisfy in full the amount due, the Borrower shall, on the Agent’s written demand, pay to the Agent for the account of the relevant Finance Party such further amount in the Currency of Account as is sufficient to satisfy in full the amount due and that further amount shall be due to the Agent on behalf of the relevant Finance Party as a separate debt under this Agreement.",currency
Currency. All funds referred to under the terms of this Agreement shall be funds designated in the lawful currency of the United States of America.,currency
"Currency. Unless otherwise indicated, all dollar amounts referred to in this Agreement are in United States Dollars. All amounts owing under this Agreement are in United States Dollars. All amounts denominated in other currencies shall be converted in the United States Dollar equivalent amount in accordance with the applicable exchange rate in effect on the date of calculation.",currency
"Currency. A. Whenever the word “Dollars” or the “$” sign appears in this Contract, they shall be construed to mean United States Dollars and all transactions under this Contract shall be in United States Dollars.",currency
"Currency. Unless otherwise specified, all references to money amounts are to lawful currency of the United States of America.",currency
"Currency. All references to currency referred to in this Agreement are in United States Dollars (US$), unless expressly stated otherwise.",currency
Currency. All payment to be made by the LHIN or the HSP under this Agreement shall be made in the lawful currency of Canada.‌,currency
"Currency. All dollar amounts referred to in this Note are in United States Dollars (“U.S. Dollars”), and all amounts owing under this Note shall be paid in U.S. Dollars. All amounts denominated in other currencies (if any) shall be converted into the U.S. Dollar equivalent amount in accordance with the Exchange Rate on the date of calculation. “Exchange Rate” means, in relation to any amount of currency to be converted into U.S. Dollars pursuant to this Note, the U.S. Dollar exchange rate as published in the Wall Street Journal on the relevant date of calculation (it being understood and agreed that where an amount is calculated with reference to, or over, a period of time, the date of calculation shall be the final date of such period of time).",currency
"Currency. If for the purpose of obtaining judgment in any court it is necessary to convert a sum due hereunder in U.S. dollars into another currency, the parties hereto agree, to the fullest extent that they may effectively do so (and subject to Chapter II, Article 78 of the Foreign Exchange Regulations of Colombia), that the rate of exchange used shall be that at which in accordance with normal banking procedures the payee could purchase U.S. dollars with such other currency in The City of New York on the business day preceding the day on which final judgment is given. The obligation of either party in respect of a sum due from it to the other party hereunder shall, notwithstanding any judgment in a currency (the “judgment currency”) other than U.S. dollars, be discharged only to the extent that on the business day following receipt by such other party of any sum adjudged to be so due in the judgment currency such other party may in accordance with normal banking procedures purchase U.S. dollars with the judgment currency; if the amount of U.S. dollars so purchased is less than the sum originally due to such other party in U.S. dollars, such first party agrees, as a separate obligation and notwithstanding any such judgment, to indemnify such other party against such loss, and if the amount of U.S. dollars so purchased exceeds the sum originally due to such other party, such other party agrees to remit to such first party such excess.",currency
"Currency. Unless otherwise stated, all references herein to amounts of money are expressed in lawful money of Canada.",currency
"Currency. Except as expressly provided in this Agreement, all amounts in this Agreement are stated and will be paid in Canadian currency.",currency
"Currency. This Note is denominated in, and payments of principal, premium, if any, and/or interest, if any, will be made in U.S. Dollars.",currency
"Currency. All dollar amounts referred to in this Agreement are in United States funds, unless expressly stated otherwise.",currency
"Currency. (a) Unless specified otherwise on the face hereof, this Note is denominated in, and payments of principal, premium, if any, and/or interest, if any, will be made in U.S. Dollars. If specified as the Specified Currency, this Note may be denominated in, and payments of principal, premium, if any, and/or interest, if any, may be made in a single currency other than U.S. Dollars (a “Foreign Currency”). If this Note is denominated in a Foreign Currency, the Holder of this Note is required to pay for this Note in the Specified Currency.",currency
Currency. All currency is expressed in U.S. dollars.,currency
Currency. The currency to be used for all purposes of this Agreement shall be United States of America currency.,currency
"Currency. Unless explicitly stated otherwise, all funds in this Agreement are stated in United States dollars.",currency
Currency. All payments under this CONTRACT shall be made in United States Dollars.,currency
"Currency. Unless otherwise indicated, all dollar amounts referred to in this Agreement are expressed in Canadian dollars.",currency
"Currency. Unless otherwise specified herein, all statements of or references to dollar amounts in this agreement shall mean lawful money of the United States.",currency
"Currency. Unless otherwise specified, all dollar amounts in this Subscription Agreement, including the symbol “$”, are expressed in Canadian dollars.",currency
"Currency. A. Where the word “Dollars” and/or the sign “$” appear in this Contract, they shall mean United States Dollars, and all payments hereunder shall be in United States Dollars.",currency
"Currency. Unless stated otherwise, all currency references herein are to United States Dollars.",currency
"Currency. Except as otherwise indicated, all amounts expressed herein in terms of money refer to lawful currency of Canada and all payments to be made hereunder shall be made in such currency.",currency
Currency. All references to dollars or to $ are references to Canadian dollars.,currency
"Currency. All references in this Agreement to dollars, unless otherwise specifically indicated, are expressed in Canadian currency.",currency
"Currency. Unless otherwise indicated, all dollar amounts in this Agreement are expressed in United States funds.",currency
"Currency. Unless specified otherwise, all statements of or references to dollar amounts or money in this Agreement are to the lawful currency of the United States of America.",currency
"Currency. Whenever the word ""Dollars"" or the ""$"" sign appears in this Contract, they shall be construed to mean United States Dollars and all transactions under this Contract shall be in United States Dollars. Amounts paid or received by the Company in any other currency shall be converted to United States Dollars at the rate of exchange at the date such transaction is entered on the books of the Company.",currency
Currency. All proceeds of insurance pursuant to this Lease will be payable in Dollars except as may be otherwise agreed by LESSOR.,currency
"Currency. 6. Except as otherwise provided in this Agreement, all monetary amounts referred to in this Agreement are in GBP.",currency
"Currency. In all instances, references to monies used in this Agreement shall be deemed to be United States dollars.",currency
Currency. The reinsurance premiums and benefits payable under this Agreement will be payable in the lawful money of the United States.,currency
"Currency. Except as otherwise stated, all dollar amounts herein are expressed in Canadian dollars.",currency
Currency. All references to currency herein are to lawful money of the United States of America.,currency
Currency. All amounts in this Agreement are stated and shall be paid in Canadian currency.,currency
"Currency. Except where otherwise expressly provided, all amounts in this Agreement are stated and shall be paid in United States currency.",currency
"Currency. Unless otherwise indicated, all dollar amounts referred to in this Agreement are expressed in United States dollars.",currency
"Currency. All dollar amounts referred to in this Agreement are expressed in United States dollars. All payments will be made in United States dollars. If Company receives payment from a third party in a currency other than United States dollars for which a royalty or fee is owed under this Agreement, then (a) the payment will be converted into United States dollars at the conversion rate for the foreign currency as published in the eastern edition of the Wall Street Journal as of the last business day of the Quarter in which the payment was received by Company, and (b) the conversion computation will be documented by Company in the applicable report delivered to Penn under Section 4.1.",currency
"Currency. All dollar amounts referred to or contemplated by this Agreement or any other Transaction Documents shall be deemed to refer to US Dollars, unless otherwise explicitly stated to the contrary.",currency
Currency. (a) A repayment or prepayment of an Advance is payable in the currency in which the Advance is denominated.,currency
"Currency. 11.3.1 If the Bonds are denominated in other currencies than NOK, each Bondholder has to provide the Paying Agent (either directly or through its Account Manager) with specific payment instructions, including foreign exchange bank account details. Depending on any currency exchange settlement agreements between each Bondholder’s bank and the Paying Agent, cash settlement may be delayed, and payment shall be deemed to have been made at the date of the cash settlement, provided however, that no default interest or other penalty shall accrue for the account of the Issuer.",currency
"Currency. All sums of money which are referred to in this Agreement are expressed in lawful money of the United States of America, unless otherwise specified.",currency
"Currency. If, under any applicable law or regulation, and whether pursuant to a judgment being made or registered against the Chargor or the bankruptcy or liquidation of the Chargor or for any other reason any payment under or in connection with this Charge is made or falls to be satisfied in a currency (the “Payment Currency”) other than the currency in which such payment is due under or in connection with this Charge (the “Contractual Currency”), then to the extent that the amount of such payment actually received by the Secured Party when converted into the Contractual Currency at the rate of exchange, falls short of the amount due under or in connection with this Charge, the Chargor, as a separate and independent obligation, shall indemnify and hold harmless the Secured Party against the amount of such shortfall. For the purposes of this clause, “rate of exchange” means the rate at which the Secured Party is able on or about the date of such payment to purchase the Contractual Currency with the Payment Currency and shall take into account any premium and other costs of exchange with respect thereto.",currency
Currency. All references to currency amounts in this Agreement shall mean United States dollars.,currency
Currency. All payments due under this Agreement will be made in U.S. Dollars.,currency
"Currency. For purposes of this Agreement, where Retrocedant receives premiums or pays losses in currencies other than United States dollars, such premiums or losses shall be converted into United States dollars at the actual rates of exchange at which these premiums or losses are entered in the Retrocedant's books.",currency
"Currency. Unless otherwise stated, all references in this Agreement to sums of money are expressed in lawful money of the United States of America and “",currency
"Currency. (a) Amounts payable in respect of costs, expenses, taxes and the like are payable in the currency in which they are incurred.",currency
Currency. Any and all payments by the BUYER to the SELLER under this Contract shall be made in United States Dollars.,currency
"Currency. Except as expressly indicated otherwise, all sums of money referred to in this Plan of Arrangement are expressed and shall be payable in Canadian dollars.",currency
Currency. The currency applicable to any amount payable or receivable under this Agreement is United States dollars.,currency
Currency. All dollars amounts expressed in this Agreement and in the Subscription Receipts are in lawful money of Canada and all payments required to be made hereunder or thereunder shall be made in Canadian dollars.,currency
Currency. All financial data required to be provided pursuant to the terms of this Agreement shall be expressed in United States dollars. All payments and all settlements of account between the Parties shall be in United States currency unless otherwise agreed by the Parties.,currency
"Currency. Unless otherwise indicated, all monetary amounts are expressed in this Agreement in the lawful currency of the United States of America.",currency
"Currency. As used herein, “Dollar”, “US Dollar” and “$” each mean the lawful money of the United States.",currency
"Currency. In all instances, references to dollars shall be deemed to be United States Dollars.",currency
"Currency. As used herein, ""Dollar"", ""US Dollar"" and ""$"" each mean the lawful money of the United States.",currency
Currency. All dollar amounts set forth or referred to in this Agreement refer to U.S. currency.,currency
"Currency. Unless otherwise indicated, all sums of money referred to in this Agreement are expressed in lawful money of Canada.",currency
Currency. All references to dollars or to “$” are references to United States dollars.,currency
Currency. Sterling is the currency of account and payment for each and every sum at any time due from any Obligor under this Agreement provided that:,currency
"Currency. Unless otherwise expressly stated, all references to dollars, “$” or currency herein shall be deemed to be references to Canadian currency.",currency
