clause_text,clause_type
Death. The Executive’s employment hereunder shall terminate upon his death.,death
"Death. If the Executive's employment is terminated by reason of the Executive's death during the Employment Period, this Agreement shall terminate without further obligations to the Executive's legal representatives under this Agreement, other than for payment of Accrued Obligations and the timely payment or provision of Other Benefits. Accrued Obligations shall be paid to the Executive's estate or beneficiary, as applicable, in a lump sum in cash within 30 days of the Date of Termination. With respect to the provision of Other Benefits, the term Other Benefits as utilized in this Section 6(b) shall include, without limitation, and the Executive's estate and/or beneficiaries shall be entitled to receive, benefits at least equal to the most favorable benefits provided by the Company and affiliated companies to the estates and beneficiaries of peer executives of the Company and such affiliated companies under such plans, programs, practices and policies relating to death benefits, if any, as in effect with respect to other peer executives and their beneficiaries at any time during the 120-day period immediately preceding the Effective Date or, if more favorable to the Executive's estate and/or the Executive's beneficiaries, as in effect on the date of the Executive's death with respect to other peer executives of the Company and its affiliated companies and their beneficiaries.",death
Death. Executive's employment hereunder shall terminate upon his death.,death
"Death. If the Executive's employment is terminated by reason of the Executive's death during the Employment Period, this Agreement shall terminate without further obligations to the Executive's legal representatives under this Agreement, other than the following obligations: (i) payment of the Executive's Annual Base Salary through the Date of Termination to the extent not theretofore paid, (ii) payment of the product of (x) the greater of (A) the Annual Bonus paid or payable, including by reason of deferral, (and annualized for any fiscal year consisting of less than twelve full months or for which the Executive has been employed for less than twelve full months) for the most recently completed fiscal year during the Employment Period, if any, and (B) the Recent Annual Bonus (such greater amount hereafter referred to as the ""Highest Annual Bonus"") and (y) a fraction, the numerator of which is the number of days in the current fiscal year through the Date of Termination, and the denominator of which is 365 and (iii) payment of any compensation previously deferred by the Executive (together with any accrued interest thereon) and not yet paid by the Company and any accrued vacation pay not yet paid by the Company (the amounts described in paragraphs (i), (ii) and (iii) are hereafter referred to as ""Accrued Obligations""). All Accrued Obligations shall be paid to the Executive's estate or beneficiary, as applicable, in a lump sum in cash within 30 days of the Date of Termination. In addition, the Executive's estate or designated beneficiaries shall be entitled to receive the Executive's Annual Base Salary for the balance of the Employment Period; PROVIDED, HOWEVER, that such payments of Annual Base Salary shall be reduced by any survivor benefits paid to the Executive's estate or designated beneficiary under the Retirement Plan. Anything in this Agreement to the contrary notwithstanding, the Executive's estate and family shall be entitled to receive benefits at least equal to the most favorable benefits provided generally by the Company and any of its affiliated companies to the estates and surviving families of peer executives of the Company and such affiliated companies under such plans, programs, practices and policies relating to death benefits, if any, as in effect generally with respect to other peer executives and their estates and families at any time during the 90-day period immediately preceding the Effective Date or, if more favorable to the Executive and/...",death
"Death. If the Executive's employment is terminated by reason of the Executive's death during the Employment Period, this Agreement shall terminate without further obligations to the Executive's legal representatives under this Agreement, other than for payment of Accrued Obligations and the timely payment or provision of Other Benefits. Accrued Obligations shall be paid to the Executive's estate or beneficiary, as applicable, in a lump sum in cash within 30 days of the Date of Termination.",death
Death. Executive’s employment hereunder shall terminate upon Executive’s death.,death
"Death. The Employee's employment under this Agreement shall terminate upon his death during the term of this Agreement, in which event the Employee's estate shall be entitled to receive the compensation due the Employee through the last day of the calendar month in which his death occurred.",death
"Death. If the Executive’s employment is terminated by reason of the Executive’s death during the Employment Period, this Agreement shall terminate without further obligations to the Executive’s legal representatives under this Agreement, other than for payment of Accrued Obligations and the timely payment or provision of Other Benefits. In addition, the Executive shall be entitled to the Pro-rata Bonus. Accrued Obligations and the Pro-rata Bonus shall be paid to the Executive’s estate or beneficiary, as applicable, in a lump sum in cash within 30 days of the Date of Termination. With respect to the provision of Other Benefits, the term Other Benefits as utilized in this Section 4(b) shall include death benefits as in effect on the date of the Executive’s death with respect to similarly situated executives of the Company and their beneficiaries.",death
Death. The Executive’s employment hereunder shall terminate upon the Executive’s death.,death
"Death. If an employee dies, there shall be paid to the employee’s estate a severance payment in respect of the employee’s complete period of continuous employment, comprised of one (1) week’s pay for each complete year of continuous employment and, in the case of a partial year of continuous employment, one (1) week’s pay multiplied by the number of days of continuous employment divided by three hundred and sixty-five (365), to a maximum of thirty (30) weeks’ pay, regardless of any other benefit payable.",death
Death. Automatically on the date of death of the Executive.,death
Death. The Executive's employment shall terminate automatically upon the Executive's death during the Employment Period.,death
Death. The Employee's employment hereunder shall terminate upon his death.,death
Death. The death of Employee shall immediately terminate this Agreement with no severance compensation due to Employee's estate.,death
Death. The Executive’s employment under this Agreement shall terminate upon his death.,death
Death. The Executive’s employment shall terminate upon the Executive’s death.,death
Death. Employee’s employment hereunder shall terminate upon his death.,death
Death. This Agreement shall terminate upon the death of Executive.,death
