clause_text,clause_type
"Default. H-GAC may, by written notice of default to the Contractor, terminate the whole or any part of the Agreement, in any one of the following circumstances:",default
"Default. It shall constitute a Default of the Lessee if any Guarantor fails or refuses, upon request to provide: (a) evidence of the execution of the guaranty, including the authority of the party signing on Guarantor’s behalf to obligate Guarantor, and in the case of a corporate Guarantor, a certified copy of a resolution of its board of directors authorizing the making of such guaranty, (b) current financial statements, (c) an Estoppel Certificate, or (d) written confirmation that the guaranty is still in effect.",default
Default. Each of the following shall constitute an Event of Default under this Agreement:,default
Default. SECTION 7.01. Events of Default....................................................................VII-1 SECTION 7.02. Trustee to Act; Appointment of Successor.............................................VII-2 SECTION 7.03. Notification to Certificateholders...................................................VII-3,default
"Default if a Default or Event of Default then exists, at the expense of the Company to visit and inspect any of the offices or properties of the Company or any Subsidiary, to examine all their respective books of account, records, reports and other papers, to make copies and extracts therefrom, and to discuss their respective affairs, finances and accounts with their respective officers and independent public accountants (and by this provision the Company authorizes said accountants to discuss the affairs, finances and accounts of the Company and its Subsidiaries), all at such times and as often as may be requested.",default
Default. The occurrence of any one or more of the following events shall constitute a material default of this Lease by Lessee:,default
"Default. If Tenant fails to comply with any of the material provisions of this Agreement, other than the covenant to pay rent, or of any present rules and regulations or any that may be hereafter prescribed by Landlord, or materially fails to comply with any duties imposed on Tenant by statute, within seven (7) days after delivery of written notice by Landlord specifying the non-compliance and indicating the intention of Landlord to terminate the Lease by reason thereof, Landlord may terminate this Agreement. If Tenant fails to pay rent when due and the default continues for seven (7) days thereafter, Landlord may, at Landlord's option, declare the entire balance of rent payable hereunder to be immediately due and payable and may exercise any and all rights and remedies available to Landlord at law or in equity or may immediately terminate this Agreement.",default
"Default. Each and every term and condition hereof shall be deemed to be a material element of this Agreement. In the event either party should fail or refuse to perform according to the terms of this agreement, such party may be declared in default thereof.",default
"Default. The word ""Default"" means the Default set forth in this Agreement in the section titled ""Default"".",default
"Default. Despite any contrary provision of this Agreement, if the Bank is in “default” or “in danger of default,” as those terms are defined in section 3(x) of the Federal Deposit Insurance Act, 12 U.S.C. 1813(x), all obligations under this Agreement shall terminate.",default
"Default. 323 In default of fulfilment of contract by either party, the following provisions shall apply: -",default
"Default. Any occurrence that is, or with notice or the lapse of time or both would become, an Event of Default.",default
Default. You will be in default under this Agreement if You fail to pay the Minimum Payment Due by its Payment Due Date; pay by a check or similar instrument that is not honored or that We must return because it cannot be processed; pay by automatic debit that is returned unpaid; make any false or misleading statements in any credit application or credit update; file for bankruptcy; or die. You will also be in default if You fail to comply with the terms of this Agreement or any other Agreement You have with Us.,default
"Default. 5.13.1 If either Party defaults in the payment of any amount due hereunder, or if either Party violates any other material provision of this Agreement, and such default or violation shall continue for thirty (30) Days after written notice thereof, the other Party may seek relief in accordance with the Dispute Resolution provision of this Agreement. The failure of either Party to enforce any of the provisions of this Agreement or the waiver thereof in any instance shall not be construed as a general waiver or relinquishment on its part of any such provision, but the same shall, nevertheless, be and remain in full force and effect.",default
"Default. Borrower will be in default if any of the following happens: (a) Borrower fails to make any payment when due. (b) Borrower breaks any promise Borrower has made to Lender, or Borrower fails to comply with or to perform when due any other term, obligation, covenant, or condition contained in this Note or any agreement related to this Note, or in any other agreement or loan Borrower has with Lender. (c) Borrower defaults under any loan, extension of credit, security agreement, purchase or sales agreement, or any other agreement, in favor of any other creditor or person that may materially affect any of Borrower's property or Borrower's ability to repay this Note or perform Borrower's obligations under this Note or any of the Related Documents. (d) Any representation or statement made or furnished to Lender by Borrower or on Borrower's behalf is false or misleading in any material respect either now or at the time made or furnished. (e) Borrower becomes insolvent, a receiver is appointed for any part of Borrower's property, Borrower makes an assignment for the benefit of creditors, or any proceeding is commenced either by Borrower or against Borrower under any bankruptcy or insolvency laws. (f) Any creditor tries to take any of Borrower's property on or in which Lender has a lien or security interest. This includes a garnishment of any of Borrower's accounts with Lender. (g) Any guarantor dies or any of the other events described in this default section occurs with respect to any guarantor of this Note. (h) A material adverse change occurs in Borrower's financial condition, or Lender believes the prospect of payment or performance of the Indebtedness is impaired.",default
"Default. You will be in default if you fail to make any minimum payment or other required payment by the date that it is due. You will be in default if you break any promise you make under this Agreement. You will be in default if you die, file for bankruptcy or become insolvent, that is, unable to pay your obligations when they become due. You will be in default if you make any false or misleading statements in any credit application or credit update. You will also be in default if something happens that the Credit Union believes may substantially reduce your ability to repay what you owe.",default
"Default. The occurrence of any one or more of the following events shall constitute an ""Event of Default"" hereunder:",default
"Default. If one or more Underwriters shall fail at the Time of Purchase or an Option Securities Settlement Date to purchase the Securities which it or they are obligated to purchase under this Agreement (the “Defaulted Securities”), then the Representative shall have the right, within 24 hours thereafter, to make arrangements for one of or more of the non-defaulting Underwriters or any other underwriters to purchase all, but not less than all, of the Defaulted Securities in such amounts as may be agreed upon and upon the terms herein set forth; provided, however, that if such arrangements shall not have been completed within such 24-hour period, then:",default
"Default. If, during the Lease Term or any Option Term, if exercised, (a) the Tenant shall make an assignment for the benefit of creditors, or (b) a voluntary or involuntary petition be filed by or against Tenant under the Bankruptcy Act of the United States or any state or federal statute similar thereto, and the same is not dismissed within sixty (60) days, or the Tenant be adjudged insolvent or a bankrupt pursuant to an involuntary petition, or (c) a receiver or trustee be appointed for the property of the Tenant or (d) any department of the state or federal government, or any officer thereof duly authorized, shall take possession of the business or property of the Tenant, or (e) if, under the Bankruptcy Act, Tenant continues in possession without the appointment of a receiver or trustee, then the occurrence of any such event shall be deemed a breach of the Lease. This Lease shall ipso facto upon the happening of any of said contingencies, be at the option of the Lessor, terminated and the same shall expire as fully and completely as if the day of the happening of such contingency were the date herein specifically fixed for the expiration of the initial term or any renewal term, and the Lessee will then quit and surrender the Leased Premises. If the Tenant shall fail to pay when due any Monthly Base Rent, Percentage Rent, additional rent or any other sum reserved to Lessor hereunder, or any part of the same; or if Tenant shall fail to perform any non-monetary duty, obligation or requirement and such default shall continue for fifteen (15) days after notice thereof by the Lessor, or, if such non-monetary default is of a nature as to reasonably require more than fifteen (15) days to cure and Tenant does not diligently pursue such cure; or if Lessor shall commence more than two (2) Unlawful Detainer actions against Tenant during the Term and/or Option Term because of defaults under this Lease, then any and all of the same shall be an event of default. Upon the occurrence of an event of default, the Lessor or the Lessor's agents and servants, in addition to any other remedy or remedies available to Lessor at law, in equity or hereunder, may immediately or at any time thereafter re-enter the Leased Premises and remove all persons and all or any property there from either by summary dispossession proceedings or by any suitable action or proceeding at law, and repossess and enjoy said Leased Premises together with all additions, alterations and improvements, and termina...",default
Default. Any Party may terminate this Agreement in accordance with Article 17.,default
"Default. 5.4.1 In the event any equipment or service furnished by the A-E in the performance of this CONTRACT should fail to conform to the specifications therein within one (1) calendar year from the COUNTY’s acceptance of the equipment or service, or any performance period specifically specified within the specifications or CONTRACT, whichever is greater, the COUNTY may reject same, and it shall become the duty of the A-E to reclaim and remove the items without expense to the COUNTY and to immediately replace all such rejected equipment or service with others conforming to such specifications, provided that should the A-E fail, neglect or refuse to do so within one hundred and twenty (120) calendar days, the COUNTY shall have the right to purchase on the open market a corresponding quantity of any such equipment or service and to deduct from any monies due or that may thereafter become due to the A-E the difference between the price specified in this CONTRACT and the actual cost to the COUNTY.",default
"Default. Each of the following shall constitute an event of default (""Event of Default"") under this Note:",default
"Default. The Borrower is in compliance with all provisions of all agreements, instruments, decrees and orders to which it is a party or by which it or its property is bound or affected, the breach or default of which could have a material adverse effect on the Borrower's financial condition, properties or operations.",default
Default. (SEE ARTICLE VII OF THE STANDARD TERMS),default
