clause_text,clause_type
Defaults. The occurrence of any one or more of the following events shall constitute a Default:,defaults
Defaults. The following events shall be “Events of Default”:,defaults
"Defaults. The Company is not in violation of its articles of incorporation or bylaws. The Company is (i) not in default under or in violation of any other material agreement or instrument to which it is a party or by which it or any of its properties are bound or affected, which default or violation would have a Material Adverse Effect, (ii) not in default with respect to any order of any court, arbitrator or governmental body or subject to or party to any order of any court or governmental authority arising out of any action, suit or proceeding under any statute or other law respecting antitrust, monopoly, restraint of trade, unfair competition or similar matters, or (iii) not in violation of any statute, rule or regulation of any governmental authority which violation would have a Material Adverse Effect.",defaults
"Defaults. The Administrative Agent shall not be deemed to have knowledge or notice of the occurrence of a Default or Event of Default unless the Administrative Agent has received written notice from a Lender or the Borrower specifying such Default or Event of Default and stating that such notice is a “Notice of Default”. In the event that the Administrative Agent receives such a notice of the occurrence of a Default or Event of Default, the Administrative Agent shall give prompt notice thereof to the Lenders. The Administrative Agent shall (subject to Section 8.2) take such action with respect to such Default or Event of Default as shall reasonably be directed by the Majority Lenders, provided that, unless and until the Administrative Agent shall have received such directions, the Administrative Agent may (but shall not be obligated to) take such action, or refrain from taking such action, with respect to such Default or Event of Default as it shall deem advisable in the best interest of the Lenders.",defaults
Defaults. The occurrence of any one or more of the following events shall constitute a material default and breach of this Lease by Lessee:,defaults
"Defaults. The Borrower will promptly upon becoming aware of same notify the Agent in writing of the occurrence of any Default or Event of Default, which notice shall describe such occurrence with reasonable specificity and shall state that such notice is a “notice of default”. If any Person shall give any notice of the existence of a claimed default or take any other action in respect of a claimed default (whether or not constituting an Event of Default) under this Agreement or under any note, evidence of indebtedness, indenture or other obligation to which or with respect to which the Borrower, any Guarantor or any of their respective Subsidiaries is a party or obligor, whether as principal or surety, and such default would permit the holder of such note or obligation or other evidence of indebtedness to accelerate the maturity thereof, which acceleration would either cause a Default or have a Material Adverse Effect, the Borrower shall forthwith give written notice thereof to the Agent and each of the Lenders, describing the notice or action and the nature of the claimed default.",defaults
"Defaults. The Agent shall not be deemed to have knowledge of the occurrence of a Default or an Event of Default (other than the nonpayment of principal of or interest on the Loans) unless the Agent has received notice from a Bank or the Borrower specifying such Default or Event of Default and stating that such notice is a ""Notice of Default"". In the event that the Agent receives such a notice of the occurrence of a Default or an Event of Default, the Agent shall give prompt notice thereof to the Banks. The Agent shall give each Bank prompt notice of each nonpayment of principal of or interest on the Loans whether or not it has received any notice of the occurrence of such nonpayment. The Agent shall (subject to Section 9.06) take such action hereunder with respect to such Default or Event of Default as shall be directed by the Required Banks, provided that, unless and until the Agent shall have received such directions, the Agent may (but shall not be obligated to) take such action, or refrain from taking such action, with respect to such Default or Event of Default as it shall deem advisable in the best interests of the Banks.",defaults
"Defaults. Each Borrower will promptly notify the Administrative Agent and each of the Lenders in writing of the occurrence of any Default or Event of Default of which it becomes aware. If any Person shall give any notice or take any other action in respect of a claimed default (whether or not constituting an Event of Default) under this Credit Agreement or any other note, evidence of indebtedness, indenture or other obligation to which or with respect to which any of the Borrowers or any of their Restricted Subsidiaries are parties or obligors, whether as principal, guarantor, surety or otherwise, such Borrower shall forthwith give written notice thereof to the Administrative Agent and each of the Lenders, describing the notice or action and the nature of the claimed default.",defaults
"Defaults. The Administrative Agent shall not be deemed to have knowledge of the occurrence of a Default (other than the non-payment of principal of or interest on Loans) unless the Administrative Agent has received notice from a Bank or the Borrower specifying such Default and stating that such notice is a “Notice of Default.” In the event that the Administrative Agent receives such a notice of the occurrence of a Default, the Administrative Agent shall give prompt notice thereof to the Banks (and shall give each Bank prompt notice of each such non-payment and the Borrower). The Administrative Agent shall (subject to Section 12.7) take such action with respect to such Default as shall be directed by the Required Banks, provided that, unless and until the Administrative Agent shall have received such directions, the Administrative Agent may take such action, or refrain from taking such action, with respect to such Default as it shall deem advisable in the best interest of the Banks; provided, further, that the Administrative Agent shall not be required to take any such action which it determines to be contrary to law.",defaults
"Defaults. The Agent shall not be deemed to have knowledge of the occurrence of a Default or Event of Default, other than a payment default, unless the Agent has received notice from a Bank or Borrower or any Guarantor specifying such Default or Event of Default and stating that such notice is a “Notice of Default.” In the event that the Agent receives such a notice of the occurrence of a Default or Event of Default, the Agent shall give prompt notice thereof to the Banks. The Agent shall (subject to Section 12.08 hereof) take such action with respect to such Default or Event of Default which is continuing as shall be directed by the Required Banks; provided that, unless and until the Agent shall have received such directions, the Agent may take such action, or refrain from taking such action, with respect to such Default or Event of Default as it shall deem advisable in the best interest of the Banks; and provided further that, the Agent shall not be required to take any such action which it determines to be contrary to Law.",defaults
Defaults. Each of the following occurrences shall constitute a Default under this Agreement:,defaults
"Defaults. It is not in default under any material agreement, contract, instrument or indenture to which it is a party or by which it or its properties is or are bound, or with respect to any order of any court, administrative agency, arbitrator or governmental body, in each case, which would have a material adverse effect on the transactions contemplated hereunder or on its business, operations, financial condition or assets, and no event has occurred which with notice or lapse of time or both would constitute such a default with respect to any such agreement, contract, instrument or indenture, or with respect to any such order of any court, administrative agency, arbitrator or governmental body.",defaults
"Defaults. No Default or Event of Default exists hereunder, nor will any begin to exist immediately after the execution and delivery hereof.",defaults
"Defaults. Neither the Borrower nor any Subsidiary is in default nor has any event or circumstance occurred which, but for the expiration of any applicable grace period or the giving of notice, or both, would constitute a default under any material agreement or instrument to which the Borrower or any Subsidiary is a party or by which the Borrower or any Subsidiary is bound which default would have a Material Adverse Effect. No Default hereunder has occurred and is continuing.",defaults
