clause_text,clause_type
"Defined Terms. As used in this Agreement, the following terms have the meanings specified below:",defined-terms
"Defined Terms. As used in this Agreement, the following terms shall have the meanings set forth below:",defined-terms
"Defined Terms. As used in this Agreement, the following terms shall have the following meanings:",defined-terms
"Defined Terms. As used in this Agreement, the terms listed in this Section 1.1 shall have the respective meanings set forth in this Section 1.1.",defined-terms
"Defined Terms. For purposes of this Agreement, unless such definitions are amended pursuant to a Consensus Policy at a future date, in which case the following definitions shall be deemed amended and restated in their entirety as set forth in such Consensus Policy, Security and Stability shall be defined as follows:",defined-terms
"Defined Terms. As used in this Agreement, the following terms shall have the following meanings (such meanings to be equally applicable to both the singular and plural forms of the terms defined):",defined-terms
"Defined Terms. As used in this Supplemental Indenture, terms defined in the Indenture or in the preamble or recital hereto are used herein as therein defined. The words “herein,” “hereof” and “hereby” and other words of similar import used in this Supplemental Indenture refer to this Supplemental Indenture as a whole and not to any particular section hereof.",defined-terms
"Defined Terms. Whenever used in this Agreement, including in the Preliminary Statement, the following capitalized terms, unless the context otherwise requires, shall have the meanings specified in this Article.",defined-terms
Defined Terms. All terms used in this Security which are defined in the Indenture shall have the meanings assigned to them in the Indenture.,defined-terms
"Defined Terms. Whenever used in this Agreement, the following words and phrases, unless the context otherwise requires, shall have the following meanings:",defined-terms
"Defined Terms. Whenever used in this Agreement, the following words and phrases, unless the context otherwise requires, shall have the meanings specified in this Article.",defined-terms
"Defined Terms. As used in this Supplemental Indenture, terms defined in the Indenture or in the preamble or recital hereto are used herein as therein defined, except that the term “Holders” in this Supplemental Indenture shall refer to the term “Holders” as defined in the Indenture and the Trustee acting on behalf of and for the benefit of such Holders. The words “herein,” “hereof” and “hereby” and other words of similar import used in this Supplemental Indenture refer to this Supplemental Indenture as a whole and not to any particular section hereof.",defined-terms
"Defined Terms. As used herein, the following terms have the respective meanings set forth below or set forth in the Section hereof following such term:",defined-terms
Defined Terms. Capitalized terms used but not defined herein shall have the meanings assigned to such terms in the Credit Agreement.,defined-terms
"Defined Terms. For purposes of this Section 2.17, the term “Lender” includes any Issuing Bank and the term “applicable law” includes FATCA.",defined-terms
"Defined Terms. (a) Unless otherwise defined herein, terms defined in the Credit Agreement and used herein shall have the meanings given to them in the Credit Agreement.",defined-terms
